{' Yes': -0.0062188194, 'Yes': -5.4882436, ' Generally': -6.715779, ' No': -8.289528, ' A': -8.50017}
{' Yes': -0.3783554, ' No': -1.222857, 'No': -4.574074, 'Yes': -5.27035, ' Generally': -5.8391438}
{' No': -0.46277422, 'No': -1.5303153, '\n': -2.615303, ' Yes': -3.0645254, ' ': -4.5363865}
{' No': -0.50572014, 'No': -1.5161896, '\n': -2.4190693, ' Yes': -2.7629354, 'Yes': -4.7634745}
{' No': -0.2817345, 'No': -1.7057418, '\n': -3.0275612, ' ': -4.9794044, ' no': -6.066596}
{' No': -0.23876779, 'No': -1.8730602, '\n': -3.4234123, ' Yes': -4.0949078, ' ': -5.447276}
{' Yes': -0.13883327, ' yes': -2.2888901, 'Yes': -4.5677004, ' It': -5.2810507, ' No': -5.6609335}
{' Yes': -0.24921001, ' No': -2.1755137, ' yes': -3.1483319, ' It': -3.8179164, '\n': -4.5354714}
{' No': -0.19790313, 'No': -2.4956155, ' Yes': -3.1203578, ' no': -3.9780297, '\n': -4.752077}
{' No': -0.33284897, ' Yes': -1.706323, 'No': -2.9974892, ' yes': -4.5778394, '\n': -4.7152643}
{' Yes': -0.016946796, ' No': -4.7770576, '\n': -5.821947, 'Yes': -5.9974933, ' Generally': -6.9141784}
{' Yes': -0.01869318, ' No': -4.3231287, 'Yes': -6.103776, '\n': -6.760171, ' A': -7.632544}
{' No': -0.5474924, ' Yes': -0.95244724, '\n': -4.159145, ' Generally': -4.561506, 'No': -5.416084}
{' No': -0.37793225, ' Yes': -1.2167574, '\n': -4.5699143, 'No': -5.5227876, ' ': -6.404442}
{' Yes': -0.4348576, ' No': -1.6161397, '\n': -2.674579, ' Generally': -4.038663, ' ': -4.142993}
{' No': -0.62195945, ' Yes': -1.3245428, '\n': -2.392639, 'No': -3.169599, ' ': -4.1226535}
{' No': -0.39614397, '\n': -1.9527369, ' Yes': -2.4008837, 'No': -3.0637503, ' ': -4.142871}
{' No': -0.29011708, '\n': -1.9600122, 'No': -2.9367807, ' Yes': -3.3299825, ' ': -4.489414}
{' Yes': -0.8668442, ' No': -0.87961197, '\n': -2.6220722, 'No': -3.8203392, ' A': -3.901899}
{' No': -0.31030726, '\n': -2.200299, ' Yes': -2.7248218, 'No': -2.9130638, ' ': -4.170241}
{' No': -0.22286901, '\n': -2.517089, ' Yes': -2.9350138, 'No': -3.409587, ' ': -4.413909}
{' No': -0.17157722, '\n': -2.6589715, 'No': -3.325294, ' Yes': -3.3884406, ' ': -4.6387897}
{' Yes': -0.20010214, ' No': -2.0864623, '\n': -3.6747057, ' ': -4.545361, ' Generally': -5.0913563}
{' No': -0.16731752, ' Yes': -2.2263956, 'No': -4.268468, '\n': -4.607415, ' A': -4.955722}
{' Yes': -0.5824925, ' No': -1.161203, '\n': -2.4986227, ' ': -4.2309375, ' Generally': -4.4553175}
{' No': -0.60611075, ' Yes': -0.96008414, '\n': -3.12354, 'No': -4.442796, ' ': -4.8081584}
{' No': -0.2213894, ' Yes': -2.2154233, 'No': -3.0145278, '\n': -4.457168, ' A': -4.7184596}
{' No': -0.12414466, 'No': -2.6664116, ' Yes': -4.110072, '\n': -4.460788, ' A': -4.57952}
{' No': -0.0866355, 'No': -3.0624864, '\n': -4.234642, ' Yes': -4.275121, ' ': -5.19392}
{' No': -0.08739517, 'No': -3.0935593, ' Yes': -3.8794196, '\n': -4.462395, ' ': -5.473444}
{' Yes': -0.12302178, ' No': -3.1950126, '\n': -3.843534, ' ': -4.3273787, ' It': -4.687307}
{' Yes': -0.6854088, ' No': -0.90697956, ' A': -3.9828863, '\n': -4.000175, 'No': -4.1192}
{' Yes': -0.5532201, ' No': -1.1880639, '\n': -3.2381165, ' ': -3.9728003, ' Generally': -4.097974}
{' No': -0.22299124, ' Yes': -2.0859597, 'No': -3.3316166, '\n': -3.9189007, ' ': -4.8606977}
{' Yes': -0.06565007, ' Generally': -2.9560955, 'Yes': -5.709496, ' A': -6.152415, ' It': -6.509989}
{' Yes': -0.024289075, ' Generally': -4.231339, 'Yes': -5.5320783, ' A': -5.678675, ' It': -7.761671}
{' Yes': -0.3260204, ' Bears': -2.1349194, ' Generally': -2.1472063, ' On': -4.5009546, ' It': -4.5763865}
{' Yes': -0.7699904, ' Bears': -1.4865888, ' Generally': -1.9019998, ' No': -2.3231921, ' It': -3.7110016}
{' Yes': -0.15379368, ' Generally': -2.3235266, 'Yes': -4.2725277, ' It': -4.5236626, ' Bears': -5.2382545}
{' Yes': -0.10409167, ' Generally': -2.8599663, 'Yes': -4.152754, ' It': -4.4621906, ' No': -5.7817574}
{' Yes': -0.36845464, ' Generally': -2.0094266, ' Bears': -2.5587926, ' It': -3.4152875, ' In': -4.0406537}
{' Yes': -0.56950533, ' Generally': -1.6911064, ' No': -2.3574274, ' Bears': -2.7513177, ' It': -3.8913302}
{' Yes': -0.03551104, 'Yes': -3.961519, ' Generally': -4.6975594, '\n': -6.265497, ' It': -6.8416424}
{' Yes': -0.034279943, 'Yes': -3.9331274, ' Generally': -5.023568, '\n': -6.018662, ' It': -6.551966}
{' Yes': -0.31739148, ' Bears': -2.0718298, ' Generally': -2.8817222, ' It': -3.5989482, 'Yes': -4.200856}
{' Yes': -0.14043799, ' No': -3.2519455, ' Bears': -3.5845487, ' Generally': -3.849861, 'Yes': -4.005333}
{' Yes': -0.11316915, ' Generally': -2.615994, ' Bears': -4.5581574, 'Yes': -4.9100366, ' A': -5.378521}
{' Yes': -0.06980928, ' Generally': -3.1776793, ' A': -4.7657757, 'Yes': -4.8532467, ' Bears': -5.96693}
{' Yes': -0.73855174, ' Bears': -1.0079398, ' Generally': -2.1534097, ' On': -4.102771, ' In': -4.743646}
{' Yes': -0.64946866, ' Bears': -1.5487683, ' Generally': -2.1737626, ' No': -2.2827542, ' It': -4.422578}
{' Yes': -0.116500966, ' Generally': -3.1678886, 'Yes': -3.5285852, ' Bears': -4.6824875, '\n': -4.9095573}
{' Yes': -0.05118819, 'Yes': -3.5033176, ' Generally': -4.726132, '\n': -5.7053895, ' No': -6.2738614}
{' Yes': -0.75888604, ' Bears': -1.3741356, ' Generally': -2.2760828, ' It': -3.0714395, ' No': -3.1691473}
{' No': -1.1835566, ' Yes': -1.3133898, ' Bears': -2.057313, ' Generally': -2.1432314, ' It': -2.7889583}
{' Yes': -0.10354044, ' Generally': -2.7117844, 'Yes': -4.199447, ' Bears': -5.272989, ' Typically': -6.3025417}
{' Yes': -0.041608386, ' Generally': -4.004646, 'Yes': -4.0871673, ' A': -6.5315843, ' Bears': -6.8310575}
{' Yes': -0.2935545, ' Bears': -2.2059574, ' Generally': -2.3314095, 'Yes': -4.2559433, ' In': -4.9383106}
{' Yes': -0.17547485, ' Generally': -2.599072, ' Bears': -3.119786, 'Yes': -4.0443234, ' No': -4.8866205}
{' Yes': -0.0043729395, 'Yes': -5.7979784, ' yes': -7.955766, ' Generally': -8.217933, '\n': -8.233348}
{' Yes': -0.003986753, 'Yes': -5.8525395, ' yes': -8.07082, ' A': -8.077003, '\n': -8.511774}
{' Yes': -0.021101018, ' Bears': -4.9312763, ' Generally': -5.396623, 'Yes': -5.787109, ' No': -6.0065765}
{' Yes': -0.18594445, ' No': -1.9131209, ' Bears': -4.8055143, 'Yes': -5.5911183, ' Generally': -5.833966}
{' Yes': -0.107815266, ' Generally': -3.0120544, 'Yes': -3.8632987, '\n': -4.5867977, ' It': -5.1011868}
{' Yes': -0.0501883, 'Yes': -3.7219832, ' Generally': -4.765482, '\n': -5.350397, ' A': -5.3547516}
{' Yes': -0.15631741, ' Generally': -2.7892365, ' Bears': -3.426537, ' No': -4.417006, 'Yes': -4.466635}
{' Yes': -0.37143812, ' No': -1.5147467, 'No': -3.5895507, 'Yes': -3.9568071, ' Generally': -4.1399546}
{' Yes': -0.15468481, '\n': -2.4226139, 'Yes': -3.4657848, ' ': -4.4874372, ' A': -4.9180264}
{' Yes': -0.20851414, '\n': -2.0243652, 'Yes': -3.3921745, ' ': -4.430423, ' A': -5.007048}
{' Yes': -0.59737307, '\n': -1.1654427, ' Bears': -2.8552024, ' ': -3.602166, 'Yes': -3.8342998}
{' Yes': -0.41139477, '\n': -1.4029758, ' No': -3.6207433, 'Yes': -3.7033966, ' Bears': -3.9800918}
{' Yes': -0.00785768, 'Yes': -5.5258093, ' It': -6.7128596, ' A': -7.354692, ' Generally': -7.4359508}
{' Yes': -0.012153838, 'Yes': -5.101736, ' A': -6.214142, ' No': -6.4990654, ' It': -6.6282463}
{' Yes': -0.06740228, ' No': -3.8182204, ' Bears': -4.1943803, ' Generally': -4.441351, ' It': -4.9376683}
{' Yes': -0.18132405, ' No': -2.0828876, ' Bears': -4.000366, 'Yes': -4.9574223, ' Generally': -5.0109806}
{' Yes': -0.15302238, 'Yes': -2.3311095, '\n': -3.8530056, ' ': -4.686395, ' A': -4.9214644}
{' Yes': -0.14057155, 'Yes': -2.4217908, '\n': -3.7789857, ' A': -4.874979, ' ': -4.899088}
{' Yes': -0.43088332, ' Bears': -2.3834648, ' No': -2.5262146, 'Yes': -2.646368, '\n': -3.2228885}
{' No': -0.28597036, 'No': -1.6095939, ' Yes': -3.900453, '\n': -4.109293, ' ': -5.2829823}
{' Yes': -0.0240618, 'Yes': -4.4747224, ' yes': -5.499123, ' Generally': -6.0338693, ' ': -6.196625}
{' Yes': -0.02354376, 'Yes': -4.2194777, ' yes': -5.984079, ' A': -5.999017, '\n': -6.7975645}
{' Yes': -0.1679633, ' Bears': -2.516184, ' Generally': -3.6812782, 'Yes': -4.155203, ' No': -4.7085476}
{' Yes': -0.099368334, ' No': -3.6096013, ' Bears': -3.6951478, 'Yes': -3.9939532, ' Generally': -4.6486387}
{' Yes': -0.05148479, 'Yes': -3.8885071, ' Generally': -4.0690794, ' Bears': -5.5462313, ' A': -5.6351995}
{' Yes': -0.05166448, 'Yes': -3.5231285, ' Generally': -4.805477, ' A': -5.391567, ' yes': -6.337851}
{' Yes': -0.78836083, ' Bears': -1.2849944, ' Generally': -2.3781798, ' No': -2.8087351, ' It': -3.092327}
{' Yes': -0.74045914, ' No': -1.5810201, ' Bears': -2.3770597, ' Generally': -2.8828635, ' It': -2.9574735}
{' Yes': -0.15027909, ' No': -2.6574984, 'Yes': -3.0162516, 'No': -4.0816884, ' yes': -6.5602937}
{' Yes': -0.37548953, ' No': -1.5131487, 'No': -2.989755, 'Yes': -3.2810965, ' yes': -6.29244}
{' Yes': -0.1816192, ' Generally': -3.091905, ' No': -3.105255, 'Yes': -3.5917447, ' Bears': -4.221294}
{' No': -0.57175565, ' Yes': -1.6635792, 'No': -1.8327115, ' It': -3.5710132, ' Generally': -3.7962446}
{' Yes': -0.07322372, 'Yes': -3.3774438, ' No': -3.52862, 'No': -5.528624, ' yes': -6.5663686}
{' Yes': -0.19500546, ' No': -2.0406606, 'Yes': -3.579107, 'No': -4.1566105, ' yes': -7.1291165}
{' Yes': -0.22235623, ' No': -2.7013447, 'Yes': -2.9177868, ' Bears': -3.4693027, 'No': -3.7036526}
{' No': -0.83717644, ' Yes': -0.9597732, 'No': -1.9871187, 'Yes': -3.4329097, ' It': -5.1723433}
{' Yes': -0.04091461, ' No': -3.6847591, 'Yes': -4.510008, ' Generally': -6.488588, 'No': -6.856584}
{' Yes': -0.06703215, ' No': -3.096697, 'Yes': -4.3083744, 'No': -6.1179504, ' A': -6.3105693}
{' Yes': -0.26150548, ' No': -2.3474221, ' Bears': -2.7459948, ' Generally': -3.1894498, 'Yes': -4.574372}
{' No': -0.449019, ' Yes': -1.3625131, 'No': -2.886725, ' Bears': -3.80251, ' Generally': -4.1311874}
{' Yes': -0.7896004, ' No': -1.6496335, 'No': -1.9763069, ' Bears': -2.1622639, 'Yes': -2.6956499}
{' Yes': -0.21227138, 'Yes': -1.9279373, ' No': -4.1493363, 'No': -4.3401113, ' Bears': -5.097346}
{' Yes': -0.48978782, ' Bears': -1.411245, 'Yes': -2.4897952, ' Generally': -3.51123, ' No': -4.820232}
{'No': -1.193307, ' No': -1.3626128, ' Bears': -1.6226989, ' Yes': -2.0904458, ' Generally': -3.280589}
{' Yes': -0.14629734, ' No': -2.838371, 'Yes': -3.2937467, ' Bears': -4.5179534, 'No': -4.528942}
{' Yes': -0.18357089, ' No': -2.7584457, 'Yes': -3.0900803, 'No': -4.2125072, ' A': -4.4071236}
{' Yes': -0.44939855, ' Bears': -1.4683099, ' No': -3.0942674, 'Yes': -3.1063752, 'No': -3.767466}
{' No': -0.6251885, 'No': -1.1920563, ' Yes': -2.3529775, ' Bears': -3.387752, ' Generally': -4.3168445}
{' Yes': -0.012315304, ' yes': -4.6366515, 'Yes': -6.2130065, ' ': -8.220084, '\n': -8.894268}
{' Yes': -0.008856498, ' yes': -5.2966847, 'Yes': -5.8391657, ' ': -7.71451, '\n': -8.345652}
{' Yes': -0.011379874, ' yes': -4.9097104, 'Yes': -6.2392945, ' No': -6.7205033, ' Bears': -8.327122}
{' Yes': -0.12180495, ' No': -2.2208383, 'Yes': -6.203439, ' yes': -6.379142, '\n': -7.344594}
{' Yes': -0.05668625, 'Yes': -3.479839, ' yes': -4.5793266, '\n': -5.101713, ' Generally': -5.8179216}
{' Yes': -0.044876922, 'Yes': -3.4303005, '\n': -5.6639123, ' yes': -5.6803536, ' Generally': -6.325659}
{' Yes': -0.36995813, ' No': -2.1405308, ' It': -2.9047213, ' Generally': -3.4313366, ' Bears': -3.5598364}
{' Yes': -0.05225603, 'Yes': -3.4897044, ' No': -4.593319, '\n': -5.884224, ' yes': -6.06769}
{' Yes': -0.11834051, '\n': -3.0168104, 'Yes': -3.0839033, ' yes': -4.6376657, ' ': -5.4257956}
{' Yes': -0.15173864, '\n': -2.5041976, 'Yes': -3.0432544, ' ': -5.3424425, ' yes': -5.4233546}
{' Yes': -0.25257307, '\n': -2.1059055, 'Yes': -3.2161124, ' Bears': -3.4997292, ' Generally': -4.9590206}
{' Yes': -0.24411218, '\n': -2.0938513, 'Yes': -3.1079676, ' No': -3.7106988, ' Bears': -5.120125}
{' Yes': -0.012947903, 'Yes': -4.898255, ' yes': -6.3350015, ' Generally': -6.368279, '\n': -7.3498063}
{' Yes': -0.013817352, 'Yes': -4.765431, ' Generally': -6.298277, ' yes': -6.983391, '\n': -7.0844727}
{' Yes': -0.02481655, ' Generally': -4.7784495, 'Yes': -4.8540516, ' Bears': -5.846819, ' yes': -6.435788}
{' Yes': -0.047492325, ' No': -3.9095373, 'Yes': -4.5980387, ' Generally': -5.0559263, ' Bears': -5.2031164}
{' Yes': -0.25529188, 'Yes': -2.180209, '\n': -2.6091506, ' yes': -4.047487, ' ': -4.7050743}
{' Yes': -0.2396149, 'Yes': -1.9242902, '\n': -3.001038, ' yes': -4.7979493, ' ': -5.3503876}
{' Yes': -0.8717448, ' No': -1.3718706, 'No': -2.1510189, '\n': -2.2066312, 'Yes': -2.850989}
{' No': -0.49945393, 'No': -1.5921415, ' Yes': -2.186687, '\n': -3.0100033, 'Yes': -4.0364537}
{' Yes': -0.07683857, ' yes': -3.043847, 'Yes': -3.9430568, '\n': -5.849856, ' ': -6.528506}
{' Yes': -0.06454782, ' yes': -3.3503675, 'Yes': -3.910363, '\n': -5.4896708, ' ': -6.6177225}
{' Yes': -0.104989976, ' yes': -3.0066621, 'Yes': -3.7982388, ' Bears': -4.525583, '\n': -5.157854}
{' Yes': -0.0716449, 'Yes': -3.7216177, ' yes': -3.7235327, ' Bears': -5.2235346, '\n': -5.410321}
{' Yes': -0.010698502, '\n': -5.6303024, 'Yes': -5.8916435, ' Generally': -6.4227448, ' ': -6.9060535}
{' Yes': -0.008593803, 'Yes': -5.681346, '\n': -6.072863, ' A': -6.759042, ' ': -7.27551}
{' Yes': -0.10952071, ' Bears': -3.2502773, ' Generally': -3.8273494, '\n': -3.941052, ' No': -4.4411473}
{' Yes': -0.13097492, ' No': -3.107463, '\n': -3.5633955, ' Bears': -3.7533998, ' Generally': -4.2021}
{' Yes': -0.11642858, '\n': -3.1605587, ' Generally': -3.696148, 'Yes': -4.0196533, ' ': -4.6043644}
{' Yes': -0.089899726, '\n': -3.433215, 'Yes': -4.0096, ' Generally': -4.3793645, ' ': -4.904448}
{' Yes': -0.2845087, '\n': -1.930381, ' Bears': -3.6746166, ' Generally': -3.6921206, ' ': -3.976588}
{' Yes': -0.50631326, '\n': -1.4192427, ' No': -3.1140687, ' Generally': -3.278444, ' Bears': -3.6475961}
{' Yes': -0.077403724, '\n': -3.581844, 'Yes': -4.181442, ' A': -4.5758796, ' Generally': -4.8520484}
{' Yes': -0.09850072, '\n': -3.073814, 'Yes': -3.8115172, ' A': -4.6186843, ' ': -4.8033}
{' Yes': -0.4669394, ' Bears': -1.710069, '\n': -2.3903708, ' No': -3.0335782, ' Generally': -3.9569335}
{' Yes': -0.2014138, '\n': -2.5086286, ' Bears': -2.8790832, ' No': -4.3280272, 'Yes': -4.387033}
{' Yes': -0.027465405, '\n': -4.541841, ' ': -5.3411474, 'Yes': -5.401801, ' Generally': -5.813087}
{' Yes': -0.018805353, '\n': -5.1684575, 'Yes': -5.325751, ' ': -5.8958592, ' A': -5.9675913}
{' Yes': -0.43390793, ' Bears': -1.5442957, '\n': -2.6688535, ' Generally': -3.5677197, ' ': -4.0838847}
{' Yes': -0.2233327, ' Bears': -2.5790343, ' No': -2.9870102, '\n': -3.2526636, ' Generally': -4.0558214}
{' Yes': -0.1298482, ' No': -2.7526183, 'Yes': -3.8935122, '\n': -4.224258, ' A': -4.836063}
{' Yes': -0.04885111, 'Yes': -3.789522, '\n': -4.71085, ' A': -4.996935, ' ': -5.5522118}
{' Yes': -0.15675111, ' Bears': -2.890136, ' No': -3.3027184, '\n': -4.0229526, 'Yes': -4.2648478}
{' Yes': -0.11007224, ' No': -3.003751, 'Yes': -3.9708204, ' Bears': -4.0745153, '\n': -4.6891184}
{' Yes': -0.050441094, '\n': -4.4722414, 'Yes': -4.6591125, ' ': -4.8641634, ' Generally': -5.0228596}
{' Yes': -0.037347294, 'Yes': -4.5910277, '\n': -4.7916408, ' A': -5.236362, ' ': -5.3258815}
{' Yes': -0.13241863, ' Bears': -3.2282264, '\n': -3.7640712, ' Generally': -4.2954397, ' ': -4.3870344}
{' Yes': -0.13622487, ' Bears': -3.3795853, '\n': -3.4545422, ' Generally': -4.181452, 'Yes': -4.403656}
{' Yes': -0.07803906, ' Generally': -3.3428915, ' No': -3.6628778, 'Yes': -5.4153533, ' A': -5.638107}
{' Yes': -0.8146311, ' No': -0.92795616, ' Generally': -2.7238185, ' It': -3.0602612, ' A': -4.068987}
{' Yes': -0.23803912, ' No': -2.0247135, ' P': -3.1316545, ' Generally': -4.0512314, 'Yes': -4.7512016}
{' Yes': -0.17951056, ' No': -2.289078, ' P': -3.7124999, ' Generally': -4.1230016, 'Yes': -4.7491765}
{' Yes': -0.059735045, ' Generally': -3.730973, ' No': -4.305884, 'Yes': -4.312205, ' A': -6.4342976}
{' No': -1.0084016, ' Yes': -1.1133095, ' Generally': -1.9276904, ' It': -2.7884612, 'No': -3.3775268}
{' Yes': -0.13288628, ' No': -3.0230362, ' P': -3.5218365, 'Yes': -3.788564, ' Generally': -4.3550653}
{' Yes': -0.12210412, ' No': -2.8196328, 'Yes': -3.8448749, ' Generally': -4.674964, ' P': -4.770303}
{' Yes': -0.040327124, 'Yes': -4.109207, ' No': -4.300146, '\n': -5.7522564, ' Generally': -6.0226817}
{' Yes': -0.8171299, ' No': -0.8388546, 'No': -3.453385, ' Generally': -3.5061536, ' It': -3.7519348}
{' Yes': -0.09327218, ' No': -3.469581, 'Yes': -3.6021717, ' P': -3.920209, '\n': -5.58348}
{' Yes': -0.7069355, ' No': -0.9511124, 'No': -3.371324, ' P': -3.8853984, ' It': -3.929008}
{' Yes': -0.1577366, ' No': -2.3934371, ' Generally': -3.3430889, ' A': -4.9554086, 'Yes': -5.4247007}
{' No': -0.46420142, ' Yes': -1.2580361, ' Generally': -3.340317, 'No': -3.6146684, ' A': -4.796496}
{' Yes': -0.7787262, ' P': -1.3890929, ' No': -1.5959048, ' Generally': -2.9902225, 'No': -4.347862}
{' No': -0.7722047, ' Yes': -0.843448, ' P': -3.3697655, 'No': -3.425357, ' Generally': -4.236743}
{' Yes': -0.29335555, ' No': -1.9677883, ' Generally': -3.0925555, 'Yes': -4.0717673, 'No': -4.3433795}
{' No': -0.1959168, 'No': -2.5999084, ' Generally': -3.6248565, ' Yes': -3.710313, ' It': -3.755384}
{' Yes': -0.6003683, ' No': -1.184328, ' P': -2.9130418, 'No': -3.2142258, 'Yes': -3.6791337}
{' No': -0.22228499, 'No': -2.2622898, ' Yes': -3.5251682, ' It': -4.1649194, ' P': -4.425696}
{' Yes': -0.045638457, ' Generally': -4.0650783, 'Yes': -4.4461546, ' No': -4.9431963, ' A': -5.7878084}
{' No': -0.67826945, ' Yes': -1.3794109, ' Generally': -2.2261343, 'No': -3.266847, ' A': -3.6529891}
{' Yes': -0.078128695, 'Yes': -3.5018327, ' No': -4.1008906, ' P': -4.152254, ' Generally': -5.004415}
{' Yes': -0.28367895, ' No': -1.9757031, ' P': -3.68048, 'Yes': -3.7471013, 'No': -4.0184503}
{' Yes': -0.03624965, ' No': -3.7874053, 'Yes': -5.5053673, ' Generally': -6.2806, '\n': -6.2984467}
{' Yes': -0.67108816, ' No': -0.79378414, ' It': -4.0192614, 'No': -5.550961, ' Generally': -5.664405}
{' Yes': -0.08661431, ' No': -2.6315646, '\n': -5.6789436, ' P': -5.8343005, 'Yes': -5.872003}
{' Yes': -0.17297707, ' No': -1.8962092, 'Yes': -5.8615866, ' P': -6.4379096, '\n': -6.558782}
{' Yes': -0.78471935, ' No': -0.9744624, ' A': -3.2572343, 'No': -3.46788, '\n': -3.5899808}
{' No': -0.24901366, 'No': -2.7685087, ' It': -2.982803, ' A': -3.6154783, '\n': -3.6505122}
{' Yes': -0.14938305, ' No': -2.459022, 'Yes': -3.826566, ' P': -3.9477496, 'No': -5.30907}
{' Yes': -0.07696473, ' No': -3.2553701, 'Yes': -3.695182, ' P': -5.5778723, 'No': -5.9358797}
{' No': -0.9160275, ' Yes': -1.2257544, '\n': -1.7670275, ' A': -2.9977553, 'No': -3.2142184}
{' No': -0.18739584, '\n': -2.576615, 'No': -2.6603172, ' ': -4.405148, ' A': -4.8504605}
{' No': -0.5828489, '\n': -1.6860557, ' Yes': -1.8776011, 'No': -3.0115483, ' ': -3.8143322}
{' No': -0.5212381, ' Yes': -1.8446385, '\n': -1.9250525, 'No': -2.8780324, ' ': -3.881811}
{' Yes': -0.39641893, ' No': -1.2146333, ' A': -4.5050426, ' It': -5.3559484, 'No': -5.3835235}
{' No': -0.15302835, ' It': -2.3955915, 'No': -3.6453016, ' Yes': -4.819172, ' A': -5.283861}
{' No': -0.5473306, ' Yes': -1.0197256, ' P': -3.2502096, 'No': -4.331617, 'Yes': -5.3548713}
{' Yes': -0.10987743, ' No': -2.458905, 'Yes': -4.5793123, ' P': -5.320487, 'No': -6.215661}
{' No': -0.64750427, ' Yes': -1.6595395, 'No': -2.1884246, '\n': -2.544681, ' A': -3.1369028}
{' No': -0.24243478, 'No': -1.9199173, '\n': -3.335784, ' A': -4.3835363, ' ': -4.458846}
{' No': -0.47424138, 'No': -1.921963, ' Yes': -2.2608757, '\n': -2.8129654, ' P': -3.5238686}
{' No': -0.32409683, 'No': -1.4635335, '\n': -3.8141553, ' Yes': -4.831297, ' ': -4.8925915}
{' Yes': -0.10580395, ' No': -3.2694316, ' A': -4.332023, 'Yes': -4.46493, ' Generally': -4.5550256}
{' No': -0.66179353, ' Yes': -1.2692689, ' A': -2.839213, ' It': -3.0383232, 'No': -3.681464}
{' Yes': -0.081093445, 'Yes': -3.6755717, ' No': -3.9589067, ' P': -4.0621057, '\n': -5.2582994}
{' Yes': -0.046790604, 'Yes': -3.7665627, ' No': -4.5483527, ' yes': -5.5887403, ' P': -5.638108}
{' Yes': -0.16467346, ' No': -2.6930108, ' Generally': -3.5075634, 'Yes': -3.9191558, ' A': -4.5432563}
{' No': -0.5361115, ' Yes': -1.6306472, 'No': -2.6495395, ' It': -3.291593, ' Generally': -3.3175216}
{' Yes': -0.4427023, ' No': -1.5302132, 'Yes': -3.0910692, 'No': -3.1581507, ' P': -3.5608234}
{' No': -0.91341525, ' Yes': -0.94136184, 'No': -2.244056, 'Yes': -3.4728692, ' P': -3.6488087}
{' Yes': -0.6993341, ' No': -0.92182636, 'No': -2.6013079, 'Yes': -3.7266798, ' Generally': -6.02225}
{' No': -0.2739937, 'No': -1.4651939, ' It': -5.3855805, ' Yes': -6.627223, ' Generally': -7.116245}
{' Yes': -0.31506935, ' No': -1.7275716, 'Yes': -2.981119, 'No': -3.3401318, ' P': -5.3684597}
{' No': -0.36156732, 'No': -1.7842184, ' Yes': -2.1539657, 'Yes': -4.599192, ' It': -5.8209453}
{' Yes': -0.08536421, 'Yes': -3.3130803, ' No': -3.3449275, 'No': -5.272919, ' yes': -6.239382}
{' No': -0.2552568, 'No': -1.8048232, ' Yes': -2.9562702, 'Yes': -5.4494495, ' It': -6.3364296}
{' Yes': -0.21051545, 'Yes': -2.3373046, ' No': -2.68041, 'No': -3.893354, ' P': -6.056014}
{' No': -0.74715066, ' Yes': -1.097729, 'No': -1.9394057, 'Yes': -3.069214, ' ': -7.5390983}
{' Yes': -0.62708193, ' No': -0.81172097, 'No': -4.4515142, 'Yes': -5.0084543, ' Generally': -6.709191}
{' No': -0.053670216, 'No': -3.1818666, ' Yes': -5.012832, ' It': -6.419114, ' Generally': -7.2567434}
{' Yes': -0.33261186, ' No': -1.4688519, 'Yes': -3.7748096, 'No': -3.9766777, ' P': -4.775243}
{' Yes': -0.67675143, ' No': -0.81608325, 'No': -3.470809, 'Yes': -4.141904, ' Generally': -7.2543163}
{' No': -0.6633556, 'No': -1.1674011, ' Yes': -2.1508644, 'Yes': -3.8813198, ' P': -4.4056535}
{' No': -0.64240646, 'No': -0.7982998, ' It': -4.7341404, '\n': -5.587427, ' Yes': -6.255817}
{' No': -0.87521476, 'No': -1.1041614, ' Yes': -1.920831, 'Yes': -3.1282928, ' P': -3.2079499}
{' No': -0.6334011, 'No': -0.8597805, ' Yes': -3.9452202, 'Yes': -5.110757, ' It': -5.2626657}
{' Yes': -0.8137982, ' No': -1.1109992, ' P': -2.1894639, 'No': -3.0999691, 'Yes': -3.877487}
{' No': -0.27201492, 'No': -1.6014502, ' P': -4.2153645, ' Yes': -4.9766836, '\n': -4.982161}
{' Yes': -0.33054277, ' No': -1.9908001, 'Yes': -2.50653, 'No': -3.1753342, ' P': -4.097844}
{' No': -0.3439673, 'No': -1.3156354, ' Yes': -4.0770087, 'Yes': -5.8516765, ' Bears': -7.0106797}
{' Yes': -0.03225061, ' yes': -3.6287944, 'Yes': -5.959084, ' ': -7.0770845, ' No': -7.3075337}
{' Yes': -0.03231666, ' No': -3.8704302, ' yes': -5.159092, 'Yes': -6.014248, ' ': -6.646847}
{' Yes': -0.010684404, ' No': -5.3029876, ' yes': -5.6860747, 'Yes': -6.476613, ' P': -8.10286}
{' Yes': -0.006259124, ' yes': -6.0368943, 'Yes': -6.1432385, ' No': -6.6547303, ' ': -8.67618}
{' Yes': -0.1609342, ' No': -2.7270048, 'Yes': -3.9599338, ' Generally': -4.1780314, ' A': -4.434938}
{' No': -0.38917276, ' It': -2.16422, 'No': -2.556701, ' Yes': -2.7574189, '\n': -4.0344305}
{' Yes': -0.11609655, ' No': -2.7945786, 'Yes': -3.5333328, 'No': -5.1883354, ' P': -5.3445644}
{' Yes': -0.0642089, 'Yes': -3.364948, ' No': -3.9783533, ' yes': -5.747295, 'No': -6.2042594}
{' Yes': -0.44559446, '\n': -1.6150566, ' No': -2.6028764, 'Yes': -3.319244, ' ': -4.2312484}
