{' Yes': -0.0025378054, 'Yes': -6.061555, ' yes': -9.673789, '\n': -9.904489, ' Spider': -10.603524}
{' Yes': -0.4337298, ' No': -1.0519339, 'Yes': -6.753376, 'No': -7.297932, ' Twelve': -8.222109}
{' Yes': -0.0037331725, 'Yes': -5.932024, ' No': -7.507143, ' She': -8.103634, '\n': -9.490059}
{' Yes': -0.0036062268, 'Yes': -5.792571, ' No': -8.297921, ' She': -9.331981, ' YES': -9.520964}
{' Yes': -0.0032851018, 'Yes': -5.9461617, ' YES': -8.354197, ' No': -8.868097, ' yes': -9.128626}
{' Yes': -0.0038813194, 'Yes': -5.938989, ' No': -7.122373, ' YES': -8.712242, ' yes': -9.050491}
{' Yes': -0.014223732, ' No': -4.4267335, 'Yes': -6.258129, ' yes': -9.855152, ' Sunset': -10.001508}
{' Yes': -0.0057205376, 'Yes': -5.8465652, ' No': -6.116503, ' Sunset': -8.0517435, ' Sun': -9.380247}
{' Yes': -0.006771835, ' No': -5.1126924, 'Yes': -7.286028, '\n': -11.365325, ' yes': -11.445889}
{' Yes': -0.3266843, ' No': -1.3396887, ' Minute': -4.3279185, 'Yes': -6.468532, 'No': -7.377243}
{' Yes': -0.001036658, 'Yes': -6.967509, ' No': -10.363904, ' Car': -10.528083, ' yes': -11.016135}
{' Yes': -0.006901943, ' Car': -5.7931437, 'Yes': -5.8964267, ' No': -7.1127467, ' yes': -9.303828}
{' Yes': -0.11091525, ' No': -2.3524601, ' Wa': -5.062548, 'Yes': -6.3235955, ' Water': -7.59495}
{' Yes': -0.0115320515, ' No': -4.8777814, 'Yes': -6.2904644, ' Water': -6.893726, ' Wa': -7.7263756}
{' Yes': -0.04859021, ' No': -3.0929189, 'Yes': -6.52653, '\n': -8.775326, 'No': -8.787382}
{' Yes': -0.2566428, ' No': -1.4973788, 'Yes': -6.7128143, 'No': -7.2715487, '\n': -8.207565}
{' Yes': -0.12313557, ' Length': -2.559617, ' No': -3.3046637, 'Yes': -6.6223607, 'Length': -8.704846}
{' Yes': -0.14343634, ' No': -2.1757355, ' Length': -4.0144157, 'Yes': -6.769279, ' Nope': -7.9041457}
{' Yes': -0.00090957596, 'Yes': -7.3064666, ' No': -8.778763, ' yes': -10.172892, '\n': -10.960312}
{' Yes': -0.0007163003, 'Yes': -7.314252, ' yes': -10.688188, ' YES': -11.245438, '\n': -12.066383}
{' Yes': -0.003587802, ' France': -6.30125, 'Yes': -6.5793476, ' No': -9.017462, ' yes': -9.176672}
{' Yes': -0.0030078408, 'Yes': -6.425903, ' No': -6.7524524, ' yes': -9.389037, ' YES': -10.125533}
{' Yes': -0.09596821, ' No': -2.5182855, ' Muscle': -4.987249, ' Mus': -6.2598414, 'Yes': -6.4738917}
{' Yes': -0.35031918, ' Muscle': -1.9944707, ' No': -2.1087344, ' Mus': -3.458727, 'Yes': -6.018089}
{' Yes': -0.20016417, ' Empire': -1.7645123, ' Emperor': -5.3431125, ' No': -6.2151976, ' Em': -6.4593725}
{' Empire': -0.65496373, ' Yes': -0.80022174, ' Em': -4.279664, ' Emperor': -4.711753, ' No': -5.0533442}
{' No': -0.26012743, ' Yes': -1.6970819, ' Kid': -3.2494287, 'No': -6.0668764, ' Nope': -6.288867}
{' No': -0.0462584, ' Yes': -3.1984913, 'No': -5.727103, ' Nope': -7.100587, 'Yes': -8.746186}
{' Yes': -0.0055594733, ' Hunger': -5.451116, 'Yes': -6.843751, ' No': -9.911677, ' YES': -10.313336}
{' Yes': -0.0026108306, ' No': -6.7894373, ' Hunger': -7.254081, 'Yes': -7.2739363, ' YES': -10.7582035}
{' Yes': -0.00087527203, 'Yes': -7.235555, ' No': -9.0578785, ' yes': -10.805748, ' YES': -11.400852}
{' Yes': -0.09382164, ' No': -2.4610188, 'Yes': -5.8377733, 'No': -8.063125, ' Nope': -8.341657}
{' Yes': -0.04448556, ' No': -3.3176541, ' Dagger': -5.762199, 'Yes': -5.9196324, ' yes': -7.583915}
{' Yes': -0.12359706, ' No': -2.1905468, 'Yes': -5.8944554, ' Dagger': -7.304966, 'No': -8.109601}
{' Yes': -0.08128524, ' No': -2.5728931, 'Yes': -6.524644, 'No': -8.812912, ' yes': -9.797259}
{' Yes': -0.0068447506, ' No': -5.3650637, 'Yes': -6.497657, ' Direct': -7.937426, ' yes': -9.862547}
{' Yes': -0.35098195, ' No': -1.224317, 'Yes': -6.7588086, 'No': -7.7047715, ' yes': -9.301041}
{' Yes': -0.07535946, ' No': -2.6452923, 'Yes': -6.6715145, 'No': -9.312685, ' yes': -9.366465}
{' Yes': -0.481725, ' No': -0.9983915, ' Office': -5.416604, ' Nope': -5.8891478, ' Off': -5.9622335}
{' Yes': -0.09333651, ' No': -2.9259875, ' Office': -3.759987, 'Yes': -5.4988823, ' Off': -5.6694255}
{' No': -0.33992097, ' Yes': -1.3062639, ' Behind': -4.306042, 'No': -6.076766, 'Yes': -7.300674}
{' Yes': -0.50077397, ' Behind': -1.2181127, ' No': -2.4907222, 'Yes': -5.4808307, ' Beh': -6.4783854}
{' Yes': -0.119367905, ' Thread': -2.6258776, ' No': -3.2891178, 'Yes': -6.586716, 'Thread': -7.5719695}
{' Yes': -0.07838046, ' Thread': -3.0717885, ' No': -3.6293237, 'Yes': -6.9082756, 'Thread': -8.062812}
{' Yes': -0.6256162, ' No': -0.8749582, ' Issue': -3.7711334, '\n': -5.016432, 'Yes': -5.558735}
{' Yes': -0.22404836, ' No': -1.6429536, 'Yes': -5.5384555, '\n': -7.123256, 'No': -7.4988966}
{' Yes': -0.014122408, ' No': -4.4249825, 'Yes': -6.570477, ' Sure': -7.7924237, '\n': -9.43738}
{' Yes': -0.015517524, ' No': -4.783769, ' Sure': -5.553668, 'Yes': -6.0788984, ' Sau': -8.382687}
{' No': -0.49926743, ' Yes': -0.94917285, 'Yes': -6.133256, ' Fl': -6.4053435, 'No': -6.656505}
{' No': -0.57784414, ' Yes': -0.8322616, 'Yes': -6.1023116, 'No': -6.760129, ' Nope': -9.342719}
{' Yes': -0.085879385, ' No': -2.5811796, 'Yes': -5.5850267, ' Sne': -6.2525434, 'No': -8.500381}
{' Yes': -0.04153979, ' No': -3.2755275, 'Yes': -5.96516, 'No': -9.570997, ' yes': -9.793339}
{' Yes': -0.025111288, ' Better': -3.864331, 'Yes': -5.8737955, ' No': -7.8414025, ' YES': -8.848587}
{' Yes': -0.0075869155, ' Better': -5.6929793, 'Yes': -5.969342, ' No': -6.8509307, ' yes': -8.78794}
{' Yes': -0.01246895, ' No': -4.4675393, 'Yes': -7.1907067, ' Purple': -9.353973, ' yes': -10.475855}
{' Yes': -0.035391603, ' No': -3.4147766, ' Purple': -6.995739, 'Yes': -7.1766396, ' yes': -9.981951}
{' Yes': -0.018198239, ' Animal': -4.351818, 'Yes': -5.721288, ' No': -6.4406543, ' yes': -9.148307}
{' Yes': -0.09545875, ' Animal': -2.574289, ' No': -4.6670203, 'Yes': -5.435228, 'Animal': -8.513541}
{' Hel': -0.055423137, ' Yes': -3.1115868, 'Helper': -5.617121, ' Help': -6.202398, ' helper': -6.463455}
{' Yes': -0.5423563, ' Hel': -0.8947924, ' Help': -6.200766, ' No': -6.3273015, 'Yes': -6.407354}
{' Yes': -0.020062229, ' No': -3.970673, 'Yes': -7.1250095, ' Winter': -9.768667, ' yes': -10.007286}
{' Yes': -0.0009735328, 'Yes': -7.0659604, ' No': -9.971096, ' yes': -10.642466, ' YES': -10.660707}
{' Yes': -0.0064547937, ' No': -5.867586, 'Yes': -6.062315, ' Branch': -6.8703365, ' yes': -9.485086}
{' Yes': -0.016056038, ' No': -5.0084248, ' Branch': -5.3899193, 'Yes': -5.536409, ' yes': -8.474133}
{' Yes': -0.024058992, ' Pretty': -4.288984, ' No': -5.130838, 'Yes': -5.710843, ' Pre': -8.24483}
{' Yes': -0.017365243, ' No': -4.27056, 'Yes': -5.965832, ' Pretty': -7.867127, '\n': -9.682628}
{' Ignore': -0.8990042, ' Yes': -1.1877254, ' No': -1.2823318, ' Ign': -4.744396, 'Ign': -7.5757174}
{' No': -0.22765404, ' Yes': -1.7291683, ' Ignore': -3.8006823, ' Ign': -5.8787174, 'No': -7.7682667}
{' Yes': -0.23890431, ' Divide': -2.1231167, ' No': -2.4033787, 'Yes': -6.7263627, ' Div': -7.4538717}
{' Divide': -0.6478513, ' Yes': -0.80565, ' No': -3.7177227, ' Div': -5.6239557, 'Yes': -7.179254}
{' Yes': -0.097629406, ' Hammer': -2.3921087, 'Yes': -6.655479, ' No': -9.635983, ' YES': -10.184601}
{' Yes': -0.04529413, ' Hammer': -3.153889, 'Yes': -6.882177, ' No': -8.257217, ' Ham': -9.499206}
{' Yes': -0.0019057224, 'Yes': -6.6298337, ' No': -7.621256, '\n': -10.659681, ' YES': -10.748841}
{' Yes': -0.0025575254, 'Yes': -6.584526, ' No': -6.8661, ' yes': -10.151436, '\n': -10.162725}
{' No': -0.46637347, ' Yes': -1.0034924, 'No': -5.64479, 'Yes': -6.3223286, '\n': -8.355426}
{' Yes': -0.45398825, ' No': -1.02168, 'Yes': -5.9585924, 'No': -6.3266225, '\n': -8.779955}
{' Yes': -0.012721196, ' Ex': -4.7755365, 'Yes': -6.1075735, ' No': -6.4040174, ' yes': -9.262987}
{' Yes': -0.42839178, ' No': -1.1275744, ' Ex': -3.907451, 'Yes': -6.7317276, ' Nope': -6.738055}
{' Yes': -0.0027960476, ' Dollar': -6.7660804, ' No': -7.1202235, 'Yes': -7.207515, ' yes': -10.076802}
{' Yes': -0.0019435848, ' No': -6.920845, 'Yes': -7.0392623, ' yes': -10.391468, ' Dollar': -11.403726}
{' Yes': -0.1369406, ' Planet': -2.092837, 'Yes': -6.1068635, ' No': -6.4664, 'Planet': -8.131664}
{' Yes': -0.432013, ' Planet': -1.1336026, ' No': -3.700701, 'Yes': -6.0082507, 'Planet': -7.0862064}
{' Yes': -0.011024606, ' No': -4.8808384, 'Yes': -5.921123, ' Car': -8.079758, ' C': -9.054766}
{' Yes': -0.013234154, ' No': -5.043761, 'Yes': -5.6749735, ' Car': -5.9348855, ' yes': -8.69621}
{' Yes': -0.002838605, 'Yes': -6.2628083, ' Ass': -7.744057, ' No': -7.962345, ' YES': -10.0179615}
{' Yes': -0.02167055, ' No': -4.174342, 'Yes': -5.8347883, ' Ass': -5.993029, '\n': -8.746699}
{' Circ': -1.1571518, ' No': -1.4234862, ' Yes': -1.4385924, ' Cir': -2.248941, ' Circus': -2.362789}
{' Circ': -0.6959593, ' Circus': -1.8175547, ' Cir': -2.0864203, ' No': -2.1474497, ' Yes': -2.4329016}
{' Yes': -0.019048449, ' No': -4.414327, 'Yes': -5.6363087, ' Bal': -7.4721627, ' Ball': -7.7526956}
{' Yes': -0.028110048, ' No': -4.044748, 'Yes': -5.508616, ' Bal': -6.6649284, ' Bullet': -6.979008}
{' Yes': -0.021264669, ' Finger': -4.3722034, ' No': -5.00192, 'Yes': -6.5772333, ' yes': -9.636792}
{' Yes': -0.054021843, ' Finger': -3.3896174, ' No': -4.114309, 'Yes': -6.483873, ' F': -8.078075}
{' Yes': -0.044432968, ' Law': -3.2752964, 'Yes': -5.602521, ' No': -6.9135222, ' yes': -8.095967}
{' Yes': -0.09694145, ' No': -2.838545, ' Law': -3.7076688, 'Yes': -5.236233, 'Law': -7.114787}
{' Yes': -0.022482019, ' No': -4.4272575, ' Smooth': -4.9237366, 'Yes': -5.96335, ' Sm': -9.098793}
{' Yes': -0.042036973, ' No': -3.3674228, ' Smooth': -5.646195, 'Yes': -5.9957547, ' Sm': -8.809291}
{' Yes': -0.17533287, ' Cancer': -2.06941, ' No': -3.4940963, 'Yes': -5.9832377, ' Cance': -7.640588}
{' No': -0.6633025, ' Yes': -0.7478382, ' Cancer': -4.946639, 'No': -6.4215546, 'Yes': -6.536151}
{' Yes': -0.014554011, ' Sc': -4.774195, 'Yes': -5.402875, ' yes': -7.9027996, ' No': -8.067767}
{' Yes': -0.016124723, ' Sc': -4.517296, 'Yes': -5.660391, ' No': -7.456566, ' yes': -8.352347}
{' Yes': -0.4290494, ' No': -1.0592868, 'Yes': -6.7098145, 'No': -7.3636475, '\n': -9.09296}
{' Yes': -0.3490335, ' No': -1.233019, 'Yes': -6.2116604, 'No': -7.14274, ' Nope': -8.778656}
{' Yes': -0.22959772, ' No': -1.6218878, ' Ex': -5.527516, 'Yes': -6.3469105, '\n': -7.1028185}
{' Yes': -0.55465555, ' No': -0.8627877, 'Yes': -6.776558, '\n': -6.8814626, 'No': -7.131779}
{' Yes': -0.47024012, ' No': -0.98352283, 'Yes': -7.4374657, 'No': -7.822317, ' Nope': -9.512997}
{' No': -0.61737084, ' Yes': -0.77790093, 'No': -7.3711696, 'Yes': -7.667482, ' Nope': -9.681337}
{' Yes': -0.5892923, ' No': -0.8190611, 'No': -6.5569377, 'Yes': -6.571447, ' Cowboy': -7.564459}
{' Yes': -0.31682333, ' Cowboy': -2.0897686, ' No': -2.383651, ' Cow': -3.48614, ' Cowboys': -3.9905388}
{' Yes': -0.2416421, ' No': -1.595932, ' Finish': -4.764805, 'Yes': -6.1262054, 'No': -7.405979}
{' Finish': -0.65398926, ' Yes': -0.89095247, ' No': -3.3766472, ' Finnish': -4.40579, ' Fish': -4.948328}
{' Yes': -0.15663274, ' No': -1.9857497, ' Puzzle': -5.83357, 'Yes': -5.8827696, 'No': -7.7853527}
{' Yes': -0.29870787, ' No': -1.372074, 'Yes': -6.1342635, 'No': -7.247417, ' Puzzle': -7.3746085}
{' Yes': -0.004227354, ' Repeat': -5.8436856, 'Yes': -6.78702, ' No': -9.411172, ' Repe': -10.221774}
{' Yes': -0.0022504772, ' Repeat': -6.9661384, 'Yes': -7.2068934, ' No': -7.665584, ' Repe': -10.2181015}
{' Yes': -0.0067807166, ' Spider': -5.405779, 'Yes': -6.326492, ' yes': -8.608946, ' YES': -8.998075}
{' Yes': -0.0010246639, 'Yes': -7.1187916, ' No': -9.582913, ' YES': -10.253893, ' Spider': -10.294157}
{' Yes': -0.005332516, ' Candle': -5.654458, 'Yes': -6.9242167, ' Cand': -7.9842257, ' No': -8.843343}
{' Yes': -0.008820297, ' Candle': -5.190455, 'Yes': -6.661774, ' Cand': -6.9405375, ' YES': -8.366423}
{' Yes': -0.005207044, ' Thr': -6.4026365, 'Yes': -6.4320307, ' Th': -6.9700603, ' No': -8.066336}
{' Yes': -0.0022817822, 'Yes': -6.4980206, ' No': -7.546253, ' yes': -9.013168, ' YES': -10.482602}
{' Yes': -0.009025911, ' Beach': -5.4655666, 'Yes': -6.157873, ' No': -6.3393292, ' yes': -8.415503}
{' Yes': -0.0015008507, 'Yes': -7.011691, ' No': -7.74253, ' yes': -9.572554, ' Beach': -10.466785}
{' Yes': -0.0007720111, 'Yes': -7.24585, ' yes': -10.522522, ' YES': -11.354305, ' No': -12.095966}
{' Yes': -0.0032045518, 'Yes': -6.551489, ' Flower': -6.5888295, ' yes': -8.895361, ' No': -9.129179}
{' Yes': -0.011532294, ' No': -4.60109, 'Yes': -6.68371, ' yes': -9.666397, ' YES': -10.692221}
{' Yes': -0.09313165, ' No': -2.440441, 'Yes': -6.531169, 'No': -8.705604, ' yes': -9.74448}
{' Yes': -0.35463738, ' No': -1.6781961, ' Indian': -2.3349745, ' India': -4.742975, 'Yes': -6.3999906}
{' Yes': -0.4898383, ' No': -1.04728, ' Indian': -3.5274413, ' India': -6.208607, 'Yes': -6.798115}
{' Yes': -0.16172053, ' Orange': -1.9180375, 'Yes': -6.9083037, ' No': -7.1945763, ' Sure': -8.124053}
{' Yes': -0.05443092, ' Orange': -2.9788253, 'Yes': -6.7053337, ' No': -7.6099916, ' Sure': -9.006814}
{' Yes': -0.0035716507, 'Yes': -6.209678, ' Hungry': -6.820071, ' No': -9.193009, ' YES': -9.297635}
{' Yes': -0.0037377204, ' No': -5.812199, 'Yes': -7.3093805, ' YES': -10.883686, ' yes': -11.001557}
{' Yes': -0.021327687, ' No': -4.0497184, ' Number': -6.4234824, 'Yes': -6.4253936, ' yes': -9.361363}
{' Yes': -0.101961516, ' No': -2.7401183, ' Number': -3.522055, 'Yes': -6.500525, ' Nope': -7.895179}
{' Yes': -0.49903014, ' Mirror': -1.4528991, ' No': -1.9281758, ' Mir': -4.820464, 'Yes': -6.566611}
{' Yes': -0.10699661, ' No': -2.316578, ' Mirror': -6.4967895, 'Yes': -7.30854, ' Mir': -8.046862}
{' Yes': -0.0006985241, 'Yes': -7.349951, ' yes': -10.696686, ' YES': -10.745625, 'yes': -12.555985}
{' Yes': -0.0011950243, 'Yes': -6.7959833, ' yes': -10.732316, ' YES': -10.855972, ' ': -11.281123}
{' Yes': -0.021819973, ' No': -4.967756, ' Pepper': -5.040855, 'Yes': -5.684295, ' Pe': -5.76382}
{' Yes': -0.029971173, ' No': -4.189292, ' Pepper': -5.145499, ' Pe': -5.658108, 'Yes': -5.7633843}
{' Yes': -0.0032938921, 'Yes': -5.993349, ' Cheese': -8.204215, ' No': -8.432258, ' Che': -9.761462}
{' Yes': -0.0010999034, 'Yes': -6.941701, ' No': -9.6389, ' yes': -11.030603, ' YES': -11.356597}
{' Yes': -0.015901418, ' No': -4.6249156, ' Nope': -6.080452, 'Yes': -6.208309, ' Yep': -6.8778725}
{' Yes': -0.021783117, ' No': -4.399852, ' Nope': -5.7921443, 'Yes': -5.9619737, ' Yep': -6.197262}
{' Yes': -0.14351058, ' Squ': -3.1895938, ' Sure': -3.2160907, ' Square': -3.2186828, ' No': -4.660911}
{' Squ': -0.9885975, ' Yes': -1.1649852, ' Sure': -1.5527072, ' Square': -2.3579385, ' No': -5.9727516}
{' Yes': -0.0008410892, 'Yes': -7.263595, ' Sure': -10.511029, ' yes': -10.684246, ' YES': -10.691303}
{' Yes': -0.0011151198, 'Yes': -7.0829124, ' No': -8.832404, ' YES': -10.554899, ' yes': -10.605388}
{' Yes': -0.004913737, 'Yes': -5.8392377, ' No': -6.7409935, ' Leaves': -7.7976937, ' yes': -8.847904}
{' Yes': -0.010045168, ' No': -5.221057, 'Yes': -5.6366053, ' Leaves': -8.249461, ' YES': -8.315393}
{' Yes': -0.014045091, ' Ending': -4.682695, 'Yes': -6.087066, ' No': -6.1201563, ' yes': -9.527495}
{' Yes': -0.5872826, ' Ending': -0.82790023, ' No': -5.6078987, 'Yes': -6.396469, ' End': -6.8817244}
{' Energy': -0.6441975, ' Yes': -0.75426674, 'Yes': -6.546532, 'Energy': -6.605648, ' energy': -7.8370953}
{' Yes': -0.14950301, ' Energy': -2.013427, 'Yes': -6.390162, ' No': -6.617091, ' Absolutely': -7.58025}
{' Yes': -0.0011244303, 'Yes': -7.1919737, ' Father': -8.436477, ' yes': -9.70745, ' YES': -10.182415}
{' Yes': -0.0011045581, 'Yes': -7.13969, ' Father': -8.4726715, ' yes': -10.39481, ' No': -10.623593}
{' Yes': -0.043895792, ' No': -3.2227325, 'Yes': -6.372822, ' Pen': -7.130169, ' yes': -8.520462}
{' Yes': -0.0038622904, 'Yes': -6.480075, ' No': -6.498222, ' Pen': -7.7185416, ' yes': -8.714571}
{' Yes': -0.16412954, ' Street': -1.9027159, 'Yes': -6.5498276, ' yes': -8.356121, ' YES': -8.741026}
{' Yes': -0.0014656343, 'Yes': -6.6867647, ' YES': -9.801988, ' No': -9.814158, ' yes': -10.140949}
{' Yes': -0.0008548122, 'Yes': -7.462788, ' Strong': -8.390024, ' yes': -10.697033, ' YES': -10.813774}
{' Yes': -0.082981825, ' Strong': -2.5466735, 'Yes': -7.0203342, ' yes': -9.114668, 'Strong': -9.458958}
{' Yes': -0.26852039, ' Seller': -1.4573077, 'Yes': -6.9048386, ' No': -7.6576324, ' yes': -8.031648}
{' Yes': -0.030552655, ' Seller': -3.558911, 'Yes': -7.0838747, ' yes': -7.911246, ' YES': -8.61984}
{' Yes': -0.006070027, ' Bl': -6.091023, ' No': -6.1786118, 'Yes': -6.6846547, ' yes': -8.891652}
{' Yes': -0.086646035, ' Bl': -2.912139, ' No': -3.8036222, 'Yes': -6.1101403, ' Bond': -6.753785}
{' Yes': -0.001043817, 'Yes': -7.074274, ' No': -9.377968, ' yes': -10.175949, ' ': -10.843352}
{' Yes': -0.010767186, ' B': -5.322031, 'Yes': -6.1292953, ' Bor': -6.753132, ' Borough': -7.8308325}
{' Yes': -0.000698404, 'Yes': -7.3731136, ' yes': -10.486893, ' YES': -10.929749, ' No': -11.012394}
{' Yes': -0.015423033, ' No': -5.172323, ' Prince': -5.3988686, 'Yes': -5.8817577, ' Princess': -7.484901}
{' Yes': -0.004962136, ' Parent': -6.1282926, 'Yes': -6.2914605, ' No': -8.4353075, ' YES': -8.598155}
{' Yes': -0.044332217, ' Parent': -3.263015, 'Yes': -5.9569445, ' Parents': -7.3480873, ' No': -7.977929}
{' Yes': -0.0010273485, 'Yes': -7.0155497, ' yes': -10.122449, ' YES': -10.203519, ' Super': -11.326493}
{' Yes': -0.00069924124, 'Yes': -7.403653, ' YES': -10.583309, ' yes': -10.827917, ' Super': -11.160083}
{' Yes': -0.0052776285, ' No': -6.1459575, ' Weight': -6.5554557, 'Yes': -6.5779467, ' We': -9.557163}
{' Yes': -0.03129442, ' No': -3.5267797, 'Yes': -7.318484, ' Nope': -7.656733, ' Yep': -10.103094}
{' Yes': -0.0037804393, 'Yes': -5.781164, ' No': -8.045388, ' YES': -9.209639, ' Stars': -9.28882}
{' Yes': -0.22856064, ' St': -2.128541, ' Stars': -2.7099943, 'Yes': -4.818036, ' No': -5.9206233}
{' Yes': -0.0019101406, 'Yes': -6.6733556, ' Doctor': -7.730953, ' yes': -8.931911, ' YES': -10.677624}
{' Yes': -0.004600517, ' Doctor': -5.981685, 'Yes': -6.4143977, ' No': -8.601755, ' yes': -8.950527}
{' Yes': -0.69821227, ' No': -0.8489347, ' Rot': -3.334662, ' R': -3.8824303, 'Yes': -5.8676987}
{' No': -0.65986943, ' Yes': -0.83797187, ' Rot': -3.9844706, ' R': -4.580058, ' Nope': -5.5281525}
{' Yes': -0.12691328, ' Tennis': -2.3314536, ' Tenn': -5.0471, ' Ten': -5.179758, ' No': -5.181446}
{' Yes': -0.1055899, ' Tennis': -2.5676546, ' No': -4.7973375, ' Tenn': -5.002118, ' Ten': -5.6082273}
{' Yes': -0.037470307, ' Bucket': -3.6292632, ' No': -5.1810174, 'Yes': -5.739104, ' Buck': -7.5090547}
{' Yes': -0.12780896, ' Bucket': -2.234548, ' Buck': -5.3555384, 'Yes': -5.6526704, ' No': -5.830714}
{' Yes': -0.030011524, ' States': -3.8129609, 'Yes': -5.564057, ' No': -6.666418, ' St': -6.7115774}
{' Yes': -0.04352523, ' States': -3.4214222, 'Yes': -5.2827735, ' St': -6.2500496, ' No': -6.3594303}
{' Yes': -0.00328247, 'Yes': -6.214647, ' No': -8.315696, ' Y': -8.784589, ' YES': -8.846458}
{' Yes': -0.002861798, 'Yes': -6.4463735, ' No': -7.097804, ' Yep': -9.276689, ' Nope': -9.8342}
{' Yes': -0.02367137, ' In': -4.5571737, ' No': -4.884242, 'Yes': -5.627059, ' Breat': -7.9532037}
{' No': -0.22829032, ' Yes': -1.7394313, ' Nope': -4.2574954, ' In': -5.3459363, 'No': -5.6764426}
{' Yes': -0.03490203, ' Loving': -3.514453, 'Yes': -6.3507457, ' Lov': -6.534028, ' YES': -7.888379}
{' Yes': -0.0019173673, 'Yes': -6.6203556, ' YES': -8.706663, ' Loving': -9.02399, ' yes': -9.542124}
{' Yes': -0.0035706935, 'Yes': -6.3749676, ' Turtle': -6.9527698, ' No': -7.594587, ' yes': -8.812068}
{' Yes': -0.074447006, ' Turtle': -3.1135552, ' No': -3.6800206, 'Yes': -6.6749406, ' Turtles': -8.783374}
{' Yes': -0.002962704, 'Yes': -6.281035, ' Butter': -7.529436, ' yes': -9.026096, ' No': -9.199047}
{' Yes': -0.008808031, ' Butter': -5.2936954, 'Yes': -6.532216, ' No': -6.5650783, ' But': -7.844067}
{' Yes': -0.0049400944, ' B': -6.1995907, ' No': -6.608129, 'Yes': -6.707098, ' yes': -9.088746}
{' Yes': -0.0031063708, ' No': -6.0862837, 'Yes': -7.3145633, ' yes': -9.541627, ' YES': -10.662514}
{' Yes': -0.012462495, ' No': -4.6029816, 'Yes': -6.5591507, ' Twelve': -7.594749, ' yes': -9.239815}
{' Yes': -0.056476846, ' No': -3.201561, ' Twelve': -4.538271, 'Yes': -6.4234633, ' Eleven': -6.927558}
{' Yes': -0.014889537, ' She': -4.5881853, 'Yes': -5.6260605, ' YES': -8.607848, ' Sheet': -8.705045}
{' Yes': -0.00955527, ' She': -5.3826957, 'Yes': -5.5046797, ' YES': -8.424838, ' Sheet': -8.884227}
{' Yes': -0.005638533, 'Yes': -5.781421, ' Stress': -6.6079717, ' YES': -7.8253183, ' yes': -8.535527}
{' Yes': -0.0064606126, 'Yes': -5.7466316, ' Stress': -6.733746, ' St': -7.2327633, ' YES': -7.8469086}
{' Yes': -0.004763944, ' No': -5.920644, 'Yes': -6.360564, ' Sure': -9.20958, ' yes': -9.427077}
{' Yes': -0.014056155, ' No': -5.3610106, ' Sunset': -5.650269, 'Yes': -5.6900907, ' Sun': -6.7473607}
{' Yes': -0.002897067, ' No': -6.0708475, 'Yes': -7.5762205, ' yes': -11.355831, ' Sure': -11.381188}
{' Minute': -0.5304229, ' Yes': -1.0383861, ' No': -3.3232656, ' M': -5.199247, ' Minutes': -5.6770616}
{' Yes': -0.0009598689, 'Yes': -7.065949, ' No': -10.2234335, ' yes': -10.418381, ' YES': -11.172131}
{' Yes': -0.0026414879, ' No': -6.4156704, 'Yes': -7.0920734, ' Sure': -10.128536, ' Yep': -10.161419}
{' Yes': -0.06431314, ' No': -3.1184607, ' Wa': -4.30375, 'Yes': -6.1640005, ' Wait': -7.0641093}
{' Yes': -0.023564816, ' Wa': -4.361116, ' No': -5.387611, 'Yes': -6.0695105, ' Wait': -6.7534513}
{' Yes': -0.062837064, ' No': -2.8229706, 'Yes': -7.0189033, 'No': -9.009671, ' Fr': -9.43857}
{' Yes': -0.64081854, ' No': -0.76233387, ' Nope': -6.341477, ' Fr': -6.5883203, 'No': -6.842291}
{' Yes': -0.043229494, ' No': -3.816194, ' Length': -3.9524605, 'Yes': -7.000867, 'No': -10.16491}
{' Yes': -0.074625336, ' Length': -2.993473, ' No': -3.8965263, 'Yes': -7.0297966, ' Nope': -8.443954}
{' Yes': -0.0009792567, 'Yes': -7.0993013, ' yes': -9.663211, ' No': -10.730722, ' YES': -10.917911}
{' Yes': -0.0011548041, 'Yes': -6.931535, ' yes': -9.621817, ' YES': -10.281885, ' Sure': -10.910384}
{' Yes': -0.0010314062, 'Yes': -7.106036, ' yes': -9.6873255, ' France': -10.01981, ' YES': -10.052115}
{' Yes': -0.0028038786, 'Yes': -6.642603, ' No': -6.770868, ' yes': -9.065326, ' YES': -9.643204}
{' Yes': -0.033510253, ' Muscle': -4.0973964, ' No': -4.6709385, ' Mus': -5.4150577, 'Yes': -6.4269695}
{' Yes': -0.23934357, ' Muscle': -1.9219321, ' Mus': -3.492817, ' No': -3.5053194, 'Yes': -6.025818}
{' Empire': -0.6211785, ' Yes': -0.86369795, ' Emperor': -3.9331176, ' Em': -4.112958, ' No': -6.213923}
{' Empire': -0.27325836, ' Yes': -1.6052344, ' Em': -3.8098335, ' Emperor': -4.347925, ' Empress': -6.9861455}
{' No': -0.358727, ' Yes': -1.3477731, ' Kid': -3.6178405, ' Nope': -5.0237617, 'No': -5.908376}
{' No': -0.031080429, ' Yes': -3.57481, 'No': -6.4438114, ' Nope': -7.0311775, 'Yes': -9.926194}
{' Yes': -0.004530279, ' Hunger': -5.783329, 'Yes': -6.793925, ' yes': -9.517896, ' YES': -9.620108}
