{' Yes': -0.0031022474, 'Yes': -5.9189844, ' No': -8.122923, ' yes': -9.982982, '\n': -10.223577}
{' Yes': -0.6175585, ' No': -1.3578787, ' Hate': -1.6095284, 'Yes': -6.8154354, ' Nope': -7.0298395}
{' Yes': -0.49998033, ' No': -1.190757, ' Hate': -2.4592888, ' Nope': -6.707153, 'Yes': -6.7862535}
{' Yes': -0.082908966, ' No': -2.5493357, 'Yes': -6.7406993, 'No': -9.013891, ' yes': -10.454477}
{' Yes': -0.0011416761, 'Yes': -6.9962344, ' No': -9.105735, ' YES': -9.989583, ' yes': -10.015941}
{' Yes': -0.015753541, ' Ring': -4.5907197, ' No': -5.763718, 'Yes': -6.3846054, ' yes': -8.703583}
{' Yes': -0.0055829086, ' No': -5.485998, 'Yes': -6.9525046, ' Ring': -8.176449, ' yes': -9.5150585}
{' Yes': -0.0021555563, 'Yes': -6.988823, ' Bear': -7.073377, ' No': -8.3185, ' yes': -9.542624}
{' Yes': -0.0017775733, 'Yes': -6.7471557, ' Bear': -8.10108, ' yes': -8.882849, ' YES': -9.385977}
{' Yes': -0.0007369947, 'Yes': -7.3627114, ' YES': -9.9205475, ' No': -10.24197, ' yes': -11.685389}
{' Yes': -0.0023611216, ' No': -6.43325, 'Yes': -7.3082666, ' YES': -9.952424, ' yes': -11.153164}
{' Yes': -0.0030782095, 'Yes': -6.209844, ' No': -7.2918353, ' yes': -8.470151, ' Fish': -9.58195}
{' Yes': -0.0029238483, 'Yes': -6.140119, ' No': -7.845896, ' yes': -8.486139, ' YES': -9.547332}
{' Yes': -0.017796911, ' No': -4.580852, ' Skin': -5.6753798, 'Yes': -5.700463, ' Ski': -8.639651}
{' Yes': -0.069147155, ' No': -2.79245, 'Yes': -5.7412376, ' Skin': -6.3503494, 'No': -8.614311}
{' Yes': -0.0036106526, 'Yes': -6.290834, ' No': -6.779264, ' So': -7.7882137, ' yes': -9.49502}
{' Yes': -0.011419725, ' So': -5.1718907, 'Yes': -5.6201286, ' No': -6.5431123, ' yes': -8.829048}
{' Yes': -0.0010750234, 'Yes': -6.9216943, ' Che': -10.174506, '\n': -11.193133, ' yes': -11.420053}
{' Yes': -0.004262791, ' Che': -5.88133, 'Yes': -6.774717, ' No': -9.463677, '\n': -9.528928}
{' Yes': -0.0025303357, ' No': -6.3807015, 'Yes': -7.3580346, ' Male': -9.057979, ' yes': -10.043073}
{' Yes': -0.004071857, 'Yes': -6.3981714, ' No': -6.545799, ' Male': -7.863366, ' yes': -8.465394}
{' Yes': -0.01947726, ' No': -4.0276556, 'Yes': -6.812875, ' Nope': -8.825105, ' Done': -9.263488}
{' Yes': -0.015837587, ' No': -4.241599, 'Yes': -6.7385826, ' yes': -9.967352, ' Nope': -10.524433}
{' Yes': -0.005009461, ' Bike': -5.955209, 'Yes': -6.541011, ' No': -7.7417245, ' Bicycle': -8.317565}
{' Yes': -0.05060586, ' Bike': -3.322868, ' No': -4.756563, ' Bicycle': -6.305437, 'Yes': -6.4405475}
{' Yes': -0.058077697, ' No': -2.935731, 'Yes': -6.2158737, ' Dead': -7.8610387, ' Nope': -8.077444}
{' Yes': -0.12663133, ' No': -2.1461873, 'Yes': -6.633014, ' Nope': -8.684561, 'No': -8.715952}
{' Yes': -0.0015419222, 'Yes': -6.518969, ' yes': -10.179058, ' YES': -11.164327, ' No': -12.297196}
{' Cave': -0.11644451, ' Yes': -2.2366416, 'Yes': -7.530663, ' Cav': -7.7313123, ' Cavern': -7.773626}
{' Yes': -0.012957746, ' Moon': -5.2025976, ' No': -5.392089, 'Yes': -6.049369, ' yes': -8.811488}
{' Yes': -0.023535704, ' No': -3.9185529, 'Yes': -6.2721453, ' Moon': -7.029696, ' yes': -8.374266}
{' Yes': -0.08251739, ' Pain': -3.3260531, ' No': -3.6102936, ' Paint': -4.8916545, 'Yes': -5.8036323}
{' Yes': -0.051305767, ' No': -3.1219747, 'Yes': -5.9285564, ' Pain': -6.457428, ' Paint': -7.9024124}
{' Yes': -0.008470868, ' No': -4.9343014, 'Yes': -6.7485766, ' yes': -10.500303, '\n': -11.236703}
{' Yes': -0.023480786, ' No': -3.878484, ' Plus': -6.521255, 'Yes': -7.097823, ' Pl': -9.621541}
{' Yes': -0.05367858, ' No': -3.071119, 'Yes': -5.720119, ' Area': -6.70157, ' Rare': -8.274018}
{' Yes': -0.047069456, ' No': -3.2578692, 'Yes': -5.6429453, ' Area': -5.9912276, ' yes': -8.547723}
{' Yes': -0.40538046, ' Dive': -1.1120417, 'Yes': -6.173298, ' No': -7.573826, ' YES': -7.9858603}
{' Yes': -0.23736736, ' Dive': -1.6597934, ' No': -4.315664, 'Yes': -6.0802617, ' Divide': -6.79674}
{' Yes': -0.006110088, ' Hear': -5.400388, 'Yes': -6.619372, ' Yeah': -9.889193, ' ': -10.272938}
{' Yes': -0.0026644378, 'Yes': -6.4801173, ' Hear': -7.2072387, ' No': -9.194119, ' Yeah': -9.363355}
{' Yes': -0.026061665, ' Bush': -3.7420037, 'Yes': -6.467397, 'Bush': -9.226629, ' yes': -9.528968}
{' Yes': -0.1237808, ' Bush': -2.1843143, 'Yes': -6.157443, 'Bush': -7.641876, ' Bus': -8.379728}
{' Yes': -0.43200594, ' No': -1.3180075, ' Near': -2.5737352, ' Ne': -5.972855, ' Nearly': -6.892903}
{' Yes': -0.13156153, ' No': -2.172766, ' Near': -4.8978086, 'Yes': -7.0800304, ' Nope': -8.311855}
{' Yes': -0.024290541, ' Mile': -4.3625126, ' No': -4.6575036, 'Yes': -6.76454, ' Miles': -8.236501}
{' Yes': -0.081152454, ' Mile': -2.8337789, ' No': -4.2478604, 'Yes': -6.2594886, ' Miles': -6.9274836}
{' Yes': -0.4482208, ' Navy': -1.0293956, 'Yes': -6.1565332, ' Naval': -7.5434318, ' No': -8.044568}
{' Yes': -0.16977793, ' Navy': -1.9149122, 'Yes': -5.5099626, ' No': -6.7971992, ' Nav': -7.169281}
{' No': -0.035399076, ' Okay': -4.2519784, ' Nope': -4.770218, ' Yes': -4.9883275, 'No': -5.6014857}
{' No': -0.005917901, 'No': -6.1487374, ' Okay': -6.574996, ' Nope': -6.619559, ' Yes': -7.393306}
{' Yes': -0.014240177, ' No': -4.390436, 'Yes': -6.6793914, ' Math': -8.3211, ' YES': -9.840866}
{' Yes': -0.007660487, ' No': -4.973368, 'Yes': -7.3665795, '\n': -10.834002, ' YES': -11.028141}
{' No': -0.08530247, ' Yes': -2.5276318, 'No': -6.8851523, ' Bee': -7.932585, ' Nope': -8.21541}
{' No': -0.040983226, ' Yes': -3.239584, 'No': -7.1992183, ' Nope': -9.094235, 'Yes': -10.077261}
{' Yes': -0.0014160897, 'Yes': -6.8170114, ' No': -8.482978, ' Milk': -9.610352, ' yes': -10.842824}
{' Yes': -0.34423873, ' No': -1.2421384, 'Yes': -6.612687, 'No': -7.391197, ' Milk': -7.835263}
{' Yes': -0.013393801, ' No': -4.5729656, 'Yes': -5.9482055, ' yes': -9.048031, '\n': -9.44125}
{' Yes': -0.068835124, ' No': -2.801749, 'Yes': -5.4089055, ' Bass': -7.6084237, 'No': -7.9829035}
{' Yes': -0.006656624, ' Bird': -5.4530425, 'Yes': -6.287374, ' No': -8.396952, ' yes': -9.24765}
{' Yes': -0.010194189, ' Bird': -5.0614696, 'Yes': -6.213996, ' No': -6.6605864, ' yes': -8.402336}
{' Yes': -0.004851146, ' No': -6.206881, 'Yes': -6.2249837, ' YES': -7.8071346, ' yes': -8.901175}
{' Yes': -0.0047150133, ' No': -5.953548, 'Yes': -6.4699435, ' YES': -8.129561, ' yes': -8.866624}
{' Yes': -0.030209316, ' Need': -4.3718057, ' No': -4.5585294, 'Yes': -6.206891, ' Indeed': -6.9427586}
{' Yes': -0.013916226, ' No': -5.1671524, ' Need': -5.347143, 'Yes': -6.4778376, ' Indeed': -7.7618523}
{' Yes': -0.009609006, ' Too': -5.412748, ' Tool': -5.752254, 'Yes': -6.872005, ' No': -7.9300456}
{' Yes': -0.043511227, ' Too': -3.8826966, ' Tool': -4.1713624, ' No': -5.5005593, 'Yes': -6.681081}
{' Yes': -0.2603146, ' Po': -1.9740387, ' No': -2.473251, 'Yes': -5.981059, ' Nope': -6.15524}
{' Yes': -0.19641626, ' No': -2.4151318, ' Po': -2.4828255, 'Yes': -6.0007844, ' Nope': -6.3578825}
{' Yes': -0.0030629027, ' No': -6.431876, 'Yes': -7.01844, ' Rock': -8.11342, ' yes': -8.936221}
{' Yes': -0.0023158947, 'Yes': -6.5930552, ' Rock': -8.079193, ' yes': -8.349749, ' No': -9.0417595}
{' Yes': -0.0037469934, ' No': -6.209735, 'Yes': -6.4595995, ' Last': -9.246105, ' yes': -10.528063}
{' Yes': -0.0040799365, 'Yes': -5.9120636, ' No': -6.9878726, ' Last': -8.642646, ' YES': -9.329987}
{' Yes': -0.013447446, ' Door': -4.5776367, 'Yes': -6.2730217, ' No': -7.0945144, ' yes': -8.46973}
{' Yes': -0.015329821, ' Door': -4.8074937, ' No': -5.458935, 'Yes': -6.1158657, ' yes': -7.8937593}
{' Yes': -0.12426667, ' No': -2.3169928, ' To': -4.4397707, 'Yes': -5.387145, ' YES': -8.061455}
{' Yes': -0.17330804, ' No': -1.8759525, 'Yes': -5.442427, 'No': -7.788585, ' Nope': -8.262517}
{' Yes': -0.041012414, ' Maze': -3.325808, 'Yes': -5.6143055, ' yes': -8.542318, ' No': -9.043816}
{' Yes': -0.005840379, 'Yes': -5.9182644, ' No': -6.1012664, ' Maze': -7.3293915, ' yes': -9.634699}
{' Yes': -0.14449374, ' No': -2.0685887, ' Monk': -5.489096, 'Yes': -6.1354427, ' Mon': -7.5474496}
{' Yes': -0.12526582, ' No': -2.2600296, ' Monk': -5.688027, 'Yes': -5.8405824, ' Monkey': -5.9356637}
{' Yes': -0.0009527098, 'Yes': -7.1038847, ' Camp': -9.633925, ' yes': -10.697085, ' YES': -10.930205}
{' Yes': -0.011746368, ' Camp': -4.8507185, 'Yes': -6.245947, ' No': -6.63691, ' yes': -8.661818}
{' Yes': -0.0038330918, ' Most': -5.9958577, 'Yes': -7.0009294, ' No': -7.960105, ' Mostly': -10.53132}
{' Yes': -0.004325048, ' Most': -5.731814, 'Yes': -7.4159226, ' No': -7.942107, ' Mostly': -9.871188}
{' Yes': -0.004906368, ' Tri': -6.3464932, 'Yes': -6.8077397, ' Trip': -7.104159, ' No': -7.3840775}
{' Yes': -0.0055827284, ' Tri': -6.068456, 'Yes': -6.581993, ' Trip': -7.618479, ' No': -7.7315035}
{' Yes': -0.4283896, ' Dusk': -1.1374656, ' No': -3.8203497, 'Yes': -5.647259, ' D': -6.5758505}
{' Yes': -0.1882598, ' No': -2.5147045, ' Dusk': -2.5155647, 'Yes': -5.3073373, ' D': -5.8541803}
{' Yes': -0.0015671739, ' No': -7.2518334, 'Yes': -7.525864, ' Hell': -8.791739, ' Hello': -9.573798}
{' Yes': -0.0004854926, 'Yes': -7.851674, ' No': -10.042172, ' YES': -10.797658, ' yes': -11.108689}
{' Yes': -0.40975103, ' No': -1.0987672, 'Yes': -6.6352262, 'No': -6.6891336, ' Nope': -9.039953}
{' No': -0.4963691, ' Yes': -0.95971936, ' Lawn': -5.6797, 'No': -6.408131, ' Nope': -6.642939}
{' Yes': -0.008012502, ' Hill': -5.481836, ' No': -5.825334, 'Yes': -7.3236465, ' yes': -9.424791}
{' Yes': -0.056132395, ' Hill': -3.1431854, ' No': -4.653695, 'Yes': -6.933448, ' yes': -8.598554}
{' Yes': -0.0096397, ' No': -5.111276, 'Yes': -6.337316, ' Take': -6.5667963, ' yes': -9.378736}
{' Yes': -0.0034901798, 'Yes': -6.5386705, ' No': -6.964694, ' Take': -7.107974, ' YES': -9.522572}
{' Yes': -0.0029928954, 'Yes': -6.383833, ' No': -6.922998, ' Part': -8.632051, ' yes': -9.811905}
{' Yes': -0.0036714312, 'Yes': -5.952646, ' No': -7.767713, ' Part': -8.482664, ' yes': -8.905338}
{' Yes': -0.05841444, ' No': -2.9072359, 'Yes': -6.4962935, ' Pick': -8.406086, 'No': -8.844603}
{' Yes': -0.02602337, ' No': -3.735313, 'Yes': -6.8765173, ' Pick': -7.496328, 'No': -9.860849}
{' Yes': -0.0016265763, 'Yes': -6.535676, ' No': -9.376924, ' yes': -10.319261, ' YES': -10.671374}
{' Yes': -0.0023742055, ' No': -6.447507, 'Yes': -7.1955786, ' yes': -11.132414, '\n': -11.314055}
{' No': -0.10980798, ' Yes': -2.2743435, 'No': -7.064128, 'Yes': -8.795933, ' Nope': -9.506513}
{' Yes': -0.23660508, ' No': -1.5834773, 'Yes': -5.944613, 'No': -7.2329106, ' De': -7.749775}
{' Yes': -0.013513538, ' No': -4.475464, 'Yes': -6.3309774, ' yes': -9.133787, ' YES': -9.59602}
{' Yes': -0.39374322, ' No': -1.1312385, 'Yes': -6.3574877, 'No': -7.31162, ' yes': -9.132637}
{' Yes': -0.34735927, ' No': -1.2314497, 'Yes': -6.908909, 'No': -8.0616, ' Soda': -9.03116}
{' Yes': -0.5183785, ' No': -0.9108155, 'Yes': -6.698848, 'No': -7.287969, ' Soda': -8.850507}
{' Yes': -0.12504642, ' No': -2.1473014, 'Yes': -7.6133866, ' Gone': -9.59295, 'No': -9.696484}
{' No': -0.22798623, ' Yes': -1.6000488, ' Nope': -7.0747957, 'No': -7.5418534, '\n': -8.416366}
{' Yes': -0.005529265, ' Fire': -5.932239, 'Yes': -6.3472033, ' No': -7.705856, ' YES': -8.387667}
{' Yes': -0.006460733, ' No': -5.3668504, 'Yes': -6.7920036, ' Fire': -7.793785, ' YES': -9.470816}
{' Yes': -0.0013153987, 'Yes': -6.9703374, ' yes': -8.892786, ' No': -9.388526, ' YES': -9.627362}
{' Yes': -0.001760915, 'Yes': -6.8325305, ' yes': -8.255014, ' No': -8.598375, ' YES': -9.255328}
{' Yes': -0.001794711, 'Yes': -6.5277576, ' No': -9.30533, ' yes': -9.320377, ' Push': -9.936977}
{' Yes': -0.012795149, ' Push': -4.8718343, 'Yes': -5.8474984, ' P': -7.532101, ' yes': -7.9797935}
{' Yes': -0.065063775, ' Stop': -2.8335896, 'Yes': -6.082435, ' No': -7.1323714, ' Yep': -7.8631268}
{' Yes': -0.19320112, ' Stop': -1.7694224, 'Yes': -6.1625075, ' No': -6.7637157, 'Stop': -7.7427917}
{' Yes': -0.3531002, ' Late': -1.2450031, ' Plate': -5.38945, 'Yes': -6.260001, 'Late': -6.748667}
{' Yes': -0.0023215115, ' No': -6.42543, 'Yes': -7.419855, ' Late': -10.337033, ' yes': -10.48473}
{' Yes': -0.003221894, 'Yes': -6.236307, ' No': -6.8844457, ' yes': -8.730521, ' YES': -10.355982}
{' Yes': -0.0026922266, 'Yes': -6.1987557, ' No': -7.910815, ' yes': -8.777111, ' YES': -9.7837925}
{' Yes': -0.0072948933, ' Wife': -5.2156897, 'Yes': -6.593053, ' YES': -8.981229, ' yes': -9.291334}
{' Yes': -0.57679254, ' Wife': -0.88122064, ' W': -4.4174986, ' No': -4.925382, ' wife': -6.9318585}
{' Yes': -0.009919344, ' Frog': -4.9695807, 'Yes': -6.2917643, ' yes': -7.798964, ' No': -8.37453}
{' Yes': -0.0028108119, 'Yes': -6.733245, ' Frog': -6.949552, ' yes': -8.334041, ' No': -8.50959}
{' Yes': -0.0021687585, 'Yes': -6.221269, ' yes': -9.195339, ' YES': -10.731595, ' Duck': -11.148361}
{' Yes': -0.022750273, ' Duck': -4.0562415, 'Yes': -5.9445963, ' Y': -7.3105955, ' yes': -7.578551}
{' Yes': -0.06137132, ' Bank': -2.8940282, 'Yes': -5.765524, ' yes': -7.989415, ' YES': -8.44537}
{' Yes': -0.002011131, 'Yes': -6.4162354, ' yes': -9.063667, ' No': -9.266958, ' YES': -9.33355}
{' Yes': -0.005034979, 'Yes': -5.871819, ' Test': -6.758912, ' YES': -8.31656, ' Nest': -8.332983}
{' Yes': -0.020915184, ' Test': -4.0911627, 'Yes': -6.0104933, ' Testament': -8.056323, ' yes': -8.518399}
{' Yes': -0.011870189, ' Stay': -4.63662, 'Yes': -6.338647, ' No': -9.430609, ' yes': -9.57145}
{' Yes': -0.0627534, ' Stay': -2.861404, 'Yes': -5.940036, ' yes': -8.615346, ' YES': -8.895319}
{' Yes': -0.010772608, ' No': -5.0256767, 'Yes': -5.6583476, ' yes': -8.528104, ' East': -8.743772}
{' Yes': -0.13165745, ' East': -2.7360141, ' Ye': -3.6662204, 'Yes': -4.725732, ' Eas': -4.8463664}
{' No': -0.38395998, ' Yes': -1.1476662, 'No': -7.0090895, ' Nope': -8.238389, 'Yes': -8.343919}
{' No': -0.5857761, ' Yes': -0.90885615, ' High': -3.6074605, ' Nope': -4.6400533, 'No': -6.6040106}
{' Yes': -0.4720614, ' No': -0.98374575, ' Draw': -6.834551, 'Yes': -7.361819, 'No': -7.707265}
{' Draw': -0.3842507, ' Yes': -1.1961042, ' Drew': -5.6129165, ' D': -6.021816, ' Drawn': -6.3995147}
{' King': -0.24942125, ' Yes': -1.5664264, 'King': -5.051936, ' Kings': -5.792479, ' Kingston': -7.4257402}
{' Yes': -0.24019869, ' King': -1.6033427, ' No': -4.9757295, 'Yes': -6.2810106, 'King': -6.6165104}
{' Yes': -0.12882668, ' No': -2.1299958, ' Lose': -7.0056796, 'Yes': -7.408489, ' Nope': -8.448}
{' Yes': -0.12845805, ' No': -2.57226, ' Lose': -3.3740213, ' Lo': -4.817148, 'Yes': -7.1820674}
{' Yes': -0.0019898678, 'Yes': -6.6628933, ' Here': -8.697419, ' Sure': -8.894718, ' No': -9.1979475}
{' Yes': -0.00062862184, 'Yes': -7.4422026, ' yes': -11.157467, ' YES': -11.627627, ' Sure': -11.9474125}
{' Yes': -0.0035117744, 'Yes': -5.8891788, ' Sick': -7.72744, ' yes': -8.9436, ' YES': -9.318573}
{' Yes': -0.016477626, ' Sick': -4.517454, 'Yes': -5.476562, ' yes': -7.7469087, ' YES': -8.390409}
{' Yes': -0.21464092, ' Dirt': -1.6827825, 'Yes': -5.8015757, ' Dirty': -6.056817, ' D': -7.6336513}
{' Yes': -0.01231102, ' No': -4.744239, ' Dirt': -6.306538, 'Yes': -6.5201263, ' yes': -9.592402}
{' Yes': -0.009265437, ' Te': -5.4308906, 'Yes': -6.4113026, ' T': -7.308116, ' No': -7.343053}
{' Yes': -0.008842185, ' Te': -5.58104, 'Yes': -6.3975973, ' T': -6.9158506, ' Tears': -7.830053}
{' No': -0.0044317893, 'No': -5.430976, '\n': -10.668717, ' Nope': -11.796054, ' ': -11.820385}
{' Yes': -0.0018646969, ' No': -6.8385577, 'Yes': -7.266372, ' True': -10.202625, ' yes': -10.77894}
{' Rain': -0.4566139, ' Train': -1.8545725, ' Yes': -2.4978507, ' Brain': -2.5132792, 'Rain': -3.9229472}
{' Rain': -0.612127, ' Yes': -1.1288258, ' No': -2.80714, ' Brain': -3.622621, 'Rain': -3.998302}
{' Yes': -0.0021663678, ' No': -6.514486, 'Yes': -7.419488, ' yes': -10.962051, ' Sure': -11.170957}
{' Yes': -0.01900228, ' No': -4.0268188, 'Yes': -7.1188307, ' Nope': -10.248977, ' Verb': -10.482296}
{' Yes': -0.009607322, ' Sure': -5.5385513, ' Absolutely': -6.10424, 'Yes': -6.5803246, ' No': -8.022862}
{' Yes': -0.004601355, ' No': -6.4746346, 'Yes': -6.880534, ' Sure': -6.903244, ' Absolutely': -8.441995}
{' Yes': -0.038490314, ' No': -3.3087575, 'Yes': -7.1041656, ' yes': -9.568677, ' Kill': -9.599319}
{' Yes': -0.5309879, ' No': -0.889558, 'Yes': -7.516427, 'No': -7.636069, ' yes': -10.32275}
{' Yes': -0.00051971956, 'Yes': -7.779156, ' No': -9.369929, ' yes': -11.716628, ' YES': -12.637964}
{' Yes': -0.012661977, ' Thin': -4.959529, ' No': -5.737803, 'Yes': -6.5561643, ' Nope': -8.308075}
{' No': -0.5737693, ' Yes': -0.83905864, ' Tail': -6.0868726, 'No': -6.768521, 'Yes': -7.4854703}
{' Yes': -0.043937642, ' No': -3.635603, ' Tail': -4.2570815, 'Yes': -6.580465, ' yes': -8.492606}
{' Yes': -0.0023977458, 'Yes': -6.647394, ' Land': -7.211586, ' yes': -8.4336605, ' YES': -9.886665}
{' Yes': -0.013012695, ' Land': -5.421166, ' Island': -5.809155, 'Yes': -5.831818, ' No': -7.0097284}
{' Yes': -0.002136024, 'Yes': -7.1688747, ' No': -7.261314, ' Feel': -8.299928, ' yes': -9.115241}
{' Yes': -0.0108989, ' Feel': -5.389908, ' F': -6.478208, 'Yes': -6.6980247, ' No': -7.723744}
{' Yes': -0.0033084236, ' No': -6.5819955, 'Yes': -6.755074, ' Loud': -7.9266195, ' YES': -9.387284}
{' Yes': -0.12635547, ' Loud': -2.3047574, ' No': -4.360141, ' Cloud': -6.4930763, 'Yes': -6.6463737}
{' Yes': -0.0049711824, 'Yes': -6.0004296, ' Star': -6.458447, ' Sure': -7.747456, ' Start': -8.355112}
{' Yes': -0.008889454, 'Yes': -5.871308, ' Start': -5.9469748, ' Star': -6.380864, ' Sure': -6.8591294}
{' Yes': -0.0029535566, 'Yes': -6.065301, ' Card': -8.097117, ' yes': -8.863993, ' YES': -9.338122}
{' Yes': -0.001688669, 'Yes': -6.5505314, ' yes': -9.061604, ' Card': -10.054784, ' YES': -10.247303}
{' Deer': -0.29422447, ' Yes': -1.3895535, ' De': -5.9549794, ' Dear': -6.8579917, ' deer': -7.195552}
{' Deer': -0.4081166, ' Yes': -1.1459496, ' De': -4.4953985, ' Dear': -6.395742, ' deer': -6.9939847}
{' Yes': -0.060256492, ' Look': -2.9736686, 'Yes': -5.839644, ' No': -6.257807, ' YES': -7.1113176}
{' Yes': -0.0034855136, 'Yes': -6.4074764, ' Look': -6.909226, ' YES': -8.227936, ' No': -8.6142845}
{' Yes': -0.6100146, ' No': -0.79529065, ' Gl': -6.198323, ' Nope': -6.2179914, 'Yes': -7.6791625}
{' Yes': -0.2890069, ' No': -1.4089544, ' Gl': -5.374508, ' Nope': -7.253585, 'Yes': -7.398294}
{' Yes': -0.0023665582, ' No': -6.565164, 'Yes': -7.288305, ' Less': -8.621958, ' YES': -10.227774}
{' Yes': -0.011273837, ' No': -4.7566195, ' Less': -6.6774683, 'Yes': -6.93459, ' YES': -8.985351}
{' Yes': -0.0046542883, ' No': -6.0380464, 'Yes': -6.230061, ' yes': -9.649419, ' Sure': -9.876671}
{' Yes': -0.07360069, ' Code': -2.7557142, ' No': -5.7587314, 'Yes': -6.3077664, ' C': -7.7862525}
{' Yes': -0.0017042515, 'Yes': -6.979537, ' Sure': -7.3056264, ' YES': -10.971813, ' yes': -11.1882305}
{' Yes': -0.00813923, ' Shoes': -5.6606426, 'Yes': -6.3434052, ' Sh': -6.453806, ' Sure': -7.2330756}
{' Exit': -0.017832713, ' Yes': -4.6995263, ' Ex': -5.5428724, 'Exit': -5.587142, ' exit': -8.35577}
{' Exit': -0.4060357, ' Yes': -1.253217, ' No': -3.1616108, 'Exit': -6.0972447, ' Ex': -6.2378573}
{' Yes': -0.04928402, ' No': -3.6758957, ' Lion': -3.8948631, 'Yes': -6.450996, ' yes': -8.757755}
{' Yes': -0.054497454, ' No': -2.9632668, 'Yes': -6.865597, 'No': -8.910599, ' Lion': -9.240367}
{' Yes': -0.0225884, ' Roof': -3.895063, 'Yes': -6.667236, ' No': -7.6348543, ' yes': -9.102364}
{' Roof': -0.03825068, ' Yes': -3.3518836, ' roof': -6.9675393, ' Ro': -7.4730883, ' No': -7.9266176}
{' Yes': -0.43265817, ' Want': -1.0655279, 'Yes': -6.481938, 'Want': -6.498715, ' Wanted': -6.985742}
{' Want': -0.472789, ' Yes': -1.0242168, ' W': -5.359063, ' Wanted': -5.700242, 'Want': -5.7390556}
{' Yes': -0.0077855457, ' Wind': -5.06125, 'Yes': -6.8658786, ' yes': -9.055224, ' Window': -9.432485}
{' Yes': -0.016121332, ' Wind': -4.44813, ' No': -5.918947, 'Yes': -7.2698345, ' Window': -7.4558463}
{' Yes': -0.00093624304, 'Yes': -7.1171756, ' yes': -10.143492, ' YES': -10.17088, ' No': -10.82977}
{' Yes': -0.4557982, ' Foot': -1.0292044, 'Yes': -5.942144, ' YES': -6.790436, ' Football': -6.8105783}
{' Yes': -0.23411117, ' Hate': -1.7547086, ' No': -3.4567902, 'Yes': -6.4907904, ' Nope': -6.9348955}
{' Yes': -0.5384338, ' Hate': -0.9735038, ' No': -3.56079, ' Hat': -5.865219, ' Nope': -6.023946}
{' Yes': -0.054070976, ' No': -2.9678128, 'Yes': -6.8910575, 'No': -9.336513, ' yes': -10.146467}
{' Yes': -0.0014286253, 'Yes': -6.9043136, ' yes': -8.998859, ' YES': -9.129801, ' No': -9.883939}
{' Yes': -0.13190009, ' Ring': -2.4081013, ' Spring': -4.574154, ' String': -5.8816056, 'Yes': -5.9897537}
{' Yes': -0.037681777, ' Ring': -3.872411, ' Gr': -5.456669, ' Spring': -6.247591, 'Yes': -6.258984}
{' Yes': -0.00086172915, 'Yes': -7.355655, ' yes': -9.388938, ' Bear': -9.564204, ' No': -10.631658}
{' Yes': -0.009821104, ' Bear': -4.950447, 'Yes': -6.4947624, ' yes': -7.782935, ' Beer': -8.643288}
{' Yes': -0.001281918, 'Yes': -7.1007395, ' YES': -8.57678, ' No': -9.051697, ' yes': -10.691379}
{' Yes': -0.0012160913, 'Yes': -7.228392, ' No': -8.190986, ' YES': -9.04227, ' yes': -10.533658}
{' Yes': -0.0039230827, 'Yes': -5.838062, ' yes': -7.690364, ' YES': -8.705129, ' No': -9.443915}
{' Yes': -0.0040811338, 'Yes': -5.753117, ' yes': -7.8298683, ' No': -8.702908, ' YES': -8.894592}
{' Yes': -0.13058384, ' Skin': -2.2595396, ' Ski': -5.2282495, 'Yes': -5.441968, ' Sk': -5.4644213}
{' Yes': -0.055592056, ' Skin': -3.5119536, ' No': -4.5620713, 'Yes': -4.973915, ' Ski': -5.7303753}
{' Yes': -0.030591374, ' So': -3.6768122, 'Yes': -5.946124, ' No': -6.638825, ' yes': -8.271593}
{' Yes': -0.006891981, ' So': -5.4893894, 'Yes': -6.1689854, ' No': -8.529286, ' Yep': -8.968338}
{' Yes': -0.0007765466, 'Yes': -7.231912, ' yes': -11.339444, ' Yep': -11.766511, ' Sure': -11.865844}
{' Yes': -0.008674125, ' Che': -4.988775, 'Yes': -6.669353, ' Yep': -9.358693, ' YES': -9.658525}
{' Yes': -0.001833882, 'Yes': -6.8179007, ' No': -8.26422, ' Male': -8.375297, ' yes': -8.85539}
{' Yes': -0.0070675453, 'Yes': -6.06308, ' Male': -6.141955, ' yes': -7.249488, ' Mail': -7.8931994}
{' Yes': -0.0026013278, ' No': -6.392606, 'Yes': -7.088378, ' yes': -10.39171, ' YES': -11.117335}
{' Yes': -0.011160154, ' No': -4.611967, 'Yes': -7.0624957, ' Nope': -9.120394, ' Done': -9.749025}
{' Yes': -0.24377282, ' Bike': -1.7831976, ' Bicycle': -3.3262694, ' B': -4.830027, 'Yes': -6.355566}
{' Yes': -0.09040908, ' Bike': -2.558907, ' Bicycle': -5.27282, 'Yes': -6.540667, ' No': -7.0159826}
{' Yes': -0.02312669, ' Dead': -4.7287593, ' No': -4.8565407, 'Yes': -6.202979, ' yes': -6.930378}
{' Yes': -0.011076617, ' No': -5.1604824, ' Dead': -6.083964, 'Yes': -6.4976816, ' yes': -7.3197985}
{' Yes': -0.0005709483, 'Yes': -7.5422864, ' yes': -10.431013, ' YES': -11.898553, '\n': -13.653726}
{' Yes': -0.40493965, ' Cave': -1.1140442, 'Yes': -6.0197177, ' YES': -7.857928, ' yes': -7.8638964}
{' Yes': -0.13644017, ' Moon': -2.1301765, 'Yes': -5.7669263, ' No': -6.533516, ' Moons': -6.97953}
