{' No': -0.065186426, ' Yes': -2.8289306, 'No': -5.7845254, ' The': -7.627158, 'Yes': -8.79785}
{' No': -0.004692018, ' Yes': -5.6767826, 'No': -6.826124, '\n': -9.77792, ' ': -9.815911}
{' No': -0.17887546, ' Yes': -1.8145794, 'No': -7.5275345, '\n': -9.4309845, 'Yes': -9.480085}
{' No': -0.11008235, ' Yes': -2.2803533, 'No': -6.5239553, ' ': -8.730365, 'Yes': -8.853316}
{' No': -0.010354556, ' Yes': -4.930053, 'No': -6.217323, '\n': -7.6828246, ' ': -7.966327}
{' No': -0.30926907, ' Yes': -1.3293171, 'No': -7.219719, 'Yes': -8.546219, '\n': -8.547591}
{' No': -0.038053207, ' Yes': -3.328447, 'No': -6.668876, '\n': -9.570223, ' ': -9.650281}
{' No': -0.0024934665, 'No': -6.0656934, ' ': -9.869179, ' The': -10.2671795, '\n': -10.271791}
{' No': -0.0025291399, 'No': -6.0571475, ' Yes': -9.602489, ' ': -10.060303, '\n': -10.287119}
{' Yes': -0.27414095, ' No': -1.437099, 'Yes': -6.9710093, 'No': -7.6888056, '\n': -7.965053}
{' No': -0.0113113895, ' Yes': -4.6372285, 'No': -6.624417, '\n': -9.319771, ' ': -10.001007}
{' No': -0.0022036405, 'No': -6.4159756, ' Yes': -7.748368, '\n': -10.172281, ' The': -10.249989}
{' No': -0.0015931426, 'No': -6.5844955, '\n': -9.503143, ' ': -9.726023, ' no': -10.178041}
{' Yes': -0.16731147, ' No': -1.8772762, 'Yes': -7.5718346, ' yes': -8.755562, 'No': -8.97341}
{' No': -0.0019966175, 'No': -6.6251006, ' Yes': -7.553069, ' ': -9.792825, '\n': -9.948682}
{' No': -0.045008343, ' Yes': -3.1796558, 'No': -6.306481, ' The': -8.703648, '\n': -8.7983}
{' No': -0.02885645, ' Yes': -3.6349583, 'No': -6.3585415, '\n': -8.883684, 'Yes': -9.971603}
{' No': -0.20859969, ' Yes': -1.6806837, 'No': -6.7033944, '\n': -8.280191, 'Yes': -8.575047}
{' No': -0.0065275053, ' Yes': -5.3892674, 'No': -6.458037, '\n': -8.55345, ' ': -8.99382}
{' No': -0.040690847, ' Yes': -3.2486413, 'No': -7.087898, ' ': -9.73422, ' The': -10.120606}
{' Yes': -0.06839317, ' No': -2.741708, ' yes': -7.357871, 'Yes': -7.4649587, '\n': -8.412435}
{' Yes': -0.20694698, ' No': -1.6803585, 'Yes': -8.185837, ' yes': -9.007989, ' The': -9.608121}
{' Yes': -0.09940211, ' No': -2.3804784, 'Yes': -7.3115945, ' yes': -7.64556, ' The': -7.797465}
{' No': -0.014033065, ' Yes': -4.382298, 'No': -6.8305535, '\n': -8.914555, ' ': -9.209169}
{' No': -0.0038976548, ' Yes': -6.1172533, 'No': -6.5132017, ' ': -9.658391, '\n': -9.71531}
{' No': -0.0068548326, ' Yes': -5.3363185, 'No': -6.3932486, ' The': -9.03589, ' ': -9.789647}
{' No': -0.0036816625, ' Yes': -6.113207, 'No': -6.6551495, ' ': -9.862625, '\n': -10.001883}
{' Yes': -0.0106251845, ' No': -4.655523, 'Yes': -7.1413713, ' yes': -8.732614, ' ': -10.258008}
{' Yes': -0.00921352, ' No': -4.790984, 'Yes': -7.5537763, ' yes': -8.589532, '\n': -9.553365}
{' No': -0.1700416, ' Yes': -1.8682113, 'No': -6.634862, '\n': -8.683551, 'Yes': -8.704984}
{' No': -0.113821805, ' Yes': -2.2452266, 'No': -7.0166245, '\n': -8.330384, ' The': -8.812675}
{' No': -0.012423867, ' Yes': -4.556274, 'No': -6.4921117, ' ': -9.077264, ' The': -9.084762}
{' No': -0.005056546, ' Yes': -5.6001263, 'No': -6.8049064, '\n': -9.354082, ' ': -9.453371}
{' No': -0.27398258, ' Yes': -1.4356323, 'No': -7.046073, 'Yes': -7.9973598, '\n': -8.504025}
{' No': -0.018998757, ' Yes': -4.032926, 'No': -7.111842, '\n': -9.322846, ' ': -9.549264}
{' No': -0.50535315, ' Yes': -0.9290192, 'No': -7.275431, 'Yes': -7.583348, ' The': -8.533664}
{' No': -0.013464843, ' Yes': -4.4747534, 'No': -6.487838, '\n': -8.676928, ' ': -8.936029}
{' No': -0.00235885, 'No': -6.6853743, ' Yes': -7.0540705, ' ': -9.251048, '\n': -9.640405}
{' No': -0.018319644, ' Yes': -4.122197, 'No': -6.460904, ' The': -8.861459, '\n': -9.305457}
{' Yes': -0.055486836, ' No': -2.9365711, 'Yes': -7.913534, '\n': -8.428783, ' yes': -8.585655}
{' No': -0.008779228, ' Yes': -4.8725986, 'No': -7.051021, ' ': -9.670737, '\n': -9.716102}
{' No': -0.0033913136, 'No': -6.43683, ' Yes': -6.4750285, '\n': -8.962053, ' ': -9.696852}
{' No': -0.1454044, ' Yes': -2.0151823, 'No': -6.553329, '\n': -8.333282, 'Yes': -8.714839}
{' Yes': -0.011610379, ' No': -4.5438657, 'Yes': -7.6104584, '\n': -8.538214, ' yes': -9.079716}
{' No': -0.059961148, ' Yes': -2.860628, 'No': -7.203124, '\n': -9.654061, ' ': -9.713029}
{' No': -0.07916188, ' Yes': -2.5932894, 'No': -7.167483, '\n': -8.200631, ' ': -8.88305}
{' No': -0.0030890312, 'No': -6.1257033, ' Yes': -7.31367, '\n': -9.095601, ' ': -9.561538}
{' Yes': -0.063416205, ' No': -2.812653, 'Yes': -7.285523, ' yes': -8.3315115, ' The': -8.615448}
{' Yes': -0.35354382, ' No': -1.2172122, 'Yes': -7.3325796, 'No': -7.7212462, ' The': -8.509334}
{' No': -0.011181731, ' Yes': -4.6130533, 'No': -6.9506326, ' ': -9.255859, '\n': -9.49898}
{' No': -0.0021961154, 'No': -6.4983373, ' Yes': -7.6714444, ' ': -9.073811, '\n': -9.808795}
{' No': -0.0029025665, 'No': -6.313701, ' Yes': -7.0064116, '\n': -9.699353, ' ': -9.924012}
{' No': -0.086746454, ' Yes': -2.5090582, 'No': -6.7445235, '\n': -8.674868, ' The': -8.825483}
{' Yes': -0.4093316, ' No': -1.0991224, 'Yes': -6.822047, 'No': -7.274865, '\n': -7.486068}
{' Yes': -0.10164595, ' No': -2.349256, 'Yes': -7.114232, ' yes': -8.859059, 'No': -9.143031}
{' Yes': -0.12572344, ' No': -2.151774, 'Yes': -6.8616643, 'No': -8.338582, '\n': -8.663681}
{' No': -0.4159534, ' Yes': -1.0826023, 'No': -7.5207753, '\n': -8.105695, ' The': -8.344092}
{' No': -0.004816468, ' Yes': -5.4728127, 'No': -7.485565, ' ': -11.137062, ' The': -11.460612}
{' No': -0.09050911, ' Yes': -2.4593942, 'No': -7.195995, ' The': -9.469941, '\n': -9.685162}
{' Yes': -0.09764642, ' No': -2.389194, 'Yes': -7.073213, '\n': -8.782024, 'No': -9.1380005}
{' No': -0.11979023, ' Yes': -2.1935399, 'No': -6.886763, 'Yes': -9.142962, '\n': -9.327525}
{' No': -0.0028928232, 'No': -6.3905363, ' Yes': -6.913526, ' ': -9.710174, '\n': -9.729201}
{' No': -0.03439018, ' Yes': -3.4256139, 'No': -6.962874, '\n': -8.949427, ' The': -9.594982}
{' No': -0.0051168157, ' Yes': -5.5841417, 'No': -6.728947, ' ': -9.966544, '\n': -10.296542}
{' No': -0.013052491, ' Yes': -4.431408, 'No': -6.940666, '\n': -10.2107525, ' ': -10.443153}
{' No': -0.0075092018, ' Yes': -5.421133, 'No': -6.0185447, ' ': -8.3737955, '\n': -8.390185}
{' No': -0.0032261987, 'No': -6.324839, ' Yes': -6.6808305, ' ': -9.449708, '\n': -10.459701}
{' No': -0.012056403, ' Yes': -4.6732273, 'No': -6.243385, '\n': -7.8951945, ' ': -8.240546}
{' No': -0.0014751824, 'No': -6.875973, ' Yes': -7.9651475, ' ': -10.272541, '\n': -10.463409}
{' Yes': -0.010822254, ' No': -4.6195164, 'Yes': -7.294421, ' yes': -9.371745, '\n': -9.709538}
{' No': -0.24426466, ' Yes': -1.5365982, 'No': -7.0188174, ' ': -8.318041, 'Yes': -8.481169}
{' Yes': -0.07202435, ' No': -2.6784275, 'Yes': -7.662152, ' yes': -8.590882, 'No': -9.785596}
{' No': -0.3156084, ' Yes': -1.3120093, 'No': -6.9812074, 'Yes': -8.359258, ' The': -9.812909}
{' No': -0.3702405, ' Yes': -1.1852543, 'No': -6.180533, 'Yes': -7.287675, ' The': -7.480378}
{' Yes': -0.31470114, ' No': -1.3235513, 'Yes': -6.4918766, 'No': -7.050667, ' The': -7.4531593}
{' Yes': -0.026756765, ' No': -3.752337, 'Yes': -6.1059785, '\n': -8.247053, ' yes': -8.886335}
{' No': -0.045054235, ' Yes': -3.271048, 'No': -5.3715982, ' The': -7.5261946, '\n': -7.6074243}
{' No': -0.1937707, ' Yes': -1.7786515, 'No': -5.6884203, ' The': -6.244487, '\n': -7.1388197}
{' No': -0.32469842, ' Yes': -1.2969848, 'No': -6.072487, 'Yes': -7.426226, ' The': -7.9181027}
{' No': -0.011448003, 'No': -5.1312675, ' Yes': -5.294958, '\n': -8.561096, ' ': -8.8638115}
{' Yes': -0.20082903, ' No': -1.7284663, 'Yes': -6.3330445, ' The': -6.6889634, 'No': -7.3164825}
{' Yes': -0.016097285, ' No': -4.2938223, 'Yes': -6.2579775, ' yes': -8.792064, ' The': -9.313158}
{' No': -0.0129774315, ' Yes': -4.908403, 'No': -5.289188, '\n': -8.927706, ' The': -8.995029}
{' Yes': -0.6678879, ' No': -0.72572255, 'No': -6.531398, 'Yes': -6.8286886, '\n': -8.480931}
{' No': -0.5745672, ' Yes': -0.83733124, 'No': -6.0741034, 'Yes': -6.948377, ' The': -7.9331164}
{' No': -0.042453557, ' Yes': -3.2639406, 'No': -5.839074, '\n': -9.179973, 'Yes': -9.188399}
{' Yes': -0.37364858, ' No': -1.1850327, 'No': -6.0832467, 'Yes': -6.119107, '\n': -7.3725724}
{' Yes': -0.10463036, ' No': -2.3650637, 'Yes': -6.123553, '\n': -6.611739, 'No': -7.515879}
{' Yes': -0.53119874, ' No': -0.8974382, 'No': -6.297598, 'Yes': -6.617481, ' The': -7.451929}
{' Yes': -0.008675328, ' No': -5.0861254, 'Yes': -6.336979, ' yes': -7.8678575, '\n': -9.049593}
{' No': -0.29222083, ' Yes': -1.3940865, 'No': -5.9039736, ' The': -6.940704, 'Yes': -7.3292227}
{' No': -0.15548295, ' Yes': -1.965553, 'No': -5.90468, '\n': -7.887567, 'Yes': -8.080663}
{' No': -0.33713838, ' Yes': -1.2725898, 'No': -5.476651, 'Yes': -6.8208375, '\n': -8.155486}
{' No': -0.031802822, ' Yes': -3.5680978, 'No': -5.8759794, '\n': -9.508134, ' ': -9.586681}
{' Yes': -0.03277509, ' No': -3.515004, 'Yes': -6.5538263, ' yes': -7.631219, ' The': -7.8337927}
{' No': -0.010406835, 'No': -4.5851974, '\n': -9.779808, ' ': -10.014112, ' no': -11.094461}
{' No': -0.00919788, 'No': -4.712857, ' Yes': -9.969244, '\n': -10.070717, ' ': -10.363542}
{' No': -0.18368748, ' Yes': -1.8037568, 'No': -6.007747, 'Yes': -8.283192, ' The': -8.422951}
{' No': -0.008625609, 'No': -4.8647504, ' Yes': -7.3738117, ' The': -9.4369545, '\n': -9.644445}
{' Yes': -0.050884847, ' No': -3.044541, 'Yes': -6.602915, ' The': -8.348013, ' yes': -8.676689}
{' No': -0.21193594, ' Yes': -1.6787214, 'No': -5.7698617, 'Yes': -7.5529866, ' The': -7.930815}
{' No': -0.41626057, ' Yes': -1.0844983, 'No': -6.584978, 'Yes': -7.54996, ' ': -8.807785}
{' No': -0.021533817, ' Yes': -3.9732604, 'No': -6.073154, ' The': -9.767552, 'Yes': -10.186299}
{' No': -0.4206581, ' Yes': -1.0853063, 'No': -6.0674434, '\n': -6.577116, 'Yes': -7.1464977}
{' Yes': -0.5121207, ' No': -0.9254909, 'Yes': -6.4484644, 'No': -6.5616064, ' The': -7.300891}
{' Yes': -0.0025149775, ' No': -6.791634, 'Yes': -6.8226614, ' yes': -8.695544, ' The': -9.611688}
{' No': -0.021108143, ' Yes': -4.013095, 'No': -5.9957237, '\n': -9.0483885, ' ': -9.541354}
{' Yes': -0.0048633646, ' No': -6.144889, 'Yes': -6.2059894, ' yes': -8.447481, ' The': -8.550389}
{' No': -0.011132486, 'No': -4.646032, ' Yes': -6.8140864, ' ': -9.136063, '\n': -9.139922}
{' Yes': -0.15918736, ' No': -1.9523715, 'Yes': -6.330791, '\n': -6.8107963, ' The': -7.2351265}
{' No': -0.41981828, ' Yes': -1.0820783, 'No': -6.3123765, ' The': -7.214375, 'Yes': -7.330441}
{' No': -0.0036763973, 'No': -5.936461, ' Yes': -6.97325, ' ': -9.898939, '\n': -11.178126}
{' No': -0.006224877, 'No': -5.5390844, ' Yes': -6.19123, ' ': -9.4588175, '\n': -9.781793}
{' Yes': -0.14035131, ' No': -2.0634031, 'Yes': -6.129, 'No': -7.123605, ' The': -7.701487}
{' No': -0.10929708, ' Yes': -2.3646376, 'No': -4.871432, ' The': -6.956314, 'Yes': -7.922001}
{' No': -0.0148119815, ' Yes': -4.8964763, 'No': -5.050946, ' Not': -8.053996, ' The': -8.525715}
{' No': -0.010048361, 'No': -5.1987114, ' Yes': -5.4839253, '\n': -9.074166, ' The': -9.415181}
{' No': -0.04441222, ' Yes': -3.2277672, 'No': -5.657117, 'Yes': -9.31998, ' The': -9.372033}
{' No': -0.018724518, ' Yes': -4.111124, 'No': -6.257204, '\n': -9.572077, ' The': -9.741816}
{' No': -0.16301987, ' Yes': -1.928065, 'No': -5.8038774, ' The': -7.19401, '\n': -7.6688046}
{' No': -0.028184228, ' Yes': -3.8425646, 'No': -5.219426, ' The': -7.589696, ' Not': -8.876624}
{' No': -0.1685625, ' Yes': -1.886269, 'No': -5.9771886, 'Yes': -8.055477, ' ': -8.719666}
{' No': -0.2109563, ' Yes': -1.6786572, 'No': -6.021789, 'Yes': -7.8260527, ' The': -8.184474}
{' No': -0.053402398, ' Yes': -3.0547945, 'No': -5.5366783, ' The': -7.9000907, '\n': -8.697311}
{' No': -0.32146317, ' Yes': -1.3081384, 'No': -5.917698, ' The': -7.1853623, 'Yes': -7.3321705}
{' Yes': -0.02778372, ' No': -3.7181978, 'Yes': -6.035634, ' yes': -8.402009, '\n': -8.830407}
{' No': -0.07215369, ' Yes': -2.740151, 'No': -5.499399, ' The': -8.137255, '\n': -8.301307}
{' Yes': -0.049306747, ' No': -3.0856855, 'Yes': -6.5673695, ' yes': -7.8118305, ' The': -8.533049}
{' Yes': -0.49285877, ' No': -0.9540271, 'Yes': -6.692657, 'No': -6.776674, '\n': -7.61103}
{' No': -0.010210749, 'No': -5.180739, ' Yes': -5.491204, ' The': -8.584918, ' ': -9.357386}
{' No': -0.012447527, 'No': -5.0719223, ' Yes': -5.175483, '\n': -8.575642, ' The': -9.316357}
{' Yes': -0.002022298, 'Yes': -6.8172574, ' No': -7.57231, ' The': -8.499369, ' yes': -8.714996}
{' Yes': -0.24322869, ' No': -1.5530736, 'Yes': -6.3668323, 'No': -6.99072, ' The': -7.209087}
{' Yes': -0.0047531025, ' No': -5.944954, 'Yes': -6.284555, ' yes': -8.922089, '\n': -10.198804}
{' No': -0.10210608, ' Yes': -2.387743, 'No': -5.59931, '\n': -7.3504863, 'Yes': -8.191795}
{' Yes': -0.021378895, ' No': -3.9774828, 'Yes': -6.665885, ' The': -7.6111975, ' yes': -7.9277353}
{' Yes': -0.09779989, ' No': -2.4060388, 'Yes': -6.8323693, ' The': -7.1278286, ' yes': -7.348725}
{' No': -0.21775527, ' Yes': -1.6505194, 'No': -6.4010777, '\n': -7.5459504, ' The': -7.57046}
{' No': -0.29214308, ' Yes': -1.3880389, 'No': -5.9505496, 'Yes': -7.3505855, ' The': -8.26588}
{' No': -0.07422345, ' Yes': -2.7015882, 'No': -5.619633, ' The': -8.330249, 'Yes': -8.693684}
{' No': -0.008913807, 'No': -5.156163, ' Yes': -5.942047, '\n': -8.6579075, ' The': -8.861055}
{' No': -0.5589889, ' Yes': -0.86115116, 'No': -5.9643574, 'Yes': -6.5536423, '\n': -7.46929}
{' Yes': -0.5173115, ' No': -0.91511387, 'Yes': -6.593649, 'No': -7.0126133, ' yes': -7.6253858}
{' No': -0.009621043, 'No': -4.9723573, ' Yes': -6.175125, ' The': -8.117798, ' ': -9.311747}
{' No': -0.008774357, 'No': -5.3541036, ' Yes': -5.6380143, ' The': -8.427372, ' ': -9.329937}
{' Yes': -0.011820732, ' No': -4.707671, 'Yes': -6.088332, ' The': -8.844157, ' yes': -8.965644}
{' No': -0.36515397, ' Yes': -1.2022035, 'No': -6.1127853, '\n': -7.0000644, ' The': -7.1572337}
{' No': -0.0110187, ' Yes': -5.2556095, 'No': -5.2691555, ' ': -8.606034, '\n': -8.685653}
{' No': -0.009685259, 'No': -4.7192893, ' Yes': -7.700633, ' ': -9.298314, ' The': -9.383166}
{' No': -0.053441633, ' Yes': -3.019073, 'No': -5.9210024, ' The': -8.734877, 'Yes': -9.161252}
{' No': -0.04301984, ' Yes': -3.3013265, 'No': -5.5144916, '\n': -7.3660784, ' The': -8.563348}
{' Yes': -0.04360754, ' No': -3.257566, 'Yes': -6.22874, ' The': -6.461944, 'No': -8.63746}
{' No': -0.28862554, ' Yes': -1.4155158, 'No': -5.241348, 'Yes': -6.888385, ' The': -7.00542}
{' Yes': -0.0040222425, ' No': -6.1572695, 'Yes': -6.613051, ' The': -8.213651, ' yes': -8.511157}
{' No': -0.040907346, ' Yes': -3.3288138, 'No': -5.6730537, ' The': -8.344677, '\n': -8.368155}
{' No': -0.50068235, ' Yes': -0.9463782, 'No': -5.7663774, 'Yes': -6.8293695, ' The': -7.4621267}
{' Yes': -0.058855038, ' No': -2.9451463, 'Yes': -5.6261077, 'No': -7.734705, ' yes': -8.619689}
{' No': -0.008551241, 'No': -5.01154, ' Yes': -6.425048, ' ': -9.2166, '\n': -9.798909}
{' No': -0.06325027, ' Yes': -2.8770301, 'No': -5.5311475, ' The': -8.12982, '\n': -8.156751}
{' No': -0.07221256, ' Yes': -2.7122808, 'No': -6.0080686, ' The': -8.028164, '\n': -8.53738}
{' No': -0.050518017, ' Yes': -3.0853367, 'No': -5.8548527, ' The': -8.139444, '\n': -8.967074}
{' Yes': -0.4384511, ' No': -1.0450282, 'Yes': -6.5554934, 'No': -6.8167944, '\n': -8.305053}
{' No': -0.12384218, ' Yes': -2.1794298, 'No': -6.1967945, ' The': -7.026626, 'Yes': -8.669491}
{' Yes': -0.0057435585, ' No': -5.8647556, 'Yes': -6.252281, '\n': -7.9125023, ' The': -8.311146}
{' No': -0.20721593, ' Yes': -1.703197, 'No': -5.589786, 'Yes': -7.679813, ' The': -8.061027}
{' No': -0.057739172, ' Yes': -2.976099, 'No': -5.4556084, '\n': -7.8975253, 'Yes': -8.790252}
{' Yes': -0.5915376, ' No': -0.8136255, 'No': -6.4151454, 'Yes': -6.8781486, ' The': -8.264111}
{' Yes': -0.032526918, ' No': -3.5499504, 'Yes': -6.207858, ' The': -7.265623, ' yes': -8.460055}
{' No': -0.29836532, ' Yes': -1.3781993, 'No': -5.881741, '\n': -6.586102, 'Yes': -7.3458805}
{' No': -0.09781665, ' Yes': -2.453623, 'No': -5.231676, '\n': -6.9960246, 'Yes': -7.862058}
{' No': -0.14170824, ' Yes': -2.04945, 'No': -6.1086397, '\n': -8.08575, 'Yes': -8.167407}
{' No': -0.019978127, ' Yes': -4.201493, 'No': -5.527306, '\n': -7.9265957, ' The': -8.370508}
{' No': -0.016210137, ' Yes': -4.626382, 'No': -5.1615043, ' The': -8.672706, '\n': -8.779173}
{' No': -0.012497439, ' Yes': -4.668032, 'No': -5.9661803, ' The': -8.545013, '\n': -8.997894}
{' No': -0.051486358, ' Yes': -3.1522799, 'No': -5.0956583, ' The': -7.497845, '\n': -8.118581}
{' No': -0.23625733, ' Yes': -1.5910947, 'No': -5.374147, '\n': -7.2302966, 'Yes': -7.390114}
{' Yes': -0.022080988, ' No': -3.9710803, 'Yes': -6.028369, '\n': -8.5784025, ' The': -8.77736}
{' No': -0.6919405, ' Yes': -0.70119685, 'No': -6.2712817, 'Yes': -6.90118, '\n': -8.79331}
{' Yes': -0.15746878, ' No': -1.9547424, 'Yes': -6.081508, 'No': -7.2532663, '\n': -7.5263968}
{' No': -0.21380197, ' Yes': -1.6823308, 'No': -5.3657165, 'Yes': -7.147878, '\n': -7.9153438}
{' No': -0.03978249, ' Yes': -3.45287, 'No': -4.9886613, ' The': -8.398837, 'Yes': -8.859754}
{' No': -0.03664089, ' Yes': -3.4451663, 'No': -5.659287, ' The': -8.25035, 'Yes': -9.307341}
{' No': -0.15610133, ' Yes': -1.9659632, 'No': -5.6322913, 'Yes': -7.68169, ' ': -8.982603}
{' No': -0.16140129, ' Yes': -1.9268469, 'No': -6.00779, ' The': -7.851519, 'Yes': -7.9594145}
{' No': -0.00741408, 'No': -5.4627876, ' Yes': -5.8576503, ' The': -9.110357, '\n': -9.542907}
{' Yes': -0.018645206, ' No': -4.1278563, 'Yes': -6.353503, ' yes': -8.30273, ' The': -8.696624}
{' Yes': -0.3254417, ' No': -1.291281, 'Yes': -6.5417423, 'No': -7.149216, ' The': -8.334187}
{' No': -0.4193626, ' Yes': -1.0947433, 'No': -5.3881464, 'Yes': -6.7539644, ' The': -6.7814074}
{' No': -0.034582175, ' Yes': -3.6202486, 'No': -5.0848923, ' The': -7.776884, '\n': -8.229403}
{' No': -0.12074964, ' Yes': -2.2072573, 'No': -5.9447107, ' The': -7.6223, 'Yes': -8.425641}
{' No': -0.02211645, ' Yes': -4.129477, 'No': -5.286616, ' The': -8.055802, '\n': -9.041292}
{' No': -0.25044698, ' Yes': -1.5413499, 'No': -5.573548, '\n': -6.461018, 'Yes': -6.9643655}
{' No': -0.0069993557, 'No': -5.5323668, ' Yes': -5.865329, '\n': -9.873174, ' The': -10.01711}
{' No': -0.1162901, ' Yes': -2.2617006, 'No': -5.4314466, ' The': -7.712287, 'Yes': -7.991518}
{' No': -0.023923278, ' Yes': -3.903634, 'No': -5.846347, ' The': -8.325238, ' ': -9.112159}
{' No': -0.27046052, ' Yes': -1.4571117, 'No': -6.029658, 'Yes': -7.3499856, ' The': -7.4709225}
{' No': -0.67708397, ' Yes': -0.72000694, 'No': -6.3013973, 'Yes': -6.628027, ' The': -6.7894697}
{' Yes': -0.0058298265, ' No': -5.4386926, 'Yes': -6.9572535, ' yes': -8.517483, ' The': -8.742644}
{' No': -0.50398797, ' Yes': -0.9417664, 'No': -5.901359, 'Yes': -6.782388, '\n': -7.065688}
{' Yes': -0.012740395, ' No': -4.563094, 'Yes': -6.3101163, ' yes': -8.858045, '\n': -9.138068}
{' Yes': -0.4137576, ' No': -1.0923083, 'Yes': -6.6959305, 'No': -7.1907616, ' The': -7.509697}
{' No': -0.011070831, ' Yes': -4.7620816, 'No': -6.081936, '\n': -9.912659, ' ': -9.989103}
{' No': -0.43257272, ' Yes': -1.0547767, 'No': -6.378207, 'Yes': -7.4426246, ' The': -8.662244}
{' No': -0.18010607, ' Yes': -1.8308419, 'No': -5.7103143, 'Yes': -7.677699, '\n': -8.342645}
{' No': -0.017650517, ' Yes': -4.503988, 'No': -5.3389983, '\n': -7.240541, ' The': -7.849361}
{' Yes': -0.6798506, ' No': -0.71397686, 'No': -6.287305, 'Yes': -6.7761407, '\n': -8.415236}
{' No': -0.17043896, ' Yes': -1.898098, 'No': -5.223034, 'Yes': -7.3781567, '\n': -7.813381}
{' No': -0.007355475, 'No': -4.950394, ' The': -9.445873, ' ': -9.970193, '\n': -10.005189}
{' No': -0.0060196547, 'No': -5.1720333, ' Yes': -8.774461, ' The': -9.83124, ' ': -10.0251045}
{' Yes': -0.27000833, ' No': -1.4681761, 'Yes': -5.7969317, 'No': -6.4234776, '\n': -6.957096}
{' No': -0.013935268, ' Yes': -4.6942687, 'No': -5.4674745, ' The': -8.637716, '\n': -9.034901}
{' No': -0.007439363, 'No': -4.966969, ' Yes': -8.358237, ' The': -9.415119, '\n': -9.83483}
{' No': -0.0054540494, 'No': -5.2686944, '\n': -9.153624, ' ': -9.255869, ' no': -10.272546}
{' Yes': -0.02098804, ' No': -3.9880002, 'Yes': -6.368976, ' yes': -8.567874, ' The': -8.959365}
{' No': -0.008351613, 'No': -4.895612, ' Yes': -7.6723413, ' ': -9.03255, '\n': -9.079381}
{' No': -0.041044768, ' Yes': -3.3696024, 'No': -5.278191, ' The': -8.216223, '\n': -8.927326}
{' No': -0.04465988, ' Yes': -3.3080244, 'No': -5.047818, '\n': -8.540265, 'Yes': -8.594396}
{' No': -0.35392907, ' Yes': -1.2371441, 'No': -5.721427, '\n': -6.0313106, 'Yes': -7.0974727}
{' No': -0.019421833, ' Yes': -4.491128, 'No': -4.9143553, '\n': -8.115716, ' ': -8.687303}
{' No': -0.074221194, ' Yes': -2.6763654, 'No': -6.112777, 'Yes': -8.804525, ' The': -8.915237}
{' Yes': -0.28587106, ' No': -1.4052787, 'Yes': -6.410287, 'No': -7.376374, ' The': -7.9856195}
{' Yes': -0.043127865, ' No': -3.193568, 'Yes': -7.068156, ' yes': -9.103107, ' The': -9.20602}
{' Yes': -0.022409966, ' No': -4.003502, 'Yes': -6.135971, ' The': -7.312338, '\n': -7.804749}
{' No': -0.039430134, ' Yes': -3.3769205, 'No': -5.7635694, '\n': -7.5053363, ' The': -8.054665}
{' No': -0.011059018, ' Yes': -5.253624, 'No': -5.258007, ' The': -8.166212, '\n': -9.271428}
{' No': -0.026604952, ' Yes': -3.978322, 'No': -5.0717783, ' The': -7.2383337, '\n': -8.926049}
{' No': -0.033063125, ' Yes': -3.6212914, 'No': -5.357793, ' The': -7.547944, '\n': -8.552621}
{' Yes': -0.010523142, ' No': -4.904112, 'Yes': -5.9570947, ' yes': -8.458302, ' The': -9.492218}
{' Yes': -0.0067410497, ' No': -5.4639974, 'Yes': -6.338434, ' yes': -8.37915, ' The': -8.538233}
{' No': -0.16336018, ' Yes': -1.9246689, 'No': -5.638223, 'Yes': -7.6967306, ' The': -8.279963}
{' No': -0.18223767, ' Yes': -1.8182259, 'No': -5.975961, ' The': -7.4392757, 'Yes': -7.7474017}
{' No': -0.081215546, ' Yes': -2.6274571, 'No': -5.422011, ' The': -7.383485, ' ': -8.434586}
{' No': -0.022203963, ' Yes': -4.1099935, 'No': -5.3686013, ' The': -8.213551, '\n': -8.295492}
{' Yes': -0.49124664, ' No': -0.9563649, 'Yes': -6.1359353, 'No': -6.8170023, ' ': -8.767464}
{' No': -0.067627, ' Yes': -2.783104, 'No': -5.9447823, ' The': -7.871275, 'Yes': -8.426276}
{' No': -0.31407514, ' Yes': -1.3324887, 'No': -5.8156214, 'Yes': -6.8298354, ' The': -7.3813586}
{' No': -0.027497444, ' Yes': -3.8301017, 'No': -5.3912206, '\n': -8.054677, ' The': -8.43234}
{' No': -0.007745301, 'No': -5.2617826, ' Yes': -6.168666, ' ': -8.955211, ' The': -9.011228}
{' No': -0.016222678, ' Yes': -4.6743417, 'No': -5.082457, ' The': -8.418957, '\n': -8.884097}
{' Yes': -0.10001909, ' No': -2.37705, 'Yes': -6.625739, '\n': -8.178025, 'No': -8.337596}
{' No': -0.011188241, ' Yes': -5.1080985, 'No': -5.37832, ' The': -8.641232, '\n': -9.062843}
{' No': -0.018865485, ' Yes': -4.490192, 'No': -5.06937, '\n': -7.2487583, ' The': -8.649849}
{' No': -0.27444318, ' Yes': -1.4628682, 'No': -5.217444, 'Yes': -6.91295, '\n': -7.018519}
{' Yes': -0.007897209, ' No': -5.170037, 'Yes': -6.4043336, '\n': -8.54928, ' yes': -8.764524}
{' No': -0.107352115, ' Yes': -2.3198497, 'No': -5.8661027, ' The': -8.471001, 'Yes': -8.633078}
{' No': -0.11783502, ' Yes': -2.2423408, 'No': -5.705586, '\n': -7.421124, ' The': -7.930205}
