{' Yes': -0.4832697, ' No': -0.96698284, 'Yes': -6.763613, 'No': -6.8934584, ' Nope': -7.4044847}
{' No': -0.008668233, ' Yes': -5.303001, 'No': -5.661134, ' Nope': -9.196933, '\n': -10.506118}
{' No': -0.0019039295, 'No': -6.955052, ' Yes': -7.0084724, '\n': -10.917229, ' Nope': -11.450762}
{' Yes': -0.028280303, ' No': -3.7302227, ' Devil': -6.2275615, 'Yes': -6.644977, ' yes': -8.120803}
{' Yes': -0.5125758, ' No': -1.4773089, ' Devil': -1.8498639, ' Devils': -5.81953, ' Dev': -5.9434886}
{' No': -0.002446978, 'No': -6.1193933, ' Yes': -8.461827, '\n': -11.155795, ' ': -11.713539}
{' No': -0.0018801629, 'No': -6.8580313, ' Yes': -7.1836634, '\n': -10.193285, ' Nope': -11.28951}
{' Yes': -0.0005327809, 'Yes': -7.6884694, ' No': -10.105658, ' yes': -10.859, ' YES': -11.962484}
{' Yes': -0.005117893, ' No': -5.3963723, 'Yes': -7.6838036, ' yes': -9.885078, ' Sure': -11.423194}
{' No': -0.0027241434, 'No': -5.936205, ' Yes': -9.915773, '\n': -11.245902, ' ': -11.855738}
{' No': -0.00155219, 'No': -6.5168705, ' Yes': -9.968507, '\n': -11.431413, ' Nope': -11.920747}
{' Yes': -0.24923411, ' No': -1.5197705, 'Yes': -6.905646, 'No': -7.411744, ' Major': -9.153294}
{' No': -0.04043064, ' Yes': -3.2998738, 'No': -6.1843076, ' Major': -7.6947403, ' Nope': -9.08281}
{' No': -0.0026298345, 'No': -5.9865813, ' Yes': -9.24574, '\n': -11.885417, ' ': -12.400068}
{' No': -0.0021439076, 'No': -6.1796894, ' Yes': -9.953714, '\n': -11.743331, ' Nope': -12.040461}
{' Yes': -0.005394298, ' No': -5.522854, 'Yes': -6.8862386, ' Worst': -8.494545, ' Nope': -10.351732}
{' Yes': -0.020269375, ' Worst': -4.2670727, ' No': -5.8082237, 'Yes': -6.6804895, ' W': -7.792164}
{' No': -0.0024932271, 'No': -6.068128, ' Yes': -8.819696, ' Nope': -11.252799, '\n': -12.030073}
{' No': -0.0012961207, 'No': -6.8120775, ' Yes': -8.994435, ' Nope': -9.904321, '\n': -11.527039}
{' Yes': -0.119843595, ' No': -2.8704479, ' Pound': -2.9306686, 'Yes': -6.7595572, ' Nope': -7.159704}
{' Yes': -0.043430295, ' No': -3.2323034, ' Pound': -6.756099, 'Yes': -6.8972373, ' Nope': -8.06572}
{' No': -0.0011812402, 'No': -6.780865, ' Nope': -10.770081, ' Yes': -11.539606, '\n': -11.865092}
{' No': -0.0012622814, 'No': -6.728349, ' Yes': -10.368066, '\n': -11.205172, ' Nope': -11.481373}
{' Yes': -0.094764024, ' No': -2.4291832, 'Yes': -6.506997, ' Nope': -8.173691, 'No': -8.234395}
{' Yes': -0.21751796, ' Dirty': -1.8404579, ' Dirt': -3.728504, ' No': -5.396435, 'Yes': -5.707725}
{' No': -0.0042096972, ' Yes': -6.0693016, 'No': -6.2902603, '\n': -11.269408, ' Nope': -11.859651}
{' No': -0.0086337235, ' Yes': -5.051949, 'No': -6.518973, ' Nope': -7.3324685, '\n': -10.893384}
{' Yes': -0.005759802, 'Yes': -5.317643, ' yes': -8.03096, ' YES': -8.516645, ' Space': -9.2149315}
{' Yes': -0.003037793, 'Yes': -6.121623, ' No': -7.7843657, ' yes': -8.971707, ' Space': -9.127078}
{' No': -0.0018251647, 'No': -6.3487034, ' Yes': -10.109592, '\n': -11.291028, ' Nope': -11.449777}
{' No': -0.002071336, 'No': -6.2026863, ' Yes': -10.916442, '\n': -11.241935, ' ': -12.168875}
{' Yes': -0.091382414, ' No': -3.4579566, 'rupt': -4.1851397, 'Yes': -5.197494, ' Up': -5.6551733}
{' Yes': -0.3446101, ' No': -2.4304047, 'rupt': -3.4570832, 'upt': -3.78931, ' Cor': -4.1595216}
{' No': -0.0016111122, 'No': -6.484939, ' Yes': -9.768119, '\n': -11.539592, ' Nope': -11.888467}
{' No': -0.0018546645, 'No': -6.3555894, ' Yes': -9.56876, ' Nope': -10.517139, '\n': -11.513907}
{' Yes': -0.17884304, ' No': -1.8179555, 'Yes': -7.078764, 'No': -8.528179, ' Nope': -8.630154}
{' Yes': -0.13072015, ' Swamp': -2.8210008, ' No': -3.2818792, ' Sw': -4.6846037, 'Yes': -5.638739}
{' No': -0.00567384, ' Yes': -5.3763285, 'No': -6.905235, '\n': -11.382991, 'Yes': -12.128408}
{' No': -0.007692202, ' Yes': -5.032673, 'No': -6.8324084, ' Nope': -10.780513, '\n': -11.078085}
{' Armor': -0.3454017, ' Yes': -1.3225344, ' No': -4.015476, ' Armour': -6.0830226, ' armor': -6.545349}
{' Yes': -0.15474619, ' No': -2.056352, ' Armor': -4.298194, 'Yes': -6.982362, 'No': -7.987632}
{' No': -0.0018318535, 'No': -6.371138, ' Yes': -9.415519, '\n': -10.883491, ' Nope': -11.565883}
{' No': -0.0025099576, 'No': -6.0057096, ' Yes': -10.498965, '\n': -12.139623, ' ': -12.446473}
{' Yes': -0.30772462, ' No': -1.3362738, 'Yes': -6.7644525, 'No': -7.3189244, ' Nope': -9.003831}
{' No': -0.07783273, ' Yes': -2.633041, 'No': -6.491935, ' Nope': -6.925561, ' Ex': -8.22984}
{' No': -0.0048199417, 'No': -6.016428, ' Yes': -6.063379, '\n': -11.078126, ' Nope': -11.347695}
{' No': -0.0015863383, 'No': -6.5826025, ' Yes': -8.640264, ' Nope': -11.402161, '\n': -12.048324}
{' Yes': -0.016557975, ' Still': -4.435473, 'Yes': -6.4241915, ' No': -6.6774735, ' yes': -8.123066}
{' Yes': -0.03443842, ' No': -3.693166, ' Still': -4.8808966, 'Yes': -6.907065, ' yes': -9.191591}
{' No': -0.0016196509, 'No': -6.6808205, ' Yes': -8.047525, '\n': -10.615673, ' Nope': -11.468429}
{' No': -0.0032828294, 'No': -5.794239, ' Yes': -8.579712, '\n': -10.596642, ' ': -11.629165}
{' Yes': -0.0013652946, 'Yes': -7.2457843, ' Hello': -7.4700904, ' No': -10.403188, ' yes': -11.008986}
{' Yes': -0.0008644729, 'Yes': -7.364614, ' No': -9.106007, ' Hello': -9.526405, ' yes': -10.988091}
{' No': -0.0024910758, 'No': -6.04874, ' Yes': -9.552945, ' Nope': -10.033646, '\n': -12.095437}
{' No': -0.0018287484, 'No': -6.4563875, ' Yes': -8.371598, ' Nope': -11.105511, '\n': -12.446018}
{' Yes': -0.020948477, ' Purs': -5.1387095, ' Pur': -5.15143, 'Yes': -5.5190105, ' Sure': -5.6676826}
{' Yes': -0.04636722, ' No': -3.6912665, ' Purs': -5.081825, 'Yes': -5.353788, ' Pur': -5.7089105}
{' No': -0.0012828698, 'No': -7.029679, ' Yes': -8.053008, ' Nope': -9.900137, '\n': -11.058387}
{' No': -0.0017283128, 'No': -6.5303707, ' Yes': -8.393963, ' Nope': -10.9733305, '\n': -11.143166}
{' Yes': -0.06472765, ' No': -2.8706512, 'Yes': -5.6679034, ' Actor': -6.947017, ' yes': -7.3514524}
{' No': -0.11043061, ' Yes': -2.375104, ' Actor': -4.999263, 'No': -5.8758216, ' Nope': -7.434622}
{' No': -0.0008801634, 'No': -7.1156635, ' Yes': -10.345762, ' Nope': -10.924485, '\n': -11.530068}
{' No': -0.0019617374, 'No': -6.2625775, ' Yes': -10.563102, '\n': -11.500348, ' Nope': -11.914263}
{' Yes': -0.0063056694, ' Smoke': -5.7478733, 'Yes': -6.065338, ' No': -8.026049, ' YES': -9.296031}
{' Yes': -0.010917038, ' No': -4.864011, 'Yes': -6.108114, ' Smoke': -7.912595, ' Nope': -8.503951}
{' No': -0.00138374, 'No': -6.6021256, ' Yes': -11.44422, '\n': -12.326483, ' Nope': -12.479044}
{' No': -0.0024270841, 'No': -6.0340333, '\n': -11.576254, ' Yes': -11.630521, ' ': -12.250765}
{' No': -0.26864374, ' Yes': -1.4807274, ' Nope': -5.3461065, 'No': -6.5608034, ' Maybe': -7.468285}
{' No': -0.04194087, ' Yes': -3.3802814, ' Nope': -5.56599, 'No': -5.8978496, 'Yes': -9.24477}
{' No': -0.0015823987, 'No': -6.630936, ' Yes': -8.968897, ' Nope': -9.205674, '\n': -10.763798}
{' No': -0.001428386, 'No': -6.586299, ' Nope': -10.914809, ' Yes': -11.119371, '\n': -11.7723}
{' Yes': -0.18725488, ' No': -1.775483, 'Yes': -7.029273, ' Nope': -8.279325, 'No': -8.643422}
{' Yes': -0.65017354, ' No': -0.7472234, ' False': -5.8644166, ' Nope': -7.314499, 'Yes': -7.7317233}
{' No': -0.0013668461, 'No': -6.6867414, ' Nope': -9.551685, ' Yes': -10.259207, '\n': -11.69146}
{' No': -0.0018000858, 'No': -6.3504367, ' Yes': -10.367154, '\n': -11.411586, ' Nope': -12.331719}
{' Yes': -0.0047292663, ' No': -5.5202436, 'Yes': -7.3696427, ' yes': -10.9884815, ' Watch': -11.217924}
{' Yes': -0.1484433, ' No': -1.9927788, 'Yes': -7.211231, ' Nope': -7.7957516, 'No': -8.245907}
{' No': -0.012756997, ' Yes': -4.45472, 'No': -6.9258657, '\n': -10.819082, ' Nope': -10.891566}
{' No': -0.0136347385, ' Yes': -4.3532224, 'No': -7.4091806, '\n': -10.543983, ' Nope': -10.625158}
{' Yes': -0.03656756, ' Spice': -4.067093, ' No': -4.6244106, 'Yes': -5.581207, ' Sp': -6.094251}
{' Yes': -0.024563681, ' No': -4.377879, ' Spice': -5.2033944, 'Yes': -5.744843, ' Nope': -6.90258}
{' No': -0.0015579807, ' Yes': -7.2028966, 'No': -7.241969, ' Nope': -9.655738, '\n': -10.852217}
{' No': -0.001217047, 'No': -7.0485096, ' Yes': -8.150013, ' Nope': -10.491478, '\n': -10.856247}
{' Yes': -0.00089567545, 'Yes': -7.3397956, ' yes': -9.775267, ' YES': -10.320433, ' Absolutely': -10.590757}
{' Yes': -0.012154685, ' No': -4.6071477, 'Yes': -7.157718, ' Under': -7.4208035, ' Absolutely': -9.160043}
{' No': -0.0130081065, ' Yes': -4.437631, 'No': -6.893833, '\n': -10.318401, ' Nope': -10.603492}
{' No': -0.0025494588, ' Yes': -6.551638, 'No': -6.900019, ' Nope': -9.432321, '\n': -11.149648}
{' Yes': -0.0045872238, ' No': -5.6585345, 'Yes': -7.284929, ' Crack': -8.289656, ' Cr': -9.687394}
{' Yes': -0.013594437, ' No': -4.3504167, 'Yes': -7.5678697, ' yes': -10.712368, 'No': -11.39546}
{' No': -0.0012603713, 'No': -6.7572856, ' Yes': -9.655246, ' Nope': -11.212941, '\n': -11.331423}
{' No': -0.0013333644, 'No': -6.7721653, ' Yes': -8.798578, '\n': -11.093671, ' Nope': -11.210051}
{' Yes': -0.024964796, ' Ar': -4.679916, ' No': -5.435081, ' Arg': -5.812673, 'Yes': -6.065532}
{' Yes': -0.06265428, ' No': -3.0618856, ' Ar': -5.385036, ' Arg': -5.7926683, 'Yes': -6.277714}
{' No': -0.0018312575, 'No': -6.361381, ' Yes': -9.321877, '\n': -12.207686, ' ': -12.330166}
{' No': -0.002236558, 'No': -6.1483827, ' Yes': -9.581075, '\n': -11.324699, ' ': -11.849428}
{' Yes': -0.0007977198, ' No': -7.8653507, 'Yes': -7.921823, ' yes': -10.616022, ' YES': -11.479834}
{' Yes': -0.00811964, ' No': -4.9060307, 'Yes': -7.556919, ' yes': -9.91939, ' YES': -10.468693}
{' No': -0.0017870076, 'No': -6.3528643, ' Yes': -11.043887, ' Nope': -11.368182, '\n': -11.836056}
{' No': -0.0022486846, 'No': -6.1231246, ' Yes': -10.199655, '\n': -12.085877, ' Nope': -12.282289}
{' Yes': -0.003554422, 'Yes': -6.3862906, ' No': -6.7175684, ' Yep': -9.267761, ' Yeah': -9.348966}
{' Yes': -0.00771683, ' No': -5.6284647, 'Yes': -6.305262, ' Sadly': -7.9993367, ' Yeah': -8.32117}
{' No': -0.0023880654, 'No': -6.6887717, ' Yes': -6.797195, '\n': -11.759933, ' Nope': -11.867953}
{' No': -0.0034130847, ' Yes': -6.0425744, 'No': -6.9160485, ' Nope': -11.012523, '\n': -11.410904}
{' Yes': -0.2864861, ' Goose': -1.6279073, ' No': -3.1378634, ' Nope': -5.4068494, 'Yes': -6.2562656}
{' Yes': -0.14929315, ' No': -2.038972, ' Goose': -5.1126494, 'Yes': -6.735215, ' Nope': -7.107009}
{' No': -0.00200235, 'No': -6.8606977, ' Yes': -7.0970263, ' Nope': -9.423661, '\n': -10.530015}
{' No': -0.0025271086, 'No': -6.2917495, ' Yes': -7.350335, '\n': -11.204934, ' Nope': -11.825795}
{' No': -0.0052081225, ' Yes': -5.794274, 'No': -6.8025823, ' Nope': -7.067343, ' Ocean': -8.9888735}
{' No': -0.009538118, ' Yes': -5.525274, ' Nope': -6.2837043, 'No': -6.3657875, ' Ocean': -6.3672624}
{' No': -0.0014100596, 'No': -6.579256, ' Yes': -11.8601465, '\n': -12.274401, ' Nope': -12.561492}
{' No': -0.0010347478, 'No': -6.8950467, ' Nope': -11.840786, '\n': -12.214625, ' Yes': -12.267669}
{' Yes': -0.5465207, ' No': -0.87120104, 'No': -6.9414315, 'Yes': -7.019873, ' Nope': -7.5489235}
{' Yes': -0.13486479, ' No': -2.090557, 'Yes': -6.669121, 'No': -8.010504, ' Nope': -8.444345}
{' No': -0.0015151781, 'No': -6.5138154, ' Nope': -11.274829, '\n': -11.577339, ' ': -12.301621}
{' No': -0.0011178653, 'No': -6.8526173, ' Yes': -10.481747, ' Nope': -11.153985, '\n': -11.598556}
{' Yes': -0.04513199, ' Gross': -3.5267262, ' No': -4.740185, 'Yes': -6.0493426, ' Gro': -6.8383265}
{' Yes': -0.044834286, ' Gross': -3.5654316, ' No': -4.726639, 'Yes': -6.204256, ' Cross': -6.6246862}
{' No': -0.0021985061, 'No': -6.5856404, ' Yes': -7.175671, ' Nope': -10.310454, '\n': -11.686473}
{' No': -0.002212066, 'No': -6.754375, ' Yes': -6.9191904, ' Nope': -10.227975, '\n': -11.393751}
{' Yes': -0.0010770509, 'Yes': -7.092595, ' Yep': -9.524449, ' YES': -10.030761, ' Phone': -10.531531}
{' Yes': -0.0011067076, 'Yes': -7.239914, ' No': -8.960726, ' Yep': -9.524353, ' Nope': -10.051536}
{' No': -0.0020974951, 'No': -6.1763043, '\n': -11.80135, ' ': -12.047376, ' Nope': -13.484372}
{' No': -0.0020946276, 'No': -6.1809974, '\n': -11.460966, ' ': -11.9812355, ' Yes': -12.775074}
{' Yes': -0.6904168, ' No': -1.2954468, ' Guard': -1.5679307, ' Guardian': -5.4398217, 'Guard': -5.8986197}
{' No': -0.3600835, ' Yes': -1.3638103, ' Guard': -3.2284799, 'No': -5.715943, ' Guardian': -6.933823}
{' No': -0.0075310627, ' Yes': -5.13415, 'No': -6.4650807, '\n': -10.530186, 'Yes': -11.41802}
{' No': -0.009026632, ' Yes': -4.9757013, 'No': -6.205323, '\n': -10.49643, 'Yes': -11.1235485}
{' Yes': -0.0016286067, 'Yes': -6.6036677, ' No': -9.322831, ' yes': -10.02152, ' YES': -10.325655}
{' Yes': -0.003928889, 'Yes': -5.9342513, ' Swe': -7.857188, ' Sweet': -8.054889, ' yes': -8.609418}
{' No': -0.002200773, 'No': -6.140548, ' Yes': -11.14646, '\n': -11.294934, ' Nope': -11.649083}
{' No': -0.0009810467, 'No': -7.1013036, ' Yes': -8.997158, ' Nope': -10.866839, '\n': -11.814412}
{' Yes': -0.19826297, ' No': -1.7384697, ' Grass': -5.876695, 'Yes': -7.100275, 'No': -8.653393}
{' Yes': -0.1600485, ' No': -1.9274607, ' Grass': -6.7263513, 'Yes': -7.066939, 'No': -8.6996355}
{' No': -0.0025986985, ' Yes': -6.4188695, 'No': -6.9991746, ' Nope': -10.837606, '\n': -11.194051}
{' No': -0.004418499, ' Yes': -5.7053366, 'No': -6.869485, '\n': -10.989445, ' Nope': -11.800978}
{' Yes': -0.002320435, 'Yes': -6.4995484, ' No': -7.4809065, ' yes': -9.063268, ' YES': -10.149292}
{' Yes': -0.0050561866, 'Yes': -5.976281, ' No': -6.550048, ' yes': -8.140584, ' Beard': -8.447336}
{' No': -0.0014878974, 'No': -6.5398, ' Yes': -11.030617, ' Nope': -11.165737, '\n': -12.18367}
{' No': -0.0017275966, 'No': -6.379401, ' Yes': -11.430328, '\n': -11.719216, ' Nope': -12.097421}
{' Yes': -0.0474067, ' No': -3.4721599, ' Girls': -4.5537105, 'Yes': -5.9048243, ' G': -7.719407}
{' Yes': -0.07071477, ' No': -2.9400635, ' Girls': -4.3693786, 'Yes': -6.746675, ' G': -7.806024}
{' No': -0.0028458384, 'No': -6.3565464, ' Yes': -7.4217315, ' Nope': -7.6432376, '\n': -11.132646}
{' No': -0.004830004, ' Yes': -5.6453395, 'No': -6.7319393, '\n': -10.104063, ' Nope': -10.522928}
{' Yes': -0.004637405, ' No': -5.8203454, 'Yes': -6.711737, ' YES': -9.201644, ' Nope': -9.510003}
{' Yes': -0.09743923, ' No': -2.3959432, 'Yes': -6.946745, ' Nope': -8.591487, 'No': -8.620843}
{' No': -0.0026093964, 'No': -6.0695515, ' Yes': -8.216507, '\n': -11.792186, ' Nope': -11.85342}
{' No': -0.0021370987, 'No': -6.2836275, ' Yes': -8.337529, '\n': -11.213818, ' ': -12.138334}
{' No': -0.21291594, ' Yes': -1.6641393, ' Nope': -6.6017876, 'No': -7.2554326, 'Yes': -8.516889}
{' Yes': -0.09875234, ' No': -2.3741982, 'Yes': -7.288699, ' Nope': -9.248426, 'No': -9.356241}
{' No': -0.0016880711, 'No': -6.4004207, ' Yes': -11.615184, '\n': -12.08505, ' ': -12.412869}
{' No': -0.0020888334, 'No': -6.1938777, ' Yes': -10.654942, '\n': -11.7222395, ' ': -12.270714}
{' Yes': -0.0740357, ' No': -3.0796127, ' Lo': -4.470787, ' Lose': -4.547781, 'Yes': -6.35552}
{' Yes': -0.07259043, ' No': -3.5143359, ' Lose': -3.8980641, ' Lo': -4.1049104, 'Yes': -6.333275}
{' No': -0.0030972238, 'No': -5.789277, ' Yes': -11.408788, '\n': -11.68232, ' ': -12.114188}
{' No': -0.0034096164, 'No': -5.6957374, '\n': -11.113597, ' Yes': -11.192528, ' ': -11.547416}
{' Yes': -0.19680741, ' No': -1.7350365, 'Yes': -6.413373, 'No': -7.907277, ' Nope': -9.217568}
{' Yes': -0.10775127, ' No': -2.3166156, 'Yes': -5.8785105, 'No': -7.9956, ' Nope': -9.019216}
{' No': -0.0018415854, 'No': -6.375738, ' Yes': -9.157835, '\n': -11.14972, ' Nope': -11.908616}
{' No': -0.0011123761, 'No': -6.946079, ' Yes': -9.109503, '\n': -10.872366, ' Nope': -11.33645}
{' Yes': -0.0039474377, ' No': -5.865464, 'Yes': -6.8917527, ' yes': -10.473166, ' YES': -11.027461}
{' Yes': -0.0072561083, ' No': -5.8145385, ' Seven': -5.972086, 'Yes': -6.7424483, ' yes': -8.955684}
{' No': -0.004367792, ' Yes': -5.9931946, 'No': -6.306457, '\n': -11.127848, ' Nope': -11.6763525}
{' No': -0.0028816431, ' Yes': -6.31331, 'No': -6.873111, ' Nope': -11.382434, '\n': -11.609028}
{' Yes': -0.0022241923, 'Yes': -6.3016605, ' No': -8.765003, ' YES': -10.062871, ' yes': -10.106598}
{' Yes': -0.036196742, ' No': -3.3749454, 'Yes': -6.853997, ' Nope': -9.035248, 'No': -9.5736265}
{' No': -0.002067753, 'No': -6.2071877, ' Yes': -10.8777275, '\n': -11.469527, ' Nope': -11.650654}
{' No': -0.00237337, 'No': -6.0561986, '\n': -11.568649, ' Yes': -11.759357, ' ': -12.310442}
{' Rough': -0.48702338, ' Yes': -1.0600958, ' No': -3.6252258, ' Tough': -4.866681, ' Nope': -6.5155}
{' Rough': -0.5993175, ' Yes': -1.0205861, ' No': -2.5053825, ' Tough': -5.4972453, ' Nope': -6.160007}
{' No': -0.0010086722, 'No': -7.0137153, ' Yes': -9.674045, ' Nope': -10.343171, '\n': -12.153857}
{' No': -0.0015834725, 'No': -6.531332, ' Yes': -9.300905, '\n': -11.039314, ' Nope': -11.890718}
{' Yes': -0.23513824, ' Dance': -2.1527674, ' No': -2.5283053, 'Yes': -5.218954, ' Chance': -6.0916653}
{' No': -0.07946095, ' Yes': -2.7162044, ' Dance': -5.3176885, ' Nope': -5.993284, 'No': -6.151647}
{' No': -0.030336734, ' Yes': -3.5662043, 'No': -6.5018253, 'Yes': -10.265032, ' Nope': -10.3437195}
{' No': -0.047206417, ' Yes': -3.1074917, 'No': -6.6664248, 'Yes': -9.964883, '\n': -10.360015}
{' Yes': -0.0389449, ' No': -3.2934687, 'Yes': -7.067954, ' yes': -9.508144, ' Salad': -10.050609}
{' Yes': -0.0041422416, ' No': -5.7125254, 'Yes': -7.2212195, ' yes': -9.853646, ' YES': -11.060691}
{' No': -0.0017673635, 'No': -6.394559, ' Yes': -9.45963, '\n': -11.588143, ' ': -12.96392}
{' No': -0.0019150386, 'No': -6.375498, ' Yes': -8.569199, '\n': -11.702425, ' Nope': -12.244997}
{' Yes': -0.08697147, ' No': -2.6653538, ' Looks': -4.7752666, 'Yes': -5.720284, ' Lo': -7.7934017}
{' Yes': -0.11851793, ' No': -2.3911123, ' Looks': -4.4319696, 'Yes': -5.5793095, ' Lo': -6.3093143}
{' No': -0.0019496174, 'No': -6.313223, ' Yes': -9.082682, '\n': -11.413339, ' Nope': -12.552679}
{' No': -0.001875266, 'No': -6.352674, ' Yes': -9.121593, '\n': -11.697131, ' Nope': -12.099263}
{' Store': -0.677758, ' Yes': -0.7644604, ' Sure': -3.7041728, 'Yes': -7.0520806, 'Store': -7.6195297}
{' Yes': -0.16568579, ' Store': -2.0048335, ' Sure': -4.3584895, ' St': -6.459923, 'Yes': -6.6179276}
{' No': -0.0016370243, ' Yes': -7.095549, 'No': -7.185417, ' Nope': -10.363359, '\n': -11.751428}
{' No': -0.005236704, ' Yes': -5.433966, 'No': -7.32972, ' Nope': -8.630952, '\n': -12.102035}
{' Yes': -0.0010238267, 'Yes': -7.0901194, ' Break': -9.649232, ' yes': -9.786841, ' No': -10.780883}
{' Yes': -0.0015338629, 'Yes': -7.1138864, ' No': -7.4444714, ' yes': -10.226114, ' Break': -10.462008}
{' No': -0.0017018636, 'No': -6.391176, '\n': -11.428672, ' ': -12.114609, ' Yes': -12.362204}
{' No': -0.0018630251, 'No': -6.2963457, '\n': -11.742382, ' Nope': -12.532241, ' ': -12.74315}
{' Yes': -0.086017355, ' No': -2.5342023, 'Yes': -6.0176797, 'No': -8.518157, ' Parts': -8.633679}
{' Yes': -0.02952784, ' No': -3.6284103, 'Yes': -6.0649257, 'No': -9.76471, ' yes': -9.967343}
{' No': -0.0023450481, 'No': -6.0838304, ' Yes': -10.151975, '\n': -11.722179, ' Nope': -12.065603}
{' No': -0.0020989294, 'No': -6.187556, ' Yes': -10.770633, '\n': -11.797376, ' Nope': -12.229087}
{' Yes': -0.0191459, ' Sh': -4.548153, 'Yes': -5.8406715, ' Show': -6.5965223, ' Sho': -6.8031826}
{' Yes': -0.10170349, ' Sh': -2.7099473, ' Sho': -4.775397, ' Show': -5.4185824, ' Nope': -5.7936735}
{' No': -0.0020113704, 'No': -6.252829, ' Yes': -9.705391, '\n': -11.345697, ' ': -12.209893}
{' No': -0.0013339615, 'No': -6.854359, ' Yes': -8.626979, ' Nope': -9.483707, '\n': -11.274443}
{' Yes': -0.022661377, ' Sy': -4.0476627, 'Yes': -5.841644, ' No': -7.3127155, ' yes': -7.9351225}
{' Yes': -0.0111824535, ' Sy': -5.084615, 'Yes': -5.611209, ' No': -7.875449, ' yes': -8.039783}
{' No': -0.0018558585, 'No': -6.298042, ' Nope': -12.243498, '\n': -12.52966, ' ': -12.806624}
{' No': -0.0026383807, 'No': -5.9460588, '\n': -11.871297, ' Nope': -12.393809, ' ': -12.602161}
{' Yes': -0.00066458626, 'Yes': -7.523524, ' yes': -10.073595, ' YES': -10.5035, ' No': -10.780044}
{' Yes': -0.0013212465, ' No': -7.13663, 'Yes': -7.6895037, ' yes': -10.400766, ' YES': -11.177847}
{' No': -0.0013556245, 'No': -6.6748056, ' Yes': -9.655831, '\n': -11.415923, ' Nope': -11.732944}
{' No': -0.0019034519, 'No': -6.2891903, ' Yes': -10.939744, '\n': -11.348603, ' Nope': -11.863037}
{' Yes': -0.09103563, ' No': -2.4509866, 'Yes': -7.3703036, 'No': -8.984666, ' yes': -10.2830305}
{' Yes': -0.009660945, ' No': -4.7279797, 'Yes': -7.339159, ' yes': -9.991924, 'No': -10.791348}
{' No': -0.0020621954, 'No': -6.2628417, ' Yes': -8.921204, '\n': -11.604263, ' ': -12.2641115}
{' No': -0.0019667533, 'No': -6.255504, ' Yes': -10.677628, '\n': -11.67354, ' ': -11.903261}
{' Yes': -0.00067472464, 'Yes': -7.3372636, ' yes': -11.594887, ' No': -12.189403, ' YES': -12.724977}
{' Yes': -0.001109272, 'Yes': -7.069707, ' Where': -8.785146, ' No': -9.786321, ' yes': -11.707023}
{' No': -0.0010343883, 'No': -6.968046, ' Yes': -9.900963, ' Nope': -10.362967, ' ': -12.738224}
{' No': -0.0013274547, 'No': -6.708566, ' Nope': -9.633458, ' Yes': -10.596454, '\n': -11.834184}
{' Yes': -0.015255195, ' No': -5.06164, ' Arrow': -5.182682, 'Yes': -5.849825, ' yes': -9.391724}
{' Yes': -0.07186801, ' Arrow': -2.8717604, ' No': -4.7431097, 'Yes': -5.8790193, 'arrow': -8.037651}
{' No': -0.0018162681, 'No': -6.344393, ' Yes': -10.25959, ' Nope': -11.78875, '\n': -11.938925}
{' No': -0.0017889787, 'No': -6.352865, ' Yes': -10.788942, '\n': -11.698035, ' Nope': -11.78431}
{' Yes': -0.065949075, ' No': -2.7974608, 'Yes': -6.400916, 'No': -7.810963, ' Nope': -7.8923535}
{' Yes': -0.009584513, ' No': -5.075657, 'Yes': -6.381563, ' Chain': -6.8491282, ' Nope': -8.864013}
{' No': -0.0021045445, 'No': -6.1831803, ' Yes': -10.957327, '\n': -11.741727, ' Nope': -11.929806}
{' No': -0.0019108577, 'No': -6.344571, ' Yes': -9.138345, ' Nope': -10.84519, '\n': -11.585337}
{' Yes': -0.0036073045, ' No': -5.822985, 'Yes': -7.429894, ' yes': -10.400698, ' ': -12.452774}
{' Yes': -0.15769647, ' No': -1.9305047, 'Yes': -7.413468, 'No': -8.886997, ' yes': -10.505}
{' No': -0.002207643, 'No': -6.1332455, ' Yes': -10.838602, '\n': -11.930467, ' ': -12.17814}
{' No': -0.0016847276, 'No': -6.401293, '\n': -11.695378, ' Yes': -12.044065, ' ': -12.234012}
{' Yes': -0.014833155, ' Heart': -4.4106364, 'Yes': -6.13158, ' YES': -9.397605, ' No': -9.479372}
{' Yes': -0.02833561, ' Heart': -3.6878393, 'Yes': -6.1906033, ' No': -7.901555, ' Hearts': -9.343143}
{' No': -0.0021737756, 'No': -6.1720285, ' Yes': -9.670503, '\n': -11.40789, ' ': -12.21729}
{' No': -0.00159159, 'No': -6.469431, ' Yes': -10.777099, '\n': -11.651239, ' ': -12.286182}
{' Yes': -0.016871687, ' Horse': -4.324079, ' Sure': -6.356378, 'Yes': -6.4906993, ' Yeah': -10.653602}
{' Yes': -0.0021470138, 'Yes': -6.588041, ' Horse': -7.633668, ' Sure': -8.646783, ' No': -9.9607725}
{' No': -0.0022777189, 'No': -6.1644874, ' Yes': -8.825401, '\n': -11.247901, ' ': -12.180222}
{' No': -0.0046581808, 'No': -5.4469013, ' Yes': -8.120861, '\n': -10.735923, ' ': -11.912083}
{' No': -0.5032145, ' Yes': -0.9299093, 'No': -7.8050504, 'Yes': -8.338283, ' Nope': -9.023249}
{' No': -0.31943613, ' Yes': -1.3011428, 'No': -7.4817357, ' Nope': -7.939933, 'Yes': -8.5999975}
