{' Yes': -0.13539301, ' No': -2.1033745, 'Yes': -5.6440215, 'No': -7.5718822, ' The': -8.168239}
{' No': -0.021376885, ' Yes': -3.9515543, 'No': -6.507615, ' Pain': -9.02659, ' ': -9.358612}
{' No': -0.00976898, ' Yes': -4.7301726, 'No': -7.1790004, ' ': -10.131656, '\n': -10.193913}
{' No': -0.0019920783, 'No': -6.2297673, ' ': -11.685823, ' no': -12.442552, ' Not': -12.705314}
{' No': -0.029604826, ' Yes': -3.6173847, 'No': -6.5403543, ' The': -7.6491838, ' ': -9.010738}
{' No': -0.020884328, ' Yes': -3.9543538, 'No': -6.670768, ' ': -9.618611, ' The': -9.915901}
{' Yes': -0.85878736, ' No': -1.1203173, ' Dive': -1.3921126, 'Yes': -7.591022, ' dive': -8.3405485}
{' No': -0.16504487, ' Yes': -1.8952657, 'No': -6.816337, 'Yes': -8.022763, ' Dive': -8.7807045}
{' Yes': -0.012452898, ' No': -4.635759, 'Yes': -6.114897, ' yes': -8.818565, ' The': -8.969444}
{' Yes': -0.056873303, ' No': -2.938343, 'Yes': -6.5113974, ' yes': -8.570864, ' ': -8.712586}
{' Yes': -0.0020712158, 'Yes': -6.444885, ' No': -8.661451, ' yes': -9.281079, ' Bush': -9.446946}
{' Yes': -0.057535414, ' No': -2.9177973, 'Yes': -7.1675262, ' Bush': -7.4254704, ' yes': -8.896576}
{' No': -0.21032964, ' Yes': -1.6694856, 'No': -7.363577, ' Near': -8.239264, 'Yes': -8.808876}
{' No': -0.5108305, ' Yes': -0.9672362, ' Near': -4.0512013, 'No': -7.218388, ' The': -7.941155}
{' No': -0.0028005897, 'No': -6.482893, ' Yes': -6.765398, ' ': -9.933441, ' The': -10.666262}
{' Yes': -0.3379874, ' No': -1.2544683, 'Yes': -6.878539, 'No': -7.9722266, ' yes': -9.851397}
{' Yes': -0.052328195, ' No': -3.0035932, 'Yes': -7.1140857, ' yes': -8.821831, ' Navy': -8.840808}
{' Yes': -0.47120288, ' No': -1.0024301, ' Navy': -5.062147, 'Yes': -7.196274, ' The': -7.615139}
{' No': -0.0020649438, 'No': -6.3446794, ' Not': -8.401499, '\n': -10.701227, ' ': -10.763442}
{' No': -0.0010299757, 'No': -7.2686024, ' Yes': -8.879124, ' The': -9.784628, ' ': -10.133314}
{' No': -0.031364903, ' Yes': -3.5179658, 'No': -7.1487756, ' The': -8.858768, ' ': -9.371986}
{' No': -0.03919164, ' Yes': -3.2864566, 'No': -7.538007, ' Unfortunately': -8.436526, ' Nope': -9.133065}
{' No': -0.004562553, ' Yes': -5.611477, 'No': -7.2834435, ' The': -9.308043, ' ': -10.229811}
{' No': -0.0014545902, 'No': -7.0402856, ' Yes': -7.9062357, '\n': -9.368112, ' The': -10.144647}
{' Yes': -0.0708124, ' No': -2.7073174, 'Yes': -6.6936836, 'No': -9.155987, ' yes': -9.582399}
{' No': -0.3300584, ' Yes': -1.2757351, 'No': -7.1558256, ' The': -7.726291, 'Yes': -8.014909}
{' No': -0.026577529, ' Yes': -3.7072165, 'No': -6.697256, ' ': -8.768686, '\n': -8.9210415}
{' No': -0.10254886, ' Yes': -2.3401434, 'No': -7.2287498, 'Yes': -9.136238, ' The': -9.45152}
{' Yes': -0.0982597, ' No': -2.3813102, 'Yes': -7.394291, ' The': -9.054453, ' yes': -9.252354}
{' Yes': -0.37531278, ' No': -1.1693592, ' Bird': -7.3029075, 'Yes': -7.6526527, ' The': -7.8119164}
{' Yes': -0.0024307882, 'Yes': -6.7436476, ' No': -6.8444796, ' The': -9.668868, ' yes': -9.804146}
{' Yes': -0.0022774795, ' No': -6.802009, 'Yes': -6.867405, ' yes': -9.424604, ' YES': -10.754297}
{' No': -0.14297593, ' Yes': -2.019723, 'No': -8.139973, 'Yes': -9.548747, ' ': -9.7136545}
{' Yes': -0.013022962, ' No': -4.5083365, 'Yes': -6.8590746, ' The': -7.8281045, '\n': -8.646516}
{' No': -0.33943325, ' Yes': -1.2722603, ' Tool': -5.606069, ' Too': -6.4029703, 'No': -7.527858}
{' No': -0.08842919, ' Yes': -2.5153909, ' Too': -6.846434, 'No': -7.15227, ' ': -7.248074}
{' Yes': -0.20536216, ' No': -1.6907995, 'Yes': -7.3969417, ' The': -8.606643, 'No': -8.862421}
{' Yes': -0.5076481, ' No': -0.92521626, 'Yes': -7.1207266, 'No': -7.818853, ' The': -8.84217}
{' Yes': -0.30380562, ' No': -1.344827, 'Yes': -7.699858, ' The': -8.20341, ' ': -8.588189}
{' Yes': -0.0038877223, ' No': -5.80641, 'Yes': -7.3062043, ' yes': -9.382137, ' ': -9.920916}
{' No': -0.27382612, ' Yes': -1.4330972, 'No': -7.430446, 'Yes': -8.499616, ' ': -9.63668}
{' Yes': -0.6854882, ' No': -0.70784616, 'Yes': -6.662575, 'No': -7.0838375, ' The': -7.506714}
{' No': -0.04476615, ' Yes': -3.344565, ' Door': -4.920401, 'No': -7.231446, ' door': -9.190898}
{' No': -0.3213323, ' Door': -1.7043946, ' Yes': -2.4432156, ' ': -6.025447, 'No': -6.5262566}
{' No': -0.0060874796, ' Yes': -5.302598, 'No': -7.1140985, ' ': -8.968473, ' The': -9.740728}
{' No': -0.1584075, ' Yes': -1.928656, 'No': -7.817375, 'Yes': -8.148264, ' The': -9.071709}
{' No': -0.09241363, ' Yes': -2.438231, 'No': -7.4110303, ' The': -9.292628, 'Yes': -9.325335}
{' No': -0.017382955, ' Yes': -4.1275015, 'No': -7.0715322, '\n': -9.09978, ' ': -9.732928}
{' Yes': -0.19840856, ' No': -1.7261492, 'Yes': -6.9081326, '\n': -8.061552, 'No': -8.488405}
{' Yes': -0.08355649, ' No': -2.5424836, 'Yes': -7.1064177, ' yes': -8.373801, ' ': -8.861705}
{' No': -0.26443362, ' Yes': -1.4630249, 'No': -7.7554593, 'Yes': -8.744749, ' ': -9.616328}
{' No': -0.47800854, ' Yes': -0.9696486, 'No': -8.123859, 'Yes': -8.355135, ' ': -9.757708}
{' Yes': -0.40973073, ' No': -1.1760862, ' Most': -3.6289403, 'Yes': -7.8807383, ' ': -8.039534}
{' Yes': -0.53703123, ' No': -1.0611707, ' Most': -2.6989977, 'Yes': -7.050335, 'No': -7.4957633}
{' No': -0.42534462, ' Yes': -1.0662711, 'No': -7.220819, ' The': -7.8066745, 'Yes': -7.9865026}
{' Yes': -0.012446801, ' No': -4.4337287, 'Yes': -7.952537, ' yes': -9.293124, ' The': -11.169003}
{' No': -0.07240895, ' Yes': -2.6780262, 'No': -7.2566795, 'Yes': -9.046997, ' The': -9.512941}
{' No': -0.2831175, ' Yes': -1.4060975, 'No': -7.255499, 'Yes': -7.817341, ' The': -8.600092}
{' No': -0.33127683, ' Yes': -1.2712145, 'No': -7.622536, ' The': -8.075031, ' ': -8.372807}
{' Yes': -0.23174343, ' No': -1.5832106, 'Yes': -7.177929, 'No': -8.222345, ' yes': -8.913958}
{' No': -0.00163016, 'No': -7.008891, ' Yes': -7.33381, ' ': -10.311611, '\n': -10.618191}
{' No': -0.0794887, ' Yes': -2.5880067, 'No': -7.120762, ' The': -8.316781, 'Yes': -9.618897}
{' No': -0.004965611, ' Yes': -5.627039, 'No': -6.7006307, ' ': -9.957138, ' no': -10.593316}
{' No': -0.028938234, ' Yes': -3.6063309, 'No': -6.8288326, ' The': -9.291618, ' ': -9.6025095}
{' Yes': -0.47034088, ' No': -0.9878941, 'Yes': -6.278656, 'No': -7.333162, ' The': -9.267494}
{' Yes': -0.019932523, ' No': -3.9869583, 'Yes': -7.171061, ' yes': -8.630168, ' The': -8.943897}
{' No': -0.17445263, ' Yes': -1.8405236, 'No': -7.1636047, 'Yes': -8.730375, ' The': -9.00651}
{' Yes': -0.11961649, ' No': -2.1899557, 'Yes': -7.5272713, ' yes': -9.343549, 'No': -9.666987}
{' No': -0.4156624, ' Yes': -1.0800301, 'No': -8.421406, 'Yes': -8.687525, ' ': -10.186584}
{' No': -0.5153817, ' Yes': -0.91122323, 'No': -7.901148, 'Yes': -8.29817, ' yes': -10.3530245}
{' Yes': -0.007623971, ' No': -4.996191, 'Yes': -7.1982403, ' yes': -10.18553, ' ': -10.659281}
{' Yes': -0.38381523, ' No': -1.1468863, 'Yes': -7.362079, 'No': -8.408526, ' yes': -9.406171}
{' No': -0.0015009707, 'No': -6.6974483, ' Yes': -8.627343, ' no': -10.514968, ' ': -10.543529}
{' No': -0.0028662821, ' Yes': -6.1123137, 'No': -7.3902235, ' ': -11.606748, '\n': -11.998375}
{' No': -0.011309641, ' Yes': -4.552348, 'No': -7.46033, ' ': -9.403503, '\n': -11.161004}
{' No': -0.0022894896, ' Yes': -6.5643125, 'No': -7.113798, ' ': -10.814955, ' no': -11.031938}
{' No': -0.122795254, ' Yes': -2.1706946, 'No': -6.9986763, ' The': -8.874807, 'Yes': -8.936439}
{' No': -0.07802758, ' Yes': -2.6061325, 'No': -6.9958224, 'Yes': -9.275158, ' The': -9.480002}
{' No': -0.022763934, ' Yes': -3.8233905, 'No': -7.580192, '\n': -10.042745, ' ': -10.173314}
{' No': -0.07419045, ' Yes': -2.6486857, 'No': -7.460499, 'Yes': -9.680124, '\n': -10.067301}
{' Yes': -0.1881562, ' No': -1.7741013, 'Yes': -7.201324, '\n': -7.5510445, ' ': -8.459614}
{' Yes': -0.5056231, ' No': -0.9290697, ' The': -7.005039, 'Yes': -8.143796, ' ': -8.310712}
{' Yes': -0.063117, ' No': -2.8557193, ' The': -6.1252694, 'Yes': -7.358845, ' yes': -7.5624795}
{' Yes': -0.014205172, ' No': -4.3382254, 'Yes': -7.425063, ' yes': -8.3511095, ' The': -9.538962}
{' Yes': -0.29546773, ' No': -1.3818763, 'Yes': -6.1458306, ' The': -6.57963, 'No': -7.3396893}
{' Yes': -0.04063349, ' No': -3.3018732, 'Yes': -6.0318213, ' The': -8.34138, '\n': -9.064126}
{' No': -0.007451552, 'No': -5.4435763, ' Yes': -5.860402, ' ': -9.262977, '\n': -9.720084}
{' No': -0.09671701, ' Yes': -2.4032717, 'No': -6.65171, 'Yes': -9.086579, ' The': -9.177869}
{' No': -0.051392734, ' Yes': -3.2026854, 'No': -4.7757673, 'Yes': -8.004945, ' ': -8.423591}
{' No': -0.07080242, ' Yes': -2.719114, 'No': -6.2701206, ' The': -8.844159, 'Yes': -9.103141}
{' No': -0.008645567, 'No': -4.9917727, ' Yes': -6.4763594, '\n': -9.461741, ' ': -9.627801}
{' Yes': -0.12615706, ' No': -2.154916, 'Yes': -6.394523, 'No': -7.9974833, ' The': -8.15821}
{' Yes': -0.20726696, ' No': -1.6953079, 'Yes': -5.9977484, 'No': -7.261487, ' ': -9.079825}
{' No': -0.023114368, ' Yes': -3.8845968, 'No': -6.153182, ' ': -9.959609, 'Yes': -10.035363}
{' No': -0.5360896, ' Yes': -0.8868415, 'No': -6.584576, 'Yes': -7.2640634, ' ': -8.122958}
{' No': -0.47226757, ' Yes': -0.98484087, 'No': -6.6264153, 'Yes': -7.31258, ' The': -8.038847}
{' No': -0.03134559, ' Yes': -3.6919498, 'No': -5.1765614, 'Yes': -8.932863, '\n': -9.839956}
{' Yes': -0.1844591, ' No': -1.8057759, 'Yes': -5.8965387, 'No': -6.7892504, ' yes': -9.573693}
{' Yes': -0.034403626, ' No': -3.4478743, 'Yes': -6.4747853, ' The': -8.584189, 'No': -9.199562}
{' No': -0.022313481, 'No': -3.8860314, ' Yes': -6.7409525, ' ': -9.446116, ' Not': -9.484986}
{' Yes': -0.32370138, ' No': -1.2903285, 'Yes': -7.362832, 'No': -8.487773, ' yes': -8.558997}
{' No': -0.0054744855, 'No': -5.687437, ' Yes': -6.350094, ' Not': -9.340775, ' ': -9.453796}
{' No': -0.03958013, ' Yes': -3.3436246, 'No': -5.780373, 'Yes': -8.83843, ' The': -9.406613}
{' No': -0.60074526, ' Yes': -0.80179316, 'No': -6.7844644, 'Yes': -6.988035, ' The': -7.467402}
{' No': -0.17233513, ' Yes': -1.867577, 'No': -5.9065366, 'Yes': -7.5298786, ' The': -8.045145}
{' No': -0.19243336, ' Yes': -1.784259, 'No': -5.340678, 'Yes': -6.8414903, ' The': -7.1935987}
{' No': -0.0084881205, 'No': -4.7836843, ' Yes': -10.275936, ' ': -10.405258, ' The': -12.261996}
{' No': -0.007479715, 'No': -5.0982904, ' Yes': -6.6917844, ' ': -10.429692, '\n': -10.631305}
{' No': -0.16470593, ' Yes': -1.9137026, 'No': -5.979653, ' The': -7.258126, 'Yes': -8.126498}
{' No': -0.0310824, ' Yes': -3.5793076, 'No': -5.998604, 'Yes': -9.754391, ' The': -9.772783}
{' Yes': -0.15474966, ' No': -1.954066, 'Yes': -6.8268476, 'No': -8.218887, ' The': -9.097697}
{' No': -0.04103806, ' Yes': -3.2756987, 'No': -6.2610292, ' The': -8.354318, 'Yes': -9.546479}
{' No': -0.2902514, ' Yes': -1.3882128, ' The': -6.7818856, 'No': -7.3910713, 'Yes': -8.044938}
{' No': -0.14153586, ' Yes': -2.0367591, 'No': -7.120576, ' The': -7.9099474, 'Yes': -8.62481}
{' Yes': -0.031400573, 'Yes': -4.1744933, ' No': -4.1906047, 'No': -8.234114, ' yes': -9.91094}
{' Yes': -0.28435564, ' No': -1.4092201, 'Yes': -6.487522, ' The': -7.1826177, 'No': -7.6079583}
{' Yes': -0.0021056202, 'Yes': -6.4154086, ' No': -8.590887, ' The': -9.067335, ' yes': -9.3489}
{' Yes': -0.21864216, ' No': -1.6404694, 'Yes': -6.4208555, 'No': -7.938544, ' yes': -8.30116}
{' No': -0.025362704, ' Yes': -3.8551297, 'No': -5.653138, ' Dirt': -9.139766, ' The': -9.414582}
{' No': -0.010513444, ' Yes': -5.098343, 'No': -5.5451794, ' The': -8.991389, ' ': -9.072245}
{' Yes': -0.56658494, ' No': -0.8567042, ' The': -5.335908, 'No': -6.7216516, 'Yes': -6.7817087}
{' No': -0.22406468, ' Yes': -1.6596669, 'No': -5.3141284, ' The': -6.04709, 'Yes': -7.273921}
{' False': -0.03124928, ' No': -3.7592993, 'False': -5.0370607, 'No': -7.0376368, ' ': -9.46366}
{' No': -0.0050128154, 'No': -5.7594795, ' Yes': -6.3463116, ' ': -10.050934, '\n': -11.083155}
{' No': -0.07380248, ' Yes': -2.7453952, 'No': -5.386394, ' Rain': -6.8724756, ' The': -7.155671}
{' No': -0.018139603, ' Yes': -4.338734, 'No': -5.4158273, '\n': -8.54562, ' Rain': -9.128925}
{' No': -0.0077741942, 'No': -5.5560527, ' Yes': -5.6145506, ' ': -9.536929, ' Not': -9.689497}
{' No': -0.0033099188, 'No': -5.7792377, ' Yes': -8.730477, ' ': -10.5696335, '\n': -11.622087}
{' No': -0.07736534, ' Yes': -2.660459, 'No': -5.637677, ' Not': -8.05956, 'Yes': -8.34345}
{' No': -0.024754778, ' Yes': -3.7912095, 'No': -6.523516, ' The': -8.891192, ' ': -9.608285}
{' No': -0.0059477594, ' Yes': -5.524573, 'No': -6.3011365, ' ': -10.223909, ' The': -10.457466}
{' No': -0.017378163, ' Yes': -4.332327, 'No': -5.605707, ' The': -8.526592, ' ': -9.545937}
{' No': -0.36839303, ' Yes': -1.1861707, 'No': -6.4961863, 'Yes': -7.4923244, ' The': -7.865079}
{' Yes': -0.23494643, ' No': -1.5775213, 'Yes': -6.8185296, ' The': -6.860606, 'No': -7.8329363}
{' No': -0.0063800476, ' Yes': -5.6951404, 'No': -5.9117274, ' The': -8.978815, ' ': -10.024791}
{' No': -0.0057240147, 'No': -5.2385616, ' Yes': -8.422504, ' ': -9.436018, ' The': -10.518011}
{' Yes': -0.033146176, ' No': -3.4819489, 'Yes': -6.6454487, ' The': -8.988291, ' Land': -9.101292}
{' No': -0.10492623, ' Yes': -2.3313456, 'No': -6.1867666, 'Yes': -8.526468, ' The': -9.557793}
{' Yes': -0.5153613, ' No': -0.9225499, ' The': -5.6311374, 'Yes': -7.5106483, 'No': -7.9039474}
{' No': -0.30919632, ' Yes': -1.337259, 'No': -6.337444, 'Yes': -7.42868, ' The': -7.547525}
{' No': -0.0030285267, 'No': -6.1533294, ' Yes': -7.0918493, ' ': -10.10307, ' The': -11.724142}
{' No': -0.06807002, ' Yes': -2.8106866, 'No': -5.5878224, ' The': -7.2127113, '\n': -7.6620903}
{' Yes': -0.46775422, ' No': -1.0258691, ' The': -5.6127944, 'Yes': -5.654506, 'No': -5.7674193}
{' Yes': -0.004558781, ' No': -6.140642, 'Yes': -6.2964587, ' ': -8.6260605, '\n': -8.908329}
{' Yes': -0.09902008, ' No': -2.3933716, 'Yes': -6.2084103, ' The': -7.8762927, 'No': -8.285151}
{' Yes': -0.6361485, ' No': -0.7582723, 'Yes': -6.9385448, 'No': -6.942812, '\n': -9.562827}
{' Yes': -0.01803145, ' No': -4.234781, 'Yes': -6.286124, ' Deer': -7.2070475, ' The': -7.9614115}
{' Yes': -0.020109419, ' No': -4.06798, 'Yes': -6.1942997, ' The': -7.9801755, '\n': -8.931822}
{' No': -0.26877147, ' Yes': -1.4551882, 'No': -6.6013284, 'Yes': -7.609319, ' The': -8.382511}
{' No': -0.31038928, ' Yes': -1.3429477, ' The': -6.11278, 'No': -6.1667047, 'Yes': -7.1345468}
{' No': -0.07967071, ' Yes': -2.5940692, 'No': -6.4893403, 'Yes': -8.947985, ' The': -9.186652}
{' No': -0.0066610025, ' Yes': -5.4908414, 'No': -6.0419083, ' ': -10.221407, '\n': -10.26244}
{' No': -0.09197689, ' Yes': -2.483033, 'No': -5.65548, 'Yes': -8.002101, '\n': -8.630519}
{' No': -0.5940329, ' Yes': -0.80999064, 'No': -6.6200566, 'Yes': -6.786997, '\n': -8.761188}
{' No': -0.16390039, ' Yes': -1.9099083, 'No': -6.198227, 'Yes': -8.133607, ' The': -8.190865}
{' No': -0.04844292, ' Yes': -3.1275575, 'No': -5.868942, ' The': -8.620449, 'Yes': -8.761549}
{' Yes': -0.047856033, ' No': -3.1183975, 'Yes': -6.6129746, ' The': -7.003117, ' yes': -9.586873}
{' No': -0.69089246, ' Yes': -0.70461386, 'Yes': -6.225474, 'No': -6.546912, ' The': -7.1044574}
{' No': -0.4933316, ' Yes': -0.94898754, 'No': -6.8009276, 'Yes': -7.1893477, ' The': -8.844354}
{' No': -0.004858573, ' Yes': -5.742061, 'No': -6.546568, ' ': -9.372799, ' Not': -10.145227}
{' No': -0.02023641, ' Yes': -4.0474195, 'No': -6.165675, ' Lion': -7.955991, 'Yes': -10.508179}
{' No': -0.028136961, ' Yes': -3.6831508, 'No': -6.0368843, ' The': -9.313094, 'Yes': -9.844115}
{' No': -0.0057931957, ' Yes': -5.5310483, 'No': -6.469013, ' The': -9.034502, ' ': -9.5797825}
{' No': -0.36566722, ' Yes': -1.1922816, 'No': -6.587341, 'Yes': -7.352714, ' The': -8.214738}
{' Yes': -0.0025294975, 'Yes': -6.2097816, ' No': -8.190966, ' The': -8.927679, ' yes': -9.567768}
{' No': -0.20480116, ' Yes': -1.7022567, 'No': -6.2047095, 'Yes': -7.901315, ' The': -8.382162}
{' No': -0.08174687, ' Yes': -2.5925612, 'No': -5.7976313, 'Yes': -8.578481, ' The': -8.695079}
{' No': -0.03321728, ' Yes': -3.5478046, 'No': -5.664347, ' Wind': -8.336886, 'Yes': -9.562314}
{' Yes': -0.26682988, ' No': -1.4600558, 'Yes': -6.9859705, 'No': -7.9489202, ' The': -7.964059}
{' Yes': -0.060849726, ' No': -2.8697333, 'Yes': -6.685007, ' The': -7.566875, '\n': -8.89201}
{' No': -0.013031415, 'No': -4.555308, ' Yes': -6.352688, ' Dis': -7.94458, ' ': -8.969677}
{' No': -0.16780715, ' Yes': -1.8878883, 'No': -6.2144566, 'Yes': -7.848175, ' The': -8.058071}
{' No': -0.005769274, ' Yes': -5.6310353, 'No': -6.200282, ' The': -10.049787, ' ': -10.193501}
{' No': -0.076067194, ' Yes': -2.6552203, 'No': -5.999931, ' The': -8.578939, 'Yes': -8.894873}
{' Yes': -0.04447223, ' No': -3.1710877, 'Yes': -7.26585, ' The': -7.4864507, ' ': -9.260651}
{' No': -0.49303412, ' Yes': -0.9500939, 'No': -6.372077, 'Yes': -7.442813, ' ': -9.6118965}
{' No': -0.09847047, ' Yes': -2.4035337, 'No': -5.8550353, 'Yes': -8.405642, ' The': -9.148934}
{' No': -0.3657407, ' Yes': -1.1896142, 'No': -6.600863, 'Yes': -7.7823377, ' The': -9.929827}
{' Yes': -0.14312035, ' No': -2.0504823, 'Yes': -5.8845344, ' The': -7.169416, 'No': -7.25271}
{' No': -0.024342572, ' Yes': -3.8418908, 'No': -6.2012463, ' The': -8.554214, '\n': -8.585671}
{' No': -0.15454866, ' Yes': -1.964344, 'No': -6.381159, ' The': -7.5851035, 'Yes': -8.173937}
{' No': -0.16012174, ' Yes': -1.9470996, 'No': -5.6308074, 'Yes': -7.4878516, ' The': -7.529386}
{' No': -0.005523332, ' Yes': -5.5906153, 'No': -6.4159293, ' Skin': -9.972451, ' The': -10.578206}
{' No': -0.21873125, ' Yes': -1.6360382, 'No': -6.678854, 'Yes': -8.122721, ' ': -10.142797}
{' No': -0.026049487, ' Yes': -3.750756, 'No': -6.3262753, ' The': -8.782056, '\n': -9.145507}
{' No': -0.019588672, ' Yes': -4.385273, 'No': -5.219799, ' Nope': -7.285553, ' So': -7.676637}
{' No': -0.26015154, ' Yes': -1.4931915, 'No': -5.719076, 'Yes': -7.23762, ' ': -8.564844}
{' Yes': -0.041934222, ' No': -3.257783, 'Yes': -6.1777563, ' The': -8.873937, ' yes': -9.166036}
{' No': -0.017977195, ' Yes': -4.326983, 'No': -5.3985467, 'Yes': -9.759289, ' ': -11.466472}
{' Yes': -0.4572169, ' No': -1.020209, 'Yes': -5.6316953, 'No': -6.1443906, ' ': -8.465853}
{' No': -0.020217253, ' Yes': -4.016683, 'No': -6.297916, '\n': -10.112916, 'Yes': -10.140273}
{' Yes': -0.27555117, ' No': -1.4338459, 'Yes': -6.561861, 'No': -8.00792, ' The': -8.657692}
{' No': -0.032006253, ' Yes': -3.5334575, 'No': -6.2479277, ' The': -8.99165, 'Yes': -9.371579}
{' No': -0.1064306, ' Yes': -2.3112893, 'No': -6.48914, 'Yes': -8.490078, ' ': -10.157089}
{' No': -0.0032160932, 'No': -5.9522195, ' Yes': -7.5502033, ' ': -10.648161, ' The': -10.956718}
{' No': -0.0039037587, 'No': -5.951895, ' Yes': -6.733035, ' The': -10.672328, ' ': -10.747422}
{' Yes': -0.04032427, ' No': -3.2695646, 'Yes': -6.699698, ' The': -9.26048, ' yes': -9.839601}
{' No': -0.30026406, ' Yes': -1.3609501, 'No': -6.6453495, ' The': -7.0980506, 'Yes': -7.4832287}
{' No': -0.19932781, ' Yes': -1.729256, 'No': -6.045292, 'Yes': -7.6661687, '\n': -8.676075}
{' Yes': -0.51664543, ' No': -0.92210585, 'Yes': -5.9420276, 'No': -5.957116, '\n': -8.561983}
{' No': -0.6849887, ' Yes': -0.71137303, 'No': -5.854973, 'Yes': -6.5548925, ' The': -8.037781}
{' No': -0.01501399, ' Yes': -4.4643908, 'No': -5.873957, ' The': -8.413401, ' ': -8.76496}
{' No': -0.006159864, 'No': -5.750771, ' Yes': -5.873219, ' ': -9.72239, '\n': -10.350068}
{' No': -0.0052377833, 'No': -5.260582, '\n': -11.252942, ' ': -11.395768, ' Not': -12.440549}
{' No': -0.019344412, ' Yes': -4.1726284, 'No': -5.7942977, ' The': -7.9139585, ' ': -9.022251}
{' No': -0.027711045, ' Yes': -3.7450972, 'No': -5.7046247, 'Yes': -9.130674, ' The': -9.347079}
{' Yes': -0.4658748, ' No': -1.0601493, ' Dive': -3.762576, 'Yes': -6.501891, 'No': -7.4027257}
{' No': -0.2974699, ' Yes': -1.3758466, 'No': -5.7692766, 'Yes': -6.7339377, ' ': -9.110958}
{' Yes': -0.024998285, ' No': -4.053278, 'Yes': -5.0708504, ' The': -7.6810164, 'No': -8.47229}
{' Yes': -0.026625702, ' No': -3.7564535, 'Yes': -6.082791, ' The': -8.510266, ' yes': -8.678435}
{' Yes': -0.0065559433, 'Yes': -5.0897446, ' No': -8.642815, ' ': -9.641609, ' yes': -9.686434}
{' Yes': -0.02165703, ' No': -3.9463851, 'Yes': -6.426827, ' The': -8.454038, ' yes': -9.304408}
{' No': -0.03482704, ' Yes': -3.4504323, 'No': -6.0964704, 'Yes': -9.580152, ' The': -9.83672}
{' No': -0.03426403, ' Yes': -3.468691, 'No': -6.236904, ' Near': -8.574917, ' The': -9.319582}
{' No': -0.005508706, 'No': -5.801178, ' Yes': -6.060585, ' ': -9.80739, ' The': -10.396679}
{' Yes': -0.4361553, ' No': -1.0534877, 'Yes': -5.9143963, 'No': -6.5269637, ' Mile': -8.465334}
{' Yes': -0.57126427, ' No': -0.8382054, 'No': -6.842722, 'Yes': -6.8565154, ' Navy': -8.276229}
{' No': -0.17395069, ' Yes': -1.8754258, 'No': -5.294373, 'Yes': -7.1875553, ' The': -7.9420395}
{' No': -0.0061346153, 'No': -5.205054, ' Not': -7.6748147, '\n': -9.610136, ' ': -10.251243}
{' No': -0.0020320928, 'No': -6.5303483, ' Yes': -7.773665, ' ': -9.957181, ' The': -10.407278}
{' No': -0.011217476, ' Yes': -5.08598, 'No': -5.365263, ' The': -9.240135, ' ': -9.675537}
{' No': -0.035038996, ' Yes': -3.4616709, 'No': -6.044255, ' Unfortunately': -8.171704, ' The': -9.5063715}
{' No': -0.0032196208, 'No': -6.19726, ' Yes': -6.9024253, ' The': -9.752972, ' ': -10.002935}
{' No': -0.0021573491, 'No': -6.2942715, ' Yes': -8.524391, '\n': -10.209736, ' The': -10.381986}
{' No': -0.49620342, ' Yes': -0.95135975, 'No': -5.8357434, 'Yes': -6.5746145, ' The': -8.366363}
{' No': -0.021711182, ' Yes': -4.122633, 'No': -5.3722816, ' The': -8.267023, ' ': -9.066566}
{' No': -0.0074055544, ' Yes': -5.566674, 'No': -5.6881113, ' ': -9.644781, '\n': -10.7306185}
{' No': -0.03930558, ' Yes': -3.3539534, 'No': -5.7856126, ' The': -8.601611, 'Yes': -9.162137}
{' Yes': -0.36811677, ' No': -1.1875749, 'Yes': -6.5939484, 'No': -6.9034195, ' The': -8.011297}
{' Yes': -0.35931787, ' No': -1.2087823, 'Yes': -6.804443, ' The': -7.002573, 'No': -7.1992393}
{' Yes': -0.0033411973, 'Yes': -6.007722, ' No': -7.270875, ' The': -9.263213, ' yes': -10.081977}
{' Yes': -0.007210421, ' No': -5.528937, 'Yes': -5.810929, ' yes': -9.211533, ' The': -10.222078}
{' No': -0.01609353, ' Yes': -4.1959295, 'No': -7.07754, 'Yes': -10.733227, ' ': -10.771291}
{' Yes': -0.063225634, ' No': -2.8766391, 'Yes': -6.0330305, ' The': -6.7482114, '\n': -7.6817155}
{' No': -0.33980095, ' Yes': -1.2550861, 'No': -6.4964113, 'Yes': -7.212884, ' The': -8.214341}
{' No': -0.1047258, ' Yes': -2.35534, 'No': -6.3526464, ' Too': -7.0620885, ' The': -7.1238985}
{' Yes': -0.056451112, ' No': -2.9901938, 'Yes': -6.1796193, ' The': -6.5425057, '\n': -7.740258}
{' Yes': -0.4738557, ' No': -0.98552495, 'Yes': -6.1333823, 'No': -6.811012, ' The': -7.751159}
{' No': -0.3411289, ' Yes': -1.2465798, 'No': -7.1781797, 'Yes': -8.004577, ' The': -8.506072}
{' Yes': -0.008308342, ' No': -5.131878, 'Yes': -6.208974, ' The': -8.84727, ' yes': -9.419231}
{' No': -0.48550412, ' Yes': -0.961586, 'No': -6.6763587, 'Yes': -7.2000113, ' yes': -9.443525}
{' No': -0.24282277, ' Yes': -1.5503713, 'No': -6.164631, 'Yes': -7.322578, ' The': -7.912355}
{' Yes': -0.0525461, ' No': -3.0427501, ' Door': -6.4421983, 'Yes': -6.8829994, ' yes': -8.136237}
