{' Yes': -0.0030951896, 'Yes': -5.8984904, ' No': -8.919969, ' yes': -9.2945795, ' A': -9.588872}
{' No': -0.18944912, ' Yes': -1.8027189, ' ': -5.499309, 'No': -6.765625, ' yes': -6.9017563}
{' No': -0.004458731, 'No': -6.0763216, ' ': -7.15941, ' Yes': -7.183381, ' no': -7.948547}
{' No': -0.019931976, ' Yes': -4.1801147, 'No': -5.9828434, ' ': -6.862915, ' no': -7.95788}
{' No': -0.0955204, 'No': -2.4778352, '\n': -5.7220235, ' ': -6.255024, ' Yes': -6.808674}
{' No': -0.05920969, 'No': -2.9826162, '\n': -5.8941307, ' Yes': -6.2806034, ' ': -6.380579}
{' No': -0.0987055, 'No': -2.405678, '\n': -6.153326, ' ': -6.7718773, ' no': -8.244013}
{' No': -0.07640696, 'No': -2.65844, '\n': -6.527718, ' ': -7.0857315, ' Yes': -7.09338}
{' No': -0.23620774, '\n': -2.178682, 'No': -2.5070798, ' ': -4.547176, ' Yes': -5.869923}
{' No': -0.1294218, 'No': -2.8200326, '\n': -2.9279695, ' ': -5.156262, ' Yes': -6.5656323}
{' No': -0.18985277, '\n': -2.5137606, 'No': -2.5254624, ' ': -4.7161684, ' Yes': -6.744484}
{' No': -0.17290933, 'No': -2.3066373, '\n': -2.9476666, ' ': -5.3517804, ' Yes': -6.9854093}
{' No': -0.020309461, 'No': -4.112114, ' ': -6.5832953, ' Yes': -6.8877654, '\n': -6.891208}
{' No': -0.017045496, 'No': -4.3444877, ' Yes': -6.0560517, ' ': -7.2687984, '\n': -7.304828}
{' No': -0.029314773, 'No': -3.6018398, '\n': -7.2331967, ' ': -7.3817925, ' no': -8.845487}
{' No': -0.033806823, 'No': -3.45847, ' Yes': -7.49051, '\n': -7.711062, ' ': -7.789733}
{' No': -0.3349131, 'No': -1.7724246, '\n': -2.3392293, ' ': -4.4509654, ' no': -5.6998744}
{' No': -0.28624776, 'No': -1.7558904, '\n': -2.6960454, ' ': -4.9519153, ' no': -7.25957}
{' No': -0.27250332, 'No': -1.9282421, '\n': -2.67038, ' ': -4.22566, ' N': -5.876809}
{' No': -0.2331378, 'No': -1.8125179, '\n': -3.3895195, ' ': -4.943829, ' no': -6.163441}
{' No': -0.044940326, 'No': -3.6893322, ' Yes': -5.164258, ' no': -5.2885695, '\n': -5.591181}
{' No': -0.06562257, ' Yes': -3.551756, 'No': -4.1459217, ' no': -4.8087063, '\n': -5.4251785}
{' No': -0.057063412, 'No': -3.2384713, ' no': -5.0493307, ' ': -5.444132, '\n': -5.7246847}
{' No': -0.067564376, 'No': -3.3754218, ' Yes': -3.9383376, ' no': -5.3953857, ' ': -5.90545}
{' No': -0.03240839, ' Yes': -4.2005334, '\n': -4.7487493, 'No': -5.300524, ' ': -5.8509407}
{' No': -0.44395372, ' Yes': -1.064111, '\n': -5.1617517, ' ': -5.6662855, 'No': -5.9463625}
{' No': -0.020182583, '\n': -4.502627, 'No': -5.0750017, ' ': -6.0560193, ' Yes': -9.06589}
{' No': -0.043617003, '\n': -3.5617938, 'No': -4.836244, ' ': -5.4714713, ' Yes': -6.4320045}
{' No': -0.14293735, '\n': -2.6778226, 'No': -2.9474854, ' ': -4.5468373, ' Yes': -7.6870885}
{' No': -0.17364536, '\n': -2.2516654, 'No': -3.3990479, ' ': -4.1100597, ' Yes': -5.739891}
{' No': -0.29985213, '\n': -1.640762, 'No': -3.0619538, ' ': -4.0995574, ' Cam': -6.916452}
{' No': -0.23227856, '\n': -1.9301201, 'No': -3.0449445, ' ': -4.42876, ' Cam': -6.980848}
{' No': -0.14336473, '\n': -2.5459945, 'No': -3.280951, ' ': -4.2020516, ' A': -6.5689697}
{' No': -0.17942896, '\n': -2.2593048, 'No': -3.3355815, ' ': -4.0858808, ' Yes': -5.450736}
{' No': -0.2017064, '\n': -2.0227797, 'No': -3.532765, ' ': -3.9794219, ' Cam': -6.7463236}
{' No': -0.24605238, '\n': -1.8360013, 'No': -3.4147172, ' ': -3.8817468, ' Cam': -5.90207}
{' No': -0.026940506, 'No': -4.5000353, '\n': -4.783261, ' ': -5.001447, ' A': -8.850965}
{' No': -0.029177237, '\n': -4.6728177, ' ': -4.8680253, ' Yes': -5.065409, 'No': -5.356589}
{' No': -0.14239553, '\n': -2.4330103, 'No': -3.696154, ' ': -3.9766905, ' Cam': -7.137691}
{' No': -0.072773114, '\n': -3.1265907, 'No': -4.089613, ' ': -4.743532, ' Yes': -7.9866424}
{' No': -0.06211134, 'No': -3.3019795, '\n': -4.1467347, ' ': -5.020621, ' A': -7.468606}
{' No': -0.050397653, 'No': -3.3866668, '\n': -4.7469115, ' ': -5.273771, ' A': -6.8789463}
{' No': -0.08090303, '\n': -3.4255188, 'No': -3.4919364, ' ': -4.288291, ' Cam': -8.13683}
{' No': -0.05072813, 'No': -3.5650043, '\n': -4.2656994, ' ': -5.114481, ' Cam': -7.7466736}
{' No': -0.14549787, '\n': -2.6731162, 'No': -3.398639, ' ': -3.630237, ' Yes': -5.837694}
{' No': -0.15722552, ' Yes': -2.685876, '\n': -3.39079, ' ': -3.917668, 'No': -4.024911}
{' No': -0.14456688, '\n': -2.8350365, 'No': -3.0293648, ' ': -3.8330472, ' Yes': -5.8849444}
{' No': -0.07696363, 'No': -3.1907635, '\n': -3.868975, ' ': -4.864582, ' Yes': -6.3566813}
{' No': -0.02948192, 'No': -4.0078926, ' Generally': -5.6777115, ' A': -6.5989842, ' It': -6.7931547}
{' No': -0.027247386, 'No': -3.8107936, ' Generally': -6.4344144, ' A': -7.227473, ' Yes': -7.74696}
{' No': -0.03463222, 'No': -3.8847964, ' Cam': -4.9762025, ' Generally': -5.9799995, ' Tigers': -6.798527}
{' No': -0.039179802, 'No': -3.6788833, ' Cam': -5.3019185, ' Generally': -5.9150624, '\n': -6.2091537}
{' No': -0.06764786, 'No': -2.9300342, ' Generally': -5.214611, ' Yes': -6.6310406, ' It': -6.776202}
{' No': -0.08016055, 'No': -2.6207871, ' Yes': -6.5313287, ' Generally': -6.6590514, ' ': -7.3013415}
{' No': -0.20064275, 'No': -1.9754059, ' Cam': -4.068684, ' Generally': -4.759508, ' ': -5.771251}
{' No': -0.104280524, 'No': -2.5178738, ' Cam': -5.1477556, ' Generally': -5.409973, ' Not': -6.3207474}
{' No': -0.07127308, 'No': -2.9316034, '\n': -4.989869, ' ': -6.0223327, ' Yes': -6.334489}
{' No': -0.085083745, 'No': -2.697108, '\n': -4.719729, ' ': -5.994929, ' Yes': -6.6159253}
{' No': -0.14703158, 'No': -2.3657033, '\n': -4.0910506, ' Cam': -4.6533475, ' ': -4.685616}
{' No': -0.12036878, 'No': -2.4945312, '\n': -4.135116, ' ': -5.240518, ' Cam': -5.376101}
{' No': -0.027030643, 'No': -3.697742, ' Generally': -7.179569, ' A': -8.417554, ' ': -8.505086}
{' No': -0.037810586, 'No': -3.3400698, ' Generally': -7.47304, ' A': -8.099627, ' Yes': -8.159142}
{' No': -0.098561436, 'No': -2.589776, ' Cam': -4.341514, ' Generally': -6.3425593, ' Tigers': -7.1938696}
{' No': -0.064006686, 'No': -3.0597417, ' Cam': -4.6340327, ' Generally': -6.0432277, ' Not': -7.555882}
{' No': -0.13767011, 'No': -2.2314584, '\n': -4.5838256, ' ': -5.2921576, ' Generally': -6.189161}
{' No': -0.122362226, 'No': -2.2395494, '\n': -5.588588, ' ': -5.8801513, ' Generally': -7.1409945}
{' No': -0.3004978, 'No': -1.7497908, '\n': -3.113234, ' ': -4.2173448, ' Cam': -4.5761895}
{' No': -0.14700575, 'No': -2.180106, '\n': -5.1002994, ' ': -5.359925, ' Cam': -5.603096}
{' No': -0.12750205, 'No': -2.6377482, ' Generally': -4.3253884, ' Yes': -5.2387586, ' Cam': -5.251802}
{' No': -0.14301382, 'No': -2.1696002, ' Generally': -4.8427987, ' A': -5.983183, ' ': -6.2256756}
{' No': -0.18104705, 'No': -2.237367, ' Cam': -4.1030927, ' Generally': -4.513353, ' ': -5.1534715}
{' No': -0.13905683, 'No': -2.358526, ' Cam': -4.57639, ' Generally': -4.6499047, ' Not': -5.8403797}
{' No': -0.012599862, 'No': -4.5393505, '\n': -7.009849, ' ': -7.491592, ' A': -8.756316}
{' No': -0.006496727, 'No': -5.1998944, '\n': -7.8057194, ' ': -7.8073792, ' A': -9.4079895}
{' No': -0.016644275, 'No': -4.6788793, '\n': -5.8388014, ' Cam': -5.973761, ' ': -7.006386}
{' No': -0.01381433, 'No': -4.6438785, '\n': -6.0637603, ' ': -7.048005, ' Cam': -7.8645635}
{' No': -0.08664688, 'No': -2.8229635, '\n': -4.1095214, ' ': -5.396644, ' Generally': -7.2973228}
{' No': -0.066345304, 'No': -3.0913372, '\n': -4.3336487, ' ': -5.5353928, ' A': -7.426762}
{' No': -0.09718559, 'No': -2.653113, '\n': -4.601786, ' ': -5.0999684, ' Cam': -5.8511124}
{' No': -0.086386584, 'No': -2.5998523, '\n': -5.8143563, ' ': -6.0294213, ' Generally': -6.999069}
{' No': -0.33663875, '\n': -1.5975754, 'No': -2.8212655, ' ': -3.9418404, ' A': -5.9450803}
{' No': -0.1846072, '\n': -2.21399, 'No': -3.1003442, ' ': -4.440438, ' A': -6.3329453}
{' No': -0.62365705, '\n': -0.9880884, 'No': -3.1191976, ' ': -3.247173, ' Cam': -5.5679917}
{' No': -0.31870455, '\n': -1.6344031, 'No': -2.9615724, ' ': -3.90831, ' Cam': -6.0376906}
{' No': -0.0173254, 'No': -4.137225, ' ': -7.3553114, '\n': -8.734441, ' A': -8.979608}
{' No': -0.013278487, 'No': -4.379302, ' ': -7.8898654, '\n': -9.065179, ' A': -9.303112}
{' No': -0.03534881, 'No': -3.5230253, ' Cam': -5.831649, ' ': -6.8445215, '\n': -7.2921214}
{' No': -0.03156806, 'No': -3.519113, ' ': -7.4496393, '\n': -8.153441, ' Cam': -8.154582}
{' No': -0.19352424, 'No': -2.0955894, '\n': -3.310744, ' ': -4.4228716, ' A': -6.1859183}
{' No': -0.18272105, 'No': -2.0587451, '\n': -3.5865312, ' ': -4.576176, ' A': -7.352243}
{' No': -0.25788644, 'No': -2.1286597, '\n': -2.4917197, ' ': -4.007918, ' Cam': -6.283917}
{' No': -0.19403851, 'No': -1.9307672, '\n': -3.859293, ' ': -4.746725, ' Cam': -8.177127}
{' No': -0.065442845, 'No': -3.0974078, ' A': -5.556124, ' ': -5.6165266, '\n': -5.7669706}
{' No': -0.061815508, 'No': -3.0788233, ' A': -5.3186784, ' ': -6.0665584, ' Yes': -6.232806}
{' No': -0.10591493, 'No': -2.6451604, '\n': -4.5299096, ' ': -4.7471437, ' Cam': -5.533954}
{' No': -0.07902841, 'No': -2.750419, ' ': -5.6036744, '\n': -5.942029, ' Cam': -6.2346888}
{' No': -0.08272605, 'No': -2.7023244, ' Generally': -5.7985563, ' A': -5.95798, ' Cam': -6.50507}
{' No': -0.13202387, 'No': -2.131793, ' A': -6.742558, ' Generally': -6.8386803, ' ': -7.445231}
{' No': -0.18470448, 'No': -1.9678427, ' Cam': -5.276846, ' Tigers': -5.340451, '\n': -5.3501315}
{' No': -0.15946095, 'No': -2.035834, '\n': -5.6061625, ' Cam': -6.0571675, ' Generally': -6.272096}
{' No': -0.15581876, 'No': -1.9389188, ' ': -8.482531, ' NO': -9.816154, ' no': -9.9727335}
{' No': -0.18794528, 'No': -1.7661923, ' ': -8.573365, 'no': -10.07836, ' no': -10.240117}
{' No': -0.19832672, 'No': -1.7420374, ' ': -6.7986565, ' Generally': -6.892124, ' Cam': -7.262215}
{' No': -0.23172605, 'No': -1.5847648, ' Generally': -7.796092, ' Yes': -8.332895, ' ': -8.339458}
{' No': -0.11466787, 'No': -2.2360706, ' ': -7.62837, ' Yes': -7.9506335, '\n': -8.235602}
{' No': -0.09115464, 'No': -2.4621415, '\n': -7.3741817, ' Yes': -7.5520043, ' ': -7.6087747}
{' No': -0.2781903, 'No': -1.4405916, ' ': -6.297466, '\n': -6.365549, ' Yes': -7.664391}
{' No': -0.26390833, 'No': -1.4863412, ' Yes': -6.2228007, '\n': -7.170164, ' ': -7.320091}
{' No': -0.039929662, 'No': -3.2553682, ' ': -7.857238, ' NO': -10.211425, '\n': -10.354835}
{' No': -0.05282443, 'No': -2.971918, ' ': -8.767715, 'no': -11.002712, ' no': -11.16776}
{' No': -0.1083469, 'No': -2.2914028, ' ': -7.207765, ' Generally': -8.381818, ' Cam': -8.851144}
{' No': -0.13370284, 'No': -2.0938373, ' Generally': -7.023904, ' ': -8.182118, ' Not': -8.476663}
{' No': -0.42572784, 'No': -1.0724887, '\n': -6.1870594, ' ': -6.413915, ' Generally': -9.197631}
{' No': -0.56191397, 'No': -0.85568947, '\n': -5.855695, ' ': -6.6588087, ' It': -9.326556}
{' No': -0.5793359, 'No': -0.87921506, ' Cam': -4.9268956, '\n': -5.18422, ' ': -5.4699636}
{' No': -0.5696928, 'No': -0.8530275, '\n': -6.2350426, ' Cam': -6.622409, ' ': -6.8292637}
{' No': -0.23593143, 'No': -1.6366043, '\n': -4.586933, ' Camel': -6.2720838, ' ': -6.639152}
{' No': -0.15434451, 'No': -1.9581641, '\n': -7.457435, ' ': -7.516819, ' CAM': -8.391055}
{' No': -0.33249515, 'No': -1.2740577, ' ': -6.9788895, ' Cam': -7.2035074, '\n': -7.2138443}
{' No': -0.31556633, 'No': -1.3131115, ' ': -7.9102874, ' Generally': -8.490019, ' Cam': -8.521576}
{' No': -0.003881678, 'No': -5.860914, ' ': -7.295552, ' no': -8.689638, '\n': -9.603492}
{' No': -0.0022986291, 'No': -6.523594, ' ': -7.379827, ' no': -9.041544, '\n': -9.859299}
{' No': -0.006022055, 'No': -5.5115414, ' ': -7.2631497, ' Cam': -7.4903545, '\n': -8.429066}
{' No': -0.005662809, 'No': -5.4161873, ' ': -7.398689, '\n': -8.184247, ' Yes': -8.988553}
{' No': -0.12021585, 'No': -2.2483726, '\n': -5.340867, ' ': -6.4295607, ' Generally': -8.116973}
{' No': -0.08901077, 'No': -2.4966588, '\n': -6.5435867, ' ': -7.071411, ' no': -8.784662}
{' No': -0.123602115, 'No': -2.2134838, '\n': -5.505167, ' ': -6.358055, ' Generally': -8.390058}
{' No': -0.115045354, 'No': -2.2506902, '\n': -6.4459867, ' ': -6.859773, ' Generally': -8.554348}
{' No': -0.25917146, '\n': -2.156787, 'No': -2.2850084, ' ': -4.876057, ' A': -6.6506753}
{' No': -0.1330931, 'No': -2.6332457, '\n': -3.0408745, ' ': -5.5967846, ' A': -7.4223294}
{' No': -0.28465706, '\n': -1.9623247, 'No': -2.410832, ' ': -4.454415, ' Cam': -6.5187454}
{' No': -0.2717013, 'No': -2.1401286, '\n': -2.216724, ' ': -4.8261743, ' Cam': -6.9108434}
{' No': -0.02910961, 'No': -3.6789947, '\n': -6.638791, ' ': -6.808175, ' A': -8.068106}
{' No': -0.02480048, 'No': -3.7624922, '\n': -7.429847, ' ': -7.768042, ' A': -9.773454}
{' No': -0.04536748, 'No': -3.2274635, '\n': -6.180733, ' ': -6.94087, ' Cam': -7.105273}
{' No': -0.041514125, 'No': -3.2579906, '\n': -7.173466, ' ': -7.5935616, ' Cam': -8.075041}
{' No': -0.3648203, 'No': -1.74864, '\n': -2.1858842, ' ': -4.397445, ' no': -5.6880755}
{' No': -0.295784, 'No': -1.6800917, '\n': -2.801298, ' ': -4.890873, ' no': -7.4802537}
{' No': -0.27151322, 'No': -1.9335653, '\n': -2.7163565, ' ': -4.231862, ' N': -5.625359}
{' No': -0.1982903, 'No': -1.9812665, '\n': -3.4565969, ' ': -4.943186, ' no': -6.412693}
{' No': -0.082542576, 'No': -3.003849, '\n': -4.795261, ' no': -5.085944, ' ': -5.486731}
{' No': -0.045884978, 'No': -3.4275737, ' no': -5.700002, '\n': -5.804399, ' ': -6.173923}
{' No': -0.08276081, 'No': -2.7989528, '\n': -5.063181, ' ': -5.3242197, ' no': -5.549338}
{' No': -0.066618584, 'No': -2.917349, '\n': -5.8328056, ' ': -6.0591736, ' no': -6.097888}
{' No': -0.024084393, '\n': -4.436962, 'No': -4.925951, ' ': -5.8419743, ' A': -7.143992}
{' No': -0.009013158, 'No': -5.36007, '\n': -6.203327, ' ': -6.6223135, ' A': -7.3847528}
{' No': -0.06287158, '\n': -3.242336, 'No': -4.3394656, ' ': -5.148832, ' Cam': -6.499288}
{' No': -0.06042294, '\n': -3.3027093, 'No': -4.2237988, ' ': -5.2859306, ' Cam': -6.9001713}
{' No': -0.14433825, 'No': -2.74727, '\n': -2.838777, ' ': -4.6694903, ' A': -7.392034}
{' No': -0.10271557, '\n': -3.0388784, 'No': -3.2239506, ' ': -4.8230295, ' A': -6.9696984}
{' No': -0.44247127, '\n': -1.2835625, 'No': -2.966309, ' ': -3.7438436, ' Cam': -5.8796344}
{' No': -0.20308684, '\n': -2.1285725, 'No': -3.0042205, ' ': -4.485262, ' Cam': -6.3032775}
{' No': -0.16086146, '\n': -2.4373946, 'No': -3.1330044, ' ': -4.2366786, ' A': -6.5525823}
{' No': -0.12877433, '\n': -2.6683917, 'No': -3.2756135, ' ': -4.4925303, ' A': -6.3664618}
{' No': -0.1657579, '\n': -2.3286245, 'No': -3.396335, ' ': -4.072033, ' Cam': -6.5106735}
{' No': -0.12015978, '\n': -2.8443265, 'No': -3.2788777, ' ': -4.375939, ' Cam': -6.0608788}
{' No': -0.028612984, 'No': -4.221617, '\n': -4.9562726, ' ': -5.164973, ' A': -8.131198}
{' No': -0.015888821, 'No': -4.8831964, '\n': -5.492129, ' ': -5.670927, ' A': -7.911602}
{' No': -0.18652132, '\n': -2.1868606, 'No': -3.4283004, ' ': -3.85832, ' Cam': -5.7719812}
{' No': -0.07970273, '\n': -3.2212317, 'No': -3.6329002, ' ': -4.7222505, ' Cam': -7.2994003}
{' No': -0.051097356, 'No': -3.2782526, '\n': -5.0057535, ' ': -5.4544, ' A': -7.454513}
{' No': -0.047249593, 'No': -3.392571, '\n': -5.0416074, ' ': -5.4684167, ' A': -6.5855956}
{' No': -0.07412164, 'No': -3.5691776, '\n': -3.6691074, ' ': -4.192718, ' Cam': -7.166086}
{' No': -0.048069295, 'No': -3.5466444, '\n': -4.518143, ' ': -5.1124096, ' Cam': -7.5942}
{' No': -0.13780959, '\n': -2.8985672, 'No': -3.1958027, ' ': -3.9804542, ' A': -5.289681}
{' No': -0.085198686, 'No': -3.572881, '\n': -3.7886324, ' ': -4.3576536, ' A': -4.7490954}
{' No': -0.1683511, '\n': -2.6515434, 'No': -2.9549642, ' ': -3.7928247, ' Cam': -5.523085}
{' No': -0.10064694, 'No': -2.9811742, '\n': -3.5775566, ' ': -4.6369843, ' Cam': -5.896762}
{' Yes': -0.008427109, ' No': -5.1041546, 'Yes': -6.1978493, ' A': -9.545584, ' ': -9.623377}
{' Yes': -0.008414845, ' No': -5.1546607, 'Yes': -6.1328726, ' A': -8.379851, ' ': -9.800767}
{' Yes': -0.33092317, ' No': -1.3293953, ' Tigers': -4.6546936, 'No': -5.759485, 'Yes': -5.7848396}
{' No': -0.5899761, ' Yes': -0.8900326, ' Tigers': -3.7243142, 'No': -5.074385, 'Yes': -6.012936}
{' Yes': -0.01681004, 'Yes': -4.64362, ' No': -5.198693, ' ': -7.683487, ' Generally': -7.929033}
{' Yes': -0.05227098, ' No': -3.5095136, 'Yes': -4.0622787, 'No': -6.444853, ' A': -7.293321}
{' Yes': -0.2247684, ' No': -1.7941118, 'Yes': -4.4293904, 'No': -4.720095, ' Tigers': -4.723021}
{' Yes': -0.21350433, ' No': -2.0087638, ' Tigers': -3.874202, 'Yes': -3.9457088, 'No': -4.5236144}
{' Yes': -0.040199786, 'Yes': -4.066111, ' No': -4.287703, '\n': -5.4686513, ' ': -5.813452}
{' Yes': -0.1985003, ' No': -1.9764639, 'Yes': -4.12166, '\n': -4.3237696, ' ': -5.2955136}
{' Yes': -0.22869697, ' No': -2.0990868, '\n': -3.3498516, 'Yes': -3.8635693, 'No': -4.7398205}
{' Yes': -0.25959364, ' No': -1.9170814, '\n': -3.677715, 'Yes': -3.8094175, ' Tigers': -4.1482286}
{' Yes': -0.015232746, ' No': -4.655537, 'Yes': -5.326018, ' A': -8.079996, 'No': -8.682438}
{' Yes': -0.008224141, 'Yes': -5.1269813, ' No': -6.334512, ' A': -8.190291, ' ': -9.549397}
{' No': -0.3808169, ' Yes': -1.3808895, 'No': -3.0673687, ' Tigers': -4.476203, 'Yes': -5.269859}
{' No': -0.44416004, ' Yes': -1.310779, ' Tigers': -3.0237515, 'No': -3.4216075, 'Yes': -5.1727424}
{' Yes': -0.46224442, ' No': -1.2627167, 'No': -3.570351, 'Yes': -3.6878607, '\n': -4.0625405}
{' No': -0.13768913, 'No': -2.5508206, ' Yes': -3.7769024, '\n': -4.459901, ' A': -5.1054626}
{' Yes': -0.64971334, ' No': -1.1233292, 'No': -3.1680162, '\n': -3.3716693, 'Yes': -3.4496403}
{' No': -0.34868357, ' Yes': -2.0903676, 'No': -2.3720026, ' Tigers': -3.4818661, '\n': -3.790452}
{' Yes': -0.11618324, ' No': -2.5288398, 'Yes': -4.0830812, 'No': -5.285212, ' ': -5.85364}
{' Yes': -0.44639206, ' No': -1.1968918, 'No': -3.8693252, 'Yes': -4.150532, ' A': -4.609108}
{' No': -0.60088855, ' Yes': -1.0752424, 'No': -2.7283204, 'Yes': -4.165996, ' Tigers': -4.2927656}
{' No': -0.6689702, ' Yes': -0.88940454, 'No': -3.2345202, ' Tigers': -4.2197266, 'Yes': -4.3940144}
{' Yes': -0.00534546, ' No': -6.1133947, 'Yes': -6.3565297, ' ': -7.5604753, '\n': -7.730708}
{' Yes': -0.06598218, ' No': -2.8533356, 'Yes': -6.198619, ' A': -6.438125, ' ': -6.8093824}
{' Yes': -0.20305623, ' No': -1.7378864, '\n': -5.549901, 'Yes': -6.449281, ' ': -6.4938827}
{' No': -0.019529168, ' Yes': -4.3310146, 'No': -5.729261, '\n': -6.2157397, ' ': -7.2918262}
{' No': -0.67782795, ' Yes': -0.87313855, '\n': -3.6434824, 'No': -3.8939018, ' ': -4.4026885}
{' No': -0.142101, ' Yes': -2.556482, 'No': -3.6794431, '\n': -4.332643, ' A': -4.726524}
{' No': -0.3194052, ' Yes': -1.500218, 'No': -3.7109168, '\n': -4.3339086, ' ': -5.096625}
{' No': -0.15446296, ' Yes': -2.4399738, 'No': -3.354456, '\n': -4.37204, ' ': -5.5117645}
{'\n': -0.87220466, ' No': -1.3290414, ' Yes': -1.4076204, ' ': -3.166043, 'No': -4.4927373}
{' No': -0.41723213, '\n': -1.5207192, ' Yes': -2.800012, ' ': -3.757423, 'No': -3.7799716}
{' No': -0.69286793, '\n': -0.82677156, ' ': -3.5688195, 'No': -4.051886, ' Yes': -4.4208875}
{' No': -0.4788685, '\n': -1.1164476, 'No': -3.6063995, ' ': -4.004362, ' Yes': -5.644771}
{' Yes': -0.60198104, ' No': -0.8265008, ' ': -5.0432286, '\n': -6.0838227, 'No': -6.1309743}
{' No': -0.42381212, ' Yes': -1.1180431, ' A': -4.6878157, ' ': -5.5982814, 'No': -5.7607565}
{' No': -0.3277128, ' Yes': -1.3373601, 'No': -5.263536, '\n': -5.2889323, ' ': -5.6320944}
{' No': -0.023486827, ' Yes': -4.322416, 'No': -4.768869, '\n': -7.4152045, ' ': -7.4186563}
{' No': -0.22846499, 'No': -2.306195, '\n': -2.6724613, ' ': -3.8921576, ' Yes': -4.9444537}
{' No': -0.16444889, 'No': -2.386674, '\n': -3.1842947, ' ': -4.412629, ' A': -5.522422}
{' No': -0.2507856, '\n': -2.333351, 'No': -2.3898618, ' ': -3.8579078, ' Yes': -5.2415767}
{' No': -0.200098, 'No': -2.3384511, '\n': -2.6284752, ' ': -4.5806713, ' Tigers': -7.0225806}
{' Yes': -0.07377655, ' No': -3.3082678, 'Yes': -4.47089, '\n': -4.807459, ' ': -4.810913}
{' Yes': -0.10375797, ' No': -2.8054106, ' A': -4.4490414, 'Yes': -4.642639, ' ': -5.0532227}
{' Yes': -0.57270676, ' No': -1.0230471, '\n': -3.8962235, ' ': -4.095946, 'No': -4.2655015}
{' No': -0.08210482, 'No': -3.420125, ' Yes': -3.6459932, '\n': -4.7344275, ' ': -5.16327}
{' Yes': -0.06842509, ' No': -3.4354122, 'Yes': -3.6059196, 'No': -5.7619863, ' A': -6.7731514}
{' Yes': -0.5627766, ' No': -1.0236073, 'No': -3.4043865, 'Yes': -3.8262138, ' A': -4.5816727}
{' No': -0.46896815, ' Yes': -1.4688041, 'No': -2.2423942, 'Yes': -4.100856, ' Tigers': -4.5447764}
{' No': -0.20055678, 'No': -1.9451381, ' Yes': -3.6813648, '\n': -5.693252, ' Tigers': -5.7052007}
{' Yes': -0.23555586, ' No': -2.0364058, 'Yes': -2.9932005, 'No': -3.693987, ' yes': -6.133045}
{' Yes': -0.16575326, ' No': -2.354264, 'Yes': -3.1042986, 'No': -4.6625853, ' ': -6.203263}
{' No': -0.3587299, ' Yes': -1.7364688, 'No': -2.1947663, 'Yes': -4.5504675, ' Tigers': -6.505584}
{' Yes': -0.67274964, ' No': -1.0081683, 'No': -2.6049776, 'Yes': -3.117625, ' Tigers': -5.4465394}
{' Yes': -0.065387994, 'Yes': -3.027298, ' No': -4.7947845, ' ': -6.1061416, ' yes': -6.6005282}
{' Yes': -0.29793355, ' No': -1.6552277, 'Yes': -3.2321358, 'No': -3.8461266, ' ': -5.7000003}
{' Yes': -0.42668587, ' No': -1.5495687, 'Yes': -2.7408414, 'No': -2.7800276, '\n': -5.8915563}
{' No': -0.7283208, ' Yes': -1.1037996, 'No': -1.9735029, 'Yes': -3.2815356, '\n': -5.878028}
{' Yes': -0.089202136, ' No': -2.6213064, 'Yes': -4.779252, ' ': -6.3339963, 'No': -6.6023965}
{' Yes': -0.13466762, ' No': -2.2151864, 'Yes': -4.437278, 'No': -6.082249, ' ': -6.2883706}
{' No': -0.1473207, ' Yes': -2.646577, 'No': -2.7810543, 'Yes': -6.0801935, ' ': -7.09954}
{' No': -0.19103724, ' Yes': -2.1998415, 'No': -2.8576748, 'Yes': -5.638427, ' Tigers': -6.850001}
{' No': -0.32583675, 'No': -1.3159051, ' Yes': -5.2930703, ' ': -6.4417686, 'Yes': -6.9930267}
{' No': -0.30371404, 'No': -1.3646501, '\n': -5.865886, ' ': -6.369439, ' A': -7.6093674}
{' No': -1.0190135, ' Yes': -1.2201777, 'No': -1.5847235, 'Yes': -2.6508095, ' Tigers': -3.2317953}
{' No': -0.7434419, 'No': -1.3057454, ' Tigers': -2.0437806, ' Yes': -2.543264, 'Yes': -3.8957226}
{' No': -0.1901304, 'No': -2.0798495, ' Yes': -3.8408089, ' Tiger': -4.6965923, '\n': -4.8144474}
{' No': -0.17286357, 'No': -1.9033437, '\n': -5.6579843, ' ': -6.2404947, ' Yes': -6.4377794}
{' No': -0.26194412, 'No': -1.6677285, ' Yes': -3.545914, ' Tigers': -5.0783505, 'Yes': -5.847469}
{' No': -0.25381425, 'No': -1.6335196, ' Yes': -4.1526504, ' Tigers': -4.860994, 'Yes': -6.151478}
{' Yes': -0.027045462, ' yes': -4.0854216, ' No': -5.2102137, 'Yes': -6.132119, ' ': -6.4276285}
{' Yes': -0.10817801, ' No': -2.4529333, ' yes': -5.0257235, ' ': -5.3038626, 'Yes': -6.0854115}
{' Yes': -0.017948978, ' No': -4.5429482, ' yes': -5.5354753, 'Yes': -6.2899404, ' ': -6.998444}
{' No': -0.528522, ' Yes': -0.9061885, ' ': -6.1687064, 'No': -6.5931334, '\n': -6.7668815}
{' Yes': -0.13847183, ' No': -2.6208994, 'Yes': -3.7450027, '\n': -4.381605, ' ': -4.8336873}
{' No': -0.7515577, ' Yes': -0.78536165, 'No': -3.7273726, '\n': -4.1219053, 'Yes': -4.300174}
