{' Yes': -0.2106354, ' No': -1.6864445, 'Yes': -5.9270716, 'No': -6.5995607, '\n': -7.8603544}
{' Yes': -0.05634725, ' No': -2.9290676, 'Yes': -7.7442374, ' yes': -7.763569, '\n': -8.119093}
{' No': -0.46199057, ' Yes': -0.99721164, 'No': -7.8279805, '\n': -8.374828, 'Yes': -8.792013}
{' Yes': -0.5603963, ' No': -0.84857756, 'Yes': -8.234646, 'No': -8.593304, ' yes': -8.915524}
{' Yes': -0.0025912886, ' No': -6.215902, 'Yes': -7.8668394, ' yes': -9.060182, '\n': -9.872668}
{' Yes': -0.00055460737, 'Yes': -8.3370695, ' yes': -8.488405, '\n': -9.827239, ' ': -10.683783}
{' Yes': -0.07813069, ' No': -2.5973508, 'Yes': -7.8574753, ' yes': -8.760811, 'No': -9.886551}
{' No': -0.0021149982, ' Yes': -6.9050555, 'No': -6.9975405, ' ': -9.191782, '\n': -9.495435}
{' No': -0.031155875, ' Yes': -3.5226908, 'No': -6.9684973, ' ': -9.617166, '\n': -9.92572}
{' Yes': -0.4634412, ' No': -0.99624574, '\n': -7.5661287, 'Yes': -7.8956175, 'No': -8.07735}
{' Yes': -0.22516735, ' No': -1.606084, 'Yes': -7.7208905, 'No': -8.683827, ' yes': -8.864108}
{' No': -0.5123814, ' Yes': -0.9166743, 'No': -7.6885247, 'Yes': -8.579566, '\n': -8.836375}
{' Yes': -0.040963914, ' No': -3.234533, 'Yes': -7.8132663, ' yes': -8.836012, '\n': -9.34768}
{' Yes': -0.035829335, ' No': -3.3970678, 'Yes': -7.043454, ' yes': -7.933103, '\n': -8.004717}
{' Yes': -0.0037624293, ' No': -5.776318, 'Yes': -7.559207, ' yes': -9.36136, '\n': -10.921314}
{' Yes': -0.020705225, ' No': -3.919566, 'Yes': -7.986506, ' yes': -8.864207, '\n': -9.531772}
{' Yes': -0.11125934, ' No': -2.2607155, 'Yes': -7.4669867, ' yes': -8.775003, 'No': -9.132493}
{' No': -0.552477, ' Yes': -0.85882586, 'No': -8.166229, 'Yes': -8.589905, ' yes': -9.320285}
{' No': -0.009512603, ' Yes': -4.8307576, 'No': -6.6273866, ' ': -9.976839, ' The': -10.019348}
{' Yes': -0.49849746, ' No': -0.943438, 'No': -6.881521, 'Yes': -7.038797, '\n': -7.451835}
{' No': -0.0028453597, ' Yes': -6.611503, 'No': -6.641572, ' ': -9.431048, '\n': -9.643666}
{' Yes': -0.017194413, ' No': -4.1301208, 'Yes': -7.723073, ' yes': -8.449733, '\n': -8.4932375}
{' Yes': -0.0032210557, ' No': -6.0463953, 'Yes': -7.5247087, ' yes': -8.917918, '\n': -8.963582}
{' Yes': -0.0008763449, 'Yes': -7.845637, ' No': -8.470273, ' yes': -8.568302, '\n': -9.950581}
{' Yes': -0.008384913, ' No': -4.879387, 'Yes': -7.5982304, ' yes': -8.719141, '\n': -10.118353}
{' Yes': -0.0019830596, ' No': -6.4870977, 'Yes': -8.301677, ' yes': -8.793173, '\n': -10.4287615}
{' Yes': -0.38597006, ' No': -1.1410513, 'Yes': -8.37625, 'No': -8.754836, '\n': -8.89865}
{' Yes': -0.2140532, ' No': -1.6574582, 'Yes': -7.251509, '\n': -7.329005, 'No': -8.219077}
{' Yes': -0.3987792, ' No': -1.1168617, 'Yes': -7.4959965, '\n': -7.666132, 'No': -8.1184845}
{' Yes': -0.0017279543, 'Yes': -6.7201247, ' No': -8.538359, '\n': -8.818924, ' yes': -9.153178}
{' Yes': -0.081545405, ' No': -2.5714688, 'Yes': -7.071132, '\n': -7.5653358, ' yes': -8.565277}
{' Yes': -0.0050179046, ' No': -5.529926, 'Yes': -7.139463, ' yes': -8.731797, '\n': -10.118024}
{' Yes': -0.06138444, ' No': -2.8364868, 'Yes': -7.4369297, ' yes': -8.974274, '\n': -9.326873}
{' No': -0.26291764, ' Yes': -1.470952, 'No': -7.318267, '\n': -7.7587194, 'Yes': -8.513799}
{' No': -0.0026050925, ' Yes': -6.1642437, 'No': -7.772496, ' The': -10.745495, ' ': -10.865788}
{' Yes': -0.0010386826, 'Yes': -7.2416863, ' yes': -8.668532, '\n': -9.2895, ' ': -10.392573}
{' Yes': -0.028225858, ' No': -3.6159294, 'Yes': -7.805632, ' yes': -8.098243, '\n': -9.0412}
{' Yes': -0.057745166, ' No': -2.894476, 'Yes': -7.708469, ' yes': -9.250515, '\n': -9.4524555}
{' Yes': -0.101516105, ' No': -2.3460724, 'Yes': -7.7790656, ' yes': -8.935504, '\n': -9.349514}
{' Yes': -0.022718262, ' No': -3.8369803, 'Yes': -7.5495977, ' yes': -8.339825, '\n': -9.886424}
{' Yes': -0.069213204, ' No': -2.7167141, 'Yes': -7.490527, ' yes': -9.361394, 'No': -9.954956}
{' Yes': -0.0008265936, 'Yes': -7.3950825, ' No': -9.507364, ' yes': -9.556789, '\n': -10.149226}
{' Yes': -0.0013950798, ' No': -7.3693013, 'Yes': -7.4363294, ' yes': -9.3877, '\n': -9.752317}
{' Yes': -0.35561788, ' No': -1.2120136, '\n': -7.526549, 'Yes': -7.6949024, ' ': -8.154127}
{' Yes': -0.098451, ' No': -2.3807902, 'Yes': -7.271571, '\n': -8.2071085, ' yes': -9.151807}
{' Yes': -0.007839492, ' No': -4.988739, 'Yes': -7.3231444, '\n': -9.068747, ' yes': -9.186733}
{' Yes': -0.08793118, ' No': -2.4874938, 'Yes': -7.384669, ' yes': -8.894162, '\n': -8.919388}
{' Yes': -0.0032023983, ' No': -6.2525477, 'Yes': -7.0026145, ' yes': -8.398227, '\n': -9.649456}
{' Yes': -0.4303173, ' No': -1.0559639, 'Yes': -7.529892, 'No': -7.732065, '\n': -7.9950337}
{' Yes': -0.0029830302, ' No': -6.134122, 'Yes': -7.552715, ' yes': -8.498916, '\n': -9.985621}
{' Yes': -0.0102241775, ' No': -4.658644, 'Yes': -7.8121004, ' yes': -8.502263, '\n': -9.892824}
{' Yes': -0.0010667878, ' No': -7.6906147, 'Yes': -7.7011847, ' yes': -9.301695, '\n': -10.178198}
{' Yes': -0.024493193, ' No': -3.7631826, 'Yes': -7.362738, '\n': -8.706706, ' yes': -9.391254}
{' Yes': -0.37718132, ' No': -1.1624578, 'Yes': -7.2125955, 'No': -8.144143, ' The': -8.694154}
{' No': -0.017450402, ' Yes': -4.1651764, 'No': -6.569532, '\n': -8.514538, ' ': -9.368942}
{' Yes': -0.0005314086, 'Yes': -8.001014, ' yes': -8.974905, ' No': -10.282262, '\n': -11.310597}
{' Yes': -0.00064394815, 'Yes': -7.5666666, ' yes': -9.888545, ' No': -10.330651, '\n': -10.587504}
{' Yes': -0.0010756204, ' No': -7.692308, 'Yes': -7.883714, ' yes': -8.643034, '\n': -10.421707}
{' Yes': -0.12919164, ' No': -2.1215487, 'Yes': -7.6932106, '\n': -7.9598856, ' yes': -8.158541}
{' No': -0.43354568, ' Yes': -1.0496078, 'No': -7.361224, '\n': -7.654268, 'Yes': -8.00155}
{' No': -0.039309237, ' Yes': -3.2860591, 'No': -6.9557347, ' ': -9.741802, 'Yes': -10.326107}
{' Yes': -0.021863107, ' No': -3.9268768, 'Yes': -6.875601, '\n': -7.4789395, ' ': -8.954789}
{' Yes': -0.58376414, ' No': -0.8205653, 'Yes': -7.5058475, '\n': -7.640773, 'No': -7.6479445}
{' Yes': -0.2352938, ' No': -1.5668958, 'Yes': -7.7703404, '\n': -8.797154, 'No': -8.995191}
{' Yes': -0.27298537, ' No': -1.4344748, 'Yes': -8.316882, ' yes': -8.818651, '\n': -9.204733}
{' Yes': -0.0007981976, 'Yes': -7.686385, ' No': -8.742199, ' yes': -8.921323, ' ': -11.011496}
{' Yes': -0.056166187, ' No': -2.925848, 'Yes': -7.569187, ' yes': -8.3370495, ' ': -9.2454815}
{' Yes': -0.0005790592, 'Yes': -7.75422, ' yes': -9.396335, '\n': -10.421851, ' ': -10.693864}
{' Yes': -0.03211027, ' No': -3.4773862, 'Yes': -7.8095336, ' yes': -8.790431, '\n': -9.562191}
{' Yes': -0.054179262, ' No': -2.976838, 'Yes': -6.9539175, '\n': -7.6879296, ' ': -8.815707}
{' No': -0.043548208, ' Yes': -3.2031453, 'No': -6.4143133, '\n': -8.788665, ' ': -9.493518}
{' Yes': -0.007304741, ' No': -5.0541625, 'Yes': -7.439079, ' yes': -9.2322, ' ': -9.440164}
{' Yes': -0.122722946, ' No': -2.1718924, 'Yes': -7.3950634, '\n': -7.822823, ' ': -8.739885}
{' Yes': -0.057406183, ' No': -2.9042668, 'Yes': -7.249638, ' yes': -9.437258, '\n': -9.521545}
{' Yes': -0.06746815, ' No': -2.744615, 'Yes': -7.3716097, ' yes': -9.190998, '\n': -9.306897}
{' Yes': -0.0015961875, ' No': -6.9203596, 'Yes': -7.886182, ' yes': -8.792037, '\n': -10.267287}
{' Yes': -0.0020926555, ' No': -6.448667, 'Yes': -8.082586, ' yes': -8.866169, '\n': -10.325186}
{' Yes': -0.003134413, ' No': -6.032883, 'Yes': -7.725283, ' yes': -8.879108, '\n': -9.605345}
{' Yes': -0.018197205, ' No': -4.070859, 'Yes': -7.590142, ' yes': -8.600892, '\n': -8.941203}
{' Yes': -0.019956969, ' No': -3.9493942, 'Yes': -8.339924, ' yes': -8.941637, ' The': -9.988533}
{' Yes': -0.0003605084, 'Yes': -8.212429, ' yes': -9.838633, '\n': -11.121861, ' ': -11.719269}
{' No': -0.5559668, ' Yes': -0.863807, 'No': -5.903666, 'Yes': -6.7886114, '\n': -7.414351}
{' No': -0.3410779, ' Yes': -1.2616655, 'No': -5.5571017, 'Yes': -7.173422, '\n': -7.7435417}
{' No': -0.25194052, ' Yes': -1.5271842, 'No': -5.778191, ' The': -6.815285, 'Yes': -7.4276147}
{' Yes': -0.6709303, ' No': -0.7233195, 'No': -6.2125483, 'Yes': -6.7066407, ' The': -8.375312}
{' Yes': -0.0020684693, 'Yes': -6.3154764, ' yes': -8.801234, '\n': -9.86773, ' ': -10.865933}
{' Yes': -0.0026010901, 'Yes': -6.3819566, ' No': -7.335665, ' yes': -8.898535, '\n': -9.728388}
{' Yes': -0.17994858, ' No': -1.8230588, 'Yes': -6.6283774, ' The': -7.2408133, 'No': -7.5784197}
{' Yes': -0.0023483953, 'Yes': -6.5399303, ' No': -7.399252, ' yes': -8.753912, ' The': -9.730524}
{' Yes': -0.0031800931, 'Yes': -5.8732967, ' yes': -8.945293, '\n': -9.119669, ' ': -9.833879}
{' Yes': -0.42628452, ' No': -1.0664747, 'Yes': -6.6804056, 'No': -6.737249, ' The': -8.61283}
{' Yes': -0.0023123107, 'Yes': -6.2796793, ' No': -8.425669, ' yes': -8.90844, '\n': -10.290794}
{' Yes': -0.023635484, ' No': -3.8766284, 'Yes': -6.305177, ' The': -8.087899, '\n': -8.640023}
{' Yes': -0.0025908102, 'Yes': -6.249169, ' No': -7.7359014, ' yes': -9.231243, ' The': -10.011298}
{' Yes': -0.009563271, ' No': -4.8867908, 'Yes': -6.5187774, ' The': -8.478027, ' yes': -8.534241}
{' Yes': -0.0014455173, 'Yes': -6.9122596, ' yes': -8.095925, ' "': -10.246373, '\n': -10.382449}
{' No': -0.41349712, ' Yes': -1.0891011, 'No': -6.900235, ' The': -7.7435694, 'Yes': -8.125716}
{' Yes': -0.0030728884, 'Yes': -6.4150195, ' No': -6.9959064, ' yes': -7.729084, ' The': -10.97776}
{' Yes': -0.05388539, ' No': -2.9808583, 'Yes': -6.8476624, ' yes': -8.089139, 'No': -9.147109}
{' Yes': -0.0022401419, 'Yes': -6.5280952, ' No': -8.080641, ' yes': -8.306482, '\n': -9.358842}
{' No': -0.24561718, ' Yes': -1.5442088, 'No': -5.719361, 'Yes': -7.684625, ' The': -8.298567}
{' Yes': -0.001552071, 'Yes': -6.9759974, ' No': -8.221223, ' yes': -8.947553, '\n': -9.009987}
{' Yes': -0.0021182233, 'Yes': -6.724189, ' No': -7.3380094, ' yes': -8.986973, '\n': -9.385819}
{' Yes': -0.0018119682, 'Yes': -6.413908, ' yes': -8.911497, ' ': -11.128335, '\n': -11.444222}
{' Yes': -0.04121035, ' No': -3.2493532, 'Yes': -6.6592627, 'No': -9.311874, ' The': -9.399263}
{' Yes': -0.008857881, ' No': -5.1385956, 'Yes': -6.2250013, '\n': -7.910347, ' The': -8.189383}
{' Yes': -0.46298823, ' No': -1.0112079, ' The': -6.25269, 'Yes': -6.3568153, 'No': -6.43614}
{' Yes': -0.0027876203, 'Yes': -6.656216, ' No': -6.732159, ' yes': -8.859229, '\n': -9.252675}
{' Yes': -0.30081654, ' No': -1.3639326, 'Yes': -6.3201156, 'No': -6.564534, '\n': -8.137421}
{' Yes': -0.0032658456, ' No': -6.398218, 'Yes': -6.836228, ' yes': -8.194942, ' The': -8.663996}
{' No': -0.031384766, ' Yes': -3.579879, 'No': -6.058786, '\n': -8.353623, ' ': -8.709628}
{' Yes': -0.03800683, ' No': -3.421151, 'Yes': -6.045466, '\n': -6.568976, ' ': -7.6772275}
{' No': -0.027402245, ' Yes': -3.7495646, 'No': -5.775369, '\n': -8.919692, ' ': -9.0838995}
{' Yes': -0.0022535832, 'Yes': -6.3710885, ' yes': -8.444854, ' No': -8.63177, '\n': -9.930411}
{' Yes': -0.19254348, ' No': -1.7574276, 'Yes': -6.614161, 'No': -7.4377065, ' The': -8.242046}
{' Yes': -0.023371324, ' No': -3.9345386, 'Yes': -5.954588, ' yes': -8.10998, '\n': -8.205999}
{' No': -0.008027883, ' Yes': -5.437322, 'No': -5.65145, ' The': -10.264217, ' ': -10.265836}
{' Yes': -0.0414446, ' No': -3.2478023, 'Yes': -6.5896697, ' yes': -8.969309, 'No': -9.261401}
{' Yes': -0.002697008, 'Yes': -5.9690757, ' yes': -9.3021145, ' YES': -11.013741, ' ': -11.593372}
{' Yes': -0.0023265867, 'Yes': -6.208181, ' yes': -8.862031, ' No': -9.5759, ' The': -9.974307}
{' No': -0.0123183215, ' Yes': -5.111349, 'No': -5.2277822, ' ': -8.309874, ' The': -8.459429}
{' Yes': -0.0027650252, 'Yes': -6.20904, ' No': -7.5236325, ' yes': -9.135489, '\n': -9.843165}
{' Yes': -0.0017806774, 'Yes': -6.403685, ' yes': -9.672799, ' The': -10.884565, ' No': -11.073919}
{' Yes': -0.002490003, 'Yes': -6.2049184, ' No': -8.102262, ' yes': -9.610893, '\n': -10.2153225}
{' Yes': -0.0022808257, 'Yes': -6.3314033, ' No': -8.315915, ' yes': -8.900168, ' The': -9.935025}
{' Yes': -0.15369497, ' No': -1.9691457, 'Yes': -6.5191164, 'No': -7.60501, ' The': -7.6213593}
{' No': -0.017957412, ' Yes': -4.289821, 'No': -5.638988, '\n': -8.40699, ' The': -9.106229}
{' Yes': -0.0133219175, ' No': -4.7162104, 'Yes': -6.0863333, '\n': -6.6350503, ' yes': -8.006772}
{' Yes': -0.17786245, ' No': -1.833933, 'Yes': -6.4417553, 'No': -7.3283753, '\n': -7.888943}
{' Yes': -0.08769489, ' No': -2.5143268, 'Yes': -6.414158, '\n': -7.665531, ' The': -7.843216}
{' Yes': -0.041230474, ' No': -3.2503293, 'Yes': -6.6495614, ' The': -9.188733, ' yes': -9.511947}
{' Yes': -0.006734271, ' No': -5.630414, 'Yes': -6.0933046, ' yes': -7.835622, ' The': -8.421927}
{' Yes': -0.07879673, ' No': -2.619412, 'Yes': -6.6061115, ' yes': -7.582025, ' The': -7.726839}
{' No': -0.283467, ' Yes': -1.4244791, 'No': -6.2121835, '\n': -6.571808, ' The': -6.774208}
{' Yes': -0.35151622, ' No': -1.2249064, 'Yes': -6.97632, 'No': -7.6439066, '\n': -8.017962}
{' Yes': -0.22212271, ' No': -1.6266389, 'Yes': -6.585431, 'No': -7.4254737, '\n': -8.7148075}
{' No': -0.035686575, ' Yes': -3.4609334, 'No': -5.825353, ' The': -8.131279, '\n': -8.426074}
{' Yes': -0.1570101, ' No': -1.9594413, 'Yes': -6.39956, ' The': -6.5523977, 'No': -7.5709367}
{' Yes': -0.1330713, ' No': -2.0989544, 'Yes': -6.867486, ' The': -7.6717544, 'No': -8.2543955}
{' Yes': -0.003662759, ' No': -6.2049093, 'Yes': -6.6274886, ' yes': -8.599521, '\n': -9.989025}
{' Yes': -0.03820374, ' No': -3.3258662, 'Yes': -6.937556, '\n': -8.678941, ' yes': -8.681483}
{' Yes': -0.23677735, ' No': -1.5708418, 'Yes': -6.6876173, 'No': -7.2329407, ' The': -8.121409}
{' No': -0.0387072, ' Yes': -3.3992035, 'No': -5.4877157, '\n': -9.075723, ' The': -9.229161}
{' Yes': -0.03261417, ' No': -3.4975667, 'Yes': -6.491323, ' yes': -9.188182, 'No': -9.472469}
{' Yes': -0.0033957404, ' No': -6.166467, 'Yes': -6.908049, ' yes': -8.848985, ' The': -9.72018}
{' Yes': -0.00798721, ' No': -5.009244, 'Yes': -7.117419, ' yes': -8.270289, ' The': -8.915835}
{' Yes': -0.38559458, ' No': -1.1534016, 'Yes': -6.419086, 'No': -6.742297, '\n': -7.464375}
{' Yes': -0.11460603, ' No': -2.2377596, 'Yes': -6.9235888, 'No': -8.406827, ' ': -9.023347}
{' Yes': -0.16813888, ' No': -1.8870776, 'Yes': -6.4592495, 'No': -7.7226753, ' yes': -7.808386}
{' Yes': -0.0039752023, ' No': -5.86429, 'Yes': -6.943418, ' yes': -9.237022, ' The': -10.870644}
{' Yes': -0.4480808, ' No': -1.0243804, 'Yes': -7.0315037, 'No': -7.074017, ' The': -8.953564}
{' Yes': -0.0023479166, 'Yes': -6.3203917, '\n': -8.753633, ' yes': -8.900006, ' No': -8.924477}
{' Yes': -0.0067016263, ' No': -5.412064, 'Yes': -6.5350714, ' yes': -8.120023, '\n': -8.184638}
{' No': -0.10219481, ' Yes': -2.376855, 'No': -5.6242, 'Yes': -8.283097, '\n': -8.758108}
{' Yes': -0.0095922155, ' No': -4.9665375, 'Yes': -6.216192, ' yes': -8.158687, ' The': -9.233774}
{' No': -0.30428153, ' Yes': -1.3483527, 'No': -6.3210144, 'Yes': -8.048843, ' The': -8.655354}
{' No': -0.07966871, ' Yes': -2.6300092, 'No': -5.720335, '\n': -7.748532, ' The': -8.256182}
{' Yes': -0.38259733, ' No': -1.1647438, 'Yes': -5.9775977, 'No': -6.202667, '\n': -7.231121}
{' No': -0.6295297, ' Yes': -0.7702387, 'No': -6.220567, 'Yes': -6.9039474, ' The': -7.3698726}
{' No': -0.55734855, ' Yes': -0.860121, 'No': -6.2164464, ' The': -7.010508, 'Yes': -7.1500154}
{' Yes': -0.055112466, ' No': -2.9674869, 'Yes': -6.625539, ' The': -8.344871, ' yes': -8.356603}
{' Yes': -0.08659429, ' No': -2.5555751, 'Yes': -5.5658493, '\n': -7.5650425, 'No': -7.700585}
{' No': -0.30213246, ' Yes': -1.3546417, 'No': -6.481993, 'Yes': -7.578264, ' The': -8.001231}
{' No': -0.032510415, ' Yes': -3.6086917, 'No': -5.48599, '\n': -8.331904, ' ': -8.625066}
{' No': -0.005118493, 'No': -5.3190317, ' ': -9.878558, ' The': -9.938865, ' no': -10.065986}
{' Yes': -0.31204346, ' No': -1.326484, 'Yes': -6.6934366, 'No': -7.3552923, '\n': -8.450305}
{' Yes': -0.4725837, ' No': -0.9822503, 'Yes': -7.314506, 'No': -7.396751, ' The': -7.802847}
{' Yes': -0.007398649, ' No': -5.1390305, 'Yes': -6.8032527, ' yes': -8.813309, ' The': -8.833255}
{' Yes': -0.096329704, ' No': -2.4080381, 'Yes': -6.9106393, ' yes': -8.2092905, 'No': -8.316018}
{' No': -0.007794317, ' Yes': -5.51281, 'No': -5.638665, ' ': -9.425521, '\n': -10.1501665}
{' No': -0.59612584, ' Yes': -0.80777675, 'No': -6.5073633, 'Yes': -7.2206087, ' The': -8.018336}
{' Yes': -0.006227875, ' No': -5.355265, 'Yes': -6.6481667, ' yes': -9.414242, '\n': -9.951057}
{' No': -0.01293625, ' Yes': -4.86114, 'No': -5.35282, ' The': -9.183754, ' ': -9.487902}
{' No': -0.02416908, ' Yes': -3.8484619, 'No': -6.0970507, ' ': -9.273171, ' The': -9.653081}
{' No': -0.376726, ' Yes': -1.1684226, 'No': -6.5744696, ' The': -7.0995245, 'Yes': -7.8733935}
{' Yes': -0.0026027027, 'Yes': -6.3338475, ' No': -7.342866, ' yes': -9.234635, ' The': -9.931697}
{' No': -0.4152361, ' Yes': -1.0928427, 'No': -5.89973, 'Yes': -7.0584226, ' The': -8.098895}
{' Yes': -0.01660852, ' No': -4.2154574, 'Yes': -6.5813513, ' The': -9.289899, ' yes': -9.301082}
{' Yes': -0.0047859824, ' No': -5.709921, 'Yes': -6.7455335, ' yes': -9.157909, '\n': -9.585068}
{' Yes': -0.0010889268, 'Yes': -7.079956, ' yes': -8.645232, ' ': -10.675614, ' YES': -10.983998}
{' No': -0.014321619, ' Yes': -4.3470716, 'No': -6.8499937, ' The': -9.774489, ' ': -9.835292}
{' Yes': -0.0022968973, 'Yes': -6.515106, ' No': -8.038702, ' yes': -8.165268, '\n': -9.08424}
{' Yes': -0.0028506208, 'Yes': -6.1760583, ' No': -7.5533495, ' yes': -9.198304, '\n': -9.4305525}
{' Yes': -0.43136546, ' No': -1.0564914, 'No': -6.8341155, 'Yes': -6.996295, ' The': -8.360871}
{' No': -0.035703067, ' Yes': -3.4991543, 'No': -5.430663, '\n': -8.850148, ' The': -9.196935}
{' No': -0.46999136, ' Yes': -0.9891964, 'No': -6.3883567, 'Yes': -7.5963645, '\n': -8.107371}
{' No': -0.007583011, ' Yes': -5.21059, 'No': -6.3363028, '\n': -9.139535, ' ': -9.618413}
{' Yes': -0.001491957, 'Yes': -7.018784, ' yes': -8.078183, ' The': -9.172536, ' No': -9.384548}
{' Yes': -0.008752049, ' No': -5.0561686, 'Yes': -6.3561387, ' The': -8.61073, ' yes': -8.716719}
{' Yes': -0.00199817, 'Yes': -6.3167863, ' yes': -9.218221, '\n': -10.260008, ' ': -10.792064}
{' Yes': -0.0021587815, 'Yes': -6.3163824, ' No': -8.572129, ' yes': -9.051267, '\n': -10.799808}
{' Yes': -0.0015118337, 'Yes': -6.649556, ' yes': -9.139943, ' The': -10.218914, ' ': -10.893452}
{' Yes': -0.008315073, ' No': -5.0374537, 'Yes': -6.5790086, ' The': -8.567884, ' yes': -9.047974}
{' No': -0.028922588, ' Yes': -3.6421711, 'No': -6.2164245, ' ': -9.238751, ' The': -9.429362}
{' No': -0.18911478, ' Yes': -1.771518, 'No': -6.588487, '\n': -8.222732, ' ': -8.725083}
{' Yes': -0.07867066, ' No': -2.6286201, 'Yes': -6.0760727, ' The': -8.001774, ' yes': -8.278715}
{' Yes': -0.07868446, ' No': -2.6362824, 'Yes': -5.944155, '\n': -7.8232617, 'No': -7.899426}
{' No': -0.024507424, ' Yes': -4.0198226, 'No': -5.170267, '\n': -8.686268, ' ': -8.822305}
{' No': -0.011609837, 'No': -4.5015025, '\n': -8.977375, ' The': -9.229156, ' ': -9.26498}
{' Yes': -0.04792681, ' No': -3.1087463, 'Yes': -6.9513216, '\n': -7.4360433, ' yes': -8.616034}
{' No': -0.001969622, 'No': -6.341859, '\n': -9.730353, ' ': -9.919824, ' Yes': -10.125993}
{' Yes': -0.10371538, ' No': -2.3478065, 'Yes': -6.7693706, ' yes': -7.489835, ' The': -7.7541537}
{' No': -0.62224, ' Yes': -0.77620506, 'No': -6.572267, 'Yes': -7.4285674, '\n': -7.8228717}
{' Yes': -0.29761744, ' No': -1.3683592, 'Yes': -6.8685174, ' The': -7.1814065, 'No': -7.5747037}
{' Yes': -0.019605752, ' No': -4.0242786, 'Yes': -6.824781, ' yes': -8.790741, '\n': -9.222687}
{' Yes': -0.0012586423, 'Yes': -7.083957, ' yes': -8.225943, '\n': -9.491974, ' ': -10.111647}
{' Yes': -0.01943952, ' No': -4.056974, 'Yes': -6.5126085, ' yes': -8.642587, '\n': -9.05332}
{' No': -0.0075139464, 'No': -5.107495, ' Yes': -7.11598, ' ': -8.221334, '\n': -8.293806}
{' No': -0.05529632, ' Yes': -3.0098689, 'No': -5.5899124, ' The': -7.8788815, 'Yes': -8.950564}
{' Yes': -0.22495677, ' No': -1.6195587, 'Yes': -6.5297856, 'No': -7.230171, ' The': -7.732674}
{' Yes': -0.15723829, ' No': -1.942223, 'Yes': -6.6862907, 'No': -7.79805, ' The': -8.704615}
{' No': -0.23865154, ' Yes': -1.5648882, 'No': -6.13188, 'Yes': -8.056364, ' The': -8.057045}
{' Yes': -0.03215877, ' No': -3.5069168, 'Yes': -6.802291, ' yes': -8.561768, ' The': -8.882421}
{' Yes': -0.013759401, ' No': -4.6880474, 'Yes': -5.682461, '\n': -7.575753, ' yes': -8.061923}
{' Yes': -0.0049976, ' No': -5.654436, 'Yes': -6.599694, ' yes': -9.599276, ' The': -10.816484}
{' Yes': -0.014540522, ' No': -4.3604403, 'Yes': -6.7603765, ' yes': -8.638515, ' The': -9.087864}
{' Yes': -0.18380575, ' No': -1.8074172, 'Yes': -6.140554, 'No': -7.017252, ' yes': -8.280878}
{' Yes': -0.46221313, ' No': -1.0001961, 'Yes': -7.031886, 'No': -7.06561, ' The': -8.7281275}
{' No': -0.012762732, ' Yes': -4.971316, 'No': -5.230742, ' The': -8.36787, ' ': -9.843347}
{' Yes': -0.323109, ' No': -1.3114686, 'Yes': -6.0349026, 'No': -6.168005, ' The': -6.995012}
{' No': -0.011239598, 'No': -5.131536, ' Yes': -5.31233, '\n': -9.001996, ' ': -9.233016}
{' Yes': -0.0068024998, ' No': -5.364093, 'Yes': -6.478588, ' yes': -8.278311, '\n': -8.653576}
{' Yes': -0.0046733934, ' No': -5.920217, 'Yes': -6.476478, ' yes': -8.658718, '\n': -8.756437}
{' Yes': -0.0020486393, 'Yes': -6.5402527, ' yes': -8.298988, ' No': -8.776756, ' The': -9.384399}
{' Yes': -0.0028133797, 'Yes': -6.3563876, ' No': -7.2485676, ' yes': -8.322201, ' The': -9.91946}
{' Yes': -0.0024298318, ' No': -6.7305174, 'Yes': -7.007005, ' yes': -8.574199, '\n': -9.83977}
{' Yes': -0.18018037, ' No': -1.8144614, 'Yes': -6.9944067, 'No': -7.932883, '\n': -8.410215}
{' Yes': -0.22902723, ' No': -1.6099589, 'Yes': -6.092102, 'No': -6.74559, '\n': -7.3340187}
{' Yes': -0.48555535, ' No': -0.96339184, 'Yes': -6.678346, 'No': -6.6914077, '\n': -8.618849}
{' Yes': -0.0041925763, 'Yes': -5.7041264, ' No': -8.06002, '\n': -8.379705, ' yes': -8.892797}
{' Yes': -0.11565709, ' No': -2.2536347, 'Yes': -6.075311, '\n': -7.391843, 'No': -7.5664835}
{' Yes': -0.0038316557, 'Yes': -6.076181, ' No': -6.7380652, ' yes': -8.862053, '\n': -9.2872305}
{' Yes': -0.018749902, ' No': -4.115973, 'Yes': -6.3026547, ' yes': -8.797852, ' The': -9.174711}
{' Yes': -0.6634492, ' No': -0.73247045, 'No': -6.526264, 'Yes': -6.6463017, '\n': -6.9797783}
{' No': -0.004981365, ' Yes': -5.72045, 'No': -6.536706, ' The': -8.862515, '\n': -10.373515}
{' Yes': -0.0030067633, 'Yes': -6.0095887, '\n': -8.427485, ' yes': -8.480032, ' ': -9.615328}
{' Yes': -0.013682595, ' No': -4.4264326, 'Yes': -6.9227457, ' yes': -8.118285, ' The': -9.016394}
{' Yes': -0.11604943, ' No': -2.233773, 'Yes': -6.596203, ' The': -7.87817, 'No': -8.059666}
{' Yes': -0.231846, ' No': -1.588547, 'Yes': -6.6032043, 'No': -7.354631, ' The': -8.088355}
{' Yes': -0.010939094, ' No': -4.7483125, 'Yes': -6.3906236, ' yes': -8.164747, ' The': -9.1864605}
{' Yes': -0.17258295, ' No': -1.8521216, 'Yes': -6.9349594, 'No': -8.261808, ' The': -8.733257}
