{' No': -0.4067778, ' Yes': -1.1102976, 'No': -5.860507, 'Yes': -6.994649, ' Not': -7.4909906}
{' Yes': -0.17335986, ' No': -1.8602456, ' The': -6.4353666, 'Yes': -6.8437696, ' yes': -8.136214}
{' No': -0.006585343, ' Yes': -5.3392057, 'No': -7.063958, '\n': -7.6747465, ' ': -8.442879}
{' No': -0.0021207326, 'No': -6.395204, ' Yes': -8.385895, '\n': -9.287708, ' ': -9.633475}
{' Unt': -0.36450195, ' False': -2.0482807, ' Un': -2.0615501, ' ': -3.8992805, 'Unt': -4.417698}
{' No': -0.027475512, ' Yes': -3.750618, ' False': -5.7840557, 'No': -8.36108, ' ': -8.930666}
{' Yes': -0.013755533, ' No': -4.4888034, 'Yes': -6.64793, '\n': -8.0045805, ' yes': -8.06465}
{' Yes': -0.15951121, ' No': -1.9324396, ' The': -7.319959, ' ': -7.322032, '\n': -7.5558085}
{' No': -0.41299802, ' Yes': -1.7315348, ' Spice': -1.902601, ' Sp': -5.2123065, ' Nope': -6.079087}
{' Yes': -0.09424786, ' No': -2.427925, 'Yes': -6.6807623, 'No': -9.217715, ' yes': -9.413613}
{' Yes': -0.0004478621, 'Yes': -7.997808, ' yes': -9.75442, ' ': -10.7009, ' YES': -11.411655}
{' Yes': -0.004648722, ' No': -5.8181896, 'Yes': -7.12854, ' Under': -8.042374, ' yes': -8.614472}
{' Yes': -0.14798374, ' No': -1.9957182, 'Yes': -7.4409084, ' Crack': -8.091984, ' The': -8.149834}
{' Yes': -0.4626108, ' No': -0.9970233, 'Yes': -7.542364, 'No': -7.7697415, ' ': -8.606738}
{' Yes': -0.053108063, ' No': -3.097059, '\n': -6.071422, 'Yes': -6.164941, ' ': -7.335773}
{' Yes': -0.1252713, ' No': -2.173344, 'Yes': -6.7061954, ' Ar': -7.371876, ' The': -7.605925}
{' Yes': -0.048098814, ' No': -3.0766134, 'Yes': -7.6067824, ' The': -9.134381, ' yes': -9.347211}
{' Yes': -0.030390065, ' No': -3.5428312, 'Yes': -7.5026774, ' The': -8.73761, ' yes': -8.829662}
{' Yes': -0.112811185, ' No': -2.2938664, 'Yes': -6.082261, ' Early': -6.45508, 'No': -7.996982}
{' Yes': -0.006306747, ' No': -5.3434095, 'Yes': -7.3280053, ' yes': -7.675162, ' The': -8.33984}
{' Yes': -0.2265692, ' No': -1.6027478, 'Yes': -7.372634, '\n': -8.293786, ' ': -8.363217}
{' No': -0.4995184, ' Yes': -0.93557453, 'No': -8.029719, 'Yes': -8.083732, '\n': -9.286593}
{' No': -0.0873069, ' Yes': -2.5192833, ' Ocean': -6.5393004, 'No': -7.1009417, ' The': -7.7995486}
{' No': -0.03300004, ' Yes': -3.5213687, 'No': -6.5768857, ' Ocean': -7.6201344, ' The': -7.914376}
{' No': -0.012518743, ' Yes': -4.830939, 'No': -5.522179, ' ': -8.129113, ' The': -9.793622}
{' Yes': -0.13311018, ' No': -2.0981522, 'Yes': -6.9215674, ' The': -7.8439384, '\n': -8.590771}
{' No': -0.0102709085, ' Yes': -4.69231, 'No': -6.914125, 'Yes': -10.869523, '\n': -11.031112}
{' Yes': -0.36468092, ' No': -1.1906717, ' The': -7.6404104, 'Yes': -7.7409225, 'No': -8.783174}
{' Yes': -0.040988382, ' No': -3.2696583, ' The': -7.0476775, 'Yes': -7.18032, ' yes': -8.86254}
{' Yes': -0.0013723973, ' No': -7.213792, 'Yes': -7.476174, ' yes': -10.289481, ' ': -11.410138}
{' Yes': -0.6084357, ' No': -0.78863245, ' The': -7.535912, 'Yes': -8.31178, 'No': -8.5268345}
{' No': -0.5475649, ' Yes': -0.87059927, ' Guard': -6.3391385, 'No': -7.9920597, 'Yes': -8.424051}
{' Yes': -0.025621707, ' No': -4.467865, ' Sweet': -4.4830284, 'Yes': -6.359148, ' Swe': -7.753063}
{' Yes': -0.0017966222, 'Yes': -6.7483172, ' No': -7.748016, ' yes': -9.1632805, ' The': -10.424211}
{' Yes': -0.11563862, ' No': -2.2253532, 'Yes': -7.269872, ' Grass': -8.762261, ' ': -9.259605}
{' No': -0.24264443, ' Yes': -1.5458517, 'No': -6.558661, 'Yes': -7.921571, '\n': -8.724431}
{' Yes': -0.10052751, ' No': -2.3631694, 'Yes': -6.963501, ' yes': -8.68272, '\n': -8.912233}
{' No': -0.13495593, ' Yes': -2.0774226, 'No': -7.4411464, 'Yes': -9.083428, ' The': -9.190291}
{' No': -0.028407354, ' Yes': -3.6306734, 'No': -7.117917, ' Unfortunately': -8.2780905, ' ': -8.77335}
{' No': -0.07198861, ' Yes': -2.6770968, 'No': -7.483775, ' ': -9.775662, 'Yes': -9.938241}
{' No': -0.53659016, ' Yes': -0.88478434, 'No': -7.15273, 'Yes': -7.394447, ' The': -7.6039424}
{' Yes': -0.29078165, ' No': -1.3845775, 'Yes': -6.891503, 'No': -7.989687, '\n': -8.651941}
{' No': -0.6880837, ' Yes': -0.7007962, ' The': -8.18755, '\n': -8.196865, 'Yes': -8.241391}
{' Yes': -0.4893738, ' No': -0.95517313, ' The': -7.2623377, 'Yes': -7.5252357, 'No': -8.223964}
{' No': -0.22958113, ' Yes': -1.5882503, 'No': -7.983533, 'Yes': -8.740991, ' ': -9.072215}
{' Yes': -0.08900836, ' No': -2.483408, 'Yes': -7.0347586, ' yes': -7.963281, ' The': -8.494256}
{' No': -0.36078382, ' Yes': -1.1985924, 'No': -7.943934, 'Yes': -8.129915, ' The': -8.139137}
{' No': -0.33277515, ' Yes': -1.2942772, ' Plant': -5.523941, 'No': -6.3719673, 'Yes': -6.720456}
{' Yes': -0.12829356, ' No': -2.1250243, 'Yes': -7.5480227, '\n': -9.005456, ' yes': -9.335297}
{' No': -0.40006992, ' Yes': -1.114681, 'No': -7.8274345, ' The': -8.038547, ' Seven': -8.051622}
{' Yes': -0.0007789308, 'Yes': -7.8755054, ' No': -8.139832, ' yes': -10.325075, ' ': -10.671497}
{' Yes': -0.10022043, ' No': -2.3662078, 'Yes': -7.467907, ' The': -7.6410794, ' yes': -8.542259}
{' Yes': -0.07479451, ' Rough': -2.9618585, ' No': -3.9632087, 'Yes': -7.5176024, ' ': -7.530591}
{' Yes': -0.5211752, ' No': -0.9107932, ' Rough': -5.9111037, 'Yes': -7.5425224, 'No': -7.834764}
{' Yes': -0.004548542, ' No': -5.947249, 'Yes': -6.4148116, ' yes': -8.844703, '\n': -10.0370455}
{' Yes': -0.4355012, ' No': -1.0457116, 'Yes': -7.4152007, '\n': -8.2818365, 'No': -8.323641}
{' Yes': -0.005086441, ' No': -5.676976, 'Yes': -6.593972, ' yes': -8.664563, ' The': -10.455001}
{' Yes': -0.18666327, ' No': -1.7777734, 'Yes': -7.196631, ' yes': -8.494116, 'No': -8.950012}
{' No': -0.68859434, ' Yes': -0.70531404, ' The': -6.304355, 'Yes': -7.0390615, 'No': -7.670249}
{' No': -0.268458, ' Yes': -1.4542795, 'No': -7.487055, 'Yes': -7.512827, ' The': -8.073164}
{' Yes': -0.00295828, ' No': -6.251848, 'Yes': -7.2779846, ' Store': -9.224411, ' The': -9.429289}
{' Yes': -0.0012371556, ' No': -7.481568, 'Yes': -7.813735, ' yes': -9.397113, ' ': -9.594216}
{' Yes': -0.03860058, ' No': -3.3131385, 'Yes': -7.339857, ' The': -7.803249, ' ': -8.996389}
{' Yes': -0.006948938, ' No': -5.1490655, 'Yes': -7.067917, ' yes': -9.454609, ' ': -9.8452835}
{' No': -0.37917393, ' Yes': -1.1562984, 'No': -8.082744, 'Yes': -8.430955, ' ': -9.130103}
{' Yes': -0.0420164, ' No': -3.209325, 'Yes': -7.566388, ' yes': -9.194705, ' Parts': -10.135137}
{' Yes': -0.23296143, ' No': -1.6142823, ' The': -5.11, 'Yes': -6.702453, '\n': -7.769524}
{' Yes': -0.47486237, ' No': -1.0229448, ' Sho': -5.3940897, ' Sh': -5.846405, 'Yes': -5.873564}
{' Yes': -0.012024009, ' No': -4.6896152, 'Yes': -6.2323246, ' Sy': -7.9050574, ' ': -8.189562}
{' Yes': -0.09007032, ' No': -2.498714, 'Yes': -6.4018755, ' Sy': -6.7827373, ' yes': -8.035501}
{' Yes': -0.00096726825, 'Yes': -7.633297, ' No': -8.226376, ' yes': -9.207853, '\n': -10.148596}
{' Yes': -0.0035128503, ' No': -5.907634, 'Yes': -7.7858973, ' yes': -8.38464, '\n': -9.716874}
{' Yes': -0.07780174, ' No': -2.6025534, 'Yes': -7.6190953, ' yes': -9.083229, 'No': -10.003892}
{' Yes': -0.2735991, ' No': -1.4369597, 'Yes': -7.2385154, 'No': -8.400523, ' yes': -8.489522}
{' Yes': -0.0018000858, ' No': -6.941524, 'Yes': -7.1584406, ' yes': -10.3880005, ' ': -11.545636}
{' No': -0.31446126, ' Yes': -1.3148808, 'No': -7.0406723, 'Yes': -8.156765, ' The': -10.048757}
{' Yes': -0.30612797, ' No': -1.3448089, ' Arrow': -6.589781, 'Yes': -7.457376, 'No': -7.6996117}
{' Yes': -0.07054207, ' No': -2.7048843, 'Yes': -7.4917283, ' The': -8.515863, ' Arrow': -8.57486}
{' Yes': -0.24018398, ' No': -1.5514671, 'Yes': -7.506339, ' The': -7.5218053, 'No': -8.582217}
{' Yes': -0.18169582, ' No': -1.8035543, 'Yes': -7.2639427, ' The': -8.444574, ' yes': -8.612151}
{' Yes': -0.17403969, ' No': -1.8399047, 'Yes': -7.5696735, ' yes': -9.167955, 'No': -9.250595}
{' Yes': -0.13100855, ' No': -2.1023543, 'Yes': -8.085505, ' The': -9.544111, ' ': -9.653189}
{' Yes': -0.003620942, ' No': -6.3498826, 'Yes': -6.5647736, ' The': -8.365698, ' yes': -9.177944}
{' Yes': -0.07686464, ' No': -2.816971, ' Heart': -4.4294434, 'Yes': -6.7858176, ' The': -7.6414146}
{' Yes': -0.009154449, ' No': -4.7619047, 'Yes': -7.791756, ' The': -9.872097, ' yes': -10.234956}
{' Yes': -0.00063905964, 'Yes': -7.8063254, ' No': -9.264451, ' Horse': -9.441791, ' ': -10.741504}
{' No': -0.025442673, ' Yes': -3.7520754, 'No': -6.48786, 'Yes': -10.048986, ' ': -10.259342}
{' Yes': -0.67284656, ' No': -0.7216804, 'No': -6.6185346, 'Yes': -6.7126946, ' The': -7.0644016}
{' No': -0.1408475, ' Yes': -2.0735447, 'No': -5.3192377, 'Yes': -7.485631, ' ': -9.386458}
{' No': -0.004825632, 'No': -5.7071495, ' Yes': -6.5572925, ' Not': -10.610861, ' ': -11.026108}
{' Yes': -0.0037346086, 'Yes': -6.2036204, ' No': -6.6250815, ' The': -8.528597, ' yes': -9.24932}
{' Yes': -0.0033234945, 'Yes': -5.918658, ' No': -8.005802, ' The': -9.283857, ' Snake': -9.477536}
{' Yes': -0.37717733, ' No': -1.1805602, ' G': -6.3176274, ' Laugh': -6.4705973, 'Yes': -6.561366}
{' No': -0.4960658, ' Yes': -0.94465894, 'No': -6.6986113, 'Yes': -7.3325944, ' ': -9.003425}
{' Yes': -0.08374689, ' No': -2.547059, 'Yes': -6.4717855, 'No': -8.573428, ' The': -9.2193365}
{' Yes': -0.04546359, ' No': -3.1599767, 'Yes': -6.467588, 'No': -9.003107, ' The': -9.24693}
{' No': -0.013080511, ' Yes': -4.7204585, 'No': -5.5426407, '\n': -10.079338, ' ': -10.131133}
{' Yes': -0.4314418, ' No': -1.0587573, 'Yes': -6.4859934, 'No': -7.046489, ' The': -7.2974176}
{' Yes': -0.008452895, ' No': -5.369048, 'Yes': -5.7467546, ' Plane': -8.373054, ' yes': -9.095704}
{' Yes': -0.100972764, ' No': -2.4203868, ' Plane': -5.666127, 'Yes': -5.839252, 'No': -8.190707}
{' Yes': -0.042703535, ' No': -3.234186, 'Yes': -6.3232565, ' The': -8.981462, ' Found': -9.118936}
{' Yes': -0.1604911, ' No': -1.927638, 'Yes': -6.554097, ' The': -7.799474, 'No': -7.991702}
{' Yes': -0.0033148222, 'Yes': -6.361509, ' No': -7.171314, ' Uncle': -7.7967925, ' ': -8.494025}
{' No': -0.36200818, ' Yes': -1.196765, 'No': -7.111297, 'Yes': -7.9245863, ' ': -9.264617}
{' No': -0.035658408, ' Yes': -3.4641194, 'No': -5.853663, ' The': -7.516588, ' ': -9.276517}
{' Yes': -0.3767835, ' No': -1.1697961, 'Yes': -6.417637, 'No': -6.537442, ' The': -8.806182}
{' Yes': -0.011280527, ' No': -4.760933, 'Yes': -6.1702933, ' The': -8.373737, ' yes': -8.847023}
{' Yes': -0.0028180422, 'Yes': -6.189921, ' No': -7.9835095, ' yes': -8.509553, ' The': -9.369376}
{' No': -0.077332236, ' Yes': -2.6172204, 'No': -6.831464, 'Yes': -9.015349, ' The': -9.048758}
{' Yes': -0.30338815, ' No': -1.3481612, 'Yes': -6.751109, 'No': -7.744346, ' The': -8.89695}
{' Yes': -0.15929374, ' No': -1.9511334, 'Yes': -5.9417677, ' The': -6.7333765, 'No': -7.6847277}
{' Yes': -0.058972817, ' No': -2.954574, 'Yes': -6.06651, ' The': -6.18881, '\n': -8.255916}
{' Yes': -0.09611426, ' No': -2.4095716, 'Yes': -6.596707, 'No': -8.641948, ' The': -9.622884}
{' Yes': -0.019232055, ' No': -4.0783577, 'Yes': -6.3919444, '\n': -8.917497, ' The': -9.3041}
{' Yes': -0.044205617, ' No': -3.25545, 'Yes': -5.5209665, ' ': -8.542954, 'No': -8.585731}
{' Yes': -0.40602916, ' No': -1.1115594, 'Yes': -6.083169, 'No': -7.115362, ' The': -7.5838065}
{' No': -0.07556386, ' Yes': -2.6478467, 'No': -6.587406, ' The': -8.3486185, 'Yes': -8.914637}
{' No': -0.0286466, ' Yes': -3.7338028, 'No': -5.651855, ' The': -8.243683, '\n': -8.547576}
{' Yes': -0.0066140797, ' No': -5.247653, 'Yes': -6.7769156, ' The': -9.424792, ' yes': -9.796794}
{' Yes': -0.0009383907, 'Yes': -7.180078, ' yes': -9.435993, ' No': -9.636554, ' YES': -11.47724}
{' Yes': -0.0693807, ' No': -2.733113, 'Yes': -6.532929, '\n': -8.619502, 'No': -8.829194}
{' No': -0.00567432, ' Yes': -5.882725, 'No': -5.928896, ' ': -9.157346, '\n': -10.105901}
{' Yes': -0.0017524953, 'Yes': -6.504728, ' No': -9.253297, ' yes': -9.508672, ' The': -10.252137}
{' Yes': -0.0019077518, 'Yes': -6.767119, ' No': -7.352909, ' yes': -9.660996, ' The': -10.750319}
{' Yes': -0.0032834273, 'Yes': -6.241727, ' No': -6.742907, ' yes': -9.693807, ' The': -10.250867}
{' Yes': -0.18316299, ' No': -1.8025057, 'Yes': -6.3984528, 'No': -7.7132607, ' ': -8.8580265}
{' No': -0.58951074, ' Yes': -0.8143566, 'No': -6.5146203, 'Yes': -7.2513814, ' The': -8.983339}
{' Yes': -0.51273614, ' No': -0.918763, 'Yes': -6.84746, 'No': -7.2912736, ' ': -9.1514225}
{' Yes': -0.08114806, ' No': -2.5903187, 'Yes': -6.0641093, ' The': -8.451581, 'No': -8.77584}
{' Yes': -0.0030096343, 'Yes': -5.874107, ' The': -9.599694, ' No': -9.941543, ' yes': -10.346803}
{' No': -0.34213158, ' Yes': -1.2487003, 'No': -6.25722, 'Yes': -7.418437, ' The': -8.783355}
{' No': -0.3898021, ' Yes': -1.138778, 'No': -6.4697847, 'Yes': -7.608114, ' The': -8.221801}
{' Yes': -0.0032447353, ' No': -6.2172318, 'Yes': -6.861603, ' Shirt': -9.265047, ' yes': -9.970289}
{' Yes': -0.0044493317, ' No': -5.882968, 'Yes': -6.4844675, ' yes': -9.850341, ' The': -10.5260105}
{' Yes': -0.28013873, ' No': -1.4165999, 'Yes': -6.627904, 'No': -8.195201, ' The': -9.860312}
{' No': -0.5536212, ' Yes': -0.86051357, 'Yes': -6.897516, 'No': -7.223388, ' The': -8.327047}
{' Yes': -0.096600346, ' No': -2.427594, 'Yes': -6.4564404, ' The': -6.727877, '\n': -7.7320943}
{' No': -0.045733538, ' Yes': -3.2806346, 'No': -5.2729654, ' Board': -6.8390164, ' ': -8.577167}
{' Yes': -0.005620252, 'Yes': -5.979642, ' No': -5.9900084, ' The': -8.07912, ' yes': -8.847051}
{' Yes': -0.69183034, ' No': -0.69785, 'Yes': -7.331486, 'No': -7.672198, ' The': -8.0991125}
{' Yes': -0.055418286, ' No': -2.9573457, 'Yes': -6.5012856, ' The': -8.982965, ' yes': -9.283478}
{' Yes': -0.23450597, ' No': -1.5856469, 'Yes': -6.1907697, ' The': -7.1129656, 'No': -7.394692}
{' Yes': -0.05728127, ' No': -2.920654, 'Yes': -6.6756625, ' The': -8.904832, 'No': -9.140546}
{' No': -0.21588871, ' Yes': -1.655931, 'No': -6.0065, 'Yes': -7.9663024, ' The': -8.106104}
{' Yes': -0.078869216, ' No': -2.5923808, 'Yes': -7.166407, 'No': -9.720263, ' The': -9.895353}
{' Yes': -0.06013425, ' No': -2.8667958, 'Yes': -6.7043786, ' yes': -9.164428, 'No': -9.452397}
{' No': -0.10899868, ' Yes': -2.2846348, 'No': -6.90239, ' The': -8.701461, 'Yes': -9.095674}
{' Yes': -0.013711056, ' No': -4.4329844, 'Yes': -6.6494813, ' The': -8.2354965, ' yes': -9.564463}
{' Yes': -0.0069794897, ' No': -5.238407, 'Yes': -6.52842, ' yes': -9.586374, ' The': -9.892395}
{' Yes': -0.071722895, ' Women': -2.751107, ' No': -6.144943, 'Yes': -6.217898, ' ': -7.312718}
{' Yes': -0.16198479, ' No': -2.0220501, 'Yes': -4.508291, 'No': -5.9639935, ' yes': -6.637596}
{' Yes': -0.18296078, ' No': -1.8068335, 'Yes': -6.3141513, ' yes': -7.7963614, 'No': -8.092064}
{' No': -0.31490445, ' Yes': -1.3187058, 'No': -6.450782, 'Yes': -7.5750794, ' The': -8.228898}
{' Yes': -0.052020106, ' No': -3.053992, 'Yes': -6.432858, ' The': -7.0658402, ' Los': -7.9076877}
{' Yes': -0.4534168, ' No': -1.0122662, 'Yes': -7.483953, 'No': -7.9101954, ' The': -9.55085}
{' No': -0.30030802, ' Yes': -1.3555753, 'No': -6.9745073, 'Yes': -7.937984, '\n': -9.216868}
{' Yes': -0.0010216809, 'Yes': -7.0204644, ' No': -9.628085, ' yes': -10.326592, ' The': -11.430929}
{' Yes': -0.0015394151, 'Yes': -6.53507, ' yes': -10.002076, ' No': -11.1227045, ' ': -11.766885}
{' No': -0.5767942, ' Yes': -0.83029425, 'No': -6.815863, 'Yes': -7.209091, ' ': -8.167756}
{' Yes': -0.00910693, ' No': -4.851344, 'Yes': -6.8243318, ' yes': -9.373908, ' The': -10.623257}
{' No': -0.0395294, ' Yes': -3.2977307, 'No': -6.58389, ' ': -9.132466, '\n': -9.424626}
{' No': -0.090413384, ' Yes': -2.4989958, 'No': -5.6867366, 'Yes': -8.15347, ' ': -8.48759}
{' No': -0.4332617, ' Yes': -1.052633, 'No': -6.4773746, 'Yes': -7.186616, ' ': -9.378383}
{' No': -0.06377864, ' Yes': -2.8456218, 'No': -5.8669662, ' The': -8.237837, 'Yes': -8.780735}
{' Yes': -0.2354092, ' No': -1.57766, 'Yes': -6.269724, 'No': -7.465805, ' The': -8.398476}
{' Yes': -0.11244434, ' No': -2.2643418, 'Yes': -6.6928163, ' yes': -7.8507886, ' The': -8.033873}
{' Yes': -0.45619637, ' No': -1.0113931, 'Yes': -6.538302, 'No': -7.621792, ' ': -8.7269125}
{' No': -0.15738429, ' Yes': -1.9532503, 'No': -6.0130663, 'Yes': -7.6491995, ' The': -7.758697}
{' No': -0.00952175, 'No': -4.6702766, ' ': -9.945749, ' Yes': -10.2631, ' no': -11.433891}
{' No': -0.103652634, ' Yes': -2.3494277, 'No': -6.023882, 'Yes': -8.520775, ' The': -8.521848}
{' Yes': -0.023573237, ' No': -3.8533213, 'Yes': -6.6983585, ' yes': -8.404875, ' The': -8.457363}
{' Yes': -0.43936396, ' No': -1.0403486, 'Yes': -7.271544, ' The': -7.492682, 'No': -7.8485117}
{' No': -0.0733239, ' Yes': -2.669662, 'No': -6.8081775, ' The': -9.000083, 'Yes': -9.584321}
{' Yes': -0.01826604, ' No': -4.086284, 'Yes': -7.0040674, ' yes': -8.9702425, ' The': -9.142568}
{' No': -0.5568356, ' Yes': -0.8565869, 'No': -6.750338, 'Yes': -7.255532, ' The': -8.506083}
{' No': -0.29051137, ' Yes': -1.3848774, 'No': -6.790507, 'Yes': -7.776471, '\n': -9.810983}
{' No': -0.3754546, ' Yes': -1.1699034, 'No': -6.4900837, 'Yes': -7.5894685, ' Unfortunately': -8.153137}
{' No': -0.27000687, ' Yes': -1.456063, 'No': -5.989874, 'Yes': -7.560587, ' The': -8.893919}
{' No': -0.06442153, ' Yes': -2.8047245, 'No': -6.4844575, ' The': -8.957122, 'Yes': -9.128472}
{' No': -0.14658158, ' Yes': -2.0253217, 'No': -5.883545, ' The': -7.2565265, 'Yes': -7.983299}
{' No': -0.05960831, ' Yes': -2.870773, 'No': -6.929018, ' Unfortunately': -9.821312, 'Yes': -9.879089}
{' No': -0.6957365, ' Yes': -0.69609326, 'No': -6.6362596, 'Yes': -6.912152, ' Unfortunately': -8.962699}
{' Yes': -0.0025803526, 'Yes': -6.277263, ' No': -7.675998, ' ': -9.477902, ' yes': -9.761365}
{' Yes': -0.003115041, 'Yes': -6.494701, ' No': -6.613507, ' yes': -9.106808, ' The': -9.628216}
{' Yes': -0.00818502, 'Yes': -5.724459, ' E': -6.003538, ' No': -6.9115834, ' erupt': -7.2769403}
{' No': -0.027773915, 'No': -4.0382543, ' Nope': -5.2893963, ' Yes': -6.3884516, 'rupt': -7.237676}
{' Yes': -0.032100357, ' No': -3.5368476, 'Yes': -6.4254127, ' The': -7.8163843, ' yes': -8.5931635}
{' Yes': -0.057760138, ' No': -2.922035, 'Yes': -6.4185977, ' The': -8.126692, ' yes': -8.881568}
{' Yes': -0.6991519, ' No': -0.70121753, ' Armor': -5.60547, 'No': -6.4822054, ' The': -7.1731005}
{' No': -0.17905404, ' Yes': -1.8292785, 'No': -6.0683317, ' The': -7.861787, 'Yes': -8.001744}
{' No': -0.17272505, ' Yes': -1.8505034, 'No': -6.944106, 'Yes': -8.605313, ' ': -9.086886}
{' No': -0.44809568, ' Yes': -1.0241301, 'No': -6.7443833, 'Yes': -7.554449, ' The': -8.942886}
{' No': -0.3770944, ' Yes': -1.2562125, ' Still': -3.8056774, 'No': -5.537121, 'Yes': -6.6486564}
{' No': -0.39767656, ' Yes': -1.1266384, ' The': -6.4957733, 'No': -6.9210887, 'Yes': -7.666532}
{' Yes': -0.14288324, ' No': -2.0455322, 'Yes': -5.8587475, 'No': -7.1607075, '\n': -9.263092}
{' Yes': -0.0031745958, 'Yes': -6.4537835, ' No': -6.4898057, ' yes': -9.971218, ' ': -11.698298}
{' Yes': -0.0025044028, 'Yes': -6.337222, ' No': -7.944185, ' Purs': -8.63496, ' The': -9.445677}
{' Yes': -0.06029771, ' No': -2.8846173, 'Yes': -6.6122518, ' The': -7.245471, '\n': -8.628213}
{' No': -0.023085028, ' Yes': -3.9051878, 'No': -6.078132, ' The': -9.079065, ' ': -9.174215}
{' No': -0.0058708373, 'No': -5.8251457, ' Yes': -5.9366302, ' ': -9.301878, '\n': -9.633621}
{' Yes': -0.15143207, ' No': -1.9904366, 'Yes': -6.105972, ' The': -7.1747584, 'No': -7.839736}
{' Yes': -0.17548132, ' No': -1.8512913, ' The': -6.4376345, 'Yes': -6.4710755, 'No': -8.261695}
{' No': -0.0129070245, ' Yes': -4.8944817, 'No': -5.58163, '\n': -7.0470734, ' ': -8.021366}
{' No': -0.0042981077, 'No': -5.7035494, ' Yes': -7.22185, '\n': -9.413503, ' ': -9.66288}
{' False': -1.3110219, ' Un': -1.3756124, ' Unt': -1.598055, ' No': -2.1788409, ' ': -2.536156}
{' No': -0.012584654, ' Yes': -4.4667892, 'No': -7.012307, ' ': -10.234849, '\n': -10.235509}
{' Yes': -0.046861555, ' No': -3.1672418, 'Yes': -6.172537, ' The': -7.0221977, ' yes': -8.498016}
{' Yes': -0.07357323, ' No': -2.679393, 'Yes': -6.6547875, ' The': -7.5781255, ' ': -8.723993}
{' Yes': -0.7199695, ' No': -0.85351247, ' Spice': -2.6172187, 'Yes': -5.7751803, ' Sp': -5.8760037}
{' Yes': -0.045301616, ' No': -3.186207, 'Yes': -6.002544, ' yes': -8.892263, 'No': -9.259159}
{' Yes': -0.0010496621, 'Yes': -6.9545, ' yes': -9.810638, ' ': -10.996037, ' YES': -11.39871}
{' Yes': -0.0042334604, ' No': -6.206982, 'Yes': -6.402772, ' yes': -8.83394, ' ': -8.876837}
{' Yes': -0.08257469, ' No': -2.5508459, 'Yes': -7.084156, ' The': -8.936787, 'No': -9.398}
{' No': -0.4528397, ' Yes': -1.0233926, 'No': -5.825972, 'Yes': -6.934929, ' The': -7.9249783}
{' Yes': -0.06945634, ' No': -3.1137447, 'Yes': -4.395712, '\n': -5.3234615, ' The': -6.417726}
{' Yes': -0.042846866, ' No': -3.2414894, 'Yes': -6.158285, ' The': -8.545463, ' yes': -8.890036}
{' Yes': -0.046857126, ' No': -3.1196108, 'Yes': -6.729203, ' The': -8.621003, 'No': -9.19851}
{' Yes': -0.017921485, ' No': -4.108631, 'Yes': -6.9207954, ' The': -9.027285, ' yes': -9.060892}
{' Yes': -0.15400732, ' No': -2.0044827, 'Yes': -5.2486362, 'No': -6.5569363, ' Early': -8.175957}
{' Yes': -0.056035437, ' No': -2.9477668, 'Yes': -6.5633407, ' yes': -8.658021, ' ': -8.946584}
{' Yes': -0.025679743, ' No': -3.7869482, 'Yes': -6.129809, '\n': -8.775878, ' ': -9.157689}
{' Yes': -0.2896525, ' No': -1.3876348, 'Yes': -6.699709, 'No': -7.8341947, '\n': -9.5746565}
{' No': -0.088011496, ' Yes': -2.5053601, 'No': -6.366665, ' The': -8.084749, ' Ocean': -8.243418}
{' No': -0.015765954, ' Yes': -4.44568, 'No': -5.786281, ' The': -7.8079667, ' ': -8.9595585}
{' No': -0.032973614, ' Yes': -3.8124192, 'No': -4.6489706, ' ': -8.299659, ' The': -8.402175}
{' No': -0.15662779, ' Yes': -1.9546033, 'No': -6.1545653, ' The': -7.480037, 'Yes': -7.976213}
{' No': -0.08347148, ' Yes': -2.5774899, 'No': -5.6329684, 'Yes': -7.851568, '\n': -9.798723}
{' No': -0.32701036, ' Yes': -1.2866374, 'No': -6.4992895, 'Yes': -7.626973, ' The': -8.050202}
{' Yes': -0.004528482, ' No': -5.765255, 'Yes': -6.845045, ' The': -8.665405, ' yes': -9.711929}
{' Yes': -0.0015557121, 'Yes': -6.593777, ' No': -9.088788, ' yes': -10.374091, ' ': -11.172534}
{' No': -0.3054879, ' Yes': -1.34069, 'No': -7.197728, 'Yes': -8.365817, ' The': -8.434924}
{' Yes': -0.19619228, ' No': -1.73482, 'Yes': -7.135742, ' Guard': -7.9784145, 'No': -8.294012}
{' Yes': -0.0045914147, ' No': -5.9747086, 'Yes': -6.246374, ' yes': -10.198345, ' ': -10.956503}
{' Yes': -0.003764883, 'Yes': -5.9786086, ' No': -6.851072, ' yes': -9.586089, ' The': -9.922164}
{' Yes': -0.12112216, ' No': -2.1962583, 'Yes': -6.3552527, ' Grass': -7.452583, 'No': -8.455581}
{' No': -0.17563882, ' Yes': -1.8489271, 'No': -5.8567243, 'Yes': -7.7128663, ' The': -8.946079}
{' Yes': -0.0801085, ' No': -2.5913963, 'Yes': -6.4361763, 'No': -8.700437, ' yes': -9.035092}
{' No': -0.41460702, ' Yes': -1.087903, 'No': -6.541487, 'Yes': -7.317475, ' The': -8.53587}
{' No': -0.011749686, ' Yes': -4.7088585, 'No': -6.1737995, ' Unfortunately': -8.138065, ' ': -9.21183}
{' No': -0.13577129, ' Yes': -2.0774064, 'No': -6.5586185, 'Yes': -8.586079, ' ': -9.958626}
