{' No': -0.019491663, ' Yes': -4.188889, 'No': -5.6951966, ' The': -7.8454537, '\n': -8.467041}
{' No': -0.00295828, 'No': -5.8659153, ' ': -10.363018, ' The': -10.410984, '\n': -10.664398}
{' No': -0.0025084633, 'No': -6.054279, '\n': -10.1405735, ' Yes': -10.231916, ' ': -10.29785}
{' Yes': -0.470529, ' No': -0.98619777, 'Yes': -7.0133867, 'No': -7.0762334, '\n': -8.161649}
{' No': -0.010987784, ' Yes': -4.6800075, 'No': -6.5491214, '\n': -9.33675, ' ': -10.225083}
{' No': -0.0014706459, 'No': -6.626123, ' Yes': -10.199047, '\n': -10.265545, ' no': -10.684761}
{' No': -0.0014723176, 'No': -6.6614375, '\n': -9.450858, ' ': -9.809856, ' no': -10.40288}
{' Yes': -0.098431274, ' No': -2.3799675, 'Yes': -7.440628, ' yes': -8.554166, '\n': -8.873809}
{' No': -0.0021885294, 'No': -6.7886643, ' Yes': -7.021248, '\n': -9.599701, ' ': -9.7711735}
{' No': -0.012094595, ' Yes': -4.620432, 'No': -6.284288, '\n': -9.179749, ' The': -9.516985}
{' No': -0.012021898, ' Yes': -4.6208835, 'No': -6.274833, '\n': -9.324496, ' ': -10.36143}
{' No': -0.30179942, ' Yes': -1.352077, 'No': -7.19374, '\n': -7.508529, 'Yes': -8.510253}
{' No': -0.004628781, ' Yes': -5.908693, 'No': -6.503871, '\n': -8.378327, ' ': -9.000448}
{' No': -0.06170804, ' Yes': -2.8316798, 'No': -7.242576, ' ': -9.882606, 'Yes': -10.092147}
{' No': -0.12765014, ' Yes': -2.1327696, 'No': -7.4235654, '\n': -7.968356, ' ': -9.259801}
{' No': -0.068617605, ' Yes': -2.721173, 'No': -8.006884, ' ': -10.032538, '\n': -10.136389}
{' Yes': -0.24055676, ' No': -1.553669, 'Yes': -7.427397, ' The': -7.610414, '\n': -7.6952534}
{' No': -0.0040533626, ' Yes': -5.7866397, 'No': -7.1408706, '\n': -9.688168, ' ': -10.157444}
{' No': -0.0032593266, ' Yes': -6.2565737, 'No': -6.8262362, ' The': -9.567737, '\n': -9.630578}
{' No': -0.06253765, ' Yes': -2.840528, 'No': -6.4552603, ' The': -8.751674, '\n': -8.765683}
{' No': -0.011846183, ' Yes': -4.587671, 'No': -6.6451826, '\n': -9.035026, ' The': -9.751397}
{' Yes': -0.031361703, ' No': -3.524829, 'Yes': -6.8758497, ' yes': -8.949393, '\n': -9.544314}
{' Yes': -0.21739158, ' No': -1.6404109, 'Yes': -7.4853315, '\n': -8.120961, 'No': -8.497621}
{' No': -0.58701175, ' Yes': -0.8158993, 'No': -7.077102, 'Yes': -7.766508, '\n': -8.717936}
{' No': -0.040050693, ' Yes': -3.2777233, 'No': -6.8743377, '\n': -8.6518345, ' no': -9.308072}
{' No': -0.024708165, ' Yes': -3.795666, 'No': -6.5452533, ' The': -8.5295925, ' ': -8.931223}
{' No': -0.0043687494, ' Yes': -5.7611055, 'No': -6.926148, '\n': -9.427907, ' ': -9.646204}
{' No': -0.030517014, ' Yes': -3.5428212, 'No': -7.029832, '\n': -9.381978, ' ': -9.6216955}
{' No': -0.0078047095, ' Yes': -5.0150084, 'No': -7.023673, '\n': -9.3268175, ' ': -9.879571}
{' No': -0.241645, ' Yes': -1.5458364, 'No': -7.0920415, 'Yes': -8.151217, '\n': -9.078374}
{' No': -0.007830121, ' Yes': -5.0944085, 'No': -6.578858, '\n': -9.010166, ' ': -9.517326}
{' No': -0.0022778378, 'No': -6.353721, ' Yes': -8.021202, ' ': -9.356291, '\n': -9.888095}
{' No': -0.01718574, ' Yes': -4.2294846, 'No': -6.203282, '\n': -8.813307, ' The': -8.876303}
{' No': -0.054624543, ' Yes': -2.9530313, 'No': -7.4606123, '\n': -8.67388, ' ': -9.608014}
{' No': -0.0053572063, ' Yes': -5.631349, 'No': -6.4771757, ' ': -9.620988, '\n': -9.728318}
{' No': -0.0037815168, 'No': -6.172646, ' Yes': -6.5521135, '\n': -8.811613, ' ': -9.953425}
{' No': -0.4519227, ' Yes': -1.0195229, 'No': -6.796052, ' Most': -7.5697794, 'Yes': -7.7316523}
{' Yes': -0.07895655, ' No': -2.590269, 'Yes': -7.7838206, '\n': -8.357074, ' yes': -9.037643}
{' No': -0.03994889, ' Yes': -3.269212, 'No': -7.0751886, '\n': -9.124627, ' ': -9.433696}
{' No': -0.0021807638, ' Yes': -6.693892, 'No': -7.1707177, '\n': -9.399027, ' ': -9.838103}
{' No': -0.0027680139, 'No': -6.120705, ' Yes': -8.042141, '\n': -8.766546, ' ': -9.848593}
{' No': -0.48812696, ' Yes': -0.95614076, 'No': -7.2253456, 'Yes': -8.09951, ' The': -8.340645}
{' No': -0.20350136, ' Yes': -1.7028184, 'No': -6.784828, '\n': -8.263809, 'Yes': -8.671602}
{' No': -0.0038500852, ' Yes': -5.972617, 'No': -6.8222737, ' ': -9.319436, '\n': -9.631249}
{' No': -0.0017574513, 'No': -6.491186, ' ': -9.217413, ' Yes': -9.746922, '\n': -9.9154415}
{' No': -0.0021189405, 'No': -6.417817, ' Yes': -8.020727, '\n': -9.618404, ' ': -10.188834}
{' No': -0.01207408, ' Yes': -4.628325, 'No': -6.282929, '\n': -8.608692, ' The': -9.724266}
{' No': -0.59895307, ' Yes': -0.8018245, 'No': -7.1674685, 'Yes': -7.3986983, '\n': -7.966979}
{' Yes': -0.42138436, ' No': -1.0708994, 'Yes': -7.545867, 'No': -8.257937, ' yes': -8.591182}
{' Yes': -0.5407943, ' No': -0.8796444, 'No': -6.8832455, 'Yes': -7.0641975, '\n': -7.915582}
{' No': -0.21079926, ' Yes': -1.6683779, 'No': -7.4158545, '\n': -8.05613, ' The': -8.388683}
{' No': -0.0032481435, ' Yes': -5.9370303, 'No': -7.4906783, ' ': -11.077338, '\n': -11.300935}
{' No': -0.031646498, ' Yes': -3.493511, 'No': -7.441042, '\n': -10.02403, ' ': -10.033933}
{' Yes': -0.113170415, ' No': -2.2492979, 'Yes': -6.9591403, '\n': -8.536857, 'No': -8.806252}
{' No': -0.045417625, ' Yes': -3.146673, 'No': -6.7698207, '\n': -9.205512, ' ': -9.843586}
{' No': -0.0021701907, 'No': -6.230672, ' Yes': -9.660542, ' ': -10.200727, '\n': -10.204573}
{' No': -0.0019471685, 'No': -6.8345237, ' Yes': -7.2419615, '\n': -9.611314, ' ': -10.301997}
{' No': -0.002033526, 'No': -6.52276, ' Yes': -7.754202, '\n': -10.015738, ' ': -10.110203}
{' No': -0.0028221665, ' Yes': -6.539939, 'No': -6.6524343, '\n': -10.228625, ' ': -10.577075}
{' No': -0.009858546, ' Yes': -4.9892454, 'No': -6.0281987, '\n': -8.163325, ' ': -8.7314825}
{' No': -0.006258405, ' Yes': -5.4605656, 'No': -6.3281727, ' ': -9.432455, '\n': -9.763073}
{' No': -0.0054702894, ' Yes': -5.8860893, 'No': -6.1177635, '\n': -8.32401, ' ': -8.568198}
{' No': -0.001302328, 'No': -6.7249126, ' Yes': -10.34612, ' ': -10.557566, '\n': -10.745636}
{' Yes': -0.013714862, ' No': -4.358905, 'Yes': -7.348641, ' yes': -9.578997, '\n': -9.815192}
{' No': -0.036871538, ' Yes': -3.3648856, 'No': -6.6698976, ' ': -8.731953, '\n': -9.229701}
{' Yes': -0.53099567, ' No': -0.8891557, 'No': -8.020436, 'Yes': -8.022014, ' yes': -8.964299}
{' No': -0.606111, ' Yes': -0.7913031, 'No': -7.3748293, 'Yes': -7.9412236, '\n': -9.398692}
{' No': -0.010089061, ' Yes': -5.0927057, 'No': -5.6384244, ' The': -8.745288, '\n': -9.592668}
{' Yes': -0.5193402, ' No': -0.91287005, 'Yes': -6.654924, 'No': -6.7146735, '\n': -7.6864867}
{' Yes': -0.13494201, ' No': -2.0953493, 'Yes': -6.3241086, 'No': -7.530019, '\n': -7.9166346}
{' No': -0.012471544, 'No': -4.8971915, ' Yes': -5.480615, ' The': -8.192489, '\n': -8.239875}
{' No': -0.04933392, ' Yes': -3.168234, 'No': -5.510988, ' The': -6.9617653, '\n': -7.6901193}
{' No': -0.07740894, ' Yes': -2.6612139, 'No': -5.623944, '\n': -7.990636, ' The': -8.316773}
{' No': -0.014007011, 'No': -4.8463206, ' Yes': -5.1885123, '\n': -8.405818, ' ': -9.124236}
{' No': -0.2782848, ' Yes': -1.4363981, 'No': -5.810326, ' The': -7.000859, 'Yes': -7.525671}
{' Yes': -0.41463843, ' No': -1.0888995, 'Yes': -6.645812, 'No': -6.916837, ' The': -8.560527}
{' No': -0.008692824, 'No': -4.8585634, ' Yes': -7.3705144, '\n': -9.392531, ' The': -9.594455}
{' No': -0.1491338, ' Yes': -2.0158808, 'No': -5.4582806, 'Yes': -7.785093, '\n': -8.2897415}
{' No': -0.1335939, ' Yes': -2.1253407, 'No': -5.4196444, ' The': -7.9063807, '\n': -7.9108706}
{' No': -0.054803085, ' Yes': -2.998792, 'No': -5.810366, 'Yes': -8.929364, '\n': -8.972568}
{' No': -0.11118174, ' Yes': -2.3178582, 'No': -5.167935, 'Yes': -8.066292, '\n': -8.214835}
{' No': -0.35564953, ' Yes': -1.2292687, 'No': -5.6176276, '\n': -7.004659, ' The': -7.0676665}
{' No': -0.22236249, ' Yes': -1.6399536, 'No': -5.5475097, 'Yes': -7.559965, ' The': -7.9605365}
{' Yes': -0.3362409, ' No': -1.2665159, 'Yes': -6.5171757, 'No': -7.078796, ' The': -7.7728972}
{' No': -0.036925655, ' Yes': -3.5099995, 'No': -5.282314, ' The': -7.627586, '\n': -7.726281}
{' No': -0.008376798, ' Yes': -5.504829, 'No': -5.5160556, '\n': -9.419531, ' The': -9.489094}
{' No': -0.013394103, 'No': -4.790507, ' Yes': -5.3563066, '\n': -9.487633, ' The': -9.752744}
{' No': -0.036065795, ' Yes': -3.4437747, 'No': -5.745523, '\n': -9.343581, 'Yes': -9.546382}
{' Yes': -0.119327806, ' No': -2.2088377, 'Yes': -6.572859, ' yes': -7.8707943, ' The': -7.8912334}
{' No': -0.013849142, 'No': -4.2980137, '\n': -9.69884, ' ': -9.916841, ' The': -10.947335}
{' No': -0.011570583, 'No': -4.4808564, '\n': -9.785109, ' ': -10.166418, ' Yes': -10.319088}
{' No': -0.067638166, ' Yes': -2.7904754, 'No': -5.664879, ' The': -8.326236, 'Yes': -9.074061}
{' No': -0.011880682, 'No': -4.6002326, ' Yes': -6.558608, ' The': -8.90059, '\n': -9.492494}
{' Yes': -0.076866955, ' No': -2.6362371, 'Yes': -6.4803815, ' The': -8.113794, 'No': -8.410469}
{' No': -0.026220184, ' Yes': -3.848472, 'No': -5.4913845, ' The': -8.81956, '\n': -9.041561}
{' No': -0.08351489, ' Yes': -2.5583265, 'No': -6.137151, 'Yes': -8.803676, '\n': -8.911336}
{' No': -0.0049966406, 'No': -5.8915377, ' Yes': -6.161034, ' The': -10.230934, ' ': -10.719411}
{' No': -0.18828535, ' Yes': -1.7949975, 'No': -5.7071123, '\n': -6.965465, 'Yes': -7.6926146}
{' Yes': -0.4147597, ' No': -1.0972873, 'Yes': -6.200835, 'No': -6.502906, '\n': -6.994139}
{' Yes': -0.0045280023, ' No': -5.855989, 'Yes': -6.6189647, ' yes': -8.665974, ' The': -9.600648}
{' No': -0.004838209, 'No': -5.6762195, ' Yes': -6.7235613, '\n': -9.347684, ' ': -9.85072}
{' Yes': -0.25485483, ' No': -1.514155, 'Yes': -6.4009137, 'No': -6.4969068, ' The': -7.125166}
{' No': -0.0094663305, 'No': -4.7362366, ' Yes': -8.236606, ' The': -9.036837, '\n': -9.102608}
{' No': -0.14599456, ' Yes': -2.0481496, 'No': -5.606911, '\n': -6.8122983, ' The': -6.949084}
{' No': -0.322293, ' Yes': -1.3086135, 'No': -5.854291, ' The': -7.1306086, 'Yes': -7.4061365}
{' No': -0.003710858, 'No': -5.799853, ' Yes': -7.447314, ' ': -9.975434, '\n': -11.150266}
{' No': -0.0063898866, 'No': -5.480538, ' Yes': -6.2387958, ' The': -9.589281, ' ': -9.591965}
{' No': -0.32576483, ' Yes': -1.3041373, 'No': -5.3897295, ' The': -7.19667, 'Yes': -7.21666}
{' No': -0.026490862, ' Yes': -4.1562324, 'No': -4.6759505, ' The': -7.4891615, '\n': -8.148181}
{' No': -0.0088761, 'No': -4.8012877, ' Yes': -8.211879, ' Not': -8.858533, ' The': -9.506417}
{' No': -0.0076486566, 'No': -4.9567623, ' Yes': -7.8602734, '\n': -9.509821, ' ': -9.89063}
{' No': -0.068496, ' Yes': -2.771909, 'No': -5.735244, 'Yes': -8.882514, ' The': -9.138679}
{' No': -0.009640602, ' Yes': -5.013705, 'No': -5.902522, '\n': -9.496667, ' The': -9.999951}
{' No': -0.07911066, ' Yes': -2.6538978, 'No': -5.5289226, '\n': -7.4011316, ' The': -7.4729395}
{' No': -0.012003439, 'No': -4.9535317, ' Yes': -5.4381967, ' The': -8.405687, ' Not': -9.138014}
{' No': -0.050944433, ' Yes': -3.1159427, 'No': -5.3942137, '\n': -8.525313, ' ': -8.789568}
{' No': -0.16937385, ' Yes': -1.8879482, 'No': -5.751895, 'Yes': -7.857501, ' The': -8.050151}
{' No': -0.012952251, ' Yes': -4.867336, 'No': -5.3968368, ' The': -8.396367, '\n': -8.625276}
{' No': -0.03442781, ' Yes': -3.5487902, 'No': -5.4538975, ' The': -7.972437, ' ': -8.900202}
{' No': -0.34822464, ' Yes': -1.2461034, 'No': -5.413759, 'Yes': -6.906589, ' The': -7.9376636}
{' No': -0.027104316, ' Yes': -3.8718402, 'No': -5.243441, ' The': -8.53504, '\n': -8.557246}
{' No': -0.638585, ' Yes': -0.75860673, 'No': -6.4218736, 'Yes': -6.9844003, ' The': -7.8658414}
{' No': -0.12646282, ' Yes': -2.1666944, 'No': -5.824378, '\n': -7.982919, ' The': -8.173865}
{' No': -0.007022346, 'No': -5.1030974, ' Yes': -7.593999, ' The': -8.460179, ' ': -9.534711}
{' No': -0.007782122, 'No': -5.129036, ' Yes': -6.540767, '\n': -8.920577, ' The': -9.233723}
{' Yes': -0.009190361, ' No': -4.9336324, 'Yes': -6.6059637, ' The': -8.044443, ' yes': -8.541727}
{' Yes': -0.4717401, ' No': -0.9900525, 'No': -6.456694, 'Yes': -6.709807, ' The': -7.072203}
{' Yes': -0.04972913, ' No': -3.0696342, 'Yes': -6.4035573, 'No': -8.898653, ' yes': -9.019069}
{' No': -0.017214486, ' Yes': -4.417353, 'No': -5.4743714, '\n': -7.8484764, ' The': -8.853212}
{' Yes': -0.22177646, ' No': -1.6349101, 'Yes': -6.687494, ' The': -6.751857, 'No': -7.4329047}
{' Yes': -0.33843952, ' No': -1.2594944, ' The': -7.013753, 'Yes': -7.111158, 'No': -7.4264846}
{' No': -0.032552898, ' Yes': -3.5622005, 'No': -5.909799, '\n': -8.206457, ' The': -8.331461}
{' No': -0.017078297, ' Yes': -4.498886, 'No': -5.201919, ' The': -9.169307, 'Yes': -9.878911}
{' No': -0.13376614, ' Yes': -2.1173608, 'No': -5.580122, 'Yes': -8.021318, ' The': -8.084372}
{' No': -0.0105130235, 'No': -5.0355754, ' Yes': -5.667651, '\n': -8.598966, ' The': -8.7272005}
{' No': -0.023750896, ' Yes': -4.029528, 'No': -5.2817307, ' The': -8.666946, '\n': -8.736429}
{' No': -0.07623057, ' Yes': -2.6530433, 'No': -6.0644407, 'Yes': -8.594605, ' The': -8.901864}
{' No': -0.009529513, 'No': -4.834481, ' Yes': -6.7875767, ' The': -8.521099, ' ': -9.677726}
{' No': -0.005501036, 'No': -5.3076534, ' Yes': -8.418338, ' The': -8.753789, ' ': -9.754409}
{' Yes': -0.46417382, ' No': -1.0038066, 'Yes': -6.2584047, 'No': -6.4605107, ' The': -7.4284544}
{' No': -0.033207297, ' Yes': -3.5885088, 'No': -5.5548215, ' The': -7.7275066, '\n': -7.971768}
{' No': -0.01567796, ' Yes': -4.5081377, 'No': -5.519426, '\n': -8.675336, ' ': -8.941503}
{' No': -0.010335105, 'No': -5.0280066, ' Yes': -5.739716, '\n': -8.66504, ' The': -8.8345995}
{' No': -0.01570896, ' Yes': -4.4125595, 'No': -5.7535686, ' The': -9.235495, '\n': -9.919207}
{' No': -0.02169309, ' Yes': -4.0699162, 'No': -5.6057134, '\n': -7.9262376, ' ': -9.104214}
{' No': -0.1271729, ' Yes': -2.2054944, 'No': -5.191483, ' The': -6.0051427, 'Yes': -7.8673577}
{' No': -0.03725876, ' Yes': -3.5069048, 'No': -5.202784, ' The': -7.6293664, '\n': -8.197035}
{' Yes': -0.019098027, ' No': -4.0876727, 'Yes': -6.533874, ' The': -8.176408, ' yes': -8.477391}
{' No': -0.031260476, ' Yes': -3.6774664, 'No': -5.3811617, ' The': -7.917678, '\n': -8.507821}
{' No': -0.30855542, ' Yes': -1.3462349, 'No': -5.7237606, ' The': -7.2915683, 'Yes': -7.4071903}
{' No': -0.17734613, ' Yes': -1.871455, 'No': -4.9158063, 'Yes': -7.2316513, ' The': -8.458437}
{' No': -0.010086832, 'No': -4.947615, ' Yes': -5.9281907, ' ': -9.130954, '\n': -9.555113}
{' No': -0.0498456, ' Yes': -3.1722324, 'No': -5.184922, ' The': -7.8835955, '\n': -8.073058}
{' No': -0.030408684, ' Yes': -3.648342, 'No': -5.72603, ' The': -8.220407, '\n': -8.735076}
{' No': -0.04147958, ' Yes': -3.3226721, 'No': -5.6111093, ' The': -7.563032, '\n': -8.9925785}
{' No': -0.04011919, ' Yes': -3.374441, 'No': -5.380647, '\n': -8.83671, 'Yes': -8.958736}
{' No': -0.00888446, ' Yes': -5.305673, 'No': -5.696125, ' The': -7.920112, '\n': -10.066208}
{' Yes': -0.009429626, ' No': -5.0623527, 'Yes': -6.2729063, '\n': -7.6844454, ' The': -7.9686575}
{' No': -0.14221548, ' Yes': -2.0613747, 'No': -5.48183, ' The': -8.04668, 'Yes': -8.0781765}
{' No': -0.015810579, ' Yes': -4.6566014, 'No': -5.161362, '\n': -8.618105, ' ': -9.136137}
{' No': -0.08580236, ' Yes': -2.551943, 'No': -5.570482, 'Yes': -8.58259, ' The': -9.107788}
{' Yes': -0.3255536, ' No': -1.3009659, 'Yes': -6.2684493, ' The': -6.5544825, 'No': -6.618371}
{' No': -0.09870807, ' Yes': -2.4271421, 'No': -5.599322, '\n': -6.969275, ' The': -7.643668}
{' No': -0.014046966, 'No': -4.8209352, ' Yes': -5.2429304, '\n': -7.989339, ' ': -9.209268}
{' No': -0.03381052, ' Yes': -3.5574176, 'No': -5.4649014, '\n': -8.708128, 'Yes': -9.198796}
{' No': -0.0082891695, 'No': -5.2803416, ' Yes': -6.0041156, '\n': -7.9332285, ' The': -8.836841}
{' No': -0.017024884, ' Yes': -4.513321, 'No': -5.235895, ' The': -8.509906, '\n': -8.720862}
{' No': -0.008163267, ' Yes': -5.548927, 'No': -5.553711, ' The': -8.989569, '\n': -9.090647}
{' No': -0.011764402, 'No': -4.678497, ' Yes': -6.256168, '\n': -8.779926, ' The': -8.822804}
{' No': -0.027803084, ' Yes': -3.9427066, 'No': -4.9558997, '\n': -7.7495065, ' The': -8.273011}
{' Yes': -0.3476008, ' No': -1.2426833, 'Yes': -6.1626863, 'No': -6.5222597, ' The': -7.4260283}
{' No': -0.5528926, ' Yes': -0.86513513, 'No': -6.0237727, 'Yes': -7.00518, ' The': -8.967966}
{' No': -0.69861436, ' Yes': -0.6991579, 'No': -5.876539, 'Yes': -6.4240646, '\n': -7.4059734}
{' No': -0.04388041, ' Yes': -3.3880212, 'No': -4.8084545, ' The': -8.240189, '\n': -8.318108}
{' No': -0.012742024, 'No': -4.693597, ' Yes': -5.7383976, ' The': -8.845821, '\n': -10.093119}
{' No': -0.029371364, ' Yes': -3.69883, 'No': -5.633978, ' The': -8.240137, '\n': -9.062869}
{' No': -0.10501798, ' Yes': -2.3619854, 'No': -5.4026465, 'Yes': -7.915278, ' The': -8.579562}
{' No': -0.0104803145, ' Yes': -5.0930643, 'No': -5.5219493, ' The': -8.83287, ' ': -10.411208}
{' No': -0.0063986424, 'No': -5.196592, ' Yes': -7.46297, ' The': -9.06652, '\n': -9.710914}
{' Yes': -0.5253731, ' No': -0.90192, 'Yes': -6.7170672, 'No': -7.1718206, ' The': -8.183774}
{' No': -0.114919655, ' Yes': -2.2478523, 'No': -6.1217856, ' The': -8.286881, 'Yes': -8.363248}
{' No': -0.43514168, ' Yes': -1.0672904, 'No': -5.2274675, 'Yes': -6.578345, ' The': -6.893538}
{' No': -0.160092, ' Yes': -1.9614547, 'No': -5.370486, ' The': -6.8256135, '\n': -7.4296117}
{' No': -0.023913385, ' Yes': -3.9350863, 'No': -5.6840825, ' The': -8.158866, '\n': -8.668601}
{' No': -0.012392426, ' Yes': -5.1273746, 'No': -5.143276, ' The': -8.451107, '\n': -9.002652}
{' No': -0.009953597, ' Yes': -5.257161, 'No': -5.451421, '\n': -8.523433, ' ': -9.464463}
{' No': -0.0036293766, 'No': -5.7571287, ' Yes': -8.016908, ' The': -10.157657, '\n': -10.623553}
{' No': -0.015507296, ' Yes': -4.571696, 'No': -5.3694196, ' The': -9.041266, ' ': -9.189576}
{' No': -0.0095156105, ' Yes': -5.209333, 'No': -5.615762, ' The': -8.839618, ' ': -9.39408}
{' No': -0.05163121, ' Yes': -3.0777273, 'No': -5.662337, ' The': -8.084207, 'Yes': -8.774468}
{' No': -0.04535338, ' Yes': -3.2546597, 'No': -5.3862076, ' The': -7.4119663, '\n': -8.441864}
{' Yes': -0.35386598, ' No': -1.2200941, 'Yes': -7.030516, 'No': -7.290958, ' The': -7.5850554}
{' No': -0.06836624, ' Yes': -2.824052, 'No': -5.248975, '\n': -7.532624, ' The': -7.706719}
{' Yes': -0.029746776, ' No': -3.6107802, 'Yes': -6.2863293, ' yes': -8.797119, ' The': -9.350563}
{' No': -0.10676613, ' Yes': -2.3265898, 'No': -6.021384, ' The': -7.736742, '\n': -7.962151}
{' No': -0.0060401643, 'No': -5.759774, ' Yes': -5.9304805, '\n': -9.582376, ' ': -9.629106}
{' No': -0.013020486, ' Yes': -4.657351, 'No': -5.748795, ' The': -9.702962, '\n': -9.785718}
{' No': -0.31590635, ' Yes': -1.3243959, 'No': -5.7029357, 'Yes': -7.0771976, '\n': -8.3582325}
{' No': -0.011087105, 'No': -4.8335853, ' Yes': -6.323224, '\n': -7.340337, ' The': -8.202788}
{' No': -0.0750667, ' Yes': -2.692525, 'No': -5.517066, 'Yes': -8.608775, '\n': -8.688798}
{' No': -0.023024768, ' Yes': -4.215045, 'No': -4.8950567, '\n': -8.67179, ' The': -9.218812}
{' No': -0.007952664, 'No': -4.8677244, ' The': -9.138931, '\n': -10.1601305, ' ': -10.276951}
{' No': -0.006446875, 'No': -5.0785484, ' The': -9.859569, ' ': -10.019235, '\n': -10.044525}
{' No': -0.676749, ' Yes': -0.72438496, 'No': -5.5758557, 'Yes': -6.1884007, '\n': -7.21645}
{' No': -0.013115175, ' Yes': -4.8362865, 'No': -5.358591, ' The': -8.895693, '\n': -9.2470455}
{' No': -0.008542825, 'No': -4.789726, ' The': -9.724997, '\n': -9.9762745, ' ': -10.289435}
{' No': -0.008956808, 'No': -4.743671, '\n': -9.670906, ' ': -9.679398, ' no': -10.308149}
{' Yes': -0.050760236, ' No': -3.0608633, 'Yes': -6.2780194, ' The': -8.476094, ' yes': -8.534032}
{' No': -0.009243602, 'No': -4.7488027, ' Yes': -8.5675335, '\n': -9.06109, ' The': -9.2325115}
{' No': -0.018853216, ' Yes': -4.4748425, 'No': -5.0120554, ' The': -8.134012, '\n': -9.262241}
{' No': -0.015516374, 'No': -4.8693295, ' Yes': -4.9162574, '\n': -9.024481, ' The': -9.338135}
{' No': -0.4191307, ' Yes': -1.094025, 'No': -5.753132, '\n': -6.101553, 'Yes': -6.9651027}
{' No': -0.014335707, 'No': -4.835911, ' Yes': -5.1588955, '\n': -8.412694, ' ': -8.964673}
{' No': -0.0360116, ' Yes': -3.450436, 'No': -5.7314534, ' The': -9.16371, 'Yes': -9.334818}
{' No': -0.12205536, ' Yes': -2.1926136, 'No': -6.0723877, ' The': -8.002848, 'Yes': -8.2032795}
{' No': -0.5094338, ' Yes': -0.9219322, 'No': -7.411697, 'Yes': -7.785637, ' The': -8.684179}
{' Yes': -0.10755532, ' No': -2.3380451, 'Yes': -6.020092, '\n': -6.8844166, ' The': -7.0975533}
{' No': -0.015061671, ' Yes': -4.567342, 'No': -5.564992, '\n': -8.281905, ' The': -8.444452}
{' No': -0.007420207, 'No': -5.1658654, ' Yes': -6.756764, ' The': -8.147836, '\n': -9.47488}
{' No': -0.06867047, ' Yes': -2.8538325, 'No': -5.0451474, ' The': -6.7088394, '\n': -8.162233}
{' No': -0.1030221, ' Yes': -2.3822808, 'No': -5.6516724, ' The': -6.854651, '\n': -7.874848}
{' Yes': -0.22052094, ' No': -1.6451731, 'Yes': -5.9437246, 'No': -6.7040854, ' The': -7.641468}
{' Yes': -0.034796305, ' No': -3.4761434, 'Yes': -6.196519, ' The': -7.7083974, '\n': -8.270163}
{' No': -0.1374161, ' Yes': -2.0980427, 'No': -5.39536, 'Yes': -7.819247, ' The': -8.159068}
{' No': -0.021931035, ' Yes': -4.007664, 'No': -5.883552, '\n': -8.464138, ' The': -8.551767}
{' No': -0.12938076, ' Yes': -2.160188, 'No': -5.464765, ' The': -7.014194, 'Yes': -8.107814}
{' No': -0.011932257, ' Yes': -5.0815635, 'No': -5.2847915, ' The': -8.337889, ' ': -8.939204}
{' No': -0.04811608, ' Yes': -3.1401072, 'No': -5.7309656, 'Yes': -8.454224, ' The': -9.566667}
{' No': -0.008643044, ' Yes': -5.4883184, 'No': -5.526074, ' The': -8.484721, '\n': -9.14363}
{' No': -0.38650125, ' Yes': -1.1573334, 'No': -5.69679, 'Yes': -6.621795, ' The': -7.399968}
{' No': -0.014360438, ' Yes': -4.788084, 'No': -5.220314, '\n': -8.706015, ' The': -8.798931}
{' No': -0.008217168, 'No': -4.918995, ' Yes': -7.6930633, ' ': -8.988171, '\n': -9.10516}
{' No': -0.023159996, ' Yes': -4.3023996, 'No': -4.783177, ' The': -7.820845, '\n': -8.137854}
{' No': -0.041264884, ' Yes': -3.2814078, 'No': -6.0643773, ' The': -8.74158, '\n': -8.944657}
{' No': -0.008492028, 'No': -5.14988, ' Yes': -6.0777264, ' The': -8.895689, '\n': -9.360882}
{' No': -0.01969584, ' Yes': -4.6520143, 'No': -4.798857, '\n': -6.804444, ' The': -8.261856}
{' No': -0.22966751, ' Yes': -1.6335524, 'No': -5.1014, '\n': -6.7557635, 'Yes': -6.9947166}
{' Yes': -0.17983484, ' No': -1.8183769, 'Yes': -6.795067, 'No': -7.700342, '\n': -8.242571}
{' No': -0.06221841, ' Yes': -2.8767707, 'No': -5.6670322, ' The': -8.685696, '\n': -9.037237}
{' No': -0.008021458, 'No': -5.3014364, ' Yes': -5.9754586, '\n': -8.49962, ' ': -9.133835}
{' No': -0.0072655347, 'No': -5.055523, ' Yes': -7.973639, '\n': -8.011871, ' ': -9.268816}
{' Yes': -0.41222134, ' No': -1.1020882, 'Yes': -6.266139, 'No': -6.3872976, ' The': -7.021468}
{' No': -0.30541593, ' Yes': -1.3552454, 'No': -5.63022, 'Yes': -7.2274585, ' The': -7.6953845}
{' No': -0.011248579, 'No': -5.051936, ' Yes': -5.4322367, ' ': -9.0510235, '\n': -9.061954}
{' No': -0.006537104, 'No': -5.083718, ' Yes': -9.1757345, ' ': -9.261586, '\n': -9.830788}
{' No': -0.007942751, 'No': -4.977919, ' Yes': -7.123514, '\n': -9.600826, ' The': -9.682272}
{' No': -0.048189256, ' Yes': -3.2075634, 'No': -5.192587, ' The': -7.8151507, '\n': -8.178516}
{' No': -0.35617054, ' Yes': -1.2210463, 'No': -6.0818644, '\n': -6.9961886, 'Yes': -7.00893}
