{' No': -0.07183919, ' Yes': -2.7906997, 'No': -4.9420385, 'Yes': -8.206423, '\n': -8.27543}
{' No': -0.23676352, ' Yes': -1.5656075, 'No': -7.010573, '\n': -7.7938786, 'Yes': -8.58417}
{' Yes': -0.49785072, ' No': -0.9386543, 'Yes': -7.92976, 'No': -8.144604, ' yes': -8.9886265}
{' No': -0.021676155, ' Yes': -3.8995218, 'No': -6.9530115, '\n': -9.388333, ' ': -9.540643}
{' No': -0.13440189, ' Yes': -2.0818067, 'No': -7.281281, '\n': -9.01998, ' ': -9.393729}
{' No': -0.07912685, ' Yes': -2.6018186, 'No': -6.765673, '\n': -7.746289, ' ': -8.934871}
{' Yes': -0.33557895, ' No': -1.2602978, 'Yes': -7.4095454, 'No': -8.063553, ' yes': -8.267529}
{' No': -0.075315125, ' Yes': -2.638801, 'No': -7.549787, '\n': -8.031775, ' ': -8.977667}
{' No': -0.020361168, ' Yes': -3.9691656, 'No': -6.872003, '\n': -9.197565, ' ': -9.549519}
{' No': -0.005163425, ' Yes': -5.3963337, 'No': -7.6724396, '\n': -10.070278, ' ': -10.125704}
{' No': -0.0043514473, ' Yes': -5.817398, 'No': -6.7821603, ' The': -9.546362, '\n': -9.802404}
{' No': -0.03097204, ' Yes': -3.6249318, 'No': -5.773216, '\n': -8.218859, ' ': -8.731747}
{' No': -0.0019365383, 'No': -6.3604794, ' ': -9.66943, '\n': -9.834135, ' Yes': -9.840866}
{' No': -0.033984277, ' Yes': -3.4385653, 'No': -7.1091676, '\n': -8.337218, ' ': -9.207096}
{' No': -0.37268624, ' Yes': -1.1725138, 'No': -7.3886447, '\n': -7.9544325, 'Yes': -8.432107}
{' Yes': -0.0033386848, ' No': -5.9963474, 'Yes': -7.687769, ' yes': -8.277763, '\n': -9.511473}
{' No': -0.5700391, ' Yes': -0.8362974, 'No': -7.691947, 'Yes': -7.9942865, '\n': -8.707883}
{' Yes': -0.4116736, ' No': -1.0888207, 'Yes': -8.314165, '\n': -8.643004, 'No': -8.746124}
{' No': -0.024754228, ' Yes': -3.74145, 'No': -7.542784, '\n': -9.289883, ' ': -10.035072}
{' No': -0.63700974, ' Yes': -0.7581111, 'No': -7.1113744, '\n': -7.2137303, 'Yes': -7.5620294}
{' Yes': -0.6700451, ' No': -0.7207615, '\n': -7.3879766, 'Yes': -7.539653, 'No': -7.6284833}
{' Yes': -0.069336355, ' No': -2.7342665, 'Yes': -6.77899, '\n': -7.8140206, ' yes': -8.740528}
{' No': -0.07166341, ' Yes': -2.7047274, 'No': -6.642374, '\n': -7.4271355, ' ': -8.875423}
{' No': -0.14233615, ' Yes': -2.0318549, 'No': -6.8202376, 'Yes': -8.749777, '\n': -8.915159}
{' No': -0.114947535, ' Yes': -2.2359192, 'No': -6.7552724, '\n': -8.268246, 'Yes': -8.900567}
{' No': -0.0980604, ' Yes': -2.3903158, 'No': -6.9819465, '\n': -7.4275527, ' ': -9.162008}
{' No': -0.0007930096, 'No': -7.5343485, ' Yes': -8.598592, ' ': -10.872996, ' The': -10.899238}
{' Yes': -0.051393174, ' No': -3.0290654, 'Yes': -6.9717536, '\n': -7.9726806, ' yes': -8.26856}
{' No': -0.1764484, ' Yes': -1.830661, 'No': -7.309907, '\n': -8.017522, 'Yes': -9.10761}
{' No': -0.118278116, ' Yes': -2.2049174, 'No': -7.187177, ' The': -8.824018, '\n': -8.86419}
{' No': -0.11811121, ' Yes': -2.2039704, 'No': -7.426653, '\n': -8.672501, 'Yes': -9.514669}
{' No': -0.019240258, ' Yes': -4.0195374, 'No': -6.996955, '\n': -9.945601, ' ': -10.13322}
{' No': -0.02367601, ' Yes': -3.7968862, 'No': -7.0920196, ' ': -10.180342, '\n': -10.625387}
{' No': -0.007458878, ' Yes': -5.093507, 'No': -6.8015146, '\n': -9.5716095, ' ': -10.026852}
{' Yes': -0.4867982, ' No': -0.95733917, 'Yes': -7.4469266, 'No': -7.851954, '\n': -8.309867}
{' No': -0.06423776, ' Yes': -2.7993336, 'No': -7.063204, '\n': -8.381432, ' ': -8.662338}
{' No': -0.6509536, ' Yes': -0.7418044, '\n': -7.085859, 'No': -7.463793, 'Yes': -7.646494}
{' Yes': -0.12736902, ' No': -2.1351433, 'Yes': -7.3552666, '\n': -8.530532, ' The': -8.668679}
{' No': -0.057138506, ' Yes': -2.9176195, 'No': -6.776258, '\n': -8.868533, ' ': -9.5658865}
{' No': -0.30585533, ' Yes': -1.3432412, 'No': -6.507992, 'Yes': -7.888642, '\n': -8.270298}
{' No': -0.02667149, ' Yes': -3.7084777, 'No': -6.585019, '\n': -8.670197, ' The': -9.295453}
{' Yes': -0.062331323, ' No': -2.8243475, 'Yes': -7.505618, ' yes': -8.2784815, '\n': -8.760871}
{' No': -0.021763504, ' Yes': -3.8964334, 'No': -7.1298795, '\n': -8.463481, ' The': -9.638971}
{' Yes': -0.42576334, ' No': -1.064008, '\n': -7.622035, 'Yes': -7.6257195, 'No': -8.047544}
{' No': -0.1789761, ' Yes': -1.8179893, 'No': -7.0426993, '\n': -8.271723, 'Yes': -8.685519}
{' No': -0.040095054, ' Yes': -3.2721314, 'No': -6.9124527, ' The': -8.995073, '\n': -9.262777}
{' No': -0.003116357, 'No': -6.4807487, ' Yes': -6.6279483, '\n': -8.952594, ' ': -9.489902}
{' Yes': -0.0035080067, ' No': -5.858791, 'Yes': -7.79433, ' yes': -8.776955, ' The': -10.527708}
{' Yes': -0.07247348, ' No': -2.6721268, 'Yes': -7.564653, ' yes': -9.37941, 'No': -9.728443}
{' Yes': -0.102363035, ' No': -2.344686, 'Yes': -7.584003, ' yes': -7.9990897, '\n': -8.139964}
{' No': -0.08273602, ' Yes': -2.5541637, 'No': -6.8930054, '\n': -8.0376625, ' ': -8.94452}
{' No': -0.028824488, ' Yes': -3.5892684, 'No': -7.4214406, '\n': -9.397128, ' ': -10.1264105}
{' No': -0.004622852, ' Yes': -5.690709, 'No': -6.7750106, ' ': -10.076133, '\n': -10.958499}
{' No': -0.44347012, ' Yes': -1.0344373, 'No': -6.9622664, '\n': -7.175676, 'Yes': -7.514507}
{' No': -0.026760869, ' Yes': -3.6977544, 'No': -6.686171, '\n': -8.643107, ' The': -9.592127}
{' No': -0.07338913, ' Yes': -2.6630497, 'No': -7.295088, '\n': -8.958349, ' ': -9.66656}
{' No': -0.011401218, ' Yes': -4.5560656, 'No': -7.2838316, '\n': -9.654763, ' ': -10.201917}
{' Yes': -0.0114206895, ' No': -4.559409, 'Yes': -7.5705867, ' yes': -8.292462, '\n': -9.867177}
{' No': -0.3924645, ' Yes': -1.1300858, 'No': -7.167895, 'Yes': -8.238262, ' ': -8.481775}
{' No': -0.04424929, ' Yes': -3.1711965, 'No': -6.825827, ' ': -9.20323, '\n': -9.471997}
{' No': -0.15117252, ' Yes': -1.9753246, 'No': -6.9647274, '\n': -8.217581, ' ': -8.647899}
{' Yes': -0.21838038, ' No': -1.6392844, 'Yes': -7.0230255, '\n': -7.5759926, 'No': -8.014307}
{' No': -0.00624383, ' Yes': -5.5612683, 'No': -6.1294103, '\n': -9.276866, ' ': -9.938613}
{' No': -0.38891864, ' Yes': -1.1377285, 'No': -7.01972, 'Yes': -8.29163, ' ': -8.651297}
{' No': -0.12121481, ' Yes': -2.185809, 'No': -6.778132, '\n': -8.038307, ' ': -8.924617}
{' No': -0.09760529, ' Yes': -2.3919358, 'No': -6.678438, 'Yes': -9.224873, '\n': -9.614845}
{' No': -0.08533805, ' Yes': -2.5174308, 'No': -7.0201354, '\n': -9.598495, 'Yes': -9.664807}
{' Yes': -0.1993663, ' No': -1.7169158, 'Yes': -7.7053566, ' yes': -8.643145, 'No': -8.757854}
{' No': -0.44919452, ' Yes': -1.018912, 'No': -7.8958364, 'Yes': -8.556074, '\n': -9.332666}
{' Yes': -0.0068530324, ' No': -5.1179824, 'Yes': -7.698328, ' yes': -8.682318, ' The': -9.41435}
{' Yes': -0.22175376, ' No': -1.6244543, 'Yes': -7.5710077, '\n': -7.7878146, ' yes': -8.0464735}
{' Yes': -0.07867549, ' No': -2.593789, 'Yes': -7.949345, ' yes': -8.165662, '\n': -8.989337}
{' Yes': -0.001917249, ' No': -6.529972, 'Yes': -8.009279, ' yes': -9.581976, '\n': -10.455713}
{' No': -0.056110077, ' Yes': -3.0097673, 'No': -5.442312, '\n': -7.651385, ' ': -8.445954}
{' No': -0.044580415, ' Yes': -3.2937336, 'No': -5.1730037, '\n': -8.1582775, ' The': -8.562418}
{' No': -0.030800525, ' Yes': -3.7473855, 'No': -5.159676, ' The': -7.9833703, '\n': -8.532791}
{' No': -0.02464933, ' Yes': -3.939648, 'No': -5.377087, ' The': -8.984657, 'Yes': -9.680302}
{' Yes': -0.0054311566, 'Yes': -5.9818735, ' No': -6.1510797, ' yes': -8.078031, '\n': -8.161447}
{' Yes': -0.017735874, ' No': -4.1677465, 'Yes': -6.415958, ' yes': -8.410974, '\n': -9.291837}
{' No': -0.023939578, ' Yes': -3.9270535, 'No': -5.7446084, ' The': -8.150911, ' ': -8.975979}
{' Yes': -0.2550861, ' No': -1.5039989, 'Yes': -6.642894, 'No': -7.5593004, ' The': -7.568583}
{' Yes': -0.39706782, ' No': -1.1346109, 'Yes': -5.8954463, 'No': -6.0102377, '\n': -7.613239}
{' No': -0.081856064, ' Yes': -2.589619, 'No': -5.769226, 'Yes': -8.662009, ' The': -9.054539}
{' No': -0.36321384, ' Yes': -1.2059186, 'No': -5.613671, 'Yes': -7.0075765, '\n': -8.149417}
{' No': -0.5989467, ' Yes': -0.8105327, 'No': -5.8775606, 'Yes': -6.671309, ' The': -6.793715}
{' Yes': -0.003551969, 'Yes': -6.2091846, ' No': -6.658615, ' yes': -8.934383, ' The': -9.947788}
{' Yes': -0.08094756, ' No': -2.5884664, 'Yes': -6.360652, ' yes': -8.199843, ' The': -8.267152}
{' Yes': -0.009413319, ' No': -4.940104, 'Yes': -6.388052, ' yes': -8.241051, '\n': -9.079298}
{' No': -0.023007993, ' Yes': -3.9300725, 'No': -5.9653635, '\n': -8.713425, ' The': -8.736079}
{' Yes': -0.6105315, ' No': -0.79060054, 'No': -6.5448785, 'Yes': -6.878664, ' yes': -7.439253}
{' No': -0.038972665, ' Yes': -3.3288014, 'No': -6.229041, '\n': -9.075045, ' The': -9.388478}
{' Yes': -0.009317538, ' No': -4.9759216, 'Yes': -6.412853, ' yes': -8.08721, ' The': -8.487856}
{' No': -0.014109473, ' Yes': -4.837445, 'No': -5.1526628, ' The': -9.062956, '\n': -9.629626}
{' Yes': -0.10887552, ' No': -2.294964, 'Yes': -6.7439957, '\n': -7.8204556, ' The': -8.3606415}
{' Yes': -0.030817183, ' No': -3.5622294, 'Yes': -6.585876, ' yes': -8.399704, '\n': -8.836096}
{' Yes': -0.008924093, ' No': -5.0035605, 'Yes': -6.248632, ' yes': -8.775424, '\n': -10.624845}
{' No': -0.058049396, ' Yes': -2.9289484, 'No': -5.934642, ' The': -9.145696, 'Yes': -9.154887}
{' No': -0.09383035, ' Yes': -2.4783325, 'No': -5.6581955, '\n': -6.911804, ' The': -7.485174}
{' No': -0.43232328, ' Yes': -1.064945, 'No': -5.9555774, ' The': -6.652841, 'Yes': -6.9180164}
{' Yes': -0.011196016, ' No': -4.750099, 'Yes': -6.2864013, '\n': -8.274732, ' yes': -8.3651495}
{' Yes': -0.3654178, ' No': -1.1983074, 'Yes': -6.3944135, 'No': -6.5670357, '\n': -7.4960976}
{' Yes': -0.09344429, ' No': -2.441135, 'Yes': -6.908761, ' The': -7.4815474, ' yes': -7.974342}
{' No': -0.010050346, ' Yes': -4.952713, 'No': -6.055, '\n': -8.397679, ' ': -8.859608}
{' No': -0.15043321, ' Yes': -2.0426984, 'No': -5.465264, '\n': -5.5262074, ' ': -6.8997045}
{' No': -0.007026968, 'No': -5.3968506, ' Yes': -6.1023984, ' The': -9.578297, ' ': -9.689026}
{' Yes': -0.0024107113, 'Yes': -6.356796, ' No': -7.9823284, ' yes': -8.467641, ' The': -10.154119}
{' Yes': -0.14530328, ' No': -2.0204844, 'Yes': -6.5618525, 'No': -7.7674265, ' The': -8.278403}
{' Yes': -0.59348375, ' No': -0.8142861, 'No': -6.3698583, 'Yes': -6.446526, '\n': -7.583031}
{' No': -0.0048125745, 'No': -5.759352, ' Yes': -6.5099907, '\n': -9.856445, ' ': -10.036022}
{' No': -0.022127967, ' Yes': -3.9852111, 'No': -5.823899, ' ': -8.817755, '\n': -9.668167}
{' Yes': -0.0071003214, ' No': -5.590112, 'Yes': -5.791135, ' yes': -8.840589, ' The': -10.002748}
{' Yes': -0.0025055937, 'Yes': -6.1480265, ' yes': -8.635762, ' No': -9.174956, ' The': -10.317019}
{' No': -0.018266527, ' Yes': -4.354038, 'No': -5.441303, ' ': -8.290355, '\n': -8.481272}
{' No': -0.12111565, ' Yes': -2.229882, 'No': -5.1931105, 'Yes': -7.7811723, '\n': -8.238715}
{' No': -0.617993, ' Yes': -0.7820935, 'No': -6.2853546, 'Yes': -6.867836, ' The': -7.945927}
{' Yes': -0.02440609, ' No': -3.839601, 'Yes': -6.117385, '\n': -9.030145, ' yes': -9.215033}
{' Yes': -0.009322769, ' No': -5.054521, 'Yes': -6.057775, ' yes': -8.427925, ' The': -8.70064}
{' No': -0.18682232, ' Yes': -1.7950681, 'No': -5.7546625, ' The': -7.969114, 'Yes': -7.9699183}
{' No': -0.005539993, 'No': -5.3299875, ' Yes': -7.7832036, '\n': -9.434473, ' The': -9.567432}
{' Yes': -0.0037266526, 'Yes': -6.1152873, ' No': -7.1354704, ' yes': -7.9117765, '\n': -8.326228}
{' Yes': -0.30916092, ' No': -1.3386084, 'Yes': -6.451211, 'No': -6.8368516, '\n': -7.7494397}
{' No': -0.23734364, ' Yes': -1.5707481, 'No': -6.530617, ' The': -7.160681, 'Yes': -7.7638154}
{' Yes': -0.31744266, ' No': -1.3101947, 'Yes': -6.5899167, 'No': -7.8741555, ' The': -8.515541}
{' No': -0.39364716, ' Yes': -1.1383371, 'No': -5.914578, 'Yes': -7.0264516, ' The': -7.594565}
{' No': -0.027458236, ' Yes': -3.7500553, 'No': -5.8028903, '\n': -8.465328, ' The': -9.22439}
{' No': -0.3431877, ' Yes': -1.258057, 'No': -6.3813953, '\n': -6.5335183, ' The': -6.7416954}
{' No': -0.12738073, ' Yes': -2.1455271, 'No': -6.528923, '\n': -7.9639187, ' The': -8.215168}
{' No': -0.18489788, ' Yes': -1.8058274, 'No': -5.7056413, 'Yes': -7.760501, '\n': -8.460656}
{' No': -0.01728386, ' Yes': -4.2542663, 'No': -6.0180774, ' The': -8.322801, '\n': -8.950686}
{' No': -0.08880471, ' Yes': -2.532185, 'No': -5.5413537, ' The': -7.113001, 'Yes': -8.284}
{' No': -0.49200013, ' Yes': -0.95446926, 'No': -6.340516, ' The': -7.030867, 'Yes': -7.2933264}
{' No': -0.30412582, ' Yes': -1.3485727, 'No': -6.4930787, 'Yes': -7.7748766, '\n': -8.19851}
{' No': -0.42171517, ' Yes': -1.074057, 'No': -6.772728, 'Yes': -7.632239, '\n': -7.8948555}
{' No': -0.19292226, ' Yes': -1.7585962, 'No': -6.2097964, ' The': -8.036828, '\n': -8.188885}
{' No': -0.010262657, ' Yes': -5.1507826, 'No': -5.470582, ' ': -9.678203, '\n': -9.835017}
{' No': -0.25761017, ' Yes': -1.4961833, 'No': -6.086288, 'Yes': -7.659511, ' ': -8.9779}
{' Yes': -0.052728422, ' No': -3.011669, 'Yes': -6.56842, ' yes': -8.332235, ' The': -8.615934}
{' No': -0.23792833, ' Yes': -1.5647564, 'No': -6.6140914, ' The': -7.723747, 'Yes': -8.1553955}
{' No': -0.034180515, ' Yes': -3.5331616, 'No': -5.6734104, '\n': -7.8741407, ' The': -8.588237}
{' Yes': -0.2362592, ' No': -1.5672681, 'Yes': -7.030262, 'No': -7.89818, ' The': -8.799851}
{' No': -0.4802009, ' Yes': -0.9746199, 'No': -6.4127836, 'Yes': -7.192088, ' The': -7.6115756}
{' Yes': -0.4756955, ' No': -0.9750966, 'Yes': -7.2864633, 'No': -7.7035985, ' yes': -9.356284}
{' No': -0.025593517, ' Yes': -3.811976, 'No': -5.8422894, ' The': -9.424156, '\n': -9.571118}
{' Yes': -0.006509267, ' No': -5.4267097, 'Yes': -6.463866, ' yes': -8.463798, ' The': -8.918128}
{' Yes': -0.053707074, ' No': -3.0070264, 'Yes': -6.462899, '\n': -7.6101832, ' yes': -7.8992705}
{' No': -0.052057717, ' Yes': -3.0761893, 'No': -5.520945, '\n': -8.601603, 'Yes': -8.820667}
{' Yes': -0.6237172, ' No': -0.7794694, 'No': -5.9330244, 'Yes': -6.4918985, ' The': -7.6091256}
{' No': -0.0053214915, 'No': -5.7104583, ' Yes': -6.322572, ' The': -9.882748, ' Not': -9.95244}
{' No': -0.025703164, ' Yes': -3.9987235, 'No': -5.155805, '\n': -7.350342, ' ': -8.129428}
{' No': -0.3027171, ' Yes': -1.3687725, 'No': -5.3805556, 'Yes': -6.850141, '\n': -7.4001007}
{' No': -0.094330974, ' Yes': -2.469724, 'No': -5.468951, ' The': -7.7950673, '\n': -8.134565}
{' No': -0.15733169, ' Yes': -1.9546624, 'No': -5.9707236, ' The': -7.293297, 'Yes': -8.199977}
{' Yes': -0.37064272, ' No': -1.1882029, ' The': -6.7837644, 'Yes': -6.8319592, '\n': -7.0004296}
{' No': -0.11501881, ' Yes': -2.2777462, 'No': -5.3947997, '\n': -7.6836805, 'Yes': -7.717497}
{' No': -0.0068216445, ' Yes': -5.367484, 'No': -6.2795606, ' The': -9.10338, '\n': -9.975921}
{' No': -0.005881386, 'No': -5.1733294, ' ': -9.5423155, '\n': -9.73186, ' "': -10.870568}
{' No': -0.0067748963, 'No': -5.0200787, ' ': -10.098093, ' no': -10.289319, '\n': -10.485203}
{' No': -0.066307016, ' Yes': -2.7999797, 'No': -5.8944373, 'Yes': -8.75439, '\n': -9.042269}
{' No': -0.034799326, ' Yes': -3.438987, 'No': -6.3211513, '\n': -9.33492, 'Yes': -9.874812}
{' No': -0.59725577, ' Yes': -0.80587584, 'No': -6.603586, 'Yes': -7.3054075, ' The': -7.4138827}
{' No': -0.22822382, ' Yes': -1.6043472, 'No': -6.193771, 'Yes': -8.198426, '\n': -8.449486}
{' No': -0.0035051343, 'No': -5.8162336, ' Yes': -7.8409433, ' ': -9.6574335, '\n': -10.460461}
{' No': -0.003882815, 'No': -5.6948686, ' Yes': -7.9576883, '\n': -9.919616, ' ': -9.950124}
{' No': -0.023501715, ' Yes': -3.9488, 'No': -5.614412, '\n': -9.171063, ' ': -9.656517}
{' No': -0.012036313, 'No': -5.1160855, ' Yes': -5.1862383, '\n': -9.295081, ' The': -9.391756}
{' No': -0.009116976, ' Yes': -5.083359, 'No': -5.9282947, ' ': -9.627504, ' The': -10.040153}
{' No': -0.062846005, ' Yes': -2.8554275, 'No': -6.094327, ' The': -7.3905907, '\n': -8.787439}
{' No': -0.04290267, ' Yes': -3.307698, 'No': -5.308123, ' The': -8.635424, 'Yes': -9.101267}
{' No': -0.013282594, ' Yes': -4.877031, 'No': -5.2809443, '\n': -8.426736, ' The': -9.535666}
{' Yes': -0.020936184, ' No': -3.970971, 'Yes': -6.546487, ' yes': -8.846553, ' The': -8.906129}
{' Yes': -0.014870846, ' No': -4.3443213, 'Yes': -6.626775, ' yes': -8.740058, '\n': -8.925557}
{' Yes': -0.010483749, ' No': -4.7577505, 'Yes': -6.648303, ' yes': -8.005675, '\n': -9.60921}
{' No': -0.0027184065, 'No': -6.41688, ' Yes': -7.030642, ' ': -9.94166, ' The': -9.996275}
{' No': -0.023198793, ' Yes': -4.0512652, 'No': -5.3312926, '\n': -8.004544, ' ': -8.9806185}
{' No': -0.47798726, ' Yes': -0.98084825, 'No': -5.9430847, 'Yes': -6.778829, '\n': -7.5490413}
{' No': -0.012696628, ' Yes': -4.7470675, 'No': -5.603154, ' ': -9.584668, ' The': -9.689641}
{' No': -0.018140513, ' Yes': -4.470152, 'No': -5.1000857, '\n': -8.659986, ' The': -9.430951}
{' No': -0.03200576, ' Yes': -3.6005805, 'No': -5.691826, '\n': -8.144539, ' ': -8.481695}
{' No': -0.009067353, ' Yes': -4.9315505, 'No': -6.53522, '\n': -8.813827, ' ': -9.4419775}
{' Yes': -0.016719488, ' No': -4.267656, 'Yes': -6.7840357, ' yes': -7.2827783, ' The': -7.6791596}
{' No': -0.2751713, ' Yes': -1.443287, 'No': -5.925049, 'Yes': -7.6049438, ' The': -7.663074}
{' Yes': -0.0023193602, 'Yes': -6.214983, ' yes': -9.104692, ' No': -9.135255, '\n': -10.023857}
{' Yes': -0.030898878, ' No': -3.57003, 'Yes': -6.283865, ' yes': -8.697608, 'No': -9.052805}
{' Yes': -0.023494149, ' No': -3.8497596, 'Yes': -6.5892096, ' The': -8.48919, ' yes': -8.613151}
{' No': -0.11860187, ' Yes': -2.2147665, 'No': -6.323976, ' The': -7.851132, 'Yes': -8.498099}
{' No': -0.012608798, ' Yes': -4.5359983, 'No': -6.4384246, ' ': -9.306434, '\n': -10.122697}
{' No': -0.0026471047, 'No': -6.47861, ' Yes': -7.0327983, ' ': -9.505759, '\n': -9.623101}
{' Yes': -0.2222899, ' No': -1.6376721, 'Yes': -5.9951735, 'No': -7.0164886, ' The': -7.3496337}
{' No': -0.23599905, ' Yes': -1.5873955, 'No': -5.595782, '\n': -7.2688603, 'Yes': -7.3162994}
{' No': -0.016620819, ' Yes': -4.588181, 'No': -5.141527, '\n': -8.837968, ' ': -9.014433}
{' No': -0.01028789, 'No': -4.6526694, ' Yes': -8.380809, '\n': -8.713679, ' The': -8.987325}
{' No': -0.050830223, ' Yes': -3.0656788, 'No': -6.359048, '\n': -7.219689, ' The': -8.669982}
{' No': -0.009654204, ' Yes': -4.9560328, 'No': -6.1884522, '\n': -8.340947, ' The': -9.126851}
{' Yes': -0.34133172, ' No': -1.2535307, ' The': -6.954029, 'Yes': -6.9853253, 'No': -7.1644077}
{' No': -0.127861, ' Yes': -2.1500623, 'No': -5.906662, '\n': -8.446178, 'Yes': -8.481503}
{' No': -0.10915561, ' Yes': -2.3013837, 'No': -6.235754, ' The': -7.565617, '\n': -8.147699}
{' Yes': -0.65716076, ' No': -0.736682, 'No': -6.9137406, 'Yes': -7.1635265, '\n': -7.928967}
{' Yes': -0.003257055, ' No': -6.5474367, 'Yes': -6.946046, ' yes': -7.719834, '\n': -8.230538}
{' Yes': -0.5519748, ' No': -0.8645663, 'No': -6.7006254, 'Yes': -6.9238105, '\n': -8.171321}
{' No': -0.00985951, ' Yes': -5.370083, 'No': -5.3721566, '\n': -8.382349, ' ': -8.691383}
{' No': -0.0091356225, ' Yes': -5.082238, 'No': -5.9665003, ' The': -8.819739, '\n': -9.733485}
{' No': -0.2451742, ' Yes': -1.544666, 'No': -6.1176696, '\n': -7.3704524, 'Yes': -7.761209}
{' No': -0.373506, ' Yes': -1.1759849, 'No': -6.186517, 'Yes': -7.4341702, ' The': -8.383019}
{' No': -0.033235274, ' Yes': -3.5162408, 'No': -5.9535017, ' The': -9.073693, '\n': -9.297019}
{' No': -0.082375124, ' Yes': -2.5752664, 'No': -6.072224, ' The': -8.388242, 'Yes': -8.997469}
{' No': -0.5336081, ' Yes': -0.90123814, 'No': -5.658146, 'Yes': -6.4026723, '\n': -6.408198}
{' Yes': -0.47530714, ' No': -0.97858596, 'Yes': -6.798424, 'No': -6.966844, ' The': -9.089767}
{' No': -0.16303374, ' Yes': -1.9157975, 'No': -6.1673365, '\n': -7.996226, 'Yes': -8.186908}
{' No': -0.027794505, ' Yes': -3.7867036, 'No': -5.439072, '\n': -9.029644, ' The': -9.413107}
{' No': -0.0050831432, 'No': -5.8699374, ' Yes': -6.203071, ' ': -9.520016, ' The': -9.757627}
{' No': -0.0050605005, 'No': -5.7142487, ' Yes': -6.485663, ' The': -9.174704, ' ': -10.188196}
{' No': -0.048782073, ' Yes': -3.3043766, 'No': -4.657274, ' The': -7.6215644, '\n': -8.06828}
{' No': -0.008908575, 'No': -4.925145, ' Yes': -6.6318727, '\n': -9.151101, ' ': -9.328916}
{' No': -0.04396355, ' Yes': -3.2335672, 'No': -5.8002305, '\n': -8.650952, ' The': -8.915809}
{' Yes': -0.5899123, ' No': -0.8167037, 'No': -6.5845656, 'Yes': -6.8468394, '\n': -7.6426935}
{' Yes': -0.0027151783, 'Yes': -6.5079865, ' No': -7.419087, ' yes': -7.9732404, ' The': -9.037964}
{' Yes': -0.08283314, ' No': -2.5676064, 'Yes': -6.2859907, ' yes': -8.014452, 'No': -8.381402}
{' Yes': -0.53968775, ' No': -0.87924916, 'No': -7.219707, 'Yes': -7.303016, '\n': -8.643683}
{' No': -0.07251129, ' Yes': -2.6936488, 'No': -6.2944975, '\n': -8.879244, ' The': -9.259682}
{' Yes': -0.48816484, ' No': -0.9685764, 'No': -5.9712977, 'Yes': -6.047191, '\n': -7.1660724}
{' Yes': -0.32823706, ' No': -1.2864431, 'Yes': -6.3147597, 'No': -6.948358, '\n': -8.172082}
{' Yes': -0.14149624, ' No': -2.0682786, 'Yes': -5.820716, 'No': -7.0006137, '\n': -7.2382545}
{' No': -0.121663645, ' Yes': -2.2209942, 'No': -5.4276423, '\n': -7.343543, ' The': -7.8818808}
{' No': -0.3142541, ' Yes': -1.326732, 'No': -5.911288, 'Yes': -7.140292, ' The': -8.139983}
{' No': -0.14426877, ' Yes': -2.0457351, 'No': -5.6082726, 'Yes': -7.5856857, '\n': -7.7118635}
{' No': -0.20448637, ' Yes': -1.7072194, 'No': -6.1954565, '\n': -7.151583, 'Yes': -7.7685437}
{' No': -0.0023190016, 'No': -6.375652, ' Yes': -7.809854, ' The': -9.038095, ' ': -10.5697155}
{' Yes': -0.23324369, ' No': -1.6018808, 'Yes': -5.955463, '\n': -6.2243, 'No': -6.9140086}
{' No': -0.19647619, ' Yes': -1.7399637, 'No': -6.4776, ' The': -7.8284945, '\n': -8.218468}
{' No': -0.07140962, ' Yes': -2.7292063, 'No': -5.9158893, ' The': -7.876592, '\n': -8.4266815}
{' No': -0.14767902, ' Yes': -2.017247, 'No': -5.760058, ' The': -7.9885054, 'Yes': -7.988793}
{' No': -0.12676752, ' Yes': -2.1576836, 'No': -6.022729, ' The': -7.857948, 'Yes': -8.199681}
{' No': -0.05120463, ' Yes': -3.0343397, 'No': -6.4925804, ' The': -9.131338, 'Yes': -9.444332}
{' No': -0.019711645, ' Yes': -4.226119, 'No': -5.4378705, ' The': -8.297311, '\n': -8.892598}
{' Yes': -0.69283396, ' No': -0.7045718, 'No': -6.080569, 'Yes': -6.2282624, '\n': -7.511237}
{' No': -0.09257519, ' Yes': -2.498991, 'No': -5.5802097, '\n': -6.4473987, ' ': -7.6792583}
{' Yes': -0.58227986, ' No': -0.8281428, 'No': -6.5253873, 'Yes': -6.553065, '\n': -7.1446}
{' Yes': -0.14775571, ' No': -2.01196, 'Yes': -6.217234, ' The': -7.2416162, 'No': -7.6091757}
{' No': -0.088862754, ' Yes': -2.5121474, 'No': -5.7221403, 'Yes': -8.493806, ' The': -8.794095}
{' No': -0.54796946, ' Yes': -0.8815971, 'No': -5.44869, 'Yes': -6.2838793, '\n': -7.5103827}
{' No': -0.075529344, ' Yes': -2.7029288, 'No': -5.344778, ' The': -7.9630685, 'Yes': -8.354577}
{' Yes': -0.025780898, ' No': -3.7724028, 'Yes': -6.2619066, ' yes': -8.045016, 'No': -9.732085}
{' No': -0.019601556, ' Yes': -4.1877913, 'No': -5.626771, ' The': -8.073298, '\n': -8.953952}
{' No': -0.5425783, ' Yes': -0.8792042, 'No': -6.47208, 'Yes': -6.9235425, ' The': -7.8194203}
{' No': -0.28381374, ' Yes': -1.4132311, 'No': -6.0874405, 'Yes': -7.3289223, '\n': -7.85738}
