{' Yes': -0.0048690545, 'Yes': -5.7965517, ' No': -6.421077, ' The': -9.055835, ' yes': -10.524884}
{' Yes': -0.24259558, ' No': -1.5481757, ' Moon': -6.6290164, 'Yes': -7.320993, 'No': -8.1622505}
{' Yes': -0.08010521, ' No': -2.5822225, 'Yes': -7.0024433, ' yes': -8.670269, 'No': -9.353321}
{' No': -0.4655002, ' Pain': -1.6843666, ' Yes': -1.7342304, 'No': -5.1982594, ' ': -6.8814116}
{' No': -0.050093602, ' Yes': -3.1577806, ' Pain': -5.8010793, 'No': -6.0989003, ' The': -8.184652}
{' Yes': -0.008084969, ' No': -4.954347, 'Yes': -7.2105303, ' The': -9.050645, ' yes': -9.486503}
{' No': -0.0051774466, ' Yes': -5.57729, 'No': -6.6586695, ' ': -9.983087, '\n': -11.460463}
{' Yes': -0.44718772, ' No': -1.0327743, ' The': -6.1290264, 'Yes': -6.983835, 'No': -7.560236}
{' Yes': -0.11427028, ' No': -2.2481852, 'Yes': -6.8303285, ' The': -7.675261, ' yes': -8.49466}
{' Yes': -0.015872406, ' Dive': -4.3577166, ' No': -6.524648, 'Yes': -6.980151, ' yes': -8.502229}
{' Yes': -0.014456402, ' No': -4.4583783, 'Yes': -6.4986444, ' Dive': -7.1495214, ' yes': -8.41314}
{' Yes': -0.0009950091, 'Yes': -7.1152587, ' yes': -9.159577, ' The': -10.349957, ' No': -11.0108}
{' Yes': -0.0011021711, 'Yes': -7.203611, ' yes': -9.2126875, ' No': -9.264865, ' ': -9.70178}
{' Yes': -0.002378329, 'Yes': -6.4536276, ' Bush': -7.75613, ' ': -8.936523, ' No': -9.282983}
{' Yes': -0.0037627888, ' Bush': -6.0111117, 'Yes': -7.3432956, ' No': -7.9087367, ' yes': -9.119662}
{' Yes': -0.0009379129, ' No': -7.6024837, 'Yes': -8.22985, ' yes': -9.771414, ' Near': -9.903053}
{' Yes': -0.0019678301, ' Near': -6.653783, 'Yes': -7.879992, ' yes': -8.983972, ' No': -9.678971}
{' Yes': -0.288365, ' No': -1.394015, 'Yes': -6.937033, ' The': -7.6926785, 'No': -7.850535}
{' Yes': -0.0024012714, 'Yes': -6.59995, ' No': -7.128675, ' yes': -9.374372, ' YES': -9.731419}
{' Yes': -0.001489449, 'Yes': -7.084148, ' No': -7.8569584, ' yes': -8.819002, ' The': -10.085114}
{' Yes': -0.0036335648, ' No': -6.1988196, 'Yes': -7.015661, ' Navy': -8.019817, ' yes': -8.84394}
{' No': -0.0073575177, ' Yes': -5.5340147, 'No': -6.030982, ' Not': -7.4886465, ' ': -8.989489}
{' No': -0.0036883026, ' Yes': -6.0061274, 'No': -7.0953393, '\n': -9.097529, ' ': -9.139075}
{' No': -0.489568, ' Yes': -0.9547284, 'No': -7.279519, ' The': -7.726437, 'Yes': -7.981971}
{' Yes': -0.010838162, ' No': -4.556208, 'Yes': -8.360239, ' yes': -11.672994, ' ': -11.753618}
{' Yes': -0.0585189, ' No': -2.9383442, ' Beef': -6.191606, ' The': -6.9606347, 'Yes': -7.6076217}
{' Yes': -0.44570047, ' No': -1.0323684, ' The': -6.151625, 'Yes': -7.546265, ' yes': -8.248667}
{' Yes': -0.0009388675, 'Yes': -7.1832833, ' yes': -9.623686, ' No': -9.641054, ' ': -11.133091}
{' Yes': -0.0015423981, 'Yes': -7.130616, ' No': -7.6693106, ' yes': -9.143956, ' The': -9.242406}
{' No': -0.17071083, ' Yes': -1.8648484, 'No': -7.0010023, ' ': -8.038127, 'Yes': -8.504916}
{' Yes': -0.021619327, ' No': -3.9013474, 'Yes': -7.2133536, ' yes': -8.6006, ' The': -8.730713}
{' Yes': -0.0016386962, ' No': -7.20578, 'Yes': -7.288382, ' yes': -9.317396, ' The': -10.020609}
{' Yes': -0.0026275648, ' No': -6.444402, 'Yes': -7.4139147, ' yes': -8.720297, ' The': -9.012973}
{' Yes': -0.0009274723, 'Yes': -7.2125916, ' yes': -9.846861, ' The': -10.02771, ' YES': -10.0500965}
{' Yes': -0.00080642954, 'Yes': -7.271072, ' yes': -9.741565, ' YES': -10.042479, ' ': -12.397638}
{' Yes': -0.0031267002, ' No': -5.9538045, 'Yes': -7.978813, ' yes': -9.12442, ' ': -10.540039}
{' Yes': -0.0016529646, 'Yes': -7.0564394, ' The': -7.669108, ' ': -9.26159, '\n': -9.535693}
{' Yes': -0.002782239, ' No': -6.7630663, 'Yes': -7.407639, ' Tool': -7.7024693, ' yes': -8.436681}
{' Yes': -0.39379966, ' No': -1.1672046, ' Tool': -5.2531953, ' ': -5.451871, ' Too': -6.637365}
{' Yes': -0.27295148, ' No': -1.4378896, 'Yes': -7.7208886, ' The': -8.0802765, '\n': -8.530289}
{' Yes': -0.057345968, ' No': -2.9069858, 'Yes': -7.1066413, ' The': -9.871398, 'No': -9.959992}
{' Yes': -0.0008044011, 'Yes': -7.5787873, ' yes': -9.001605, ' ': -9.833676, ' YES': -10.303367}
{' Yes': -0.00057619537, 'Yes': -7.6910014, ' yes': -9.639313, ' ': -10.868133, ' YES': -11.311568}
{' Yes': -0.031935364, ' No': -3.516774, ' Last': -7.046309, 'Yes': -7.312098, ' yes': -9.487644}
{' Yes': -0.006718909, ' No': -5.929324, 'Yes': -6.0655265, ' Last': -7.127204, ' The': -7.7526884}
{' No': -0.17547514, ' Yes': -1.8445407, ' Door': -6.239117, 'No': -7.7063603, ' ': -9.086853}
{' Yes': -0.46473852, ' No': -1.1638886, ' Door': -2.873653, ' ': -6.669454, 'Yes': -7.36625}
{' No': -0.16862331, ' Yes': -1.8771768, 'No': -7.300335, ' The': -7.611124, 'Yes': -7.89638}
{' Yes': -0.52680683, ' No': -0.8974447, 'Yes': -6.918942, ' The': -8.357711, 'No': -8.486616}
{' Yes': -0.26726782, ' No': -1.45608, 'Yes': -7.3484387, ' The': -8.182115, 'No': -8.6935215}
{' Yes': -0.10321367, ' No': -2.3363526, 'Yes': -6.9737597, ' The': -8.973059, '\n': -9.267739}
{' Yes': -0.001732732, 'Yes': -7.331448, ' No': -7.6627755, ' The': -8.406873, ' yes': -8.630437}
{' Yes': -0.0020255232, ' No': -6.678303, 'Yes': -7.5897217, ' yes': -8.773781, ' ': -9.837854}
{' Yes': -0.00096607424, 'Yes': -7.6720605, ' No': -7.926381, ' yes': -9.817492, '\n': -10.05707}
{' Yes': -0.00061693095, 'Yes': -7.654528, ' No': -10.000936, ' yes': -10.028601, '\n': -10.765263}
{' Yes': -0.003068942, ' Most': -6.067249, 'Yes': -8.099139, ' No': -8.274237, ' yes': -9.80188}
{' Yes': -0.011671225, ' Most': -4.5527997, 'Yes': -7.1730456, ' No': -8.757753, ' yes': -9.69146}
{' Yes': -0.029207433, ' No': -3.6001036, 'Yes': -7.3375797, ' The': -8.117825, '\n': -8.530561}
{' Yes': -0.00058048975, 'Yes': -8.186276, ' No': -8.426693, ' yes': -9.684408, ' ': -11.801999}
{' No': -0.5752192, ' Yes': -0.83039194, 'Yes': -7.5020113, 'No': -7.6142373, ' The': -8.929166}
{' Yes': -0.04229617, ' No': -3.2156644, 'Yes': -6.948403, ' The': -9.050468, ' yes': -9.351395}
{' Yes': -0.028195266, ' No': -3.6263225, ' The': -7.669999, 'Yes': -8.0261965, ' ': -8.9214945}
{' Yes': -0.00087622664, 'Yes': -7.4207745, ' yes': -9.133092, ' No': -9.371145, ' The': -10.532602}
{' Yes': -0.11999633, ' No': -2.235492, ' Lawn': -5.432662, 'Yes': -6.833058, ' ': -8.516105}
{' Yes': -0.08385753, ' No': -2.5425365, 'Yes': -7.0011697, ' The': -7.607836, 'No': -9.170485}
{' No': -0.6608062, ' Yes': -0.7324023, ' Hill': -6.588731, 'No': -7.674823, 'Yes': -8.229732}
{' Yes': -0.64639217, ' No': -0.74545425, ' The': -7.4693217, 'No': -7.865821, 'Yes': -8.120818}
{' Yes': -0.0042170594, ' No': -5.9086795, 'Yes': -6.601615, ' yes': -10.10557, ' The': -10.413145}
{' Yes': -0.0006913669, 'Yes': -7.5543027, ' yes': -9.471672, ' The': -10.371624, ' No': -10.733396}
{' Yes': -0.00931874, ' No': -4.800271, 'Yes': -7.331426, ' yes': -8.355239, ' The': -9.58735}
{' Yes': -0.0011759875, ' No': -7.423049, 'Yes': -7.662675, ' yes': -9.61646, ' The': -11.307906}
{' Yes': -0.0015428759, ' No': -6.8104706, 'Yes': -8.03022, ' yes': -9.693823, ' ': -10.87435}
{' Yes': -0.0019596468, ' No': -6.552338, 'Yes': -7.7451196, ' yes': -9.629164, ' YES': -11.23202}
{' Yes': -0.0007913397, 'Yes': -7.421413, ' No': -8.844575, ' yes': -10.600954, ' ': -11.363775}
{' Yes': -0.019467114, ' No': -3.999804, 'Yes': -7.216282, ' yes': -9.4362135, ' The': -9.458601}
{' Yes': -0.6981223, ' No': -0.70304143, ' The': -5.7194386, 'Yes': -6.654606, 'No': -7.025367}
{' Yes': -0.12892865, ' No': -2.1240628, 'Yes': -7.087383, ' yes': -8.509605, ' The': -8.933755}
{' Yes': -0.0026171054, ' No': -6.532469, 'Yes': -7.170389, ' yes': -8.728579, ' ': -8.8361225}
{' Yes': -0.00934082, ' No': -4.8614793, 'Yes': -6.741989, ' yes': -8.443466, ' ': -9.714909}
{' Yes': -0.0048913374, ' No': -5.5339913, 'Yes': -7.494603, ' yes': -8.547908, ' The': -9.014446}
{' Yes': -0.010401292, ' No': -4.672793, 'Yes': -7.389534, ' yes': -8.544794, ' The': -9.310211}
{' Yes': -0.5223418, ' No': -0.9015056, 'Yes': -7.9048257, 'No': -8.764789, '\n': -9.185594}
{' Yes': -0.38613737, ' No': -1.1405492, 'Yes': -7.9257207, 'No': -8.934172, ' yes': -9.633726}
{' Yes': -0.0012255172, 'Yes': -7.2562065, ' No': -8.514838, '\n': -8.876203, ' yes': -9.493737}
{' Yes': -0.0011001427, 'Yes': -7.8098655, ' No': -8.500835, ' The': -8.504058, ' yes': -9.073991}
{' Yes': -0.0027134444, ' The': -6.594126, ' No': -7.5698533, 'Yes': -7.73815, ' yes': -8.301733}
{' Yes': -0.0012732628, 'Yes': -7.685118, ' No': -7.68833, ' yes': -8.504022, ' YES': -9.587405}
{' Yes': -0.018846897, ' No': -4.189949, 'Yes': -6.1465893, ' The': -6.847725, ' ': -9.343927}
{' Yes': -0.0022686967, 'Yes': -6.225203, ' The': -9.275611, ' No': -9.512328, ' yes': -9.865527}
{' Yes': -0.5097542, ' No': -0.9278527, 'Yes': -6.6457634, 'No': -6.872194, ' The': -7.1976047}
{' Yes': -0.0019079911, ' No': -7.1374707, 'Yes': -7.1812615, ' YES': -8.694912, ' The': -10.063836}
{' Yes': -0.011102774, ' No': -5.1308746, 'Yes': -5.3460116, ' ': -8.741583, ' The': -9.496374}
{' Yes': -0.0059264163, ' No': -5.374777, 'Yes': -6.8878875, ' The': -9.397675, ' yes': -9.6672535}
{' No': -0.05885908, ' Yes': -2.9758053, 'No': -5.3059235, ' The': -7.626262, '\n': -8.134531}
{' Yes': -0.0045599183, ' No': -6.050237, 'Yes': -6.238282, ' The': -9.306325, ' yes': -9.776532}
{' Yes': -0.0024635883, 'Yes': -6.204352, ' No': -8.145811, ' yes': -10.301568, ' The': -10.302018}
{' Yes': -0.024765955, ' No': -3.7724617, 'Yes': -6.6810713, ' The': -9.590445, ' yes': -9.836634}
{' Yes': -0.0015071799, 'Yes': -6.821854, ' No': -8.68657, ' yes': -9.386488, ' ': -9.604189}
{' Yes': -0.0025624263, 'Yes': -6.4763474, ' No': -7.3910794, ' yes': -9.081465, ' The': -9.135779}
{' Yes': -0.050011076, ' No': -3.1522067, 'Yes': -5.3087654, 'No': -7.770136, ' ': -8.386375}
{' Yes': -0.0025895562, 'Yes': -5.9971766, ' yes': -10.120946, ' No': -10.209821, ' ': -11.666658}
{' Yes': -0.0016081281, 'Yes': -6.661901, ' No': -8.916706, ' yes': -9.575773, ' The': -9.612711}
{' No': -0.26971832, ' Yes': -1.5687829, 'No': -3.792545, 'Yes': -5.465906, ' ': -7.72616}
{' Yes': -0.0012607299, 'Yes': -7.4803314, ' No': -7.9790225, ' yes': -8.442933, ' ': -9.819434}
{' Yes': -0.42624867, ' No': -1.0703794, 'Yes': -6.4406238, 'No': -6.868957, ' The': -7.1768684}
{' Yes': -0.002222757, 'Yes': -6.3131313, ' No': -8.2528925, ' yes': -9.668657, ' The': -9.872801}
{' Yes': -0.0013011349, 'Yes': -6.8087254, ' yes': -9.318848, ' The': -9.745417, ' ': -11.080105}
{' Yes': -0.11163341, ' No': -2.2849255, 'Yes': -5.931297, ' The': -7.6356354, 'No': -7.7871566}
{' Yes': -0.027728686, ' No': -3.8308978, 'Yes': -5.4939513, ' The': -6.917434, ' yes': -8.421664}
{' No': -0.006072545, 'No': -5.2201076, ' Yes': -7.4636507, ' ': -10.588733, ' The': -10.80346}
{' Yes': -0.65041727, ' No': -0.7489319, 'No': -5.878509, 'Yes': -6.2818255, ' The': -8.2265625}
{' Yes': -0.014155234, ' No': -4.382632, 'Yes': -6.9435997, ' The': -8.015604, ' yes': -9.444456}
{' Yes': -0.006576763, ' No': -5.2613907, 'Yes': -6.770664, ' The': -9.313265, ' yes': -9.697033}
{' Yes': -0.0011472845, 'Yes': -6.93017, ' yes': -9.523786, ' The': -10.074766, ' No': -10.61348}
{' Yes': -0.0058791065, ' No': -5.3885503, 'Yes': -6.9943795, ' The': -8.389711, ' yes': -9.669714}
{' Yes': -0.002447456, 'Yes': -6.8261204, ' The': -7.292254, ' No': -7.6709557, ' yes': -9.062532}
{' Yes': -0.0016068139, 'Yes': -6.799748, ' The': -8.373299, ' No': -8.872591, ' yes': -9.560862}
{' Yes': -0.02981727, ' No': -4.0351233, 'Yes': -4.480388, 'No': -8.478688, ' The': -9.873839}
{' Yes': -0.0075216335, ' No': -5.1697187, 'Yes': -6.723805, ' The': -7.7470617, ' yes': -9.613724}
{' Yes': -0.0011333813, 'Yes': -6.9603596, ' The': -9.46121, ' yes': -9.679777, ' ': -10.714886}
{' Yes': -0.0014875397, 'Yes': -6.9791403, ' No': -8.011328, ' yes': -9.079332, ' The': -9.793095}
{' Yes': -0.0030012035, 'Yes': -6.5732527, ' No': -6.6551332, ' The': -9.008933, ' Dirt': -9.5196295}
{' Yes': -0.07128985, ' No': -2.7110775, 'Yes': -6.521651, ' The': -8.1383915, 'No': -8.496234}
{' Yes': -0.0018487511, 'Yes': -6.6925354, ' The': -8.081518, ' yes': -8.834055, ' No': -9.284031}
{' Yes': -0.046070892, ' No': -3.2414558, 'Yes': -5.913679, ' The': -6.5130444, ' ': -7.992782}
{' False': -0.0704036, ' No': -2.7735229, 'False': -5.5340114, 'No': -6.564761, ' ': -8.711015}
{' No': -0.0070964196, ' Yes': -5.322049, 'No': -6.173011, ' ': -9.87638, '\n': -10.94127}
{' Yes': -0.0029694594, 'Yes': -5.9857326, ' The': -8.951925, ' No': -8.972598, ' yes': -9.563999}
{' Yes': -0.009863961, ' No': -5.349192, ' Rain': -5.9404726, 'Yes': -6.3298826, '\n': -8.161746}
{' No': -0.513001, ' Yes': -0.92044324, 'No': -6.4824276, 'Yes': -7.124634, ' ': -8.526333}
{' No': -0.022774423, ' Yes': -3.8949306, 'No': -6.2031484, ' ': -9.817144, 'Yes': -10.033802}
{' Yes': -0.035257548, ' No': -3.4478931, 'Yes': -6.0501804, 'No': -8.959324, ' Sure': -9.702006}
{' Yes': -0.004218856, ' No': -5.9527926, 'Yes': -6.7709484, ' The': -8.221338, ' yes': -9.492467}
{' Yes': -0.0025901531, ' No': -6.6828136, 'Yes': -6.830335, ' The': -9.147024, ' yes': -9.484445}
{' Yes': -0.0054948633, ' No': -5.719083, 'Yes': -6.446492, ' The': -8.1261, ' yes': -8.633708}
{' Yes': -0.03335451, ' No': -3.474997, 'Yes': -6.6486897, ' The': -8.486984, ' ': -9.138493}
{' Yes': -0.01475246, ' No': -4.361718, 'Yes': -6.8580213, ' The': -7.387873, ' yes': -9.1693735}
{' Yes': -0.21324873, ' No': -1.6647564, 'Yes': -6.6114726, ' The': -7.113475, 'No': -7.811328}
{' No': -0.22511576, ' Yes': -1.6226625, 'No': -5.822174, 'Yes': -7.520802, ' The': -8.251635}
{' Yes': -0.001510285, 'Yes': -6.6446033, ' yes': -9.55642, ' ': -10.030581, ' The': -10.41019}
{' Yes': -0.014437596, ' No': -4.3879538, 'Yes': -6.444172, ' The': -9.03756, ' yes': -9.6312275}
{' Yes': -0.0027217516, ' The': -6.425264, 'Yes': -7.335542, ' yes': -8.162411, ' YES': -9.853041}
{' Yes': -0.0025243603, 'Yes': -6.629807, ' The': -7.526551, ' No': -7.8535404, ' yes': -8.704076}
{' Yes': -0.48170072, ' No': -0.96685576, 'Yes': -7.0099983, 'No': -7.268915, ' ': -8.646015}
{' Yes': -0.3032535, ' No': -1.36397, 'Yes': -6.230572, ' The': -6.597482, 'No': -6.729107}
{' Yes': -0.0051666615, 'Yes': -5.6313834, ' No': -7.3245406, ' The': -7.8010287, ' ': -8.590473}
{' Yes': -0.0011740783, 'Yes': -6.8600073, ' yes': -9.698386, ' ': -10.538421, '\n': -10.956382}
{' Yes': -0.0018743105, 'Yes': -6.4580927, ' No': -8.925809, ' The': -9.509261, ' yes': -9.819652}
{' Yes': -0.0013093097, 'Yes': -6.7809644, ' yes': -9.541418, ' No': -9.749269, ' ': -11.242794}
{' Yes': -0.0019679493, 'Yes': -6.3319087, ' yes': -9.531315, ' Deer': -10.201896, ' The': -10.684932}
{' Yes': -0.0017205501, 'Yes': -6.4729114, ' yes': -9.633411, ' The': -10.061238, '\n': -10.693742}
{' Yes': -0.0017478386, 'Yes': -6.828728, ' No': -7.7229123, ' yes': -9.084769, ' The': -9.916315}
{' Yes': -0.0018184166, 'Yes': -6.6870213, ' The': -8.4313545, ' No': -8.661266, ' yes': -9.160978}
{' Yes': -0.0017207896, 'Yes': -7.0258884, ' No': -7.2602806, ' yes': -9.68894, ' The': -10.278784}
{' Yes': -0.008515412, ' No': -5.0008817, 'Yes': -6.547382, ' The': -9.106835, ' yes': -9.282486}
{' Yes': -0.0026121465, 'Yes': -6.6044126, ' No': -6.9948425, ' yes': -8.82204, ' The': -9.299502}
{' Yes': -0.004603392, ' No': -5.82122, 'Yes': -6.620301, ' yes': -8.891561, ' The': -9.505326}
{' Yes': -0.0032719448, ' No': -6.4954495, 'Yes': -6.747746, ' The': -7.7824388, ' yes': -9.894247}
{' Yes': -0.0027386078, 'Yes': -6.100641, ' No': -8.454228, ' The': -9.054561, ' yes': -9.652673}
{' Yes': -0.0011582659, 'Yes': -6.9225483, ' The': -9.47135, ' No': -10.213169, ' yes': -10.231949}
{' Yes': -0.0027467958, 'Yes': -6.0587044, ' No': -8.212475, ' The': -9.695856, ' ': -10.616398}
{' Yes': -0.13740247, ' No': -2.0675688, 'Yes': -6.8039904, 'No': -8.65412, ' The': -8.671229}
{' Yes': -0.15304454, ' No': -1.965577, 'Yes': -6.8019915, 'No': -8.505773, ' ': -8.576091}
{' Yes': -0.039731137, ' No': -3.3068247, 'Yes': -6.739577, ' Lion': -7.0374804, 'No': -9.252334}
{' Yes': -0.068163686, ' No': -2.7442482, 'Yes': -6.763465, ' The': -8.541611, 'No': -8.900362}
{' Yes': -0.008873999, ' No': -5.00756, 'Yes': -6.42145, ' The': -8.360331, ' yes': -8.96344}
{' Yes': -0.0052748118, ' No': -5.8855467, 'Yes': -6.133818, ' yes': -9.013514, ' ': -9.386037}
{' Yes': -0.0018306596, 'Yes': -6.3805037, ' The': -9.554605, ' yes': -10.190034, ' ': -11.3244295}
{' Yes': -0.0018613534, 'Yes': -6.6328764, ' No': -8.345933, ' The': -8.596069, ' yes': -9.942197}
{' Yes': -0.0030260743, 'Yes': -6.531329, ' No': -6.6363716, ' The': -9.139251, ' yes': -9.682269}
{' Yes': -0.026668001, ' No': -3.9960148, ' Wind': -5.1329207, 'Yes': -6.369925, ' yes': -9.367085}
{' Yes': -0.008709597, ' No': -4.9365525, 'Yes': -6.996586, ' The': -8.293274, ' yes': -8.579533}
{' Yes': -0.002953676, 'Yes': -6.5822916, ' No': -6.7936583, ' The': -8.534295, ' yes': -9.161864}
{' No': -0.0128736375, 'No': -4.788237, ' Dis': -6.0317545, ' Yes': -6.607932, ' ': -8.24564}
{' Yes': -0.31798294, ' No': -1.3117859, ' The': -6.7281885, 'Yes': -6.8736634, 'No': -7.8222604}
{' No': -0.5853783, ' Yes': -0.81746066, 'No': -7.4590516, 'Yes': -7.6006308, ' The': -8.209305}
{' Yes': -0.12704903, ' No': -2.1424565, 'Yes': -6.8331017, ' The': -8.103312, 'No': -8.357256}
{' Yes': -0.0012214576, 'Yes': -7.2653236, ' No': -8.395105, ' The': -8.551353, ' yes': -9.972868}
{' Yes': -0.013304157, ' No': -4.421133, 'Yes': -6.8559265, ' yes': -10.21022, ' ': -10.254585}
{' Yes': -0.0014193129, 'Yes': -6.6990323, ' No': -9.321041, ' yes': -9.793695, ' ': -11.112661}
{' Yes': -0.00076700153, 'Yes': -7.233898, ' yes': -10.407812, ' ': -12.12148, ' No': -12.686056}
{' Yes': -0.0025391197, 'Yes': -6.2214932, ' No': -8.10206, ' The': -9.049328, '\n': -9.949385}
{' Yes': -0.037408363, ' No': -3.3819058, 'Yes': -6.688285, ' The': -6.8813334, '\n': -8.744185}
{' Yes': -0.0025934412, 'Yes': -6.5820436, ' No': -7.314197, ' The': -8.38617, ' yes': -8.78478}
{' Yes': -0.002666589, 'Yes': -6.1168633, ' yes': -8.956569, ' No': -9.047703, ' The': -9.264062}
{' Yes': -0.032540523, ' No': -3.5093527, 'Yes': -6.756602, ' Skin': -7.4902673, ' The': -8.533891}
{' Yes': -0.11943997, ' No': -2.1973836, 'Yes': -6.790866, 'No': -8.606062, ' yes': -9.796317}
{' Yes': -0.0048469524, ' No': -5.86808, 'Yes': -6.6245384, ' The': -7.7296124, ' yes': -9.087999}
{' Yes': -0.0045565073, 'Yes': -5.716865, ' So': -7.4667788, ' No': -8.1216, ' yes': -9.250782}
{' Yes': -0.0018501843, 'Yes': -6.40113, ' The': -9.944641, ' ': -10.118582, ' No': -10.377882}
{' Yes': -0.0018487511, 'Yes': -6.400806, ' The': -9.675333, ' yes': -9.78344, ' ': -10.565203}
{' No': -0.4181946, ' Yes': -1.0852804, 'No': -5.9155774, 'Yes': -6.7691865, ' ': -10.244642}
{' Yes': -0.37856323, ' No': -1.1734183, 'Yes': -5.6948476, 'No': -6.293696, ' ': -8.686968}
{' Yes': -0.08826706, ' No': -2.4913888, 'Yes': -6.7068295, 'No': -8.955051, ' yes': -8.985237}
{' Yes': -0.0024656213, 'Yes': -6.6563344, ' No': -6.9159307, ' yes': -9.505599, ' Done': -10.270146}
{' Yes': -0.4877147, ' No': -0.9602851, 'Yes': -6.577089, 'No': -6.88218, ' The': -7.6994715}
{' Yes': -0.045535956, ' No': -3.1492476, 'Yes': -6.5642996, 'No': -9.4916725, ' ': -9.980126}
{' Yes': -0.02421097, ' No': -3.8647661, 'Yes': -6.189479, ' The': -7.6178, ' ': -8.961347}
{' No': -0.5232392, ' Yes': -0.9062576, 'No': -6.623749, 'Yes': -7.0210495, ' The': -7.444608}
{' Yes': -0.0013361082, 'Yes': -6.921689, ' No': -8.387508, ' yes': -9.950882, ' The': -10.109384}
{' Yes': -0.0023125482, 'Yes': -6.592015, ' No': -7.348864, ' The': -8.83006, ' yes': -9.19103}
{' Yes': -0.23241149, ' No': -1.5889256, 'Yes': -6.4945703, 'No': -7.1897097, ' The': -7.77789}
{' Yes': -0.33543187, ' No': -1.2726878, 'Yes': -5.9679427, 'No': -6.438398, ' The': -8.018091}
{' Yes': -0.07747933, ' No': -2.6809738, 'Yes': -6.0443234, ' Pain': -6.488932, ' The': -6.553883}
{' No': -0.13071418, ' Yes': -2.1371093, 'No': -5.9210963, ' The': -7.128337, ' Pain': -8.014297}
{' Yes': -0.0034908978, 'Yes': -6.1522603, ' No': -6.756931, ' The': -9.353394, ' yes': -10.126245}
{' No': -0.0023326813, 'No': -6.1715155, ' Yes': -8.496923, ' Not': -11.230541, '\n': -11.418461}
{' Yes': -0.41054964, ' No': -1.1067985, ' The': -5.815363, 'Yes': -6.5177727, 'No': -7.02363}
{' Yes': -0.5117997, ' No': -0.9273653, 'Yes': -6.179469, 'No': -6.46106, ' The': -7.0383706}
{' Yes': -0.0019451382, 'Yes': -6.525243, ' Dive': -8.878335, ' No': -8.9833555, ' yes': -9.352239}
{' Yes': -0.0053320364, 'Yes': -5.758879, ' No': -6.581935, ' Dive': -7.846984, ' yes': -8.708007}
{' Yes': -0.003294969, 'Yes': -5.795855, ' The': -9.214834, ' yes': -9.271551, ' ': -10.943815}
{' Yes': -0.0011969345, 'Yes': -6.906712, ' yes': -9.578947, ' No': -9.950385, ' ': -10.324517}
{' Yes': -0.0072731003, 'Yes': -4.9783883, ' ': -9.054256, ' No': -9.227909, ' yes': -9.734385}
{' Yes': -0.0019772071, 'Yes': -6.5946765, ' No': -7.9487505, ' The': -9.211005, ' yes': -9.635871}
{' Yes': -0.0026012075, ' No': -6.344564, 'Yes': -7.2949634, ' The': -9.554008, ' yes': -9.862636}
{' Yes': -0.0007534595, 'Yes': -7.4708915, ' yes': -9.707229, ' Near': -9.916098, ' The': -10.478826}
{' Yes': -0.27481398, ' No': -1.4402078, 'Yes': -6.3454804, 'No': -7.0604143, ' The': -7.8960176}
{' Yes': -0.00405869, 'Yes': -5.79091, ' No': -7.1853304, ' yes': -9.394567, ' ': -9.892943}
{' Yes': -0.021563355, ' No': -3.961253, 'Yes': -6.250033, ' The': -9.004615, ' yes': -9.356308}
{' Yes': -0.0029063323, 'Yes': -6.0070257, ' The': -8.674661, ' No': -8.8648, ' yes': -9.740058}
{' No': -0.014862496, 'No': -4.8876653, ' Yes': -5.2170873, ' Not': -6.684248, '\n': -8.323767}
{' No': -0.012481624, ' Yes': -4.576324, 'No': -6.3293877, ' The': -9.274808, ' ': -9.515155}
{' No': -0.11978574, ' Yes': -2.2262995, 'No': -5.553318, ' The': -7.928077, 'Yes': -8.0094795}
{' Yes': -0.05921235, ' No': -2.8808084, 'Yes': -6.9419084, 'No': -9.257731, ' The': -9.4716015}
{' Yes': -0.1644229, ' No': -1.9060439, ' The': -6.7336593, 'Yes': -7.002289, ' Beef': -8.156744}
{' Yes': -0.21664819, ' No': -1.6470337, 'Yes': -6.963768, ' The': -7.245074, 'No': -8.535934}
{' Yes': -0.0019582137, 'Yes': -6.3353095, ' No': -9.388705, ' yes': -9.85748, ' The': -10.919969}
{' Yes': -0.0085387975, ' No': -5.059491, 'Yes': -6.316341, ' The': -8.750018, ' yes': -9.561875}
{' No': -0.048461314, ' Yes': -3.1100056, 'No': -6.1799974, ' The': -8.339713, ' ': -8.809535}
{' Yes': -0.12086809, ' No': -2.1964276, 'Yes': -6.405837, ' The': -7.687715, 'No': -8.175773}
{' Yes': -0.0022930733, 'Yes': -6.501985, ' No': -7.3505406, ' yes': -9.601821, ' The': -10.179094}
{' Yes': -0.0025751526, 'Yes': -6.624346, ' No': -7.0796776, ' The': -8.517681, ' yes': -9.121679}
{' Yes': -0.00213662, 'Yes': -6.2626724, ' The': -9.085819, ' YES': -9.988556, ' yes': -10.105282}
{' Yes': -0.002056941, 'Yes': -6.247675, ' yes': -9.733545, ' YES': -10.188867, ' ': -11.7850275}
{' Yes': -0.005950578, ' No': -5.2602725, 'Yes': -7.3737497, ' yes': -9.640775, ' ': -10.858794}
{' Yes': -0.004404845, 'Yes': -6.284985, ' No': -6.5672894, ' The': -7.3279862, '\n': -8.585714}
{' Yes': -0.0022035204, 'Yes': -6.5905304, ' No': -7.421627, ' yes': -9.147797, ' The': -9.908825}
