{' Yes': -0.0011963383, 'Yes': -7.0440254, ' The': -8.79854, ' yes': -9.431768, ' No': -9.676268}
{' Yes': -0.026320543, ' No': -3.676402, 'Yes': -8.065591, ' yes': -8.404782, '\n': -10.290185}
{' Yes': -0.098440744, ' No': -2.3740525, 'Yes': -8.33004, ' yes': -8.487385, '\n': -9.449053}
{' Yes': -0.0051652226, ' No': -5.4250298, 'Yes': -7.5722175, '\n': -9.287994, ' yes': -9.392307}
{' Yes': -0.00209242, ' No': -6.5030575, 'Yes': -7.8227, ' yes': -9.109892, '\n': -10.589929}
{' Yes': -0.001624546, ' No': -7.2826934, 'Yes': -7.3184633, ' yes': -8.597495, '\n': -9.932706}
{' Yes': -0.0015749956, ' No': -6.9390783, 'Yes': -7.971566, ' yes': -8.428567, '\n': -11.497085}
{' No': -0.54108906, ' Yes': -0.8762445, 'No': -7.4320245, '\n': -7.9623613, 'Yes': -8.096803}
{' Yes': -0.41613021, ' No': -1.0801374, 'Yes': -8.287612, 'No': -8.643252, ' yes': -8.799439}
{' Yes': -0.13081315, ' No': -2.1061702, 'Yes': -8.000684, '\n': -8.485729, ' yes': -9.089868}
{' No': -0.008577694, ' Yes': -4.919966, 'No': -7.0822105, '\n': -8.49251, ' ': -8.981499}
{' No': -0.25445688, ' Yes': -1.5031085, 'No': -6.808744, 'Yes': -8.087699, '\n': -8.166012}
{' No': -0.0036393676, ' Yes': -5.9934483, 'No': -6.979112, '\n': -9.512439, ' ': -10.034023}
{' No': -0.25980538, ' Yes': -1.4804722, 'No': -7.3215485, ' ': -8.5533, '\n': -8.709149}
{' No': -0.20929985, ' Yes': -1.6742448, 'No': -7.206248, '\n': -8.480392, ' ': -8.720668}
{' Yes': -0.3551033, ' No': -1.2130383, 'Yes': -7.309376, '\n': -7.6965694, ' yes': -8.599549}
{' No': -0.010750075, ' Yes': -4.6035843, 'No': -7.5872116, '\n': -9.438311, ' ': -10.087578}
{' Yes': -0.033663243, ' No': -3.463236, ' yes': -7.2918553, 'Yes': -7.3523164, ' The': -8.466721}
{' No': -0.09057416, ' Yes': -2.4558046, 'No': -7.8874526, '\n': -8.634435, ' The': -9.598693}
{' Yes': -0.0060033435, ' No': -5.3712454, 'Yes': -7.4208837, '\n': -7.693932, ' yes': -8.750129}
{' Yes': -0.0012508834, 'Yes': -7.2845607, ' No': -8.557884, ' yes': -8.67799, '\n': -8.7464285}
{' Yes': -0.08509932, ' No': -2.5154886, 'Yes': -8.003028, ' yes': -8.274554, '\n': -9.671205}
{' Yes': -0.0094138, ' No': -4.7038374, 'Yes': -8.745503, ' yes': -9.210467, '\n': -11.041403}
{' Yes': -0.0008487251, 'Yes': -7.8563704, ' No': -8.176692, ' yes': -8.803699, '\n': -11.304381}
{' Yes': -0.120068446, ' No': -2.1943347, 'Yes': -7.1755238, ' yes': -7.9601235, '\n': -8.086476}
{' Yes': -0.021565914, ' No': -3.927228, ' yes': -7.1385813, 'Yes': -7.3993444, ' The': -9.627301}
{' Yes': -0.2930188, ' No': -1.3764423, 'Yes': -7.46738, ' yes': -7.5954437, 'No': -8.421291}
{' Yes': -0.002668382, ' No': -6.2659335, 'Yes': -7.388124, ' yes': -9.400397, ' ': -10.532994}
{' Yes': -0.0053093857, ' No': -5.424943, 'Yes': -7.3462605, '\n': -9.268376, ' yes': -9.635716}
{' Yes': -0.0062642223, ' No': -5.2132225, 'Yes': -7.5496197, ' yes': -8.724373, '\n': -9.753954}
{' Yes': -0.005034979, ' No': -5.454372, 'Yes': -7.5993943, ' yes': -8.867381, '\n': -9.857392}
{' Yes': -0.0019619768, ' No': -6.7286215, 'Yes': -7.4727645, ' yes': -9.281478, '\n': -9.515653}
{' Yes': -0.18218294, ' No': -1.797547, 'Yes': -7.619942, 'No': -8.972785, '\n': -9.224424}
{' Yes': -0.04150176, ' No': -3.223907, ' yes': -8.017699, 'Yes': -8.055178, '\n': -9.346349}
{' No': -0.006957461, ' Yes': -5.0920043, 'No': -7.428094, ' ': -9.480552, '\n': -9.867352}
{' Yes': -0.1823174, ' No': -1.8010346, 'Yes': -7.5413084, '\n': -7.8916507, ' ': -8.405499}
{' Yes': -0.3590379, ' No': -1.2023054, 'Yes': -7.992485, '\n': -8.213078, ' yes': -8.599358}
{' Yes': -0.0005772701, 'Yes': -8.08248, ' No': -8.582995, ' yes': -9.887221, '\n': -11.373514}
{' Yes': -0.0016622778, ' No': -6.6826615, 'Yes': -8.213224, ' yes': -9.555608, '\n': -10.032018}
{' Yes': -0.0004927634, 'Yes': -8.047028, ' No': -9.471985, ' yes': -9.483698, '\n': -11.660422}
{' Yes': -0.0009957855, 'Yes': -7.6026473, ' No': -8.010399, ' yes': -9.080662, '\n': -10.594339}
{' No': -0.0059620906, ' Yes': -5.426391, 'No': -6.6359878, ' The': -9.473336, '\n': -9.657595}
{' No': -0.06741497, ' Yes': -2.7533605, 'No': -7.0454416, '\n': -8.268754, ' ': -8.530805}
{' Yes': -0.15496357, ' No': -1.9454453, 'Yes': -8.153222, ' yes': -8.710624, 'No': -9.736905}
{' No': -0.006975227, ' Yes': -5.21764, 'No': -6.9292197, '\n': -8.166618, ' ': -8.797051}
{' Yes': -0.0015883658, 'Yes': -6.976901, ' No': -7.5578604, ' yes': -9.461843, ' ': -10.595504}
{' Yes': -0.00022337619, 'Yes': -8.885207, ' yes': -9.701275, ' YES': -11.776256, ' ': -12.370369}
{' No': -0.6756914, ' Yes': -0.7128446, 'No': -8.186184, 'Yes': -8.452735, '\n': -8.704431}
{' Yes': -0.0015965451, ' No': -7.0035763, 'Yes': -7.510431, ' yes': -9.707312, '\n': -9.914288}
{' Yes': -0.15727045, ' No': -1.9345988, 'Yes': -7.6479807, ' yes': -8.765946, '\n': -9.040116}
{' Yes': -0.013167777, ' No': -4.4337797, 'Yes': -6.939643, ' yes': -9.4218445, '\n': -9.435273}
{' Yes': -0.027136223, ' No': -3.6393437, 'Yes': -8.264245, ' yes': -9.084673, '\n': -9.5854225}
{' Yes': -0.015660947, ' No': -4.2353415, 'Yes': -7.194793, '\n': -8.928737, ' yes': -8.982528}
{' Yes': -0.011234291, ' No': -4.5405064, 'Yes': -7.980566, ' yes': -9.171736, '\n': -10.898784}
{' Yes': -0.009293712, ' No': -4.7560453, 'Yes': -7.6974764, ' yes': -9.147279, '\n': -10.185361}
{' Yes': -0.009389494, ' No': -4.814792, 'Yes': -7.060945, '\n': -8.713996, ' yes': -8.996148}
{' Yes': -0.054776452, ' No': -2.9558423, 'Yes': -7.3005304, '\n': -8.074531, ' yes': -9.030095}
{' Yes': -0.0019334331, ' No': -6.641871, 'Yes': -7.7240324, ' yes': -9.073276, ' ': -10.472811}
{' Yes': -0.27550337, ' No': -1.4274122, 'Yes': -8.153666, '\n': -8.648388, 'No': -8.789433}
{' Yes': -0.0008732427, 'Yes': -7.842071, ' No': -7.954326, ' yes': -9.424512, ' ': -10.902396}
{' Yes': -0.000849202, 'Yes': -7.565483, ' yes': -8.481453, ' No': -9.67811, '\n': -10.406075}
{' Yes': -0.0009798546, 'Yes': -7.5346904, ' No': -8.419707, ' yes': -8.92863, '\n': -9.649217}
{' Yes': -0.0018921674, ' No': -6.7179775, 'Yes': -7.751346, ' yes': -8.491186, '\n': -10.512104}
{' Yes': -0.009934455, ' No': -4.710536, 'Yes': -7.327292, ' yes': -9.422163, '\n': -9.459327}
{' Yes': -0.12142786, ' No': -2.1775935, 'Yes': -7.31494, 'No': -9.132168, '\n': -9.144623}
{' Yes': -0.000908382, ' No': -7.854553, 'Yes': -8.215338, ' yes': -8.498526, '\n': -11.342213}
{' No': -0.36452222, ' Yes': -1.1898701, 'No': -7.3175426, 'Yes': -8.316167, '\n': -9.30123}
{' No': -0.19698934, ' Yes': -1.7313082, '\n': -7.1214504, 'No': -7.5525246, ' ': -8.760813}
{' No': -0.039952304, ' Yes': -3.2690666, 'No': -7.0707912, '\n': -9.382872, ' ': -9.477719}
{' Yes': -0.005678095, ' No': -5.3396015, 'Yes': -7.810489, ' yes': -8.144235, '\n': -9.359347}
{' No': -0.047264468, ' Yes': -3.0959437, 'No': -7.3314724, '\n': -9.316708, ' ': -9.351892}
{' Yes': -0.0036985336, ' No': -5.874426, 'Yes': -7.502842, '\n': -8.71817, ' yes': -9.2406845}
{' Yes': -0.07267645, ' No': -2.6886735, 'Yes': -7.0531893, '\n': -7.3104086, ' yes': -8.527642}
{' No': -0.005588064, ' Yes': -5.7103453, 'No': -6.251443, ' ': -9.0444765, '\n': -9.393868}
{' Yes': -0.16861887, ' No': -1.8704964, 'Yes': -7.507278, ' yes': -8.1249, 'No': -9.102075}
{' Yes': -0.036282282, ' No': -3.3641, 'Yes': -7.6665983, '\n': -8.158889, ' yes': -8.839891}
{' Yes': -0.003367092, ' No': -5.954285, 'Yes': -7.42984, ' yes': -9.211136, '\n': -9.973057}
{' Yes': -0.18322569, ' No': -1.7946968, 'Yes': -7.4009533, '\n': -8.306086, 'No': -8.91876}
{' Yes': -0.10425043, ' No': -2.3255026, 'Yes': -7.324589, '\n': -8.633162, ' yes': -9.057999}
{' Yes': -0.0014108961, 'Yes': -7.307243, '\n': -8.356702, ' yes': -8.36226, ' No': -8.491939}
{' Yes': -0.0040032123, ' No': -5.6647663, 'Yes': -8.004197, ' yes': -9.076598, '\n': -10.0135145}
{' Yes': -0.0026109507, ' No': -6.8303194, 'Yes': -7.027631, ' The': -8.021615, ' yes': -8.405391}
{' Yes': -0.0017931586, 'Yes': -6.8475585, ' yes': -8.04512, ' No': -8.39851, ' The': -9.389759}
{' Yes': -0.0017772156, 'Yes': -6.8110595, ' No': -7.758659, ' yes': -8.660785, '\n': -10.59138}
{' Yes': -0.0012921803, 'Yes': -6.7862935, ' yes': -9.51207, ' No': -9.890058, ' ': -11.562069}
{' No': -0.32080156, ' Yes': -1.3028686, 'No': -7.1121755, ' The': -7.3653703, '\n': -7.4468403}
{' No': -0.146774, ' Yes': -2.02857, 'No': -5.8872886, '\n': -6.994741, ' The': -7.696213}
{' Yes': -0.0028170855, 'Yes': -6.3095717, ' No': -7.729793, ' yes': -8.109307, ' The': -9.017446}
{' No': -0.22592153, ' Yes': -1.6189175, 'No': -5.946628, '\n': -7.471622, 'Yes': -7.766078}
{' Yes': -0.0027344844, 'Yes': -6.312922, ' No': -7.615166, ' yes': -7.9689126, '\n': -10.302395}
{' Yes': -0.013420804, ' No': -4.4286027, 'Yes': -6.801737, ' yes': -8.678118, 'No': -10.289907}
{' No': -0.02409184, ' Yes': -3.9933033, 'No': -5.367153, ' The': -8.129826, ' ': -9.000896}
{' Yes': -0.055752624, ' No': -2.9540088, 'Yes': -6.4517126, ' yes': -8.7892885, '\n': -9.094707}
{' Yes': -0.0041944925, ' No': -5.9112587, 'Yes': -6.758936, ' yes': -8.843517, ' The': -9.158735}
{' Yes': -0.5069051, ' No': -0.92900133, 'No': -6.8475075, 'Yes': -7.023527, ' The': -7.9445286}
{' Yes': -0.02411303, ' No': -3.8062057, 'Yes': -6.8680935, ' yes': -8.184816, ' The': -8.91296}
{' Yes': -0.0012713525, 'Yes': -6.967452, ' No': -8.848676, ' yes': -9.154719, ' The': -10.232722}
{' Yes': -0.08849776, ' No': -2.5002923, 'Yes': -6.355669, 'No': -8.257651, '\n': -8.279207}
{' Yes': -0.02268223, ' No': -3.94034, 'Yes': -6.1617427, '\n': -7.767936, ' yes': -8.597536}
{' Yes': -0.003064816, 'Yes': -6.122321, ' No': -7.816795, '\n': -8.566777, ' yes': -8.948577}
{' No': -0.0071623335, 'No': -5.402544, ' Yes': -6.022881, ' ': -9.180462, '\n': -9.673064}
{' Yes': -0.0036245314, 'Yes': -6.24145, ' No': -6.9945736, '\n': -8.364034, ' The': -8.5049305}
{' No': -0.1506449, ' Yes': -2.0278115, 'No': -5.42486, '\n': -6.3679223, ' The': -7.0832586}
{' Yes': -0.0022534633, 'Yes': -6.2046156, ' yes': -8.961396, '\n': -9.847419, ' ': -10.298396}
{' Yes': -0.0024567184, 'Yes': -6.085914, ' yes': -9.069366, '\n': -10.596233, ' ': -10.878416}
{' Yes': -0.012217071, ' No': -4.67643, 'Yes': -6.152252, ' The': -7.9039207, ' yes': -8.961891}
{' No': -0.38302943, ' Yes': -1.1598278, 'No': -5.911666, 'Yes': -7.2709136, ' The': -7.295158}
{' Yes': -0.055132683, ' No': -2.9890656, 'Yes': -6.1247354, ' The': -7.9805093, '\n': -8.314385}
{' Yes': -0.002762276, 'Yes': -6.0272045, ' yes': -9.081957, '\n': -9.136824, ' No': -9.493324}
{' No': -0.06361602, ' Yes': -2.849844, 'No': -5.961696, '\n': -7.479772, ' ': -8.257071}
{' Yes': -0.2513636, ' No': -1.5186899, 'Yes': -6.410917, 'No': -7.2875094, '\n': -7.852859}
{' No': -0.09127054, ' Yes': -2.4947014, 'No': -5.528883, 'Yes': -8.3279505, ' ': -8.552774}
{' No': -0.103217825, ' Yes': -2.3700652, 'No': -5.614023, '\n': -8.00957, 'Yes': -8.350635}
{' Yes': -0.002206569, 'Yes': -6.570676, ' No': -7.974649, ' yes': -8.4914, '\n': -8.978434}
{' Yes': -0.051462702, ' No': -3.0240345, 'Yes': -6.908858, '\n': -8.851507, ' yes': -9.028297}
{' Yes': -0.013015172, ' No': -4.749299, 'Yes': -5.6839767, '\n': -8.105388, ' The': -8.288722}
{' Yes': -0.3308963, ' No': -1.2790852, 'Yes': -6.127347, 'No': -7.2581058, ' The': -8.698229}
{' Yes': -0.5223426, ' No': -0.91021734, 'No': -6.396114, 'Yes': -6.525373, ' The': -7.442787}
{' No': -0.3474278, ' Yes': -1.2348256, 'No': -6.55415, 'Yes': -7.722523, ' The': -8.650455}
{' Yes': -0.0020055762, 'Yes': -6.6804657, ' yes': -8.006932, ' No': -8.2633915, '\n': -9.720351}
{' Yes': -0.0032986775, 'Yes': -6.0523934, ' No': -7.518492, ' yes': -8.554315, '\n': -8.987042}
{' Yes': -0.001491957, 'Yes': -6.620233, ' yes': -8.984642, ' ': -11.439465, '\n': -11.628961}
{' Yes': -0.0013936466, 'Yes': -6.745612, ' yes': -9.050618, ' No': -9.845061, ' ': -11.227812}
{' Yes': -0.0022213247, 'Yes': -6.6716638, ' No': -7.1416636, ' yes': -9.191501, ' ': -10.808707}
{' Yes': -0.0016759521, 'Yes': -6.755248, ' No': -8.479016, ' yes': -8.550141, ' The': -9.767278}
{' Yes': -0.0018131621, 'Yes': -6.568143, ' yes': -8.221897, '\n': -9.716552, ' ': -10.251779}
{' Yes': -0.0032494594, ' No': -6.2466397, 'Yes': -7.065863, ' yes': -8.433771, ' The': -9.080188}
{' Yes': -0.001425401, 'Yes': -6.7361856, ' yes': -8.898647, '\n': -10.0705185, ' No': -10.965005}
{' Yes': -0.0010746649, 'Yes': -7.037508, ' yes': -9.175241, ' The': -9.973354, ' No': -10.66949}
{' Yes': -0.0016635929, 'Yes': -6.7984123, ' No': -8.04719, ' yes': -9.115847, ' The': -10.232031}
{' Yes': -0.19424985, ' No': -1.7519375, 'Yes': -6.5339923, 'No': -7.4023757, ' The': -7.9015517}
{' Yes': -0.43974823, ' No': -1.0438762, 'Yes': -6.886598, ' The': -6.8888865, 'No': -7.1597457}
{' Yes': -0.038079023, ' No': -3.355433, 'Yes': -6.4040017, ' yes': -8.010698, ' The': -8.457307}
{' Yes': -0.0015868159, 'Yes': -6.9133735, ' yes': -7.9658732, ' No': -9.219645, '\n': -9.757043}
{' Yes': -0.0032991562, ' No': -6.334973, 'Yes': -6.684291, ' yes': -8.991659, '\n': -9.612348}
{' Yes': -0.10067173, ' No': -2.3792362, 'Yes': -6.1515436, 'No': -8.079111, ' The': -8.707514}
{' Yes': -0.007142462, ' No': -5.129535, 'Yes': -6.985492, ' yes': -9.215412, ' The': -9.282951}
{' Yes': -0.0018481541, 'Yes': -6.440585, ' yes': -8.841872, '\n': -10.232338, ' ': -10.706211}
{' Yes': -0.001203261, 'Yes': -7.0335994, ' yes': -8.6755495, ' No': -9.114318, '\n': -11.543131}
{' Yes': -0.0012834677, 'Yes': -6.771991, ' yes': -9.571368, '\n': -10.597266, ' ': -11.241517}
{' Yes': -0.0032443767, ' No': -6.420107, 'Yes': -6.6510143, ' yes': -9.004456, '\n': -9.433708}
{' Yes': -0.16328348, ' No': -1.9203652, 'Yes': -6.122098, 'No': -7.3276243, ' The': -7.4862275}
{' No': -0.04664265, ' Yes': -3.1908343, 'No': -5.809021, '\n': -7.1885624, ' The': -8.331593}
{' No': -0.043917716, ' Yes': -3.2520015, 'No': -5.7213697, '\n': -7.600491, ' ': -8.455827}
{' Yes': -0.019385858, ' No': -4.1184096, 'Yes': -6.0220084, '\n': -8.630187, ' yes': -8.738713}
{' Yes': -0.0015888434, 'Yes': -6.6387286, ' yes': -8.521581, ' The': -10.484933, ' ': -11.141883}
{' Yes': -0.006937654, ' No': -5.3479486, 'Yes': -6.593573, ' yes': -7.7253003, ' The': -9.04441}
{' Yes': -0.005598973, ' No': -5.6366224, 'Yes': -6.6266937, ' yes': -8.365529, ' The': -8.494336}
{' Yes': -0.6474534, ' No': -0.7480165, 'No': -6.394203, 'Yes': -6.920856, ' The': -8.466772}
{' Yes': -0.159001, ' No': -1.9332795, 'Yes': -6.7081776, 'No': -7.7937927, '\n': -8.315332}
{' Yes': -0.414702, ' No': -1.0922991, 'Yes': -6.661328, 'No': -6.866404, ' The': -7.0078797}
{' Yes': -0.046739265, ' No': -3.1691012, 'Yes': -6.195898, '\n': -7.2282424, ' yes': -8.108999}
{' Yes': -0.0046663857, ' No': -6.0105944, 'Yes': -6.291123, ' yes': -8.463666, ' ': -10.004846}
{' Yes': -0.009504, ' No': -5.268785, 'Yes': -5.9244723, '\n': -6.8830423, ' yes': -8.052283}
{' Yes': -0.08931449, ' No': -2.495238, 'Yes': -6.324261, '\n': -7.909367, ' The': -8.432882}
{' Yes': -0.0028137374, 'Yes': -6.6492157, ' No': -6.65235, ' yes': -9.223183, ' The': -10.05685}
{' Yes': -0.0021938474, 'Yes': -6.2778606, ' No': -8.614752, ' yes': -9.6741905, '\n': -10.523867}
{' No': -0.39502403, ' Yes': -1.1275088, 'No': -6.762085, 'Yes': -7.778183, ' The': -8.396156}
{' No': -0.025073761, ' Yes': -3.8531053, 'No': -5.7835426, '\n': -8.80396, ' The': -8.888968}
{' Yes': -0.0024222436, 'Yes': -6.4556103, ' yes': -7.9115863, '\n': -8.290442, ' ': -9.259073}
{' Yes': -0.0028271873, ' No': -6.455819, 'Yes': -6.8103223, ' yes': -9.761795, ' The': -10.375011}
{' Yes': -0.017732725, ' No': -4.12586, 'Yes': -6.8523993, ' yes': -8.552097, ' ': -9.835673}
{' Yes': -0.0810087, ' No': -2.582588, 'Yes': -6.5109096, 'No': -8.477146, '\n': -8.751027}
{' Yes': -0.0019402403, 'Yes': -6.4027886, ' yes': -8.8742075, '\n': -9.733323, ' ': -10.023872}
{' Yes': -0.00246084, 'Yes': -6.1538315, ' yes': -9.041121, ' No': -9.127138, '\n': -9.611963}
{' Yes': -0.042849477, ' No': -3.207564, 'Yes': -6.85298, ' yes': -9.163182, ' The': -9.231452}
{' No': -0.46825516, ' Yes': -0.9911776, 'No': -6.356114, 'Yes': -7.585959, '\n': -8.541818}
{' Yes': -0.4071425, ' No': -1.1078032, 'Yes': -6.6527367, 'No': -6.9865165, ' The': -7.3950405}
{' Yes': -0.1779979, ' No': -1.8410246, ' The': -6.3409996, 'Yes': -6.372379, 'No': -7.871624}
{' Yes': -0.13445692, ' No': -2.111588, 'Yes': -6.158573, '\n': -6.9534554, ' yes': -7.3194184}
{' Yes': -0.028453344, ' No': -3.6751397, 'Yes': -6.310449, ' The': -7.783551, '\n': -8.578902}
{' Yes': -0.0015563098, 'Yes': -6.6635704, ' yes': -8.920755, ' The': -9.728495, '\n': -10.398405}
{' Yes': -0.0035151246, 'Yes': -6.236453, ' No': -6.8848014, ' yes': -8.4850445, '\n': -8.576889}
{' Yes': -0.0015765481, 'Yes': -6.546126, ' yes': -9.365008, ' ': -10.789071, '\n': -11.109401}
{' Yes': -0.037445676, ' No': -3.3532681, 'Yes': -6.669302, ' yes': -8.686268, ' The': -9.1341}
{' Yes': -0.0026128618, 'Yes': -6.072538, '\n': -8.897845, ' yes': -9.208901, ' ': -9.864854}
{' Yes': -0.064347655, ' No': -2.7951386, 'Yes': -7.2956133, ' yes': -8.864228, ' The': -9.088056}
{' Yes': -0.0028406382, 'Yes': -6.50314, ' No': -6.8077607, ' yes': -9.189238, '\n': -9.70649}
{' Yes': -0.0014211029, 'Yes': -6.6654105, ' yes': -9.864417, ' No': -10.307667, '\n': -10.500933}
{' Yes': -0.0036488802, ' No': -6.3039002, 'Yes': -6.4976482, ' yes': -8.584549, ' The': -9.633497}
{' Yes': -0.0044384347, 'Yes': -5.8583126, ' No': -6.8074417, ' yes': -8.06086, ' The': -9.714285}
{' No': -0.6056869, ' Yes': -0.7972553, 'No': -6.9057107, ' The': -6.9701757, '\n': -7.17084}
{' No': -0.06877651, ' Yes': -2.7581704, 'No': -6.0529165, '\n': -8.444264, ' The': -8.664845}
{' No': -0.058736447, ' Yes': -2.9339597, 'No': -5.6822658, 'Yes': -8.861935, ' The': -8.957406}
{' No': -0.0077390526, 'No': -5.130564, ' Yes': -6.5264006, ' The': -9.0557, '\n': -9.451596}
{' Yes': -0.0024683687, 'Yes': -6.4411545, '\n': -8.061356, ' yes': -8.341465, ' No': -8.461958}
{' Yes': -0.0022675034, 'Yes': -6.607936, ' No': -7.5431204, ' yes': -8.487408, '\n': -9.033107}
{' Yes': -0.0034811501, 'Yes': -6.315651, ' No': -6.6095695, ' yes': -8.719391, '\n': -9.749418}
{' Yes': -0.0025692962, 'Yes': -6.353765, ' No': -7.7561083, ' yes': -8.776617, '\n': -8.917451}
{' Yes': -0.04069656, ' No': -3.2729409, 'Yes': -6.7306104, ' yes': -7.96556, '\n': -8.822532}
{' Yes': -0.37493247, ' No': -1.1723453, 'Yes': -6.820029, 'No': -7.2568345, '\n': -7.6663656}
{' Yes': -0.0027901295, 'Yes': -6.6290045, ' No': -6.6648088, ' yes': -9.527421, ' ': -10.214368}
{' Yes': -0.016704397, ' No': -4.2324233, 'Yes': -6.4402747, '\n': -9.115772, ' yes': -9.122527}
{' Yes': -0.2159055, ' No': -1.6525338, ' yes': -7.244719, 'Yes': -7.278495, ' The': -7.7939534}
{' No': -0.0040206886, 'No': -5.738638, ' Yes': -7.4458575, '\n': -9.476194, ' ': -9.663215}
{' Yes': -0.0075869155, ' No': -5.057641, 'Yes': -6.9717016, ' yes': -9.06351, ' The': -9.924218}
{' Yes': -0.12098707, ' No': -2.193676, 'Yes': -6.3601985, 'No': -7.861538, ' yes': -8.985941}
{' Yes': -0.005199735, ' No': -5.730585, 'Yes': -6.502762, ' yes': -8.784557, '\n': -9.143587}
{' Yes': -0.21121344, ' No': -1.6712048, 'Yes': -6.643567, 'No': -7.6627607, ' The': -8.241757}
{' Yes': -0.14649993, ' No': -2.0100002, 'Yes': -6.7883472, 'No': -8.156849, ' yes': -8.238371}
{' Yes': -0.19818683, ' No': -1.7476101, 'Yes': -6.044744, '\n': -6.684633, 'No': -6.9664135}
{' Yes': -0.026819212, ' No': -3.6853254, 'Yes': -6.9152923, ' yes': -8.878044, ' The': -9.429937}
{' Yes': -0.014519175, ' No': -4.3460393, 'Yes': -7.0146217, ' yes': -8.459121, '\n': -8.649286}
{' Yes': -0.0068608304, ' No': -5.3419724, 'Yes': -6.3921657, '\n': -9.014095, ' yes': -9.032306}
{' Yes': -0.0038994504, ' No': -6.0437493, 'Yes': -6.752312, ' yes': -8.843449, ' The': -8.930052}
{' Yes': -0.0022813035, 'Yes': -6.502283, ' No': -7.6002483, ' yes': -8.788652, ' The': -9.854372}
{' Yes': -0.0013656522, 'Yes': -6.900384, ' No': -8.608273, ' yes': -9.058972, ' The': -10.394579}
{' Yes': -0.16117674, ' No': -1.926346, 'Yes': -6.3414245, 'No': -7.4699435, '\n': -7.847732}
{' Yes': -0.097671926, ' No': -2.395516, 'Yes': -6.796869, 'No': -8.450285, ' The': -8.620224}
{' Yes': -0.14681424, ' No': -2.0093632, 'Yes': -6.892784, '\n': -7.6622963, ' The': -8.087145}
{' No': -0.028629301, ' Yes': -3.7329118, 'No': -5.800911, '\n': -7.225377, ' ': -8.17809}
{' No': -0.38253716, ' Yes': -1.1653875, 'No': -5.8943396, ' The': -6.7016187, 'Yes': -6.8414807}
{' No': -0.0061265775, ' Yes': -5.6127396, 'No': -6.148462, ' The': -8.818859, '\n': -9.834841}
{' No': -0.15391116, ' Yes': -1.9727017, 'No': -5.9513903, '\n': -8.05763, 'Yes': -8.204219}
{' No': -0.1305947, ' Yes': -2.134049, 'No': -5.7414856, ' The': -8.138403, 'Yes': -8.344215}
{' Yes': -0.10402314, ' No': -2.3519385, 'Yes': -6.0848193, ' The': -7.7706294, '\n': -7.855142}
{' No': -0.018886682, ' Yes': -4.1803246, 'No': -5.9295616, '\n': -7.952461, ' The': -8.604542}
{' Yes': -0.12037705, ' No': -2.2147927, 'Yes': -6.3622055, ' The': -6.484089, ' yes': -7.550856}
{' No': -0.12322605, ' Yes': -2.175083, 'No': -6.573986, ' The': -7.7598686, 'Yes': -8.634315}
{' Yes': -0.0049760337, 'Yes': -6.047523, '\n': -6.7904806, ' No': -6.813979, ' yes': -8.68554}
{' Yes': -0.0033213412, 'Yes': -5.9749703, '\n': -7.759096, ' yes': -8.583539, ' ': -9.620199}
{' Yes': -0.022111638, ' No': -3.8830903, 'Yes': -7.018024, ' yes': -8.385744, '\n': -9.975383}
{' Yes': -0.0034582415, ' No': -5.915924, 'Yes': -7.5509663, ' yes': -8.965076, ' The': -9.845741}
{' Yes': -0.0016492653, 'Yes': -6.635485, ' yes': -8.652719, ' No': -9.071028, '\n': -10.946786}
{' Yes': -0.46287754, ' No': -1.0047228, 'Yes': -6.3817973, 'No': -6.4213276, '\n': -8.00918}
{' Yes': -0.021047695, ' No': -4.0196495, 'Yes': -6.5335827, ' yes': -7.238907, ' The': -8.166048}
{' Yes': -0.22309479, ' No': -1.6270236, 'Yes': -6.4666634, ' yes': -7.3904204, 'No': -7.628048}
{' Yes': -0.012122284, ' No': -4.649905, 'Yes': -6.132359, ' yes': -9.225192, ' ': -9.463241}
{' Yes': -0.010378646, ' No': -4.7842603, 'Yes': -6.4358673, '\n': -9.244875, ' ': -9.504757}
{' Yes': -0.0044490932, ' No': -5.97194, 'Yes': -6.5108614, ' yes': -8.692744, '\n': -9.275565}
{' Yes': -0.009561406, ' No': -4.87623, 'Yes': -6.587984, ' yes': -8.566865, '\n': -8.95436}
{' Yes': -0.0025510122, 'Yes': -6.34414, ' No': -7.41006, ' yes': -9.223802, '\n': -9.996663}
{' Yes': -0.080522, ' No': -2.5965514, 'Yes': -6.168227, 'No': -8.10753, '\n': -8.549184}
{' Yes': -0.021827348, ' No': -3.9130185, 'Yes': -6.972682, ' yes': -8.05083, ' The': -8.7512665}
{' No': -0.02252701, ' Yes': -3.9347486, 'No': -6.117414, ' The': -8.698394, '\n': -8.91182}
{' Yes': -0.11318403, ' No': -2.2669773, 'Yes': -6.6254563, '\n': -6.8951454, ' ': -8.012096}
{' Yes': -0.5027758, ' No': -0.9344088, 'No': -7.1454124, 'Yes': -7.167907, '\n': -8.311518}
{' Yes': -0.0012399012, 'Yes': -6.9598308, ' No': -8.877254, ' yes': -9.385469, ' The': -10.583366}
{' Yes': -0.001576429, 'Yes': -6.920571, ' No': -7.904425, ' yes': -9.260147, '\n': -9.741347}
{' Yes': -0.0013887533, 'Yes': -6.8295836, ' yes': -8.799044, ' No': -9.077526, '\n': -11.090005}
{' Yes': -0.0020040225, 'Yes': -6.622721, ' No': -7.6981454, ' yes': -8.843688, ' The': -10.19431}
