{' Yes': -0.04511578, ' Generally': -3.6469321, ' No': -4.4161234, 'Yes': -5.597255, ' Typically': -7.983192}
{' No': -0.64548934, ' Yes': -1.3441664, ' A': -2.338162, ' Generally': -2.8297029, 'No': -3.655621}
{' Yes': -0.04359247, 'Yes': -4.1997375, ' No': -4.5575314, ' yes': -5.2173195, ' Generally': -5.714582}
{' Yes': -0.42625102, ' No': -1.6489016, ' Generally': -3.0921996, ' Go': -3.2038894, ' GO': -4.034001}
{' Yes': -0.06991921, 'Yes': -3.5941427, ' No': -4.183847, ' Generally': -4.6062207, ' yes': -5.2475085}
{' No': -0.5360375, ' Yes': -2.14353, ' A': -2.5299551, 'No': -2.5938644, ' Generally': -2.8610744}
{' Yes': -0.08672163, 'Yes': -3.3323936, ' No': -4.329547, ' Generally': -4.59441, ' Go': -4.8185635}
{' No': -1.3371419, ' Yes': -1.4060286, ' Go': -1.4598778, ' Generally': -2.5112903, 'No': -3.237479}
{' Yes': -0.63782406, ' No': -0.94206524, 'No': -2.9297915, 'Yes': -3.895072, ' Generally': -5.6953225}
{' No': -0.1667616, 'No': -2.109541, ' Yes': -4.16057, ' Generally': -4.9921303, ' GO': -5.8210597}
{' Yes': -0.09351268, ' No': -3.3814383, 'Yes': -3.3929949, ' Generally': -4.523757, 'No': -5.034135}
{' Yes': -0.9637124, ' No': -1.0101659, ' Generally': -2.4362788, 'No': -2.690952, ' Go': -3.0779474}
{' Yes': -0.081938736, 'Yes': -3.1698422, ' No': -3.6118035, 'No': -5.3489823, ' Generally': -6.446002}
{' No': -0.30237636, 'No': -1.6789538, ' Yes': -3.5522676, ' GO': -4.3583913, ' Generally': -4.4137845}
{' Yes': -0.0765841, 'Yes': -3.088108, ' No': -4.1917973, ' Generally': -5.5655518, 'No': -5.6770415}
{' Yes': -0.8026939, ' No': -1.007301, 'No': -2.6848464, ' Generally': -3.4263241, ' Go': -3.4649675}
{' Yes': -0.054700397, ' No': -3.1772053, 'Yes': -4.7498484, 'No': -6.867706, ' yes': -7.5123987}
{' Yes': -0.72094554, ' No': -0.8134653, ' Generally': -3.5295525, 'No': -4.1838074, 'Yes': -5.00511}
{' Yes': -0.015651926, 'Yes': -4.6515656, ' No': -6.0099854, ' Generally': -6.067852, ' yes': -7.8111763}
{' Yes': -0.07329497, ' No': -3.5074701, ' Generally': -4.3802996, 'Yes': -4.3931227, ' Go': -4.5631475}
{' No': -0.6481364, 'No': -1.0869086, ' Go': -2.7354739, ' Generally': -3.7729607, ' Yes': -3.8313274}
{' No': -0.4985225, 'No': -1.0808666, ' GO': -4.147534, ' Generally': -4.4277563, ' A': -4.8506436}
{' Yes': -0.7296312, ' Go': -1.5514162, ' No': -2.4422758, 'Yes': -2.666189, 'No': -2.6792276}
{' No': -1.1869977, ' Go': -1.7393733, 'No': -1.7986326, ' Yes': -2.031953, ' Generally': -2.4383328}
{' Yes': -0.5942808, ' No': -1.0259063, 'No': -3.4449317, ' Go': -3.92372, 'Yes': -4.2495923}
{' No': -0.22744481, 'No': -2.1832001, ' GO': -3.1520605, ' Generally': -4.3770437, ' A': -4.825694}
{' Yes': -0.070700765, 'Yes': -3.6208618, ' No': -4.221881, ' Generally': -4.483508, ' Go': -4.75797}
{' Yes': -0.23586042, ' Generally': -2.8352923, ' Go': -3.0330212, ' No': -3.413417, 'Yes': -3.5603096}
{' Yes': -0.04082272, ' yes': -3.371679, 'Yes': -5.605375, ' ': -6.86827, 'yes': -7.960187}
{' Yes': -0.35671815, ' No': -1.4691067, ' yes': -3.371609, ' A': -4.716838, ' ': -4.922247}
{' Yes': -0.027542416, ' yes': -3.8154242, 'Yes': -5.8302536, ' No': -7.257353, ' ': -7.28526}
{' Yes': -0.0976047, ' yes': -3.0744455, ' No': -3.5656013, 'Yes': -5.359436, ' Generally': -5.792809}
{' Yes': -0.041280597, 'Yes': -4.0154395, ' No': -4.80582, ' yes': -5.098127, ' Generally': -6.2361054}
{' No': -0.4875499, ' Yes': -1.8729146, ' A': -2.5777864, ' Generally': -2.8181508, 'No': -3.016261}
{' Yes': -0.05328772, 'Yes': -4.0121555, ' No': -4.144577, ' yes': -5.3099422, ' Generally': -5.32852}
{' Yes': -0.21825373, ' No': -2.7512336, ' Generally': -3.3403773, ' Go': -3.3707423, 'Yes': -4.0743165}
{' Yes': -0.17263813, ' No': -3.0835593, '\n': -3.0892773, 'Yes': -3.2605839, ' yes': -4.700529}
{' No': -0.9101397, '\n': -1.3060118, ' A': -2.3172271, 'No': -2.3281102, ' Yes': -2.7404087}
{' Yes': -0.1228582, 'Yes': -3.2425041, '\n': -3.2689817, ' Go': -4.511011, ' No': -4.5708084}
{' Yes': -1.2118028, ' Go': -1.6165003, ' No': -1.6804308, '\n': -1.7809405, 'No': -3.335338}
{' Yes': -0.012531236, 'Yes': -5.2023067, ' No': -5.786436, ' yes': -6.001503, ' ': -7.4954586}
{' No': -0.20018849, ' Yes': -2.2694173, 'No': -3.5119312, ' A': -3.9568791, ' Generally': -4.1048646}
{' Yes': -0.0135603, 'Yes': -5.018386, ' No': -5.8250756, ' yes': -6.3085904, ' Generally': -7.0962896}
{' Yes': -0.16768879, ' No': -2.2337327, ' Generally': -4.128611, ' Go': -4.5927052, 'Yes': -4.7647114}
{' No': -0.32719594, 'No': -1.7523915, '\n': -3.171995, ' Yes': -3.39734, ' ': -4.339136}
{' No': -0.40729624, 'No': -1.320775, '\n': -3.0444496, ' ': -5.0186477, ' A': -5.185468}
{' No': -0.428022, 'No': -1.6853976, ' Yes': -2.4905486, '\n': -3.3591094, ' ': -4.256517}
{' No': -0.3694997, 'No': -1.568194, '\n': -2.9681475, ' ': -4.358751, ' Yes': -4.3745008}
{' Yes': -0.13141918, ' yes': -2.3231497, 'Yes': -4.3103666, '\n': -5.822078, ' ': -5.983107}
{' No': -0.8352371, ' Yes': -1.1233461, ' A': -2.507811, ' Generally': -3.089169, ' yes': -3.570327}
{' Yes': -0.11811315, ' yes': -2.531941, 'Yes': -4.0097814, '\n': -5.558208, 'yes': -5.7949543}
{' Yes': -0.2067115, ' yes': -2.4512107, ' No': -3.3721979, 'Yes': -4.194447, ' Generally': -4.4249406}
{' Yes': -0.008364356, 'Yes': -5.637594, '\n': -6.0841603, ' ': -6.8566246, ' No': -7.2630696}
{' Yes': -0.06793846, ' No': -3.5954442, ' Generally': -3.8935704, ' A': -5.166516, '\n': -5.3815827}
{' Yes': -0.01888225, ' No': -4.9028583, '\n': -5.485503, 'Yes': -5.709876, ' ': -6.41846}
{' Yes': -0.034468032, ' No': -4.6059346, ' Generally': -4.703789, ' Go': -5.3419576, '\n': -5.6343746}
{' Yes': -0.19468215, ' No': -2.2387838, '\n': -3.5777938, 'Yes': -3.984944, ' ': -4.560952}
{' No': -0.56046647, ' Yes': -1.7041814, ' Generally': -2.547588, '\n': -2.8903348, ' A': -3.345695}
{' Yes': -0.15514092, ' No': -3.0685222, '\n': -3.1793087, 'Yes': -4.0317163, ' ': -4.4113245}
{' Yes': -0.508095, ' No': -1.5707953, ' Go': -2.7608302, '\n': -3.0960026, ' Generally': -3.3507216}
{' Yes': -0.2481277, ' No': -2.1557584, '\n': -2.9376473, 'Yes': -4.1279397, ' ': -4.1662264}
{' No': -0.6487439, ' Yes': -1.705974, ' A': -2.437162, '\n': -2.4503798, ' Generally': -3.1039479}
{' Yes': -0.18373233, ' No': -2.406978, ' Go': -3.7496998, '\n': -3.8247387, 'Yes': -4.3715067}
{' No': -0.58646774, ' Yes': -1.4785212, ' Go': -2.326435, '\n': -3.312927, 'No': -3.551939}
{' No': -0.47218737, ' Yes': -1.0667806, '\n': -4.5264454, ' ': -4.644221, 'No': -4.7572675}
{' Yes': -0.7580551, ' No': -0.82724226, ' Generally': -3.4244902, '\n': -3.9235976, ' A': -4.1524415}
{' Yes': -0.31103313, ' No': -1.5027808, '\n': -4.037769, ' ': -4.634426, 'No': -5.236995}
{' Yes': -0.19894491, ' No': -2.0088432, ' Go': -4.230382, '\n': -4.4895735, ' ': -5.033881}
{' No': -0.08707934, 'No': -3.0710557, ' Yes': -4.294793, '\n': -4.4936934, ' ': -4.6340513}
{' No': -0.11632257, 'No': -2.7597377, ' A': -4.302312, '\n': -4.5848894, ' ': -4.752091}
{' No': -0.2966523, ' Yes': -1.783154, 'No': -3.0563834, ' ': -4.184906, '\n': -4.329407}
{' No': -0.17826764, ' Yes': -2.7528393, 'No': -3.012391, ' Go': -3.8918371, ' ': -4.490983}
{' Yes': -0.09580473, ' No': -2.9241893, '\n': -4.4127297, ' ': -4.6524587, 'Yes': -4.69414}
{' Yes': -0.46105522, ' No': -1.4632926, ' Generally': -2.9105468, ' A': -3.3944027, '\n': -4.264047}
{' Yes': -0.02638333, 'Yes': -4.7282434, ' No': -5.043214, ' ': -5.6979723, '\n': -5.782464}
{' Yes': -0.070530295, ' No': -3.6276073, 'Yes': -4.6830826, ' Go': -4.703524, ' Generally': -4.7773914}
{' No': -0.027934488, 'No': -4.1302156, ' Generally': -4.6584177, ' A': -7.7601047, ' Yes': -7.9005785}
{' No': -0.7687641, ' Generally': -1.158094, ' It': -2.0119014, 'No': -3.9527907, ' Go': -4.2677646}
{' No': -0.07911653, ' Generally': -3.5621145, 'No': -3.8488383, ' Bears': -3.9831061, ' Go': -6.4689736}
{' No': -0.4764727, ' Generally': -1.7132261, ' It': -2.758621, ' Go': -2.7621899, 'No': -3.5699193}
{' No': -0.047770374, 'No': -3.2874227, ' Generally': -4.8681626, ' A': -7.656272, ' ': -7.852535}
{' No': -0.62191135, ' Generally': -1.6959184, ' It': -2.0767376, 'No': -3.2755272, ' Go': -3.3492367}
{' No': -0.10426578, 'No': -2.628508, ' Generally': -4.317847, ' Go': -5.0214868, ' Bears': -5.9755845}
{' No': -0.19884863, 'No': -2.505352, ' Go': -3.4279706, ' Generally': -3.5788515, ' It': -3.8283575}
{' No': -0.07642807, 'No': -2.702889, '\n': -5.8245435, ' Generally': -6.5763416, ' ': -6.7712426}
{' No': -0.2417964, 'No': -2.654415, ' It': -2.9935892, ' Generally': -3.562471, '\n': -4.2523155}
{' No': -0.09600653, 'No': -2.6486893, ' Go': -4.8877945, ' Generally': -5.683326, ' Bears': -5.9076633}
{' No': -0.2392617, 'No': -2.6191463, ' Go': -2.9745083, ' It': -3.6554143, ' That': -4.216025}
{' No': -0.03153866, 'No': -4.0321794, ' Generally': -4.503562, ' A': -7.4459763, ' On': -7.7453856}
{' No': -0.48111752, ' Generally': -1.6951411, ' It': -2.627289, ' Go': -3.38381, 'No': -3.581816}
{' No': -0.077060655, 'No': -3.6218162, ' Generally': -3.8002892, ' Bears': -4.5128136, ' Go': -4.7660155}
{' No': -0.15838632, 'No': -2.8074112, ' Go': -3.2457106, ' Generally': -3.3713527, ' It': -5.456501}
{' No': -0.10253023, 'No': -2.4850395, ' Generally': -5.2383122, '\n': -6.0242057, ' ': -6.1686344}
{' No': -0.25538215, 'No': -2.4554155, ' Generally': -3.0015447, ' It': -3.503742, ' A': -4.2248874}
{' No': -0.19784747, 'No': -2.5847626, ' Bears': -3.3917177, ' Go': -3.5930803, ' Generally': -4.341134}
{' No': -0.21874881, 'No': -2.6105926, ' Go': -3.3637223, ' Generally': -3.8167975, ' It': -4.141911}
{' No': -0.09809636, 'No': -2.932731, ' Generally': -3.565776, ' A': -5.5434256, ' ': -6.530672}
{' No': -0.7785566, ' Generally': -1.6481378, ' It': -2.4359338, ' Go': -2.9921184, ' A': -3.1459994}
{' No': -0.14361618, 'No': -2.7619174, ' Bears': -3.1711888, ' Generally': -4.1107335, ' Go': -5.7112794}
{' No': -0.3138015, 'No': -2.6273446, ' Generally': -2.7468057, ' Go': -3.1194274, ' Bears': -4.0270762}
{' No': -0.010259587, 'No': -4.774187, ' ': -7.199123, '\n': -7.835653, ' A': -8.318816}
{' No': -0.15722357, ' It': -2.8103263, ' Generally': -3.2102404, 'No': -4.639205, ' A': -4.658408}
{' No': -0.017536774, 'No': -4.584866, ' Generally': -6.088846, ' Bears': -6.362808, ' ': -6.989369}
{' No': -0.023684613, 'No': -4.4762754, ' Generally': -5.286689, '\n': -6.321879, ' Go': -6.4050374}
{' No': -0.09453274, 'No': -2.511689, '\n': -5.7163105, ' ': -6.162974, ' A': -6.27736}
{' No': -0.30788228, ' It': -2.8559246, 'No': -2.9301908, ' A': -3.0768983, ' Generally': -3.1675146}
{' No': -0.061546195, 'No': -2.9881227, ' ': -5.8587737, '\n': -6.239037, ' Generally': -6.4320564}
{' No': -0.06757101, 'No': -3.1062384, ' Generally': -5.016553, ' Go': -5.4787884, ' ': -5.8034253}
{' No': -0.1872573, 'No': -2.358564, '\n': -2.8241572, ' ': -4.6271124, ' A': -5.295798}
{' No': -0.29241934, 'No': -2.4103012, '\n': -2.410904, ' A': -3.5150506, ' ': -4.0157223}
{' No': -0.25918064, '\n': -2.1038654, 'No': -2.539847, ' ': -4.0352855, ' Bears': -5.241507}
{' No': -0.2748199, '\n': -2.1177745, 'No': -2.6083083, ' ': -3.7252152, ' Go': -4.662286}
{' No': -0.01353269, 'No': -4.3848987, ' ': -7.227202, ' A': -9.358726, '\n': -9.538217}
{' No': -0.07475301, ' It': -3.8182468, 'No': -3.852829, ' A': -4.50404, ' Generally': -4.879059}
{' No': -0.016940854, 'No': -4.1650214, ' ': -7.624179, ' Generally': -8.352551, ' Bears': -8.57153}
{' No': -0.024514018, 'No': -3.8536038, ' Go': -6.7423997, ' ': -7.4641595, ' Generally': -7.6843114}
{' No': -0.26448813, 'No': -1.609268, '\n': -4.1011057, ' ': -4.6777153, ' A': -5.7030563}
{' No': -0.37376702, 'No': -1.4632674, '\n': -3.543851, ' A': -3.9293118, ' ': -4.3966827}
{' No': -0.24515082, 'No': -1.7257284, '\n': -4.1874733, ' ': -4.4706078, ' Bears': -5.282123}
{' No': -0.234626, 'No': -1.7699023, '\n': -4.210702, ' ': -4.550475, ' Go': -4.8751955}
{' No': -0.061835673, 'No': -2.9616065, ' ': -5.685915, ' A': -6.418854, '\n': -6.628279}
{' No': -0.54199195, ' A': -1.9069592, ' Generally': -2.6508615, ' It': -2.7523382, ' Yes': -3.3736138}
{' No': -0.08505837, 'No': -2.7159731, ' ': -5.2716007, ' Bears': -5.9157557, '\n': -6.036184}
{' No': -0.08511484, 'No': -3.0306447, ' Generally': -4.670866, ' ': -5.2522306, ' Go': -5.621274}
{' No': -0.12970039, 'No': -2.2964272, ' Generally': -5.0533986, ' A': -5.1132517, ' ': -6.524758}
{' No': -0.4151366, ' A': -2.5608418, 'No': -2.6012642, ' It': -2.687565, ' Generally': -3.2578502}
{' No': -0.22378708, 'No': -2.3245406, ' Bears': -3.2143264, ' Go': -4.115841, ' Generally': -4.30215}
{' No': -0.31300285, 'No': -2.2699206, ' Go': -2.9458008, ' It': -3.5492957, ' Generally': -3.9498408}
{' No': -0.15267889, 'No': -1.9668554, ' ': -7.6410913, ' Generally': -7.7822948, ' no': -8.615938}
{' No': -0.18754365, 'No': -1.892515, ' It': -4.731785, ' Generally': -5.459163, ' GO': -6.548096}
{' No': -0.1956098, 'No': -1.8398836, ' Generally': -4.7450824, ' Go': -5.355245, ' Bears': -6.798458}
{' No': -0.21607684, 'No': -2.1760302, ' It': -3.7713478, ' Generally': -3.7740984, ' Go': -4.0652514}
{' No': -0.20029409, 'No': -1.7205232, ' ': -7.15015, '\n': -7.6437745, ' Generally': -7.8405995}
{' No': -0.35841078, 'No': -1.2527511, ' It': -5.510996, ' GO': -5.9442863, ' Generally': -6.259691}
{' No': -0.21629103, 'No': -1.9103314, ' Go': -3.8892128, ' Bears': -4.684232, ' Generally': -5.207976}
{' No': -0.20697573, 'No': -2.104696, ' Go': -3.9940124, ' It': -4.3401046, ' Generally': -4.64265}
{' No': -0.02568378, 'No': -3.7182744, ' Generally': -7.911159, ' ': -8.311946, ' A': -8.727416}
{' No': -0.060774352, 'No': -3.1698384, ' Generally': -5.0392823, ' A': -5.693849, ' GO': -6.1635823}
{' No': -0.060263712, 'No': -3.140172, ' Generally': -5.1807594, ' Bears': -5.4416122, ' Go': -5.8973527}
{' No': -0.06957723, 'No': -3.250571, ' Generally': -4.751872, ' Go': -4.814299, ' It': -5.571157}
{' No': -0.6102958, 'No': -0.8545166, ' Go': -4.374578, ' Generally': -5.0504766, '\n': -5.760056}
{' No': -0.60944146, 'No': -0.9769436, ' Generally': -4.060453, ' GO': -4.0896583, ' A': -4.2822185}
{' No': -0.664224, 'No': -1.3161328, ' Go': -2.2670245, ' Bears': -3.0295556, ' Generally': -3.9334779}
{' No': -0.7446868, 'No': -1.5512416, ' Go': -2.2533596, ' It': -2.844788, ' Generally': -3.2641923}
{' No': -0.076981984, 'No': -2.7639709, ' Go': -5.6005, ' A': -5.8355565, ' Generally': -6.4943867}
{' No': -0.3679424, 'No': -2.0521216, ' GO': -2.559833, ' Generally': -3.9660468, ' A': -4.034844}
{' No': -0.184858, 'No': -2.2802749, ' Go': -3.650228, ' Bears': -4.17411, ' Generally': -4.491114}
{' No': -0.34224588, 'No': -2.668374, ' Go': -2.7514236, ' Generally': -2.939124, ' GO': -3.5791945}
{' No': -0.013624407, 'No': -5.055502, ' ': -5.7380543, ' no': -5.789051, '\n': -7.6419196}
{' No': -0.12502345, ' It': -2.8570333, 'No': -4.054798, ' A': -4.4090886, ' ': -4.7287564}
{' No': -0.013394224, 'No': -4.849019, ' ': -6.188854, ' Bears': -6.447396, ' no': -6.918438}
{' No': -0.03001871, 'No': -4.093858, ' ': -5.560594, ' no': -5.8794503, '\n': -6.2378383}
{' No': -0.09820781, 'No': -2.45661, ' ': -5.991776, '\n': -6.129861, ' Generally': -6.894059}
{' No': -0.5865011, ' It': -1.8458147, ' Generally': -2.5461779, 'No': -2.6863449, ' A': -2.802518}
{' No': -0.12117996, 'No': -2.3557725, '\n': -5.181956, ' ': -5.4446335, ' Generally': -5.6427135}
{' No': -0.14911035, 'No': -2.3158164, ' It': -4.7826304, ' Generally': -4.788408, '\n': -4.9469333}
{' No': -0.17464888, 'No': -2.3032537, '\n': -3.0610797, ' ': -5.0253654, ' A': -5.584311}
{' No': -1.0440162, '\n': -1.3818707, ' A': -2.0845702, 'No': -2.2715, ' It': -2.7470362}
{' No': -0.24182692, 'No': -2.1234014, '\n': -2.7342184, ' ': -4.3398976, ' Bears': -4.466926}
{' No': -0.44603994, 'No': -1.9587257, '\n': -2.0337417, ' Go': -3.6260886, ' ': -3.7779796}
{' No': -0.027342146, 'No': -3.7007105, ' ': -6.962963, '\n': -7.673814, ' no': -7.681918}
{' No': -0.10501104, 'No': -3.0345724, ' It': -3.9381828, ' A': -4.4993324, ' Generally': -4.6501865}
{' No': -0.05564965, 'No': -3.1883187, ' Bears': -4.9486146, ' Generally': -6.4785657, ' ': -6.5893865}
{' No': -0.065905534, 'No': -2.965302, ' Bears': -5.5780396, ' Generally': -6.1393213, ' It': -6.217467}
{' No': -0.3011475, 'No': -1.4789295, '\n': -4.0000815, ' ': -5.29139, ' no': -5.3581}
{' No': -0.5425351, 'No': -1.1459113, '\n': -2.6732724, ' A': -4.636526, ' ': -4.677717}
{' No': -0.30851695, 'No': -1.4866824, '\n': -3.996196, ' ': -4.785654, ' no': -5.14281}
{' No': -0.3624957, 'No': -1.3627666, '\n': -3.5580866, ' ': -4.681796, ' no': -5.473469}
{' No': -0.07429715, 'No': -3.2287388, ' no': -4.0072837, ' ': -5.327793, '\n': -5.429374}
{' No': -0.6850032, ' It': -1.7062318, ' A': -2.0546722, ' Generally': -3.160632, 'No': -3.572157}
{' No': -0.13970138, 'No': -2.5697224, ' no': -4.1275682, '\n': -4.127787, ' ': -4.89489}
{' No': -0.16748933, 'No': -2.692016, ' no': -3.7129679, ' It': -4.589794, '\n': -4.6401424}
{' No': -0.019971197, 'No': -4.456256, '\n': -5.356439, ' ': -6.2291784, ' Generally': -7.209457}
{' No': -0.34116694, ' It': -1.9366848, ' Generally': -2.7841907, ' A': -3.9055839, '\n': -4.326934}
{' No': -0.039968617, '\n': -4.2517242, 'No': -4.3475704, ' Bears': -5.1912365, ' ': -5.516718}
{' No': -0.030073067, 'No': -4.4317985, '\n': -5.1418815, ' Generally': -5.3208804, ' ': -6.068395}
{' No': -0.108975075, 'No': -2.637221, '\n': -3.810944, ' ': -4.963019, ' A': -6.9844956}
{' No': -0.33153254, ' Generally': -2.8141184, 'No': -2.8420002, '\n': -3.081868, ' It': -3.106589}
{' No': -0.14679877, 'No': -2.8167737, '\n': -2.8587508, ' ': -4.4736247, ' Bears': -5.2100577}
{' No': -0.1165013, 'No': -2.979853, '\n': -3.3078995, ' ': -4.950789, ' Generally': -4.9572678}
{' No': -0.10328974, 'No': -2.8847628, '\n': -3.5122137, ' ': -4.856988, ' A': -5.8082323}
{' No': -0.50043416, ' It': -2.3616688, '\n': -2.5252392, ' A': -2.862655, ' Generally': -2.9559815}
{' No': -0.12154678, '\n': -3.0940979, 'No': -3.1977434, ' Bears': -4.376668, ' ': -4.38436}
{' No': -0.09568429, 'No': -3.120783, '\n': -3.9043903, ' ': -4.832379, ' Bears': -5.1050587}
{' No': -0.0208018, 'No': -4.227253, ' ': -5.844532, '\n': -6.028881, ' Generally': -8.075023}
{' No': -0.08502942, 'No': -3.878511, ' Generally': -3.903482, ' It': -4.40406, ' A': -4.748075}
{' No': -0.04084755, 'No': -3.8592048, '\n': -4.569156, ' ': -5.2652087, ' Bears': -6.0303817}
{' No': -0.039911978, 'No': -3.7080026, '\n': -5.072676, ' ': -5.5288167, ' Generally': -6.156805}
{' No': -0.08699852, 'No': -2.8449845, '\n': -4.4466767, ' ': -4.692866, ' A': -5.771424}
{' No': -0.18612185, 'No': -2.6798484, ' A': -3.1851413, ' Generally': -4.2473574, '\n': -4.33776}
{' No': -0.09654907, 'No': -2.955966, ' Bears': -4.1267176, ' ': -4.366187, '\n': -4.7112303}
{' No': -0.07351485, 'No': -2.93774, ' ': -5.0742965, '\n': -5.5200515, ' Go': -5.7045693}
{' No': -0.05110406, 'No': -3.4075131, '\n': -4.8434873, ' ': -5.136999, ' A': -6.7410865}
{' No': -0.45466602, ' It': -2.4869363, ' Generally': -2.508478, ' A': -2.7374086, ' Yes': -3.6157558}
{' No': -0.08644136, 'No': -3.1860695, ' Bears': -4.026846, '\n': -4.61248, ' ': -4.629881}
{' No': -0.075295456, 'No': -3.603303, ' Bears': -4.2566633, ' Generally': -4.676759, ' ': -5.2659883}
{' Yes': -0.24032624, ' Generally': -2.121344, ' No': -3.239424, ' It': -3.3664153, 'Yes': -5.357334}
{' Yes': -0.0149055105, ' Generally': -4.5679145, 'Yes': -5.701087, ' It': -7.981389, ' In': -8.937823}
{' Yes': -0.8755924, ' Generally': -1.3701069, ' It': -1.6952468, ' No': -2.9645452, ' On': -3.9950879}
{' No': -0.75619626, ' Generally': -1.426326, ' It': -2.4098217, ' Yes': -2.4549632, ' Bears': -3.1358101}
{' No': -0.5751519, ' Generally': -1.4614072, ' Yes': -2.7912848, 'No': -2.8596022, ' It': -3.0912614}
{' Yes': -0.17880225, ' Generally': -2.5230234, ' No': -3.0930593, ' It': -4.0888495, 'Yes': -4.799022}
{' No': -1.0271757, ' Generally': -1.4876764, ' It': -1.9751335, ' Yes': -2.366308, ' Bears': -2.7499769}
{' No': -0.62601805, ' Yes': -1.5101277, ' Generally': -2.4810634, 'No': -2.624309, ' Bears': -3.1330464}
{' No': -0.17026694, 'No': -2.2487638, ' It': -4.021208, ' Generally': -4.3697834, ' Yes': -5.015981}
{' Yes': -0.10056719, ' No': -3.2311306, ' It': -4.070664, 'Yes': -4.322026, ' Generally': -4.419806}
{' No': -0.38353583, ' It': -2.4686284, 'No': -2.496079, ' Bears': -3.1673396, ' Generally': -3.467915}
{' No': -0.56853217, ' Yes': -1.3842326, 'No': -2.60007, ' Bears': -2.824895, ' Generally': -4.158818}
{' No': -0.7734011, ' Generally': -1.3450696, ' Yes': -1.8567713, ' It': -3.0470042, ' Bears': -3.9589}
{' Yes': -0.053298097, ' Generally': -3.2101142, 'Yes': -5.6847944, ' No': -5.978952, ' It': -6.784478}
{' Generally': -1.070641, ' No': -1.5830178, ' Yes': -1.588015, ' Bears': -2.4570603, ' It': -2.7285504}
{' No': -0.20431665, ' Generally': -2.8527272, 'No': -2.9218762, ' Bears': -3.1518493, ' Yes': -3.9957726}
{' No': -0.26831365, 'No': -2.2842953, ' Generally': -3.1280699, ' Yes': -3.6541412, ' It': -3.7626393}
{' Yes': -0.30676308, ' No': -2.1861784, ' Generally': -3.1376479, ' It': -3.4911962, 'Yes': -3.945944}
{' No': -0.38612202, 'No': -2.3771555, ' Bears': -2.7137053, ' Generally': -3.313139, ' Yes': -3.4651089}
{' No': -0.57620865, ' Yes': -1.8820633, ' Bears': -2.3344445, 'No': -2.3383145, ' Generally': -3.6768124}
{' No': -0.3292423, ' Generally': -2.0363934, 'No': -2.717462, ' Yes': -3.32649, ' Bears': -4.4867034}
{' Yes': -0.113814265, ' Generally': -2.9138708, ' No': -4.154771, 'Yes': -4.4230814, ' A': -5.4189925}
{' No': -0.63369596, ' Yes': -2.0406232, ' Generally': -2.186934, ' Bears': -2.2436357, 'No': -2.6549973}
{' Yes': -0.5636434, ' No': -1.4891938, ' Bears': -2.459912, ' Generally': -3.0567062, 'No': -3.2424896}
{' Yes': -0.086145, ' No': -2.6307216, 'Yes': -5.714574, ' Generally': -5.948509, ' ': -6.8087974}
{' Yes': -0.0067061265, 'Yes': -5.7371955, ' Generally': -6.6598864, ' No': -7.3631935, ' yes': -7.6160936}
{' Yes': -0.37036794, ' No': -1.320445, ' Generally': -3.8202102, 'No': -5.3571367, ' Bears': -5.80266}
{' No': -0.41625017, ' Yes': -1.2058829, ' Generally': -4.185713, 'No': -4.3447013, ' Bears': -5.4657}
{' No': -0.11232396, 'No': -2.5171378, ' It': -4.9692574, ' Generally': -5.262196, '\n': -5.655119}
{' No': -0.18002473, 'No': -2.8084157, ' Yes': -3.304458, ' It': -3.6965137, ' Generally': -4.2781615}
{' No': -0.18832275, 'No': -2.672749, ' It': -3.7322166, ' Generally': -3.7611244, ' Yes': -3.9660442}
{' No': -0.14833221, 'No': -2.5696425, ' Yes': -3.6087222, ' Bears': -4.359636, ' Generally': -4.7605968}
{' No': -0.17254378, 'No': -2.1183941, '\n': -3.684802, ' ': -5.0494914, ' A': -5.752992}
{' No': -0.37579706, ' Yes': -2.0965517, 'No': -2.4842699, '\n': -2.852117, ' A': -3.7405183}
{' No': -0.312929, 'No': -2.0398061, '\n': -2.3643682, ' ': -3.7707975, ' Bears': -4.3380857}
{' No': -0.30399203, 'No': -2.0024438, '\n': -2.4141605, ' ': -4.022071, ' Bears': -4.346337}
{' No': -0.026135204, 'No': -3.8875794, ' Yes': -6.4068303, ' It': -6.561766, ' ': -6.997227}
{' No': -0.07873237, ' Yes': -2.9241076, 'No': -4.1512785, ' It': -5.8068204, ' ': -6.8644624}
{' No': -0.06687537, 'No': -3.5214212, ' Yes': -4.369781, ' Bears': -4.8856792, ' It': -5.1668777}
{' No': -0.029792527, 'No': -3.727533, ' Bears': -6.1584544, ' Yes': -6.723409, ' ': -7.1581473}
{' No': -0.372205, 'No': -1.2626717, '\n': -4.2966533, ' ': -4.7543144, ' A': -6.2118635}
{' No': -0.30227983, 'No': -1.5211993, '\n': -4.4211726, ' ': -4.6820097, ' A': -4.812068}
{' No': -0.33368093, 'No': -1.3778285, '\n': -4.296285, ' ': -4.6038156, ' Bears': -5.668102}
{' No': -0.32199705, 'No': -1.4545482, '\n': -4.2785025, ' Bears': -4.3840675, ' ': -4.4823728}
{' No': -0.08005426, 'No': -2.9847727, ' Yes': -5.2048464, ' Generally': -5.395897, ' A': -5.4299192}
