{' Yes': -0.010687537, ' No': -4.721705, 'Yes': -6.4608536, ' Right': -10.454877, 'No': -10.500437}
{' Yes': -0.080229655, ' Your': -2.7317512, 'Yes': -5.2785726, ' No': -5.4570694, ' Y': -7.1114345}
{' No': -0.0053883656, 'No': -5.769386, ' Yes': -6.121689, ' Nope': -10.158281, '\n': -11.654403}
{' Yes': -0.06770832, ' No': -2.8497899, ' Wrong': -4.957797, 'Yes': -7.794261, '\n': -9.565515}
{' Yes': -0.048117016, ' Devil': -3.174782, 'Yes': -6.0840645, ' yes': -7.3592644, ' Devils': -7.602672}
{' Yes': -0.25944936, ' Devil': -1.5565017, ' Devils': -5.385041, ' Dev': -5.9703712, 'Yes': -6.0885673}
{' Yes': -0.00066732994, 'Yes': -7.3648753, ' yes': -11.106379, ' YES': -11.601754, ' Sure': -13.028992}
{' Yes': -0.00061705016, 'Yes': -7.5172734, ' yes': -10.286837, ' No': -11.290468, ' YES': -11.473324}
{' Yes': -0.010970247, ' No': -4.730878, ' Major': -6.8529215, 'Yes': -6.943555, ' yes': -10.74441}
{' Yes': -0.0007313909, 'Yes': -7.351052, ' No': -10.313504, ' Major': -10.554672, ' yes': -11.461885}
{' Yes': -0.7703715, ' No': -1.1603366, ' Worst': -1.5192348, 'Yes': -6.837825, 'No': -6.876853}
{' Yes': -0.48089698, ' Worst': -0.9827757, 'Yes': -6.469205, ' Worse': -6.5368104, ' No': -6.681077}
{' Yes': -0.042998742, ' No': -3.196521, 'Yes': -7.1732836, ' Pound': -8.456048, 'No': -9.78206}
{' Yes': -0.0019027357, 'Yes': -6.912188, ' Pound': -7.7804265, ' No': -8.2371855, ' yes': -9.513158}
{' Yes': -0.0089452015, ' Dirty': -5.230968, 'Yes': -5.8452754, ' Dirt': -8.852942, ' No': -8.932244}
{' Yes': -0.021900697, ' Dirty': -4.2149296, 'Yes': -5.4596825, ' Dirt': -6.285513, ' yes': -8.53426}
{' Yes': -0.0015470566, 'Yes': -6.568632, ' YES': -10.02235, ' yes': -10.1255665, ' Sure': -10.924917}
{' Yes': -0.001887031, 'Yes': -6.383351, ' YES': -9.82917, ' yes': -9.843531, ' Space': -10.326973}
{' Yes': -0.0043636602, 'Yes': -5.920095, ' E': -7.269744, ' YES': -8.0741825, ' erupt': -8.259278}
{' Yes': -0.052341446, ' E': -3.3793085, 'Yes': -5.1215153, ' erupt': -6.1152997, ' Ru': -6.1375537}
{' Yes': -0.0010434575, 'Yes': -6.9243636, ' yes': -10.440667, ' YES': -11.199185, ' Yep': -12.216433}
{' Yes': -0.0029750802, 'Yes': -5.886382, ' yes': -9.573459, ' YES': -10.020095, ' Swamp': -10.169448}
{' Yes': -0.10230895, ' Armor': -2.3739762, 'Yes': -6.5393205, ' Armour': -6.564751, ' No': -7.4479046}
{' Yes': -0.028965415, ' Armor': -3.724594, 'Yes': -6.369883, ' No': -6.496088, ' Armour': -7.3462267}
{' Yes': -0.0015006122, 'Yes': -6.83559, ' Ex': -8.475476, ' Exactly': -8.770368, '\n': -10.759221}
{' Yes': -0.025466824, ' Ex': -4.1454806, ' Exactly': -5.1586223, ' No': -6.198932, 'Yes': -6.82015}
{' Yes': -0.004928472, ' Still': -5.7373595, 'Yes': -6.5804687, ' YES': -9.030839, ' yes': -9.183623}
{' Yes': -0.0062232567, ' Still': -5.383075, 'Yes': -6.5965815, ' YES': -9.316004, ' yes': -9.379253}
{' Yes': -0.005882584, ' Hello': -5.35334, 'Yes': -6.8573365, ' YES': -10.753405, ' yes': -10.870061}
{' Yes': -0.0009790173, 'Yes': -7.3529778, ' Hello': -8.095999, ' YES': -11.368555, ' yes': -11.515371}
{' Yes': -0.0019576168, 'Yes': -6.2970243, ' Sure': -9.717251, ' YES': -10.934923, '\n': -11.16979}
{' Yes': -0.0053109443, 'Yes': -5.480809, ' Sure': -7.4876146, ' Purs': -8.725978, ' YES': -9.366221}
{' Yes': -0.08049662, ' No': -2.8980393, ' Actor': -4.0972524, 'Yes': -5.808189, ' yes': -7.095316}
{' Yes': -0.01631076, ' No': -5.038348, ' Actor': -5.1244307, 'Yes': -5.8983965, ' yes': -7.6867995}
{' Yes': -0.005069246, ' Smoke': -5.838944, 'Yes': -6.303405, ' Sure': -9.278504, ' YES': -9.697812}
{' Yes': -0.006114945, 'Yes': -5.731693, ' Smoke': -6.2714553, ' Sm': -8.302881, ' yes': -8.4474745}
{' No': -0.020988222, ' Yes': -4.376022, ' Nope': -5.497167, 'No': -5.5673976, ' Not': -9.688142}
{' No': -0.38102654, ' Yes': -1.1693128, 'No': -5.737825, ' Nope': -6.4673204, 'Yes': -6.9551797}
{' Yes': -0.92338634, ' False': -1.0670384, ' No': -1.360009, 'Yes': -7.44994, ' Nope': -7.6434336}
{' No': -0.0033738501, ' Yes': -6.0272074, 'No': -7.775525, ' False': -8.0020895, ' Nope': -8.778523}
{' Yes': -0.0027022692, ' Watch': -6.543727, 'Yes': -6.8410883, '\n': -9.805955, ' yes': -10.106883}
{' Yes': -0.0006514658, 'Yes': -7.4977674, ' yes': -10.735793, ' Watch': -10.805308, ' No': -11.054143}
{' Yes': -0.0026729843, 'Yes': -6.1740117, ' Spice': -8.109838, ' Sure': -9.15955, ' yes': -9.694918}
{' Yes': -0.001998768, 'Yes': -6.3588767, ' Sure': -9.403306, ' Spice': -9.514572, ' yes': -10.527118}
{' Yes': -0.0004634878, 'Yes': -7.731367, ' yes': -11.401223, ' YES': -11.633564, '\n': -13.045484}
{' Yes': -0.0007211925, 'Yes': -7.353569, ' yes': -10.471848, '\n': -11.041531, ' YES': -11.087207}
{' Yes': -0.0006340482, 'Yes': -7.519175, ' Crack': -10.30585, ' yes': -10.744632, ' YES': -11.071237}
{' Yes': -0.0007266188, 'Yes': -7.4505153, ' No': -9.723248, ' Crack': -10.377108, ' yes': -10.889227}
{' Yes': -0.11809109, ' Ar': -2.395864, ' Arg': -4.39669, 'Yes': -5.62926, ' Argument': -6.757777}
{' Ar': -0.48512548, ' Yes': -1.0879431, ' Arg': -3.4761207, ' Argument': -4.753708, ' No': -6.0751286}
{' Yes': -0.00053337787, 'Yes': -7.777137, ' Child': -9.522346, ' yes': -11.01394, ' YES': -11.25184}
{' Yes': -0.0006412045, 'Yes': -7.5715213, ' Child': -9.50404, ' YES': -10.843388, ' yes': -10.884344}
{' Yes': -0.008273002, ' Early': -5.4212003, 'Yes': -5.990029, ' Yeah': -8.472027, ' YES': -8.673921}
{' Yes': -0.0041864123, 'Yes': -6.09872, ' Early': -6.8248024, ' Yeah': -9.169211, ' No': -9.284537}
{' Yes': -0.0011184614, 'Yes': -6.8883595, ' No': -10.187159, ' YES': -10.955201, ' yes': -11.087726}
{' Yes': -0.0014822852, 'Yes': -6.729238, ' No': -8.356197, '\n': -11.015955, ' yes': -11.113398}
{' Yes': -0.291852, ' Ocean': -1.4297322, ' No': -4.4821806, 'Yes': -6.4183607, 'Ocean': -8.5465}
{' No': -0.6286559, ' Yes': -1.2513709, ' Ocean': -1.7346207, 'No': -6.342913, ' Nope': -7.271129}
{' Yes': -0.004500522, 'Yes': -6.1218214, ' No': -6.3874, ' Trash': -7.936021, '\n': -9.109574}
{' Yes': -0.004380723, ' No': -6.0391326, 'Yes': -6.433904, ' Trash': -9.109821, ' yes': -9.588991}
{' Yes': -0.0019847325, 'Yes': -6.360722, ' Gross': -9.309308, '\n': -9.758988, ' yes': -9.814815}
{' Yes': -0.0012148975, 'Yes': -6.790799, '\n': -10.569699, ' yes': -10.773919, ' No': -10.809899}
{' Yes': -0.0012451529, 'Yes': -6.8171396, ' Phone': -10.120479, '\n': -10.467769, ' YES': -10.617005}
{' Yes': -0.00094877306, 'Yes': -7.045083, ' YES': -10.942454, '\n': -11.148715, ' Phone': -11.348038}
{' Yes': -0.03442923, ' Guard': -3.530361, 'Yes': -6.322608, ' Guardian': -6.71853, ' No': -7.728017}
{' Yes': -0.020234706, ' Guard': -4.1959586, 'Yes': -6.088178, ' No': -7.0922194, ' Guardian': -7.141492}
{' Yes': -0.004661056, ' Sweet': -6.099868, 'Yes': -6.2466826, ' Swe': -8.945016, ' YES': -9.07688}
{' Yes': -0.002412922, 'Yes': -6.616478, ' Sweet': -7.371517, ' YES': -8.781618, ' yes': -9.150339}
{' Yes': -0.00085206574, 'Yes': -7.109018, ' yes': -11.226894, ' No': -12.024396, ' Grass': -12.082177}
{' Yes': -0.0013145624, 'Yes': -6.7975464, ' No': -9.054924, ' yes': -10.614136, ' Grass': -10.687336}
{' Yes': -0.003551251, 'Yes': -5.849895, ' yes': -8.28423, ' Beard': -8.665751, ' YES': -9.279212}
{' Yes': -0.0031328592, 'Yes': -6.0402193, ' yes': -8.153476, ' Beard': -8.703664, ' YES': -8.910125}
{' Yes': -0.2681576, ' Girls': -1.6039273, ' No': -4.020229, ' G': -4.842316, 'Yes': -5.501101}
{' Yes': -0.017927432, ' Girls': -4.360258, ' No': -5.913864, 'Yes': -6.373871, ' YES': -8.424774}
{' Yes': -0.0013416011, 'Yes': -7.1880703, ' Light': -7.7409554, ' YES': -9.244017, ' yes': -10.750614}
{' Yes': -0.0016378589, 'Yes': -6.7712793, ' Light': -7.9848013, ' YES': -9.210084, ' yes': -10.870752}
{' Yes': -0.0029238483, 'Yes': -6.249124, ' No': -7.2276683, ' Spoon': -9.010824, ' yes': -10.28852}
{' Yes': -0.0034435862, ' No': -6.3493958, 'Yes': -6.4957547, ' Spoon': -10.197136, ' yes': -10.236697}
{' Yes': -0.00078954885, 'Yes': -7.2001166, ' YES': -11.191646, ' yes': -11.541536, ' Lo': -11.785434}
{' Yes': -0.0013290665, 'Yes': -6.744483, ' No': -9.805966, ' Lo': -9.9101515, ' YES': -10.959708}
{' Yes': -0.0009729368, 'Yes': -6.9650836, ' YES': -11.407781, ' yes': -11.451335, '\n': -12.937907}
{' Yes': -0.0019323576, 'Yes': -6.2942886, ' YES': -10.368626, ' yes': -10.568342, ' Plant': -11.493256}
{' Yes': -0.0141718, ' No': -4.722494, ' Seven': -5.8137393, 'Yes': -6.401071, ' yes': -8.749804}
{' Yes': -0.0017050888, 'Yes': -6.7849708, ' Seven': -7.8711395, ' No': -9.765701, ' YES': -9.984478}
{' Yes': -0.0019401221, 'Yes': -6.2914243, ' YES': -10.389479, ' yes': -10.97927, '\n': -11.68708}
{' Yes': -0.0008348247, 'Yes': -7.1313086, ' YES': -11.530578, ' No': -11.810948, '\n': -11.968077}
{' Yes': -0.040692337, ' Rough': -3.2601516, 'Yes': -6.6378427, '\n': -10.223205, ' YES': -10.611447}
{' Yes': -0.10854932, ' Rough': -2.295288, 'Yes': -6.4886355, '\n': -8.733858, ' No': -9.303208}
{' Yes': -0.009047265, 'Yes': -5.3383207, ' Dance': -5.6102815, ' YES': -7.9495125, ' yes': -9.0646}
{' Yes': -0.0031093613, 'Yes': -6.0281754, ' Dance': -8.136124, ' YES': -8.30164, ' yes': -9.560396}
{' Yes': -0.0008465784, 'Yes': -7.181463, ' YES': -10.091376, ' yes': -10.523105, ' Salad': -11.563407}
{' Yes': -0.0009286662, 'Yes': -7.12201, ' YES': -10.169331, ' Salad': -10.312686, ' yes': -10.382883}
{' Yes': -0.0077345488, ' Looks': -5.691725, 'Yes': -5.796392, ' No': -7.1990337, ' YES': -8.367527}
{' Yes': -0.018253474, ' Looks': -4.821754, ' No': -5.2286687, 'Yes': -5.5383964, ' YES': -8.533094}
{' Yes': -0.13723858, ' Store': -2.1996548, ' Sure': -4.1315203, 'Yes': -6.8576074, 'Store': -9.50975}
{' Yes': -0.05713182, ' Store': -3.1851873, ' Sure': -4.3673677, 'Yes': -6.8144784, ' yes': -9.142701}
{' Yes': -0.00138565, 'Yes': -6.7443285, ' Break': -9.190898, ' yes': -10.074798, ' YES': -10.6305895}
{' Yes': -0.0019644855, 'Yes': -6.575645, ' Break': -7.949849, ' yes': -9.720732, ' YES': -9.741098}
{' Yes': -0.0032089183, 'Yes': -6.0937276, ' Parts': -7.30307, ' yes': -9.36211, ' No': -9.4271965}
{' Yes': -0.0031339342, 'Yes': -6.069065, ' No': -7.580799, ' Parts': -8.861935, ' yes': -9.433839}
{' Yes': -0.0024882092, 'Yes': -6.4549985, ' Sure': -8.096044, ' Sh': -8.141248, ' Sho': -9.471675}
{' Yes': -0.006055816, 'Yes': -6.080267, ' Sh': -6.5069427, ' Sure': -6.8950763, ' Sho': -7.546077}
{' Yes': -0.0025392396, 'Yes': -6.371376, ' Sy': -7.288656, ' YES': -9.755264, ' yes': -10.09123}
{' Yes': -0.001409702, 'Yes': -6.6311226, ' yes': -10.474034, ' Sy': -10.541405, ' YES': -10.599241}
{' Yes': -0.00199805, 'Yes': -6.832957, ' Learn': -7.217501, ' YES': -9.506415, ' yes': -9.557769}
{' Yes': -0.0015638313, 'Yes': -6.69942, ' Learn': -8.96032, ' YES': -9.400468, ' yes': -9.577076}
{' Yes': -0.027874548, ' No': -3.6497557, ' Minor': -7.208658, 'Yes': -7.3265557, 'No': -9.955992}
{' Yes': -0.0007583518, 'Yes': -7.410102, ' No': -9.181825, ' yes': -10.385718, ' Minor': -11.678034}
{' Yes': -0.0010145209, 'Yes': -6.9114656, ' YES': -11.912944, ' yes': -11.968675, ' Where': -13.337679}
{' Yes': -0.0018006837, 'Yes': -6.437605, ' Where': -8.776817, '\n': -11.273743, ' YES': -11.279657}
{' Yes': -0.0027641892, 'Yes': -6.358085, ' Arrow': -6.949667, ' yes': -10.419527, ' YES': -11.419762}
{' Yes': -0.0023562217, 'Yes': -6.494284, ' Arrow': -7.2262597, ' yes': -10.07888, ' YES': -10.263742}
{' Yes': -0.0013469711, 'Yes': -6.803238, ' No': -9.252766, ' Chain': -9.29019, ' yes': -10.905764}
{' Yes': -0.00462962, ' Chain': -5.994961, 'Yes': -6.356422, ' No': -8.351892, ' YES': -9.955665}
{' Yes': -0.0010487083, 'Yes': -6.9139876, ' yes': -10.74969, ' Coral': -10.758613, ' YES': -12.299596}
{' Yes': -0.0008986594, 'Yes': -7.046526, ' yes': -11.067284, ' YES': -12.256715, '\n': -13.060781}
{' Yes': -0.013375919, ' Heart': -4.508058, 'Yes': -6.207711, ' YES': -9.412003, '\n': -9.876886}
{' Yes': -0.025230905, ' Heart': -3.7930589, 'Yes': -6.1819077, ' YES': -9.338059, '\n': -9.733364}
{' Yes': -0.00229851, ' Horse': -6.65065, 'Yes': -7.091509, ' Sure': -8.90036, ' YES': -11.578939}
{' Yes': -0.002379523, 'Yes': -6.3814034, ' Horse': -7.4994016, ' Sure': -9.574055, ' YES': -11.1306}
{' Yes': -0.0016918922, 'Yes': -6.9783745, ' No': -7.7207127, ' Right': -8.346174, ' yes': -10.77973}
{' Yes': -0.019426392, ' Right': -4.113304, 'Yes': -6.578679, ' No': -6.934427, ' YES': -9.589115}
{' Yes': -0.0012081532, 'Yes': -7.033589, ' Pizza': -8.626359, ' YES': -10.008957, ' yes': -10.024607}
{' Yes': -0.0012587606, 'Yes': -6.9645686, ' Pizza': -8.963457, ' YES': -9.819073, ' No': -9.968868}
{' Yes': -0.005146949, 'Yes': -5.4882326, ' Snake': -7.176755, ' YES': -9.421663, ' yes': -9.503106}
{' Yes': -0.012122163, ' Snake': -5.0262804, 'Yes': -5.4694905, ' Sn': -7.404631, ' YES': -8.408663}
{' Yes': -0.0018434965, 'Yes': -6.6873326, ' Yeah': -8.871732, ' Laugh': -9.010976, ' Yep': -9.429934}
{' Yes': -0.0025543578, 'Yes': -6.79423, ' Laugh': -7.1535115, ' Yeah': -8.269213, ' YES': -9.188301}
{' Yes': -0.0017696341, 'Yes': -6.505014, ' Queen': -9.402672, ' yes': -9.425907, ' No': -9.94622}
{' Yes': -0.0023178067, 'Yes': -6.6281147, ' No': -7.2561097, ' Queen': -9.047416, ' yes': -9.31226}
{' Yes': -0.002309263, ' No': -6.5046782, 'Yes': -7.173133, ' Sure': -11.444201, ' yes': -11.709979}
{' Yes': -0.0018008021, 'Yes': -6.954388, ' Sure': -7.386776, ' YES': -9.75966, ' yes': -10.17333}
{' Yes': -0.0047851433, 'Yes': -5.9717913, ' Plane': -6.194215, ' yes': -9.556432, ' YES': -10.145974}
{' Yes': -0.02594996, ' Plane': -3.7450619, 'Yes': -6.3932824, ' yes': -9.498769, ' YES': -9.773863}
{' Yes': -0.04316122, ' Found': -3.2723348, 'Yes': -6.623564, ' F': -7.0910835, ' Sound': -8.129983}
{' Yes': -0.054000136, ' Found': -3.2126172, ' F': -5.372901, 'Yes': -6.311479, ' Y': -6.9594526}
{' Yes': -0.00052437244, 'Yes': -7.6781783, ' yes': -10.021545, ' YES': -11.748209, ' Uncle': -12.63654}
{' Yes': -0.0037240798, ' Uncle': -6.273909, 'Yes': -6.7142262, ' No': -8.196166, ' yes': -9.331119}
{' Yes': -0.0012816186, 'Yes': -6.7144027, ' yes': -10.518406, ' YES': -11.08266, ' Sure': -11.749474}
{' Yes': -0.0019392848, 'Yes': -6.4312277, ' Stamp': -9.850288, ' YES': -9.872726, ' Yep': -10.031886}
{' Yes': -0.0022667854, 'Yes': -6.688691, ' Sleep': -7.3194203, ' yes': -8.771661, ' YES': -9.569221}
{' Yes': -0.0020684693, 'Yes': -6.7304296, ' Sleep': -7.7106442, ' yes': -8.664474, ' YES': -8.998657}
{' Yes': -0.0017069989, 'Yes': -6.557634, ' No': -8.292272, ' yes': -10.877716, ' YES': -11.598474}
{' Yes': -0.0017003721, 'Yes': -6.68722, ' Close': -7.977217, ' YES': -10.252258, ' yes': -10.3874855}
{' Yes': -0.003975682, 'Yes': -5.8360047, ' Te': -7.2067475, ' YES': -9.223688, ' yes': -9.868245}
{' Yes': -0.046550978, ' Te': -3.3341923, ' Tooth': -5.24667, 'Yes': -5.9476366, ' teeth': -7.596546}
{' Yes': -0.0004441657, 'Yes': -7.7443385, ' yes': -12.175079, ' YES': -13.06035, ' Sure': -13.445499}
{' Yes': -0.00046885313, 'Yes': -7.7802978, ' Sure': -10.369647, ' yes': -12.20644, ' YES': -12.369657}
{' Yes': -0.0016300399, 'Yes': -6.57423, ' yes': -9.44318, ' YES': -9.7244425, ' Drunk': -10.597975}
{' Yes': -0.002380241, 'Yes': -6.2596464, ' yes': -9.227131, ' Drunk': -9.484683, ' Y': -9.667569}
{' No': -0.08703376, ' Yes': -2.498197, 'No': -6.8927054, 'Yes': -9.619714, '\n': -11.144025}
{' Yes': -0.0472196, ' No': -3.092002, 'Yes': -7.5279245, 'No': -9.827551, '\n': -10.408786}
{' Yes': -0.0007077107, 'Yes': -7.3218226, ' yes': -10.702549, ' YES': -11.097292, ' Word': -12.578357}
{' Yes': -0.0038275865, ' Word': -6.444394, ' World': -6.9094157, 'Yes': -6.9566164, ' yes': -8.9624815}
{' Yes': -0.001133738, 'Yes': -6.972115, ' yes': -9.888547, ' Absolutely': -10.498946, ' YES': -10.613723}
{' Yes': -0.00081120164, 'Yes': -7.554064, ' No': -8.825586, ' yes': -10.374391, ' Sure': -10.478985}
{' Yes': -0.008149686, ' Woman': -4.9801326, 'Yes': -6.8947186, ' yes': -9.730781, ' YES': -9.812741}
{' Yes': -0.0010648776, 'Yes': -7.5145955, ' Woman': -7.6687818, ' YES': -10.713475, ' yes': -11.073694}
{' Yes': -0.0050704456, ' Party': -5.6450653, 'Yes': -6.6384335, ' yes': -9.855253, ' YES': -9.877192}
{' Yes': -0.007350855, ' Party': -5.559198, 'Yes': -6.1634574, ' Yep': -7.329416, ' No': -8.694899}
{' Yes': -0.0007006726, 'Yes': -7.3208833, ' yes': -10.571611, ' YES': -11.779517, 'yes': -13.260435}
{' Yes': -0.0008085771, 'Yes': -7.1753826, ' yes': -10.475689, ' YES': -11.628121, 'yes': -12.768055}
{' Yes': -0.0011458521, 'Yes': -6.811818, ' YES': -11.110371, ' yes': -11.254763, 'yes': -12.525611}
{' Yes': -0.0031401536, 'Yes': -6.3308682, ' Shoes': -6.76165, ' YES': -9.626673, ' yes': -9.908276}
{' Yes': -0.0011827908, 'Yes': -6.799667, ' yes': -10.626112, ' YES': -11.17801, '\n': -11.784294}
{' Yes': -0.0010858246, 'Yes': -6.967249, ' Ghost': -9.904503, ' No': -9.9475765, ' yes': -10.727833}
{' Yes': -0.0006252821, 'Yes': -7.493927, ' Shirt': -10.904192, ' yes': -11.021264, ' YES': -11.123887}
{' Yes': -0.001392692, 'Yes': -6.9982657, ' Shirt': -7.845964, ' YES': -10.553235, ' yes': -10.839463}
{' Yes': -0.0032235684, 'Yes': -5.9659247, ' Pants': -7.7299037, ' No': -9.168589, ' yes': -10.031927}
{' Yes': -0.0035324695, 'Yes': -6.0068946, ' Pants': -7.064407, ' No': -9.522596, ' YES': -9.945462}
{' Yes': -0.012406668, ' Board': -4.6707144, 'Yes': -6.1139765, ' yes': -7.9063897, ' B': -9.4429655}
{' Yes': -0.008564227, ' Board': -5.2463017, 'Yes': -5.9745083, ' yes': -8.052633, ' B': -9.113957}
{' Yes': -0.005436609, 'Yes': -5.992808, ' Leave': -6.2854233, ' yes': -8.032181, ' YES': -8.683119}
{' Yes': -0.005529025, 'Yes': -6.1624746, ' Leave': -6.212902, ' Le': -7.8721943, ' yes': -8.242987}
{' Yes': -0.0017071172, 'Yes': -6.5715275, ' yes': -9.639548, ' Sure': -9.704674, ' Yep': -9.772743}
{' Yes': -0.0049116393, ' There': -6.066555, 'Yes': -6.164028, ' The': -9.451379, ' yes': -9.480663}
{' Yes': -0.005311424, 'Yes': -5.9378467, ' No': -6.2471766, ' yes': -8.113226, ' Sn': -8.993598}
{' Yes': -0.049654774, ' No': -3.1400802, 'Yes': -6.0309124, ' Sn': -6.516583, ' yes': -7.6774974}
{' Yes': -0.016032415, ' Bride': -4.3117685, 'Yes': -6.810805, ' Bridge': -7.112075, ' No': -8.773882}
{' Yes': -0.009623632, ' Bride': -5.313229, ' Bridge': -5.784198, 'Yes': -6.781457, ' yes': -9.069254}
{' Yes': -0.00060369127, 'Yes': -7.460612, ' yes': -10.73079, ' YES': -12.660138, 'yes': -13.474442}
{' Yes': -0.0008382263, 'Yes': -7.421382, ' Throw': -9.371392, ' yes': -9.862359, ' No': -10.278326}
{' Yes': -0.0009349317, 'Yes': -7.067133, ' YES': -10.761541, ' yes': -10.7753935, ' Women': -11.45638}
{' Yes': -0.0013078774, 'Yes': -7.218959, ' Women': -8.070056, ' YES': -9.456796, ' Yep': -9.996544}
{' Yes': -0.009849938, 'Yes': -5.3895144, ' Ank': -6.1811085, ' yes': -7.0522656, ' No': -7.303451}
{' Yes': -0.015579154, ' No': -4.669994, 'Yes': -5.6178374, ' Y': -7.634031, ' yes': -7.644973}
{' Yes': -0.22527501, ' No': -1.6191083, ' Nope': -6.3494925, 'Yes': -7.0873456, ' Lo': -8.165973}
{' Yes': -0.004133982, ' No': -6.083172, 'Yes': -7.0139165, ' Lo': -8.112475, ' Los': -8.268091}
{' Yes': -0.00060452666, 'Yes': -7.4985003, ' YES': -10.90612, ' yes': -11.237023, ' No': -11.621601}
{' Yes': -0.00090163964, ' No': -7.7318816, 'Yes': -7.76554, ' YES': -11.044604, ' yes': -11.3871355}
{' Yes': -0.00093803304, 'Yes': -7.184054, ' Sure': -9.626724, ' Shark': -9.816972, ' yes': -10.772329}
{' Yes': -0.0010823027, 'Yes': -7.2181635, ' Shark': -8.292293, ' Sure': -10.002793, ' yes': -10.879856}
{' Yes': -0.001290868, 'Yes': -6.931327, ' Lemon': -8.939254, ' yes': -9.481902, ' YES': -10.4239645}
{' Yes': -0.0013095491, 'Yes': -6.887807, ' Lemon': -8.605542, ' yes': -10.019702, ' YES': -10.548592}
{' Yes': -0.0038145431, ' No': -6.6196437, 'Yes': -6.7274394, ' Tight': -6.748061, ' yes': -11.028062}
{' Yes': -0.04872056, ' No': -3.1231835, ' Nope': -6.61295, 'Yes': -6.7979436, ' Tight': -7.262933}
{' Yes': -0.022177514, ' No': -3.899659, 'Yes': -6.856837, ' Below': -7.602026, 'No': -10.150299}
{' Yes': -0.0034652392, ' Below': -6.459928, 'Yes': -6.9233737, ' No': -7.189994, ' yes': -9.952438}
{' Yes': -0.003949593, ' Sm': -6.3323374, 'Yes': -6.664042, ' Spell': -7.7171807, ' YES': -9.0381365}
{' Yes': -0.0029967797, 'Yes': -6.616434, ' Sm': -7.3883276, ' Spell': -7.7525163, ' YES': -8.653202}
{' Yes': -0.047718734, ' Your': -3.3680577, 'Yes': -5.0163474, ' No': -6.3473296, ' Y': -6.5913997}
{' Yes': -0.023140596, ' Your': -4.579288, 'Yes': -5.0356174, ' No': -5.9279695, ' Y': -6.9351206}
{' No': -0.037354782, ' Yes': -3.3749247, 'No': -6.1046457, ' Nope': -8.976281, 'Yes': -9.560666}
{' Yes': -0.07746929, ' Wrong': -2.7767947, ' No': -4.4430795, 'Yes': -7.79318, ' ': -10.460839}
{' Yes': -0.017822154, ' Devil': -4.4188423, 'Yes': -5.83228, ' yes': -6.8612924, ' YES': -8.034864}
{' Yes': -0.5063997, ' Devil': -1.0184273, ' Devils': -4.7488084, ' Dev': -5.344092, ' De': -5.77469}
{' Yes': -0.000588304, 'Yes': -7.5028925, ' yes': -10.954379, ' YES': -11.787032, ' Sure': -12.186331}
{' Yes': -0.00067031296, 'Yes': -7.4674687, ' yes': -10.183263, ' Sure': -10.727223, ' YES': -11.360147}
{' Yes': -0.0013630259, 'Yes': -6.9663677, ' No': -7.9341693, ' yes': -10.49079, ' Major': -11.261321}
{' Yes': -0.0010151188, 'Yes': -7.3319793, ' Major': -8.625916, ' No': -8.963774, ' yes': -10.667856}
{' Yes': -0.11615708, ' No': -2.2711787, ' Worst': -5.3985877, 'Yes': -6.630851, 'No': -8.024287}
{' Worst': -0.2495308, ' Yes': -1.5407295, ' Worse': -6.407303, ' No': -6.9323654, ' Wor': -7.09406}
{' Yes': -0.004404132, ' No': -5.7604256, 'Yes': -7.0530906, ' Pound': -8.728252, ' yes': -9.525442}
{' Yes': -0.0008943633, 'Yes': -7.320232, ' No': -9.5376005, ' yes': -10.116404, ' YES': -10.551642}
{' Yes': -0.0017736318, 'Yes': -6.4488807, ' yes': -9.940979, ' YES': -10.30984, ' Yep': -10.535683}
{' Yes': -0.09989045, ' Dirty': -2.602719, ' Dirt': -4.363496, 'Yes': -5.437275, ' D': -6.57004}
{' Yes': -0.0017905312, 'Yes': -6.415429, ' YES': -9.927388, ' yes': -10.087476, ' Sure': -10.55763}
{' Yes': -0.0019478265, 'Yes': -6.3607006, ' yes': -9.653053, ' YES': -9.790644, ' Space': -10.194352}
{' Yes': -0.0047453167, 'Yes': -5.8229423, ' E': -7.187268, ' erupt': -8.422733, ' yes': -8.466335}
{' Yes': -0.23110883, ' E': -2.7556393, ' Inter': -3.1725776, 'rupt': -3.687705, ' erupt': -3.835225}
{' Yes': -0.00102711, 'Yes': -6.9266458, ' yes': -10.396687, ' YES': -12.187582, ' Yep': -12.393142}
{' Yes': -0.001949378, 'Yes': -6.315305, ' yes': -9.658207, ' YES': -10.6543, ' Yep': -11.138012}
{' Yes': -0.2099589, ' Armor': -1.715206, ' Armour': -5.1988106, 'Yes': -6.438446, ' Arm': -7.717053}
{' Yes': -0.004535129, ' Armor': -5.8033056, 'Yes': -6.8943434, ' No': -8.457008, ' yes': -9.201373}
{' Yes': -0.0011506272, 'Yes': -6.839641, ' Ex': -10.827148, ' Exactly': -11.053295, ' yes': -11.081266}
{' Yes': -0.034479324, ' Ex': -3.5201056, ' Exactly': -6.3075595, 'Yes': -6.651302, ' No': -7.260036}
{' Yes': -0.0040153624, ' Still': -6.364668, 'Yes': -6.4137287, ' YES': -8.522066, ' yes': -8.569016}
{' Yes': -0.0029480583, 'Yes': -6.491969, ' Still': -6.765666, ' yes': -9.124973, ' YES': -9.496627}
