{' No': -0.032526918, ' Yes': -3.841517, 'No': -4.6175275, '\n': -8.260648, 'Yes': -9.013032}
{' No': -0.08911052, ' Yes': -2.4739656, 'No': -7.229661, '\n': -9.134328, 'Yes': -9.672395}
{' No': -0.0009899978, 'No': -7.6643953, ' Yes': -7.8209395, '\n': -10.214928, ' ': -10.37224}
{' No': -0.0024074852, 'No': -6.5594807, ' Yes': -7.142216, '\n': -9.740365, ' The': -9.9472275}
{' No': -0.025995716, ' Yes': -3.8621924, 'No': -5.5072117, '\n': -8.474743, ' The': -9.171513}
{' No': -0.0026099943, 'No': -6.0919805, ' Yes': -8.7922535, '\n': -9.414673, ' ': -9.762987}
{' No': -0.015346405, ' Yes': -4.2660446, 'No': -7.1557517, '\n': -8.347285, ' ': -9.503396}
{' No': -0.6822029, ' Yes': -0.7079674, 'No': -7.4982557, '\n': -7.662856, 'Yes': -7.7725396}
{' Yes': -0.0024445865, ' No': -6.4312468, 'Yes': -7.5976453, ' yes': -8.43661, '\n': -9.881833}
{' No': -0.21056393, ' Yes': -1.6694529, 'No': -7.278746, '\n': -7.8269496, 'Yes': -8.692139}
{' No': -0.5411114, ' Yes': -0.8746723, 'No': -8.169319, '\n': -8.315967, 'Yes': -8.706318}
{' No': -0.0074422453, ' Yes': -5.0125284, 'No': -7.404891, '\n': -9.435069, ' ': -10.387822}
{' No': -0.66780937, ' Yes': -0.7249402, 'No': -6.9718614, '\n': -7.176865, 'Yes': -7.4007306}
{' No': -0.3085049, ' Yes': -1.3328637, 'No': -7.1464825, '\n': -7.768193, 'Yes': -8.129932}
{' No': -0.6166446, ' Yes': -0.78196794, 'No': -6.792695, 'Yes': -7.3273706, '\n': -7.50034}
{' No': -0.028278707, ' Yes': -3.676201, 'No': -6.4013886, '\n': -7.362232, ' ': -9.132969}
{' No': -0.026150377, ' Yes': -3.7329106, 'No': -6.4379163, '\n': -8.977463, ' ': -9.9555}
{' No': -0.024370361, ' Yes': -3.7955456, 'No': -6.698316, '\n': -8.31084, ' ': -10.180413}
{' No': -0.019739242, ' Yes': -4.0306015, 'No': -6.7929597, '\n': -7.572143, ' ': -9.712181}
{' No': -0.0009759198, 'No': -7.332864, ' Yes': -8.400132, '\n': -10.609891, ' The': -10.659478}
{' No': -0.03638668, ' Yes': -3.4103222, 'No': -6.2474723, '\n': -7.6957135, ' ': -8.697169}
{' No': -0.010008321, ' Yes': -4.734261, 'No': -7.1689854, '\n': -8.375511, ' ': -9.68528}
{' No': -0.0520105, ' Yes': -3.0059252, 'No': -7.2032743, '\n': -8.808091, ' The': -9.006375}
{' No': -0.056086626, ' Yes': -2.9304016, 'No': -7.2084527, '\n': -8.5295725, ' The': -9.481837}
{' No': -0.021176996, ' Yes': -3.914472, 'No': -7.1835666, '\n': -9.360971, ' no': -9.997617}
{' No': -0.025628252, ' Yes': -3.7144365, 'No': -7.1144166, '\n': -10.407871, ' ': -10.494108}
{' No': -0.008046813, ' Yes': -5.030981, 'No': -6.672338, '\n': -9.365541, ' The': -9.813722}
{' No': -0.09873767, ' Yes': -2.3808308, 'No': -6.8650107, '\n': -8.426305, 'Yes': -8.905296}
{' No': -0.010357629, ' Yes': -4.716393, 'No': -6.849369, '\n': -8.802765, ' ': -9.124685}
{' No': -0.03489129, ' Yes': -3.4313984, 'No': -6.642217, '\n': -7.673847, ' ': -9.415048}
{' Yes': -0.5405192, ' No': -0.8766512, 'Yes': -7.786628, 'No': -7.95828, '\n': -8.378108}
{' No': -0.03890939, ' Yes': -3.3075535, 'No': -6.6736574, '\n': -8.916511, ' ': -9.743384}
{' No': -0.1882041, ' Yes': -1.781071, 'No': -6.197151, '\n': -7.8856983, 'Yes': -7.9941325}
{' No': -0.0043432447, ' Yes': -6.0184, 'No': -6.4101467, '\n': -8.86274, ' ': -10.101219}
{' No': -0.66966677, ' Yes': -0.7195936, 'No': -7.983778, 'Yes': -8.050835, ' yes': -8.562048}
{' No': -0.0021918763, ' Yes': -6.929918, 'No': -7.013061, '\n': -8.957289, ' no': -9.574173}
{' No': -0.047503825, ' Yes': -3.1071026, 'No': -6.826047, '\n': -8.059176, ' The': -9.40492}
{' No': -0.06628753, ' Yes': -2.7711196, 'No': -6.826577, '\n': -8.454217, ' ': -9.082662}
{' No': -0.0053329957, ' Yes': -5.511709, 'No': -6.8123837, '\n': -9.780288, ' The': -9.959472}
{' No': -0.0026159105, 'No': -6.4809675, ' Yes': -7.1436567, '\n': -8.625245, ' ': -9.639152}
{' Yes': -0.017515425, ' No': -4.093792, 'Yes': -7.9554725, ' yes': -8.581009, ' The': -9.992408}
{' No': -0.6298336, ' Yes': -0.7630238, 'No': -7.753326, 'Yes': -8.152376, '\n': -9.085554}
{' Yes': -0.6603339, ' No': -0.73107946, '\n': -7.3786693, 'No': -7.7133527, 'Yes': -8.029385}
{' No': -0.008733951, ' Yes': -4.9713345, 'No': -6.6434093, '\n': -8.19302, ' ': -9.204958}
{' No': -0.007915053, ' Yes': -4.946695, 'No': -7.4588804, '\n': -9.000108, ' ': -10.236608}
{' No': -0.0071531474, ' Yes': -5.1219563, 'No': -6.870669, ' ': -10.001966, '\n': -10.129706}
{' No': -0.4218844, ' Yes': -1.0772359, '\n': -6.5939612, 'No': -6.8314605, 'Yes': -7.366712}
{' No': -0.03110853, ' Yes': -3.5471528, 'No': -6.6867857, '\n': -8.058183, ' The': -9.436757}
{' No': -0.007982221, ' Yes': -4.976049, 'No': -7.1415763, '\n': -8.961107, ' ': -9.855865}
{' No': -0.009039505, ' Yes': -4.7988744, 'No': -7.491232, '\n': -9.248413, ' ': -9.982918}
{' Yes': -0.05723444, ' No': -2.9079878, 'Yes': -7.6555676, ' yes': -8.095985, '\n': -9.076836}
{' No': -0.04629455, ' Yes': -3.1280317, 'No': -6.853673, '\n': -8.84241, ' ': -9.047397}
{' No': -0.15066251, ' Yes': -1.976064, 'No': -6.977555, 'Yes': -9.127697, ' ': -9.326052}
{' No': -0.18230624, ' Yes': -1.8000696, 'No': -7.173223, '\n': -8.235324, ' ': -9.036463}
{' No': -0.19807543, ' Yes': -1.7301341, 'No': -6.5652375, '\n': -7.5729055, 'Yes': -8.358763}
{' No': -0.0039901673, 'No': -5.9885936, ' Yes': -6.6868725, '\n': -9.016876, ' ': -9.98429}
{' No': -0.2451211, ' Yes': -1.5356256, 'No': -6.7197876, ' ': -8.468853, 'Yes': -8.512724}
{' No': -0.04027562, ' Yes': -3.2718446, 'No': -6.8736644, '\n': -8.067027, ' ': -9.206329}
{' No': -0.019902, ' Yes': -4.0315156, 'No': -6.329081, '\n': -9.778125, ' ': -10.035228}
{' No': -0.0157952, ' Yes': -4.2344956, 'No': -6.8773007, '\n': -9.76969, ' ': -10.429806}
{' Yes': -0.6834128, ' No': -0.70612925, 'No': -7.621487, 'Yes': -8.018808, '\n': -8.424154}
{' No': -0.16862212, ' Yes': -1.8697729, 'No': -7.5585604, '\n': -8.824775, ' ': -9.333034}
{' Yes': -0.21004206, ' No': -1.6709567, 'Yes': -7.821877, '\n': -8.29197, ' The': -8.510087}
{' No': -0.15039055, ' Yes': -1.9861144, 'No': -6.8487563, '\n': -7.2646217, ' The': -8.615835}
{' Yes': -0.13857287, ' No': -2.0515826, 'Yes': -7.9527316, ' yes': -8.863525, ' The': -9.1068325}
{' Yes': -0.0012219354, ' No': -7.2032933, 'Yes': -7.8622193, ' yes': -9.997439, '\n': -10.593221}
{' No': -0.13123526, ' Yes': -2.1348953, 'No': -5.6276317, '\n': -7.595516, 'Yes': -8.011444}
{' No': -0.026689244, ' Yes': -3.9479918, 'No': -5.061826, '\n': -8.287652, ' The': -8.601998}
{' No': -0.027999954, ' Yes': -3.9813633, 'No': -4.8546352, ' The': -7.5329885, '\n': -8.8019495}
{' No': -0.0069308113, 'No': -5.1202173, ' Yes': -7.1437387, ' The': -9.577271, ' ': -10.747214}
{' Yes': -0.013252394, ' No': -4.6357327, 'Yes': -5.9941707, '\n': -8.066321, ' yes': -8.075315}
{' Yes': -0.40165398, ' No': -1.1168678, 'Yes': -6.4331784, 'No': -6.9590077, '\n': -8.022471}
{' No': -0.005470769, 'No': -5.5222726, ' Yes': -6.783211, ' The': -9.295759, ' Unfortunately': -9.494279}
{' No': -0.1515241, ' Yes': -1.9860197, 'No': -6.078873, ' The': -8.068842, 'Yes': -8.134613}
{' No': -0.07746497, ' Yes': -2.7419527, 'No': -4.706131, 'Yes': -7.9575896, '\n': -7.975067}
{' No': -0.03135715, ' Yes': -3.6293948, 'No': -5.507971, ' The': -9.211779, 'Yes': -9.537754}
{' No': -0.01759416, ' Yes': -4.7151513, 'No': -4.813227, '\n': -8.66256, ' ': -9.647483}
{' No': -0.16315429, ' Yes': -1.9403301, 'No': -5.3454623, ' The': -6.834346, 'Yes': -7.6355314}
{' No': -0.15442783, ' Yes': -1.9707291, 'No': -5.9818373, ' The': -7.694487, 'Yes': -7.939154}
{' No': -0.10282542, ' Yes': -2.3610785, 'No': -6.0262256, ' The': -7.833923, 'Yes': -8.385501}
{' Yes': -0.061958496, ' No': -2.8486652, 'Yes': -6.674757, ' yes': -8.065933, '\n': -8.695208}
{' No': -0.015306461, ' Yes': -4.390241, 'No': -6.0522475, ' The': -8.767426, '\n': -9.124208}
{' No': -0.01889136, ' Yes': -4.23326, 'No': -5.5768194, '\n': -8.91034, ' no': -9.285268}
{' No': -0.010964103, ' Yes': -4.7777257, 'No': -6.1566834, '\n': -8.820318, ' ': -9.672493}
{' Yes': -0.3366869, ' No': -1.2714651, 'Yes': -6.3775554, 'No': -6.404504, ' The': -6.8621173}
{' No': -0.016350508, ' Yes': -4.7382836, 'No': -4.9509397, ' The': -8.769541, '\n': -9.255526}
{' Yes': -0.45812464, ' No': -1.0086733, 'Yes': -6.9930687, 'No': -7.163948, '\n': -7.763992}
{' No': -0.6177115, ' Yes': -0.78070974, 'No': -6.631835, 'Yes': -7.2739687, '\n': -8.013658}
{' Yes': -0.009560083, ' No': -4.9792714, 'Yes': -6.0357685, ' yes': -8.957079, '\n': -9.985437}
{' No': -0.005861124, ' Yes': -5.8269396, 'No': -5.879474, ' The': -9.960952, ' ': -11.358633}
{' No': -0.0354478, ' Yes': -3.5579925, 'No': -5.4075656, '\n': -6.9648905, ' The': -7.657502}
{' No': -0.067248054, ' Yes': -2.840821, 'No': -5.3676972, ' The': -7.204888, '\n': -7.3041444}
{' Yes': -0.11881296, ' No': -2.2357943, 'Yes': -5.9755135, '\n': -6.56794, 'No': -7.4484005}
{' No': -0.20344415, ' Yes': -1.7290217, 'No': -5.3486047, 'Yes': -7.4473786, '\n': -7.5242124}
{' No': -0.2762338, ' Yes': -1.4324533, 'No': -6.6706805, ' The': -7.299709, 'Yes': -8.035589}
{' No': -0.005098422, 'No': -5.6984572, ' Yes': -6.685615, '\n': -8.60316, ' ': -9.050955}
{' No': -0.13751431, ' Yes': -2.0994303, 'No': -5.6466174, '\n': -6.543529, 'Yes': -7.9357834}
{' No': -0.009517837, ' Yes': -5.082142, 'No': -5.8087387, '\n': -9.386734, ' The': -9.651785}
{' Yes': -0.0019201156, 'Yes': -6.510201, ' yes': -8.583314, ' No': -8.822033, ' The': -10.176669}
{' Yes': -0.571694, ' No': -0.8387284, 'No': -6.569111, 'Yes': -6.968716, ' The': -7.9773674}
{' No': -0.039343953, ' Yes': -3.385291, 'No': -5.589394, '\n': -7.8401766, ' The': -8.450353}
{' No': -0.0047152527, 'No': -5.4193172, ' Yes': -8.727701, '\n': -10.244753, ' The': -10.513275}
{' No': -0.076826334, ' Yes': -2.6614668, 'No': -5.6482186, 'Yes': -8.579485, ' ': -8.719181}
{' Yes': -0.08797491, ' No': -2.5281565, 'Yes': -5.7499256, 'No': -7.4549255, ' The': -8.264479}
{' Yes': -0.0031350108, 'Yes': -6.2833967, ' No': -6.948907, ' yes': -8.507943, ' The': -10.204282}
{' No': -0.010239533, 'No': -5.0565896, ' Yes': -5.721257, ' ': -8.724359, '\n': -9.009309}
{' No': -0.018638527, ' Yes': -4.5494685, 'No': -4.8835387, '\n': -9.1604185, ' The': -9.773579}
{' No': -0.030557264, ' Yes': -3.681377, 'No': -5.413324, ' The': -8.632638, 'Yes': -9.389216}
{' No': -0.25943044, ' Yes': -1.489634, 'No': -6.2733545, 'Yes': -7.3654466, '\n': -8.395006}
{' No': -0.24301435, ' Yes': -1.552972, 'No': -6.088168, 'Yes': -7.203555, ' The': -7.6098466}
{' No': -0.011129414, ' Yes': -5.185213, 'No': -5.288713, ' The': -8.517851, '\n': -9.33766}
{' No': -0.00764337, 'No': -4.969252, ' Yes': -7.8721943, ' The': -9.336151, '\n': -9.413132}
{' Yes': -0.0035689585, 'Yes': -6.1315975, ' No': -7.295309, ' yes': -8.094988, '\n': -8.169251}
{' No': -0.35396883, ' Yes': -1.2275327, 'No': -5.778912, 'Yes': -7.263446, '\n': -7.4483495}
{' No': -0.042892534, ' Yes': -3.235401, 'No': -6.304376, '\n': -7.9925494, ' The': -8.603431}
{' No': -0.18182443, ' Yes': -1.8044382, 'No': -6.939287, 'Yes': -8.080805, ' The': -8.125042}
{' No': -0.10265103, ' Yes': -2.3867352, 'No': -5.499692, '\n': -7.6720376, ' The': -7.886512}
{' No': -0.010725674, ' Yes': -4.974917, 'No': -5.6647167, '\n': -9.550013, ' The': -9.755783}
{' No': -0.19315535, ' Yes': -1.760395, 'No': -6.545154, ' The': -7.513162, '\n': -7.57126}
{' No': -0.024492394, ' Yes': -3.833189, 'No': -6.149664, ' The': -9.086811, '\n': -9.089933}
{' No': -0.5683286, ' Yes': -0.8431185, 'No': -6.3805857, 'Yes': -7.1583, ' The': -8.481185}
{' No': -0.0123853665, ' Yes': -4.707972, 'No': -5.8970532, ' The': -8.307502, '\n': -8.673007}
{' No': -0.016894544, ' Yes': -4.382083, 'No': -5.652018, ' The': -7.744336, '\n': -9.389569}
{' No': -0.017837627, ' Yes': -4.279129, 'No': -5.6859584, ' The': -8.167284, '\n': -10.117701}
{' No': -0.15325613, ' Yes': -1.9750638, 'No': -6.073434, '\n': -8.054895, 'Yes': -8.18415}
{' No': -0.06313859, ' Yes': -2.8390234, 'No': -6.1927443, '\n': -8.246976, ' ': -8.928767}
{' No': -0.02930839, ' Yes': -3.6558952, 'No': -6.0567656, ' The': -8.154268, '\n': -8.552929}
{' No': -0.027358012, ' Yes': -3.7446637, 'No': -5.8227925, '\n': -9.150074, ' The': -9.262516}
{' No': -0.10819161, ' Yes': -2.313825, 'No': -5.7820916, 'Yes': -8.292256, '\n': -9.080792}
{' No': -0.37217516, ' Yes': -1.1795025, 'No': -6.2752204, 'Yes': -7.339088, ' The': -7.9114585}
{' No': -0.079272985, ' Yes': -2.6148639, 'No': -6.184585, '\n': -7.869007, ' The': -8.2893915}
{' No': -0.021318065, ' Yes': -4.0643287, 'No': -5.746873, '\n': -8.126817, ' The': -8.9763}
{' No': -0.2475561, ' Yes': -1.5301087, 'No': -6.2696314, 'Yes': -8.052043, ' The': -8.511979}
{' No': -0.04290703, ' Yes': -3.2734823, 'No': -5.7494802, ' The': -8.119559, '\n': -8.377689}
{' No': -0.27987888, ' Yes': -1.4173604, 'No': -6.774053, 'Yes': -8.135454, ' The': -9.103712}
{' No': -0.03764365, ' Yes': -3.377821, 'No': -6.0352573, '\n': -8.82996, ' The': -8.945412}
{' Yes': -0.23597829, ' No': -1.5836496, 'Yes': -6.249646, '\n': -6.910516, 'No': -7.0708933}
{' Yes': -0.41576937, ' No': -1.0917128, 'Yes': -6.6430087, 'No': -6.8503375, '\n': -6.867116}
{' No': -0.020939894, ' Yes': -4.2074175, 'No': -5.223115, '\n': -8.709704, ' ': -9.106613}
{' No': -0.1029522, ' Yes': -2.4020646, 'No': -5.10625, ' The': -7.9479322, 'Yes': -8.002746}
{' No': -0.004776279, 'No': -5.397316, ' Yes': -9.560638, ' ': -10.00444, '\n': -10.141611}
{' No': -0.006404583, 'No': -5.207832, ' Yes': -7.6557817, '\n': -8.45078, ' ': -9.055608}
{' No': -0.1602464, ' Yes': -1.9613729, 'No': -5.17578, '\n': -7.240673, 'Yes': -7.4497166}
{' No': -0.061003733, ' Yes': -2.9287558, 'No': -5.381789, ' The': -7.79817, '\n': -7.991783}
{' No': -0.015220278, ' Yes': -4.573957, 'No': -5.454988, ' The': -8.477586, '\n': -9.351481}
{' No': -0.0863591, ' Yes': -2.5415611, 'No': -5.9989176, '\n': -7.358072, ' The': -7.6680636}
{' No': -0.01587217, ' Yes': -4.6658735, 'No': -5.1781855, '\n': -8.29721, ' The': -8.433587}
{' No': -0.0025782594, 'No': -6.2447195, ' Yes': -7.6491065, ' The': -9.8800745, '\n': -10.348947}
{' No': -0.0069417367, 'No': -4.9998403, ' ': -9.780942, '\n': -9.883325, ' "': -10.676314}
{' No': -0.00768926, 'No': -4.890116, ' ': -10.217621, ' no': -10.484276, '\n': -10.555764}
{' No': -0.033983413, ' Yes': -3.4793985, 'No': -6.143257, '\n': -9.095596, ' ': -9.246069}
{' No': -0.04534958, ' Yes': -3.1700711, 'No': -6.224905, ' The': -9.207207, 'Yes': -9.611784}
{' No': -0.20218617, ' Yes': -1.7139508, 'No': -6.255098, ' The': -7.7066703, 'Yes': -8.245076}
{' No': -0.041053403, ' Yes': -3.2979236, 'No': -5.8990126, '\n': -8.749312, ' The': -9.116452}
{' No': -0.0050540892, 'No': -5.432935, ' Yes': -7.596921, ' ': -9.52016, '\n': -10.065316}
{' No': -0.0037412497, 'No': -5.7705274, ' Yes': -7.713883, '\n': -9.857054, ' The': -10.027804}
{' No': -0.16857894, ' Yes': -1.890743, 'No': -5.72936, 'Yes': -7.944223, '\n': -8.250429}
{' No': -0.03783924, ' Yes': -3.4578068, 'No': -5.31421, '\n': -8.474465, ' The': -8.806743}
{' No': -0.0066754627, 'No': -5.5139627, ' Yes': -6.008603, ' ': -9.952117, ' The': -10.23898}
{' No': -0.020614497, ' Yes': -4.050091, 'No': -6.1380053, ' The': -7.72649, '\n': -8.869236}
{' No': -0.011305603, ' Yes': -5.1501737, 'No': -5.249659, ' The': -9.577988, ' Not': -10.519873}
{' No': -0.014748709, ' Yes': -4.8300905, 'No': -5.0897036, '\n': -8.490294, ' The': -9.477163}
{' Yes': -0.094803154, ' No': -2.42738, 'Yes': -6.5698867, ' The': -8.394784, 'No': -8.41517}
{' Yes': -0.21675716, ' No': -1.647753, 'Yes': -6.700583, 'No': -7.5809417, ' The': -8.515869}
{' No': -0.008690241, ' Yes': -5.0042343, 'No': -6.5104065, '\n': -9.041149, ' ': -9.1580715}
{' No': -0.0020903887, 'No': -6.3260536, ' Yes': -9.067828, ' ': -10.149646, ' The': -10.166475}
{' No': -0.006225477, 'No': -5.1491427, ' Yes': -8.796346, '\n': -9.241235, ' ': -9.413758}
{' No': -0.016517255, ' Yes': -4.5102725, 'No': -5.326289, '\n': -8.4435835, ' The': -8.6627245}
{' No': -0.011112537, 'No': -5.22003, ' Yes': -5.2280197, '\n': -9.513809, ' The': -9.568533}
{' No': -0.0082247425, 'No': -5.020851, ' Yes': -6.6458206, '\n': -8.9937725, ' The': -9.944267}
{' No': -0.004964172, 'No': -5.4770613, ' Yes': -7.7012873, '\n': -9.2324915, ' ': -9.34204}
{' No': -0.002957681, 'No': -6.2650347, ' Yes': -7.1469927, '\n': -9.207988, ' ': -9.617429}
{' Yes': -0.5700104, ' No': -0.84257627, ' The': -6.8793154, 'No': -7.006228, 'Yes': -7.2139997}
{' No': -0.04889968, ' Yes': -3.1672547, 'No': -5.4957356, '\n': -7.467303, ' The': -7.75343}
{' Yes': -0.0052431156, ' No': -5.9030447, 'Yes': -6.1189857, ' yes': -8.885142, '\n': -9.714698}
{' Yes': -0.58062714, ' No': -0.8302303, 'No': -5.9805136, 'Yes': -6.4716983, '\n': -8.840213}
{' Yes': -0.39682728, ' No': -1.1242939, 'Yes': -6.9156256, ' The': -7.3518515, 'No': -7.369857}
{' No': -0.057162806, ' Yes': -2.9391434, 'No': -6.221837, ' The': -8.138719, '\n': -8.937568}
{' No': -0.005772092, ' Yes': -5.701488, 'No': -6.117889, ' ': -9.1694565, '\n': -9.966555}
{' No': -0.0028671185, 'No': -6.1687737, ' Yes': -7.5222588, '\n': -9.537052, ' ': -9.556921}
{' Yes': -0.52121705, ' No': -0.91841847, 'No': -6.0811057, 'Yes': -6.1124988, ' The': -6.6894965}
{' No': -0.013206734, 'No': -5.0504913, ' Yes': -5.099537, '\n': -8.30876, ' The': -8.672246}
{' No': -0.016172035, ' Yes': -4.5723624, 'No': -5.2503676, '\n': -8.627561, ' ': -9.172935}
{' No': -0.008908935, 'No': -4.806844, ' Yes': -8.479586, '\n': -8.586165, ' The': -9.102814}
{' No': -0.03113257, ' Yes': -3.5830963, 'No': -6.2947526, '\n': -7.363255, ' The': -8.824365}
{' No': -0.051311664, ' Yes': -3.0580294, 'No': -6.165415, '\n': -7.8266125, ' The': -8.343601}
{' No': -0.007228369, 'No': -5.5033126, ' Yes': -5.9246225, '\n': -8.764037, ' The': -8.794689}
{' No': -0.008077877, 'No': -5.395806, ' Yes': -5.7621384, '\n': -8.9732685, ' The': -9.28367}
{' No': -0.03617987, ' Yes': -3.444404, 'No': -5.934501, ' The': -7.784398, '\n': -8.4284315}
{' No': -0.07382006, ' Yes': -2.6912878, 'No': -6.0371757, ' The': -8.208635, '\n': -8.278671}
{' Yes': -0.011361065, ' No': -4.652371, 'Yes': -7.0613422, '\n': -7.7673726, ' yes': -8.080112}
{' No': -0.09954702, ' Yes': -2.3889909, 'No': -6.007164, '\n': -8.559325, 'Yes': -8.66732}
{' No': -0.010508745, ' Yes': -5.0967226, 'No': -5.5789266, '\n': -8.40095, ' ': -8.79367}
{' No': -0.004983521, 'No': -5.4134836, ' Yes': -8.244801, ' The': -9.011788, ' ': -10.047507}
{' No': -0.18641517, ' Yes': -1.7981857, 'No': -5.967901, '\n': -7.189251, ' The': -7.826802}
{' No': -0.15364173, ' Yes': -1.9793234, 'No': -5.731049, 'Yes': -7.910409, ' The': -8.051528}
{' No': -0.23115644, ' Yes': -1.5906383, 'No': -6.3485093, 'Yes': -8.272347, ' The': -8.31677}
{' No': -0.012290562, ' Yes': -4.6928115, 'No': -5.906443, ' The': -8.912799, '\n': -9.484799}
{' No': -0.044903923, ' Yes': -3.29717, 'No': -5.2063336, '\n': -6.93505, ' ': -8.6087675}
{' No': -0.061975177, ' Yes': -2.8725886, 'No': -5.8070273, ' Unfortunately': -8.963311, 'Yes': -8.975638}
{' No': -0.012644956, ' Yes': -4.6600614, 'No': -5.9075823, '\n': -8.932564, ' The': -9.1692915}
{' No': -0.03967315, ' Yes': -3.3870795, 'No': -5.39395, '\n': -8.648785, ' The': -8.924894}
{' No': -0.0033112336, 'No': -6.0656586, ' Yes': -7.1769543, ' ': -9.660276, '\n': -9.680208}
{' No': -0.0051056705, 'No': -5.5134997, ' Yes': -7.1541686, ' The': -8.927928, ' ': -10.047353}
{' No': -0.03423257, ' Yes': -3.8569996, 'No': -4.454608, ' The': -7.960656, '\n': -8.48995}
{' No': -0.008574869, 'No': -4.8561563, ' Yes': -7.6030626, '\n': -9.27427, ' ': -9.688422}
{' No': -0.044551123, ' Yes': -3.2277517, 'No': -5.6898904, '\n': -8.644926, ' The': -9.153126}
{' Yes': -0.48285386, ' No': -0.9700174, 'Yes': -6.667767, 'No': -6.6758065, '\n': -7.4026017}
{' Yes': -0.0032050305, 'Yes': -6.5330696, ' No': -6.842079, ' yes': -7.9201493, ' The': -8.812391}
{' Yes': -0.42020512, ' No': -1.081706, 'Yes': -6.4137263, 'No': -6.6660624, ' The': -7.7903357}
{' No': -0.24931717, ' Yes': -1.5197086, 'No': -6.692381, 'Yes': -8.318018, '\n': -8.664494}
{' No': -0.016667243, ' Yes': -4.23399, 'No': -6.333977, '\n': -9.18713, ' The': -10.001393}
{' Yes': -0.3238693, ' No': -1.3092284, 'Yes': -5.852685, 'No': -6.1505384, '\n': -7.24067}
{' No': -0.3044049, ' Yes': -1.3553272, 'No': -5.7997446, 'Yes': -7.169616, '\n': -7.970386}
{' No': -0.36549753, ' Yes': -1.2140063, 'No': -5.1637383, 'Yes': -6.661559, '\n': -6.8796496}
{' No': -0.022470253, ' Yes': -4.1915665, 'No': -5.1205707, '\n': -7.3916445, ' The': -8.403849}
{' No': -0.09322429, ' Yes': -2.487067, 'No': -5.379691, '\n': -7.946959, ' The': -8.003305}
{' No': -0.017135352, ' Yes': -4.369502, 'No': -5.548837, '\n': -8.506652, ' The': -9.283889}
{' No': -0.030018587, ' Yes': -3.666918, 'No': -5.7438836, '\n': -7.574015, ' The': -9.486929}
{' No': -0.002240979, 'No': -6.30357, ' Yes': -8.513661, ' The': -9.1203575, '\n': -10.655648}
{' No': -0.036478724, ' Yes': -3.5706334, 'No': -5.1115975, '\n': -6.8534627, ' ': -8.379784}
{' No': -0.010494591, ' Yes': -4.8628106, 'No': -6.0937552, '\n': -8.818819, ' The': -8.991838}
{' No': -0.06050057, ' Yes': -2.9127285, 'No': -5.7608056, ' The': -7.667275, '\n': -7.818158}
{' No': -0.06735925, ' Yes': -2.792716, 'No': -5.795661, ' The': -8.230758, '\n': -8.394916}
{' No': -0.1284745, ' Yes': -2.1507046, 'No': -5.832605, ' The': -7.6139665, 'Yes': -7.984245}
{' No': -0.026885033, ' Yes': -3.707072, 'No': -6.3393736, ' The': -9.341088, 'Yes': -9.984033}
{' No': -0.010150416, ' Yes': -5.3197126, 'No': -5.3430853, ' The': -8.522048, '\n': -9.224978}
{' No': -0.0830416, ' Yes': -2.5934708, 'No': -5.5410395, 'Yes': -7.966975, ' The': -8.274652}
{' No': -0.05327075, ' Yes': -3.0954895, 'No': -5.4019494, '\n': -6.5295997, ' ': -7.9409733}
{' No': -0.13501534, ' Yes': -2.1135213, 'No': -5.5813594, '\n': -7.2032485, 'Yes': -7.8319755}
{' Yes': -0.32034385, ' No': -1.3104924, 'Yes': -6.282178, 'No': -6.786858, ' The': -7.014502}
{' No': -0.041760445, ' Yes': -3.2828665, 'No': -5.8155985, ' The': -9.176816, '\n': -9.212003}
{' No': -0.1917136, ' Yes': -1.7978919, 'No': -5.0370183, 'Yes': -6.9830513, '\n': -7.5573235}
{' No': -0.01883815, ' Yes': -4.3586316, 'No': -5.2329416, ' The': -8.523009, '\n': -8.7066965}
{' No': -0.30052993, ' Yes': -1.3597645, 'No': -6.4718537, 'Yes': -7.6585884, ' The': -7.862231}
{' No': -0.007104584, 'No': -5.539518, ' Yes': -5.941766, ' The': -8.195577, '\n': -9.578784}
{' No': -0.055039786, ' Yes': -3.0235205, 'No': -5.536809, ' The': -7.8138666, '\n': -8.442765}
{' No': -0.089005746, ' Yes': -2.5131867, 'No': -5.7410593, '\n': -7.902945, 'Yes': -8.2329645}
{' No': -0.009299729, ' Yes': -5.217178, 'No': -5.6659594, ' The': -8.342704, '\n': -10.395417}
{' No': -0.007827537, 'No': -5.14768, ' Yes': -6.6425776, '\n': -7.848268, ' The': -9.062711}
{' Yes': -0.02144643, ' No': -3.953804, 'Yes': -6.549083, ' yes': -8.333134, ' The': -8.533926}
{' Yes': -0.42073455, ' No': -1.0778315, 'Yes': -6.700287, 'No': -6.961846, ' The': -8.058357}
{' No': -0.4731101, ' Yes': -0.98680496, 'No': -6.205461, 'Yes': -7.269422, '\n': -7.5398636}
{' No': -0.051597442, ' Yes': -3.0786111, 'No': -5.82241, '\n': -7.1057105, ' ': -8.759106}
{' No': -0.01494907, ' Yes': -4.3412943, 'No': -6.4434857, '\n': -9.391505, ' ': -10.13976}
{' No': -0.013961256, ' Yes': -4.6900496, 'No': -5.4496512, '\n': -8.9175005, ' ': -9.409991}
{' No': -0.25358912, ' Yes': -1.5294299, 'No': -5.5961185, '\n': -6.532197, 'Yes': -6.9664354}
